epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635675106269,2021-10-31T12:11:46.269,0.000,0.540,0.449,-0.642
1635675106309,2021-10-31T12:11:46.309,0.040,0.556,0.464,-0.667
1635675106349,2021-10-31T12:11:46.349,0.080,0.555,0.465,-0.691
1635675106389,2021-10-31T12:11:46.389,0.120,0.541,0.409,-0.687
1635675106429,2021-10-31T12:11:46.429,0.160,0.545,0.378,-0.712
1635675106469,2021-10-31T12:11:46.469,0.200,0.534,0.331,-0.696
1635675106509,2021-10-31T12:11:46.509,0.240,0.557,0.253,-0.694
1635675106549,2021-10-31T12:11:46.549,0.280,0.575,0.267,-0.698
1635675106589,2021-10-31T12:11:46.589,0.320,0.577,0.318,-0.723
1635675106629,2021-10-31T12:11:46.629,0.360,0.539,0.381,-0.727
1635675106669,2021-10-31T12:11:46.669,0.400,0.540,0.402,-0.714
1635675106709,2021-10-31T12:11:46.709,0.440,0.533,0.371,-0.702
1635675106749,2021-10-31T12:11:46.749,0.480,0.553,0.326,-0.721
1635675106789,2021-10-31T12:11:46.789,0.520,0.508,0.329,-0.717
1635675106829,2021-10-31T12:11:46.829,0.560,0.528,0.378,-0.687
1635675106869,2021-10-31T12:11:46.869,0.600,0.590,0.402,-0.679
1635675106909,2021-10-31T12:11:46.909,0.640,0.610,0.384,-0.710
1635675106949,2021-10-31T12:11:46.949,0.680,0.521,0.368,-0.732
1635675106989,2021-10-31T12:11:46.989,0.720,0.516,0.355,-0.722
1635675107029,2021-10-31T12:11:47.029,0.760,0.539,0.363,-0.703
1635675107069,2021-10-31T12:11:47.069,0.800,0.568,0.378,-0.694
1635675107109,2021-10-31T12:11:47.109,0.840,0.574,0.368,-0.703
1635675107149,2021-10-31T12:11:47.149,0.880,0.559,0.368,-0.687
1635675107189,2021-10-31T12:11:47.189,0.920,0.559,0.377,-0.692
1635675107229,2021-10-31T12:11:47.229,0.960,0.553,0.385,-0.685
1635675107269,2021-10-31T12:11:47.269,1.000,0.539,0.374,-0.686
1635675107309,2021-10-31T12:11:47.309,1.040,0.538,0.369,-0.707
1635675107349,2021-10-31T12:11:47.349,1.080,0.543,0.366,-0.713
1635675107389,2021-10-31T12:11:47.389,1.120,0.543,0.364,-0.709
1635675107429,2021-10-31T12:11:47.429,1.160,0.547,0.358,-0.726
1635675107469,2021-10-31T12:11:47.469,1.200,0.531,0.355,-0.737
1635675107509,2021-10-31T12:11:47.509,1.240,0.523,0.353,-0.758
1635675107549,2021-10-31T12:11:47.549,1.280,0.511,0.359,-0.769
1635675107589,2021-10-31T12:11:47.589,1.320,0.521,0.358,-0.759
1635675107629,2021-10-31T12:11:47.629,1.360,0.521,0.353,-0.742
1635675107669,2021-10-31T12:11:47.669,1.400,0.525,0.366,-0.719
1635675107709,2021-10-31T12:11:47.709,1.440,0.539,0.370,-0.704
1635675107749,2021-10-31T12:11:47.749,1.480,0.536,0.366,-0.695
1635675107789,2021-10-31T12:11:47.789,1.520,0.524,0.361,-0.701
1635675107829,2021-10-31T12:11:47.829,1.560,0.521,0.375,-0.714
1635675107869,2021-10-31T12:11:47.869,1.600,0.518,0.385,-0.724
1635675107909,2021-10-31T12:11:47.909,1.640,0.517,0.385,-0.734
1635675107949,2021-10-31T12:11:47.949,1.680,0.511,0.401,-0.747
1635675107989,2021-10-31T12:11:47.989,1.720,0.513,0.392,-0.732
1635675108029,2021-10-31T12:11:48.029,1.760,0.524,0.393,-0.708
1635675108069,2021-10-31T12:11:48.069,1.800,0.511,0.400,-0.707
1635675108109,2021-10-31T12:11:48.109,1.840,0.505,0.405,-0.743
1635675108149,2021-10-31T12:11:48.149,1.880,0.515,0.397,-0.759
1635675108189,2021-10-31T12:11:48.189,1.920,0.511,0.396,-0.748
1635675108229,2021-10-31T12:11:48.229,1.960,0.514,0.382,-0.728
1635675108269,2021-10-31T12:11:48.269,2.000,0.517,0.382,-0.708
1635675108309,2021-10-31T12:11:48.309,2.040,0.518,0.384,-0.700
1635675108349,2021-10-31T12:11:48.349,2.080,0.518,0.384,-0.704
1635675108389,2021-10-31T12:11:48.389,2.120,0.520,0.383,-0.725
1635675108429,2021-10-31T12:11:48.429,2.160,0.529,0.398,-0.719
1635675108469,2021-10-31T12:11:48.469,2.200,0.536,0.426,-0.694
1635675108509,2021-10-31T12:11:48.509,2.240,0.527,0.422,-0.682
1635675108549,2021-10-31T12:11:48.549,2.280,0.529,0.392,-0.693
1635675108589,2021-10-31T12:11:48.589,2.320,0.528,0.370,-0.711
1635675108629,2021-10-31T12:11:48.629,2.360,0.524,0.362,-0.722
1635675108669,2021-10-31T12:11:48.669,2.400,0.522,0.368,-0.723
1635675108709,2021-10-31T12:11:48.709,2.440,0.528,0.374,-0.733
1635675108749,2021-10-31T12:11:48.749,2.480,0.530,0.401,-0.718
1635675108789,2021-10-31T12:11:48.789,2.520,0.527,0.418,-0.701
1635675108829,2021-10-31T12:11:48.829,2.560,0.535,0.421,-0.693
1635675108869,2021-10-31T12:11:48.869,2.600,0.534,0.422,-0.698
1635675108909,2021-10-31T12:11:48.909,2.640,0.533,0.398,-0.688
1635675108949,2021-10-31T12:11:48.949,2.680,0.538,0.385,-0.685
1635675108989,2021-10-31T12:11:48.989,2.720,0.533,0.386,-0.701
1635675109029,2021-10-31T12:11:49.029,2.760,0.526,0.389,-0.715
1635675109069,2021-10-31T12:11:49.069,2.800,0.524,0.391,-0.718
1635675109109,2021-10-31T12:11:49.109,2.840,0.533,0.399,-0.712
1635675109149,2021-10-31T12:11:49.149,2.880,0.531,0.408,-0.700
1635675109189,2021-10-31T12:11:49.189,2.920,0.530,0.408,-0.693
1635675109229,2021-10-31T12:11:49.229,2.960,0.531,0.412,-0.694
1635675109269,2021-10-31T12:11:49.269,3.000,0.529,0.424,-0.708
1635675109309,2021-10-31T12:11:49.309,3.040,0.530,0.412,-0.719
