epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1635794966790,2021-11-01T12:29:26.790,0.000,-0.823,0.793,-0.335
1635794966830,2021-11-01T12:29:26.830,0.040,-1.037,0.793,-0.091
1635794966870,2021-11-01T12:29:26.870,0.080,-2.896,1.555,0.183
1635794966910,2021-11-01T12:29:26.910,0.120,-2.896,1.524,0.274
1635794966950,2021-11-01T12:29:26.950,0.160,-4.238,2.012,0.701
1635794966990,2021-11-01T12:29:26.990,0.200,-5.244,1.646,0.884
1635794967030,2021-11-01T12:29:27.030,0.240,-2.957,0.701,0.305
1635794967070,2021-11-01T12:29:27.070,0.280,-1.677,0.640,0.030
1635794967110,2021-11-01T12:29:27.110,0.320,-1.402,0.213,0.091
1635794967150,2021-11-01T12:29:27.150,0.360,-0.671,-0.213,-0.030
1635794967190,2021-11-01T12:29:27.190,0.400,0.244,-0.793,0.000
1635794967230,2021-11-01T12:29:27.230,0.440,0.396,-1.220,0.122
1635794967270,2021-11-01T12:29:27.270,0.480,-0.884,-0.244,0.152
1635794967310,2021-11-01T12:29:27.310,0.520,-3.323,-0.305,0.976
1635794967350,2021-11-01T12:29:27.350,0.560,-4.177,-0.366,1.098
1635794967390,2021-11-01T12:29:27.390,0.600,-1.616,-0.945,1.311
1635794967430,2021-11-01T12:29:27.430,0.640,-7.622,1.372,2.835
1635794967470,2021-11-01T12:29:27.470,0.680,-10.427,3.232,2.652
1635794967510,2021-11-01T12:29:27.510,0.720,-5.366,1.189,2.134
1635794967550,2021-11-01T12:29:27.550,0.760,-2.561,0.061,1.280
1635794967590,2021-11-01T12:29:27.590,0.800,-3.628,0.274,0.610
1635794967630,2021-11-01T12:29:27.630,0.840,-2.439,-0.183,0.396
1635794967670,2021-11-01T12:29:27.670,0.880,-0.762,-0.518,0.640
1635794967710,2021-11-01T12:29:27.710,0.920,-1.524,0.457,0.671
1635794967750,2021-11-01T12:29:27.750,0.960,-1.159,-0.091,0.640
1635794967790,2021-11-01T12:29:27.790,1.000,0.183,-0.366,0.183
1635794967830,2021-11-01T12:29:27.830,1.040,0.061,-1.220,1.707
1635794967870,2021-11-01T12:29:27.870,1.080,0.579,-1.555,2.104
1635794967910,2021-11-01T12:29:27.910,1.120,-0.183,-0.152,0.701
1635794967950,2021-11-01T12:29:27.950,1.160,-1.067,0.152,0.091
1635794967990,2021-11-01T12:29:27.990,1.200,1.159,-0.701,-0.335
1635794968030,2021-11-01T12:29:28.030,1.240,-0.366,0.183,-0.427
1635794968070,2021-11-01T12:29:28.070,1.280,0.030,0.305,-0.732
1635794968110,2021-11-01T12:29:28.110,1.320,0.030,0.488,-0.976
1635794968150,2021-11-01T12:29:28.150,1.360,-0.793,0.335,-1.037
1635794968190,2021-11-01T12:29:28.190,1.400,-3.201,1.067,-0.152
1635794968230,2021-11-01T12:29:28.230,1.440,-6.402,2.226,0.427
1635794968270,2021-11-01T12:29:28.270,1.480,-2.378,0.640,-0.061
1635794968310,2021-11-01T12:29:28.310,1.520,-1.524,0.061,0.213
1635794968350,2021-11-01T12:29:28.350,1.560,-3.537,1.189,0.793
1635794968390,2021-11-01T12:29:28.390,1.600,-3.232,0.396,0.884
1635794968430,2021-11-01T12:29:28.430,1.640,-2.500,-0.305,0.793
1635794968470,2021-11-01T12:29:28.470,1.680,-0.335,-0.762,0.366
1635794968510,2021-11-01T12:29:28.510,1.720,-0.335,-0.762,0.213
1635794968550,2021-11-01T12:29:28.550,1.760,-1.372,0.793,-0.091
1635794968590,2021-11-01T12:29:28.590,1.800,-0.335,0.732,-0.457
1635794968630,2021-11-01T12:29:28.630,1.840,1.555,-0.762,-0.366
1635794968670,2021-11-01T12:29:28.670,1.880,5.030,-2.774,0.091
1635794968710,2021-11-01T12:29:28.710,1.920,-2.165,1.951,1.585
1635794968750,2021-11-01T12:29:28.750,1.960,-4.817,2.713,1.159
1635794968790,2021-11-01T12:29:28.790,2.000,-0.274,-0.152,-0.427
1635794968830,2021-11-01T12:29:28.830,2.040,-2.988,1.585,-0.366
1635794968870,2021-11-01T12:29:28.870,2.080,-2.409,2.012,1.341
1635794968910,2021-11-01T12:29:28.910,2.120,-1.311,1.555,0.640
1635794968950,2021-11-01T12:29:28.950,2.160,-4.085,1.646,-0.488
1635794968990,2021-11-01T12:29:28.990,2.200,-1.402,0.244,-0.610
1635794969030,2021-11-01T12:29:29.030,2.240,-2.896,1.311,-0.335
1635794969070,2021-11-01T12:29:29.070,2.280,-1.159,0.762,-0.274
1635794969110,2021-11-01T12:29:29.110,2.320,-1.494,1.433,-0.457
1635794969150,2021-11-01T12:29:29.150,2.360,-2.409,1.707,-0.305
1635794969190,2021-11-01T12:29:29.190,2.400,-1.829,1.372,-0.274
1635794969230,2021-11-01T12:29:29.230,2.440,-3.445,1.738,-0.244
1635794969270,2021-11-01T12:29:29.270,2.480,-4.238,2.348,0.274
1635794969310,2021-11-01T12:29:29.310,2.520,-5.305,1.799,2.134
1635794969350,2021-11-01T12:29:29.350,2.560,-5.549,2.317,1.890
1635794969390,2021-11-01T12:29:29.390,2.600,-1.768,2.591,-0.976
1635794969430,2021-11-01T12:29:29.430,2.640,-0.274,1.494,-0.244
1635794969470,2021-11-01T12:29:29.470,2.680,-3.171,3.354,-0.305
1635794969510,2021-11-01T12:29:29.510,2.720,-3.476,3.140,-0.854
1635794969550,2021-11-01T12:29:29.550,2.760,-1.189,1.250,-0.457
1635794969590,2021-11-01T12:29:29.590,2.800,-1.707,1.098,-0.274
1635794969630,2021-11-01T12:29:29.630,2.840,-0.427,0.091,-0.244
