epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635794966948,2021-11-01T12:29:26.948,0.000,-0.249,0.237,-0.942
1635794966988,2021-11-01T12:29:26.988,0.040,-0.248,0.255,-0.948
1635794967028,2021-11-01T12:29:27.028,0.080,-0.248,0.252,-0.946
1635794967068,2021-11-01T12:29:27.068,0.120,-0.246,0.251,-0.947
1635794967108,2021-11-01T12:29:27.108,0.160,-0.247,0.254,-0.945
1635794967148,2021-11-01T12:29:27.148,0.200,-0.248,0.254,-0.945
1635794967188,2021-11-01T12:29:27.188,0.240,-0.250,0.254,-0.945
1635794967228,2021-11-01T12:29:27.228,0.280,-0.246,0.252,-0.946
1635794967268,2021-11-01T12:29:27.268,0.320,-0.253,0.248,-0.947
1635794967308,2021-11-01T12:29:27.308,0.360,-0.251,0.247,-0.945
1635794967348,2021-11-01T12:29:27.348,0.400,-0.251,0.267,-0.940
1635794967388,2021-11-01T12:29:27.388,0.440,-0.254,0.243,-0.945
1635794967428,2021-11-01T12:29:27.428,0.480,-0.248,0.246,-0.943
1635794967468,2021-11-01T12:29:27.468,0.520,-0.247,0.281,-0.938
1635794967508,2021-11-01T12:29:27.508,0.560,-0.240,0.285,-0.938
1635794967548,2021-11-01T12:29:27.548,0.600,-0.244,0.271,-0.939
1635794967588,2021-11-01T12:29:27.588,0.640,-0.242,0.280,-0.937
1635794967628,2021-11-01T12:29:27.628,0.680,-0.244,0.282,-0.936
1635794967668,2021-11-01T12:29:27.668,0.720,-0.243,0.281,-0.935
1635794967708,2021-11-01T12:29:27.708,0.760,-0.245,0.281,-0.936
1635794967748,2021-11-01T12:29:27.748,0.800,-0.242,0.288,-0.935
1635794967788,2021-11-01T12:29:27.788,0.840,-0.245,0.278,-0.938
1635794967828,2021-11-01T12:29:27.828,0.880,-0.246,0.281,-0.937
1635794967868,2021-11-01T12:29:27.868,0.920,-0.243,0.282,-0.936
1635794967908,2021-11-01T12:29:27.908,0.960,-0.243,0.281,-0.937
1635794967948,2021-11-01T12:29:27.948,1.000,-0.246,0.289,-0.932
1635794967988,2021-11-01T12:29:27.988,1.040,-0.245,0.280,-0.937
1635794968028,2021-11-01T12:29:28.028,1.080,-0.245,0.282,-0.935
1635794968068,2021-11-01T12:29:28.068,1.120,-0.243,0.282,-0.935
1635794968108,2021-11-01T12:29:28.108,1.160,-0.244,0.279,-0.936
1635794968148,2021-11-01T12:29:28.148,1.200,-0.249,0.277,-0.938
1635794968188,2021-11-01T12:29:28.188,1.240,-0.247,0.273,-0.935
1635794968228,2021-11-01T12:29:28.228,1.280,-0.241,0.296,-0.932
1635794968268,2021-11-01T12:29:28.268,1.320,-0.244,0.290,-0.935
1635794968308,2021-11-01T12:29:28.308,1.360,-0.245,0.283,-0.934
