epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.63576E+12,2021-11-01T11:03:55.653,0,0.183,-0.152,-0.061
1.63576E+12,2021-11-01T11:03:55.692,0.039,0.274,0,-0.213
1.63576E+12,2021-11-01T11:03:55.733,0.08,0.427,-0.244,-0.427
1.63576E+12,2021-11-01T11:03:55.773,0.12,0.366,-0.549,-0.671
1.63576E+12,2021-11-01T11:03:55.814,0.161,0.244,-0.64,-0.762
1.63576E+12,2021-11-01T11:03:55.855,0.202,0.457,-0.427,-0.701
1.63576E+12,2021-11-01T11:03:55.894,0.241,0,-0.518,-0.244
1.63576E+12,2021-11-01T11:03:55.935,0.282,0.274,-0.457,-0.488
1.63576E+12,2021-11-01T11:03:55.975,0.322,0.396,-0.488,-0.854
1.63576E+12,2021-11-01T11:03:56.016,0.363,0.396,-0.549,-0.64
1.63576E+12,2021-11-01T11:03:56.055,0.402,0.305,-0.152,-0.457
1.63576E+12,2021-11-01T11:03:56.096,0.443,0.274,-0.091,-0.274
1.63576E+12,2021-11-01T11:03:56.137,0.484,-0.03,0.03,-0.061
1.63576E+12,2021-11-01T11:03:56.177,0.524,0.061,0.213,0.122
1.63576E+12,2021-11-01T11:03:56.218,0.565,0.335,0.122,0.122
1.63576E+12,2021-11-01T11:03:56.258,0.605,0.366,0.091,0.305
1.63576E+12,2021-11-01T11:03:56.299,0.646,0.305,0.03,0.518
1.63576E+12,2021-11-01T11:03:56.338,0.685,0.183,0.091,0.366
1.63576E+12,2021-11-01T11:03:56.379,0.726,0.335,-0.091,0.427
1.63576E+12,2021-11-01T11:03:56.420,0.767,0.579,0.091,0.549
1.63576E+12,2021-11-01T11:03:56.460,0.807,0.61,0.366,0.244
1.63576E+12,2021-11-01T11:03:56.501,0.848,0.64,0.366,0.305
1.63576E+12,2021-11-01T11:03:56.540,0.887,0.61,0.183,-0.03
1.63576E+12,2021-11-01T11:03:56.581,0.928,0.854,-0.061,-0.061
1.63576E+12,2021-11-01T11:03:56.621,0.968,0.427,-0.244,-0.152
1.63576E+12,2021-11-01T11:03:56.662,1.009,0.488,-0.183,-0.244
1.63576E+12,2021-11-01T11:03:56.703,1.05,0.518,-0.183,-0.396
1.63576E+12,2021-11-01T11:03:56.742,1.089,0.549,-0.213,-0.366
1.63576E+12,2021-11-01T11:03:56.783,1.13,0.549,-0.183,-0.366
1.63576E+12,2021-11-01T11:03:56.823,1.17,0.488,-0.366,-0.488
1.63576E+12,2021-11-01T11:03:56.864,1.211,0,-0.213,-0.274
1.63576E+12,2021-11-01T11:03:56.905,1.252,-0.03,-0.091,-0.274
1.63576E+12,2021-11-01T11:03:56.945,1.292,0.396,-0.213,-0.488
1.63576E+12,2021-11-01T11:03:56.986,1.333,0.427,-0.366,-0.518
1.63576E+12,2021-11-01T11:03:57.025,1.372,0.549,-0.335,-0.427
1.63576E+12,2021-11-01T11:03:57.066,1.413,0.183,-0.244,-0.244
1.63576E+12,2021-11-01T11:03:57.106,1.453,0.122,-0.213,-0.152
1.63576E+12,2021-11-01T11:03:57.147,1.494,0.213,-0.366,0
1.63576E+12,2021-11-01T11:03:57.188,1.535,0.274,-0.274,0.091
1.63576E+12,2021-11-01T11:03:57.227,1.574,0.213,-0.152,-0.183
1.63576E+12,2021-11-01T11:03:57.268,1.615,0.061,-0.122,0.152
1.63576E+12,2021-11-01T11:03:57.308,1.655,-0.122,-0.152,0.549
1.63576E+12,2021-11-01T11:03:57.349,1.696,0.701,-0.122,0.152
1.63576E+12,2021-11-01T11:03:57.388,1.735,1.28,0.213,-0.03
1.63576E+12,2021-11-01T11:03:57.429,1.776,1.006,-0.244,-0.427
1.63576E+12,2021-11-01T11:03:57.470,1.817,0.793,-0.122,-0.427
1.63576E+12,2021-11-01T11:03:57.510,1.857,0.61,0.213,-0.091
1.63576E+12,2021-11-01T11:03:57.551,1.898,0.183,-0.457,-0.274
1.63576E+12,2021-11-01T11:03:57.591,1.938,0.579,-0.335,-0.244
1.63576E+12,2021-11-01T11:03:57.632,1.979,1.28,-0.305,-0.823
1.63576E+12,2021-11-01T11:03:57.671,2.018,1.433,-0.396,-1.463
1.63576E+12,2021-11-01T11:03:57.712,2.059,0.671,-0.579,-1.555
1.63576E+12,2021-11-01T11:03:57.753,2.1,0.122,-0.945,-1.494
1.63576E+12,2021-11-01T11:03:57.793,2.14,-0.152,-0.579,-1.067
1.63576E+12,2021-11-01T11:03:57.834,2.181,0.122,-0.579,-0.945
1.63576E+12,2021-11-01T11:03:57.873,2.22,0.244,-0.305,-0.793
1.63576E+12,2021-11-01T11:03:57.914,2.261,0.457,0,-0.213
1.63576E+12,2021-11-01T11:03:57.954,2.301,0.701,-0.427,-0.427
1.63576E+12,2021-11-01T11:03:57.995,2.342,0.366,-0.335,-0.61
1.63576E+12,2021-11-01T11:03:58.036,2.383,0.274,-0.366,-0.64
1.63576E+12,2021-11-01T11:03:58.075,2.422,0.244,-0.549,-0.671
1.63576E+12,2021-11-01T11:03:58.116,2.463,0.305,-0.61,-0.854
1.63576E+12,2021-11-01T11:03:58.156,2.503,0.213,-0.457,-0.823
1.63576E+12,2021-11-01T11:03:58.197,2.544,0.152,-0.488,-0.61
1.63576E+12,2021-11-01T11:03:58.238,2.585,0.549,-0.396,-0.244
1.63576E+12,2021-11-01T11:03:58.278,2.625,0.396,-0.244,0
1.63576E+12,2021-11-01T11:03:58.319,2.666,0.213,-0.213,-0.183
1.63576E+12,2021-11-01T11:03:58.358,2.705,0.366,-0.152,-0.213
1.63576E+12,2021-11-01T11:03:58.399,2.746,0.335,-0.305,-0.244
1.63576E+12,2021-11-01T11:03:58.439,2.786,0.213,-0.274,-0.122
1.63576E+12,2021-11-01T11:03:58.480,2.827,0.244,-0.152,0.122
1.63576E+12,2021-11-01T11:03:58.521,2.868,0.457,-0.213,0.091
1.63576E+12,2021-11-01T11:03:58.560,2.907,0.396,-0.396,0.183
1.63576E+12,2021-11-01T11:03:58.601,2.948,0.305,-0.274,0.183
1.63576E+12,2021-11-01T11:03:58.641,2.988,0.396,-0.213,0.122
1.63576E+12,2021-11-01T11:03:58.682,3.029,0.366,-0.396,0
1.63576E+12,2021-11-01T11:03:58.721,3.068,0.762,-0.274,-0.366
1.63576E+12,2021-11-01T11:03:58.762,3.109,0.549,-0.305,-0.335
1.63576E+12,2021-11-01T11:03:58.803,3.15,0.274,-0.427,-0.244
1.63576E+12,2021-11-01T11:03:58.843,3.19,0.427,-0.244,-0.427
1.63576E+12,2021-11-01T11:03:58.884,3.231,0.244,-0.122,-0.274
1.63576E+12,2021-11-01T11:03:58.924,3.271,0.396,-0.396,-0.274
1.63576E+12,2021-11-01T11:03:58.965,3.312,0.549,-0.244,-0.152
1.63576E+12,2021-11-01T11:03:59.004,3.351,0.305,-0.244,-0.03
1.63576E+12,2021-11-01T11:03:59.045,3.392,0.183,-0.396,-0.274
1.63576E+12,2021-11-01T11:03:59.086,3.433,0.427,-0.213,-0.274
1.63576E+12,2021-11-01T11:03:59.126,3.473,0.457,-0.335,-0.274
1.63576E+12,2021-11-01T11:03:59.167,3.514,0.457,-0.518,-0.549
1.63576E+12,2021-11-01T11:03:59.206,3.553,0.396,-0.457,-0.396
1.63576E+12,2021-11-01T11:03:59.247,3.594,0.518,-0.457,-0.518
1.63576E+12,2021-11-01T11:03:59.287,3.634,0.396,-0.457,-0.488
1.63576E+12,2021-11-01T11:03:59.328,3.675,0.427,-0.457,-0.549
1.63576E+12,2021-11-01T11:03:59.369,3.716,0.366,-0.396,-0.366
1.63576E+12,2021-11-01T11:03:59.408,3.755,0.396,-0.457,-0.305
1.63576E+12,2021-11-01T11:03:59.449,3.796,0.518,-0.427,-0.366
1.63576E+12,2021-11-01T11:03:59.489,3.836,0.427,-0.305,-0.305
1.63576E+12,2021-11-01T11:03:59.530,3.877,0.183,-0.244,-0.213
1.63576E+12,2021-11-01T11:03:59.570,3.917,0.213,-0.366,-0.061
1.63576E+12,2021-11-01T11:03:59.611,3.958,0.64,-0.396,-0.213
1.63576E+12,2021-11-01T11:03:59.652,3.999,0.732,-0.305,-0.152
1.63576E+12,2021-11-01T11:03:59.691,4.038,0.579,-0.183,-0.183
1.63576E+12,2021-11-01T11:03:59.732,4.079,0.518,-0.335,-0.274
1.63576E+12,2021-11-01T11:03:59.772,4.119,0.457,-0.396,-0.274
1.63576E+12,2021-11-01T11:03:59.813,4.16,0.366,-0.183,-0.274
1.63576E+12,2021-11-01T11:03:59.852,4.199,0.335,-0.274,-0.183
1.63576E+12,2021-11-01T11:03:59.893,4.24,0.244,-0.335,-0.061
1.63576E+12,2021-11-01T11:03:59.934,4.281,0.396,-0.213,-0.091
1.63576E+12,2021-11-01T11:03:59.974,4.321,0.549,-0.213,-0.152
1.63576E+12,2021-11-01T11:04:00.015,4.362,0.335,-0.244,-0.183
1.63576E+12,2021-11-01T11:04:00.054,4.401,0.152,-0.305,-0.03
1.63576E+12,2021-11-01T11:04:00.095,4.442,0.488,-0.335,-0.244
1.63576E+12,2021-11-01T11:04:00.136,4.483,0.457,-0.274,-0.396
1.63576E+12,2021-11-01T11:04:00.176,4.523,0.488,-0.274,-0.213
1.63576E+12,2021-11-01T11:04:00.217,4.564,0.366,-0.274,-0.305
1.63576E+12,2021-11-01T11:04:00.257,4.604,0.396,-0.335,-0.518
1.63576E+12,2021-11-01T11:04:00.298,4.645,0.518,-0.335,-0.61
1.63576E+12,2021-11-01T11:04:00.337,4.684,0.518,-0.366,-0.457
1.63576E+12,2021-11-01T11:04:00.378,4.725,0.396,-0.274,-0.396
1.63576E+12,2021-11-01T11:04:00.419,4.766,0.518,-0.335,-0.122
1.63576E+12,2021-11-01T11:04:00.459,4.806,0.61,-0.244,-0.03
1.63576E+12,2021-11-01T11:04:00.500,4.847,0.457,-0.305,-0.03
1.63576E+12,2021-11-01T11:04:00.539,4.886,0.396,-0.488,-0.335
1.63576E+12,2021-11-01T11:04:00.580,4.927,0.732,-0.305,-0.701
1.63576E+12,2021-11-01T11:04:00.620,4.967,0.518,-0.244,-0.793
1.63576E+12,2021-11-01T11:04:00.661,5.008,-0.305,-0.091,-0.549
1.63576E+12,2021-11-01T11:04:00.702,5.049,-1.25,-0.061,0.213
1.63576E+12,2021-11-01T11:04:00.741,5.088,0.152,-0.396,-0.091
1.63576E+12,2021-11-01T11:04:00.782,5.129,0.762,-0.274,-0.335
1.63576E+12,2021-11-01T11:04:00.822,5.169,0.64,-0.213,-0.396
1.63576E+12,2021-11-01T11:04:00.863,5.21,0.579,-0.244,-0.396
1.63576E+12,2021-11-01T11:04:00.903,5.25,0.183,-0.274,-0.122
1.63576E+12,2021-11-01T11:04:00.944,5.291,-0.518,0.152,0.518
1.63576E+12,2021-11-01T11:04:00.985,5.332,-0.671,0.183,1.159
1.63576E+12,2021-11-01T11:04:01.024,5.371,0.091,0.122,0.427
1.63576E+12,2021-11-01T11:04:01.065,5.412,0.671,0.152,0.091
1.63576E+12,2021-11-01T11:04:01.105,5.452,0.518,0,0.122
1.63576E+12,2021-11-01T11:04:01.146,5.493,0.549,-0.427,-0.366
1.63576E+12,2021-11-01T11:04:01.185,5.532,0.793,-0.183,-0.488
1.63576E+12,2021-11-01T11:04:01.226,5.573,0.213,-0.427,-0.305
1.63576E+12,2021-11-01T11:04:01.267,5.614,0.244,-0.549,-0.488
1.63576E+12,2021-11-01T11:04:01.307,5.654,0.701,-0.274,-0.396
1.63576E+12,2021-11-01T11:04:01.348,5.695,0.579,-0.366,-0.427
1.63576E+12,2021-11-01T11:04:01.387,5.734,0.335,-0.396,-0.518
1.63576E+12,2021-11-01T11:04:01.428,5.775,0.579,-0.396,-0.61
1.63576E+12,2021-11-01T11:04:01.469,5.816,0.64,-0.305,-0.366
1.63576E+12,2021-11-01T11:04:01.509,5.856,0.213,-0.335,-0.122
1.63576E+12,2021-11-01T11:04:01.550,5.897,0.549,-0.366,-0.152
1.63576E+12,2021-11-01T11:04:01.590,5.937,0.61,-0.305,0.091
1.63576E+12,2021-11-01T11:04:01.631,5.978,0.335,-0.396,-0.122
1.63576E+12,2021-11-01T11:04:01.670,6.017,0.579,-0.396,-0.274
1.63576E+12,2021-11-01T11:04:01.711,6.058,0.427,-0.366,-0.183
1.63576E+12,2021-11-01T11:04:01.752,6.099,0.549,-0.335,-0.396
1.63576E+12,2021-11-01T11:04:01.792,6.139,0.945,-0.183,-0.457
1.63576E+12,2021-11-01T11:04:01.833,6.18,1.28,-0.305,-0.396
1.63576E+12,2021-11-01T11:04:01.872,6.219,1.86,-0.183,0.091
1.63576E+12,2021-11-01T11:04:01.913,6.26,1.829,-0.274,0.457
1.63576E+12,2021-11-01T11:04:01.953,6.3,0.61,-0.091,0.64
1.63576E+12,2021-11-01T11:04:01.994,6.341,-0.579,0.213,0.579
1.63576E+12,2021-11-01T11:04:02.035,6.382,-0.61,0.518,0.183
1.63576E+12,2021-11-01T11:04:02.074,6.421,0,0.884,0.122
1.63576E+12,2021-11-01T11:04:02.115,6.462,0.152,0.915,0.61
1.63576E+12,2021-11-01T11:04:02.155,6.502,0.64,0.762,0.793
1.63576E+12,2021-11-01T11:04:02.196,6.543,1.311,0.915,0.427
1.63576E+12,2021-11-01T11:04:02.236,6.583,1.402,0.366,-0.091
1.63576E+12,2021-11-01T11:04:02.277,6.624,1.585,-0.427,-0.427
1.63576E+12,2021-11-01T11:04:02.318,6.665,1.646,-0.488,-0.579
1.63576E+12,2021-11-01T11:04:02.357,6.704,1.25,-0.427,-0.701
1.63576E+12,2021-11-01T11:04:02.398,6.745,0.579,-0.579,-0.854
1.63576E+12,2021-11-01T11:04:02.438,6.785,0.366,-0.762,-0.976
1.63576E+12,2021-11-01T11:04:02.479,6.826,0.457,-0.305,-0.884
1.63576E+12,2021-11-01T11:04:02.518,6.865,0.03,-0.03,-0.457
1.63576E+12,2021-11-01T11:04:02.559,6.906,-0.122,0.061,-0.244
1.63576E+12,2021-11-01T11:04:02.600,6.947,0.427,0,-0.183
1.63576E+12,2021-11-01T11:04:02.640,6.987,0.457,-0.183,-0.03
1.63576E+12,2021-11-01T11:04:02.681,7.028,0.518,-0.152,0.061
1.63576E+12,2021-11-01T11:04:02.720,7.067,0.549,-0.213,0.183
1.63576E+12,2021-11-01T11:04:02.761,7.108,0.671,-0.457,0
1.63576E+12,2021-11-01T11:04:02.802,7.149,0.579,-0.152,-0.518
1.63576E+12,2021-11-01T11:04:02.842,7.189,0.488,-0.396,-1.006
1.63576E+12,2021-11-01T11:04:02.883,7.23,0.427,-0.579,-0.976
1.63576E+12,2021-11-01T11:04:02.923,7.27,0,-0.457,-0.579
1.63576E+12,2021-11-01T11:04:02.964,7.311,-0.701,-0.305,0.03
1.63576E+12,2021-11-01T11:04:03.003,7.35,-0.549,-0.183,0.152
1.63576E+12,2021-11-01T11:04:03.044,7.391,0.518,-0.305,0.213
1.63576E+12,2021-11-01T11:04:03.084,7.431,0.793,0.122,0.732
1.63576E+12,2021-11-01T11:04:03.125,7.472,1.372,-0.213,0.213
1.63576E+12,2021-11-01T11:04:03.166,7.513,1.189,-0.366,-0.03
1.63576E+12,2021-11-01T11:04:03.205,7.552,0.579,-0.457,-0.64
1.63576E+12,2021-11-01T11:04:03.246,7.593,0.671,-0.64,-0.884
1.63576E+12,2021-11-01T11:04:03.286,7.633,0.457,-0.732,-0.854
1.63576E+12,2021-11-01T11:04:03.327,7.674,0.305,-0.457,-0.976
1.63576E+12,2021-11-01T11:04:03.366,7.713,0.366,-0.396,-0.732
1.63576E+12,2021-11-01T11:04:03.407,7.754,0.244,-0.335,-0.03
1.63576E+12,2021-11-01T11:04:03.448,7.795,0.03,-0.213,0.152
1.63576E+12,2021-11-01T11:04:03.488,7.835,0.152,-0.305,0
1.63576E+12,2021-11-01T11:04:03.529,7.876,0.213,-0.335,-0.366
1.63576E+12,2021-11-01T11:04:03.569,7.916,0.366,-0.335,-0.701
1.63576E+12,2021-11-01T11:04:03.610,7.957,0.396,-0.396,-0.823
1.63576E+12,2021-11-01T11:04:03.649,7.996,0.488,-0.427,-0.884
1.63576E+12,2021-11-01T11:04:03.690,8.037,0.671,-0.335,-0.579
1.63576E+12,2021-11-01T11:04:03.731,8.078,0.152,-0.457,-0.518
1.63576E+12,2021-11-01T11:04:03.771,8.118,0.122,-0.732,-0.549
1.63576E+12,2021-11-01T11:04:03.812,8.159,0.488,-0.579,-0.335
1.63576E+12,2021-11-01T11:04:03.851,8.198,0.488,-0.122,-0.183
1.63576E+12,2021-11-01T11:04:03.892,8.239,0.854,-0.244,0.061
1.63576E+12,2021-11-01T11:04:03.932,8.279,0.244,-0.03,0.183
1.63576E+12,2021-11-01T11:04:03.973,8.32,0.061,0,-0.152
1.63576E+12,2021-11-01T11:04:04.014,8.361,0.335,-0.366,-0.427
1.63576E+12,2021-11-01T11:04:04.053,8.4,0.976,-0.213,-0.64
