epoc (ms),timestamp (+0200),elapsed (s),pressure (Pa)
1636459288050,2021-11-09T14.01.28.050,0.000,101201.172
1636459288313,2021-11-09T14.01.28.313,0.263,101199.000
1636459288578,2021-11-09T14.01.28.578,0.528,101197.664
1636459288844,2021-11-09T14.01.28.844,0.794,101197.828
1636459289107,2021-11-09T14.01.29.107,1.057,101198.812
1636459289372,2021-11-09T14.01.29.372,1.322,101199.641
1636459289638,2021-11-09T14.01.29.638,1.588,101195.977
1636459289901,2021-11-09T14.01.29.901,1.851,101197.477
1636459290166,2021-11-09T14.01.30.166,2.116,101200.820
1636459290431,2021-11-09T14.01.30.431,2.381,101198.469
1636459290695,2021-11-09T14.01.30.695,2.645,101197.797
1636459290960,2021-11-09T14.01.30.960,2.910,101202.797
1636459291225,2021-11-09T14.01.31.225,3.175,101201.461
1636459291489,2021-11-09T14.01.31.489,3.439,101201.781
1636459291754,2021-11-09T14.01.31.754,3.704,101200.125
1636459292019,2021-11-09T14.01.32.019,3.969,101197.445
1636459292283,2021-11-09T14.01.32.283,4.233,101194.766
1636459292548,2021-11-09T14.01.32.548,4.498,101197.445
1636459292813,2021-11-09T14.01.32.813,4.763,101191.734
1636459293077,2021-11-09T14.01.33.077,5.027,101197.766
1636459293342,2021-11-09T14.01.33.342,5.292,101199.930
1636459293606,2021-11-09T14.01.33.606,5.556,101197.766
1636459293871,2021-11-09T14.01.33.871,5.821,101190.234
1636459294136,2021-11-09T14.01.34.136,6.086,101198.430
1636459294400,2021-11-09T14.01.34.400,6.350,101197.609
1636459294665,2021-11-09T14.01.34.665,6.615,101195.906
1636459294930,2021-11-09T14.01.34.930,6.880,101196.422
1636459295194,2021-11-09T14.01.35.194,7.144,101200.922
1636459295459,2021-11-09T14.01.35.459,7.409,101191.734
1636459295722,2021-11-09T14.01.35.722,7.672,101200.094
1636459295988,2021-11-09T14.01.35.988,7.938,101198.078
1636459296253,2021-11-09T14.01.36.253,8.203,101201.750
1636459296516,2021-11-09T14.01.36.516,8.466,101199.422
1636459296782,2021-11-09T14.01.36.782,8.732,101198.242
1636459297047,2021-11-09T14.01.37.047,8.997,101196.234
1636459297310,2021-11-09T14.01.37.310,9.260,101194.734
1636459297576,2021-11-09T14.01.37.576,9.526,101198.906
1636459297841,2021-11-09T14.01.37.841,9.791,101196.742
1636459298104,2021-11-09T14.01.38.104,10.054,101196.906
1636459298369,2021-11-09T14.01.38.369,10.319,101195.906
1636459298633,2021-11-09T14.01.38.633,10.583,101193.047
1636459298898,2021-11-09T14.01.38.898,10.848,101197.062
1636459299163,2021-11-09T14.01.39.163,11.113,101193.047
1636459299427,2021-11-09T14.01.39.427,11.377,101194.547
1636459299692,2021-11-09T14.01.39.692,11.642,101195.883
1636459299957,2021-11-09T14.01.39.957,11.907,101200.062
1636459300221,2021-11-09T14.01.40.221,12.171,101198.047
1636459300486,2021-11-09T14.01.40.486,12.436,101195.375
1636459300750,2021-11-09T14.01.40.750,12.700,101196.875
1636459301015,2021-11-09T14.01.41.015,12.965,101201.398
1636459301280,2021-11-09T14.01.41.280,13.230,101194.031
1636459301544,2021-11-09T14.01.41.544,13.494,101198.375
1636459301809,2021-11-09T14.01.41.809,13.759,101193.688
1636459302074,2021-11-09T14.01.42.074,14.024,101193.688
1636459302338,2021-11-09T14.01.42.338,14.288,101200.375
1636459302603,2021-11-09T14.01.42.603,14.553,101198.211
1636459302868,2021-11-09T14.01.42.868,14.818,101197.703
1636459303132,2021-11-09T14.01.43.132,15.082,101197.703
1636459303397,2021-11-09T14.01.43.397,15.347,101197.703
1636459303660,2021-11-09T14.01.43.660,15.610,101195.688
1636459303926,2021-11-09T14.01.43.926,15.876,101198.531
1636459304191,2021-11-09T14.01.44.191,16.141,101193.523
1636459304454,2021-11-09T14.01.44.454,16.404,101193.172
1636459304720,2021-11-09T14.01.44.720,16.670,101196.359
1636459304985,2021-11-09T14.01.44.985,16.935,101195.852
1636459305248,2021-11-09T14.01.45.248,17.198,101194.672
1636459305514,2021-11-09T14.01.45.514,17.464,101196.516
1636459305777,2021-11-09T14.01.45.777,17.727,101197.859
1636459306042,2021-11-09T14.01.46.042,17.992,101191.992
1636459306307,2021-11-09T14.01.46.307,18.257,101194.672
1636459306571,2021-11-09T14.01.46.571,18.521,101191.641
1636459306836,2021-11-09T14.01.46.836,18.786,101198.016
1636459307101,2021-11-09T14.01.47.101,19.051,101194.000
1636459307365,2021-11-09T14.01.47.365,19.315,101194.984
1636459307630,2021-11-09T14.01.47.630,19.580,101194.164
1636459307895,2021-11-09T14.01.47.895,19.845,101194.320
1636459308159,2021-11-09T14.01.48.159,20.109,101194.000
1636459308424,2021-11-09T14.01.48.424,20.374,101196.484
1636459308688,2021-11-09T14.01.48.688,20.638,101191.992
1636459308953,2021-11-09T14.01.48.953,20.903,101196.641
1636459309218,2021-11-09T14.01.49.218,21.168,101197.156
1636459309482,2021-11-09T14.01.49.482,21.432,101198.656
1636459309747,2021-11-09T14.01.49.747,21.697,101199.484
1636459310011,2021-11-09T14.01.50.011,21.961,101195.977
1636459310276,2021-11-09T14.01.50.276,22.226,101196.141
1636459310541,2021-11-09T14.01.50.541,22.491,101197.477
1636459310805,2021-11-09T14.01.50.805,22.755,101198.305
1636459311070,2021-11-09T14.01.51.070,23.020,101192.625
1636459311335,2021-11-09T14.01.51.335,23.285,101194.953
1636459311598,2021-11-09T14.01.51.598,23.548,101197.641
1636459311864,2021-11-09T14.01.51.864,23.814,101198.305
1636459312127,2021-11-09T14.01.52.127,24.077,101197.953
1636459312392,2021-11-09T14.01.52.392,24.342,101196.812
1636459312658,2021-11-09T14.01.52.658,24.608,101199.797
1636459312921,2021-11-09T14.01.52.921,24.871,101196.617
1636459313186,2021-11-09T14.01.53.186,25.136,101199.797
1636459313451,2021-11-09T14.01.53.451,25.401,101194.453
1636459313715,2021-11-09T14.01.53.715,25.665,101196.297
1636459313980,2021-11-09T14.01.53.980,25.930,101196.453
1636459314244,2021-11-09T14.01.54.244,26.194,101194.953
1636459314509,2021-11-09T14.01.54.509,26.459,101197.281
1636459314774,2021-11-09T14.01.54.774,26.724,101199.297
1636459315038,2021-11-09T14.01.55.038,26.988,101191.609
1636459315303,2021-11-09T14.01.55.303,27.253,101198.469
1636459315568,2021-11-09T14.01.55.568,27.518,101193.781
1636459315832,2021-11-09T14.01.55.832,27.782,101192.953
1636459316097,2021-11-09T14.01.56.097,28.047,101192.953
1636459316361,2021-11-09T14.01.56.361,28.311,101193.266
1636459316626,2021-11-09T14.01.56.626,28.576,101194.766
1636459316891,2021-11-09T14.01.56.891,28.841,101191.930
1636459317155,2021-11-09T14.01.57.155,29.105,101194.922
1636459317420,2021-11-09T14.01.57.420,29.370,101192.594
1636459317685,2021-11-09T14.01.57.685,29.635,101193.266
1636459317949,2021-11-09T14.01.57.949,29.899,101193.938
1636459318214,2021-11-09T14.01.58.214,30.164,101187.594
1636459318477,2021-11-09T14.01.58.477,30.427,101192.438
1636459318743,2021-11-09T14.01.58.743,30.693,101189.922
1636459319008,2021-11-09T14.01.59.008,30.958,101187.906
1636459319271,2021-11-09T14.01.59.271,31.221,101193.109
1636459319536,2021-11-09T14.01.59.536,31.486,101192.250
1636459319802,2021-11-09T14.01.59.802,31.752,101194.250
1636459320065,2021-11-09T14.02.00.065,32.015,101192.250
1636459320330,2021-11-09T14.02.00.330,32.280,101194.094
1636459320596,2021-11-09T14.02.00.596,32.546,101190.750
1636459320859,2021-11-09T14.02.00.859,32.809,101195.594
1636459321124,2021-11-09T14.02.01.124,33.074,101197.766
1636459321388,2021-11-09T14.02.01.388,33.338,101193.750
1636459321653,2021-11-09T14.02.01.653,33.603,101191.898
1636459321918,2021-11-09T14.02.01.918,33.868,101196.422
1636459322182,2021-11-09T14.02.02.182,34.132,101191.578
1636459322447,2021-11-09T14.02.02.447,34.397,101191.898
1636459322712,2021-11-09T14.02.02.712,34.662,101192.406
1636459322976,2021-11-09T14.02.02.976,34.926,101195.086
1636459323241,2021-11-09T14.02.03.241,35.191,101195.562
1636459323505,2021-11-09T14.02.03.505,35.455,101191.227
1636459323770,2021-11-09T14.02.03.770,35.720,101190.398
1636459324035,2021-11-09T14.02.04.035,35.985,101197.094
1636459324299,2021-11-09T14.02.04.299,36.249,101195.406
1636459324564,2021-11-09T14.02.04.564,36.514,101196.078
1636459324829,2021-11-09T14.02.04.829,36.779,101196.266
1636459325093,2021-11-09T14.02.05.093,37.043,101193.234
1636459325358,2021-11-09T14.02.05.358,37.308,101195.906
1636459325621,2021-11-09T14.02.05.621,37.571,101194.891
1636459325887,2021-11-09T14.02.05.887,37.837,101197.250
1636459326152,2021-11-09T14.02.06.152,38.102,101194.891
1636459326417,2021-11-09T14.02.06.417,38.367,101195.242
1636459326680,2021-11-09T14.02.06.680,38.630,101198.078
1636459326946,2021-11-09T14.02.06.946,38.896,101193.234
1636459327211,2021-11-09T14.02.07.211,39.161,101197.578
1636459327474,2021-11-09T14.02.07.474,39.424,101195.562
1636459327740,2021-11-09T14.02.07.740,39.690,101195.719
1636459328003,2021-11-09T14.02.08.003,39.953,101193.234
1636459328268,2021-11-09T14.02.08.268,40.218,101195.562
1636459328534,2021-11-09T14.02.08.534,40.484,101196.742
1636459328797,2021-11-09T14.02.08.797,40.747,101194.062
1636459329062,2021-11-09T14.02.09.062,41.012,101194.219
1636459329327,2021-11-09T14.02.09.327,41.277,101195.562
1636459329591,2021-11-09T14.02.09.591,41.541,101191.547
1636459329856,2021-11-09T14.02.09.856,41.806,101189.891
1636459330121,2021-11-09T14.02.10.121,42.071,101193.555
1636459330385,2021-11-09T14.02.10.385,42.335,101190.875
1636459330650,2021-11-09T14.02.10.650,42.600,101195.211
1636459330914,2021-11-09T14.02.10.914,42.864,101192.883
1636459331179,2021-11-09T14.02.11.179,43.129,101194.891
1636459331444,2021-11-09T14.02.11.444,43.394,101195.055
1636459331708,2021-11-09T14.02.11.708,43.658,101192.219
1636459331973,2021-11-09T14.02.11.973,43.923,101195.719
1636459332238,2021-11-09T14.02.12.238,44.188,101193.047
1636459332502,2021-11-09T14.02.12.502,44.452,101193.203
1636459332767,2021-11-09T14.02.12.767,44.717,101191.859
1636459333031,2021-11-09T14.02.13.031,44.981,101194.547
1636459333296,2021-11-09T14.02.13.296,45.246,101196.039
1636459333561,2021-11-09T14.02.13.561,45.511,101195.211
1636459333825,2021-11-09T14.02.13.825,45.775,101193.719
1636459334090,2021-11-09T14.02.14.090,46.040,101191.031
1636459334355,2021-11-09T14.02.14.355,46.305,101194.891
1636459334618,2021-11-09T14.02.14.618,46.568,101195.531
1636459334884,2021-11-09T14.02.14.884,46.834,101189.531
1636459335147,2021-11-09T14.02.15.147,47.097,101189.852
