epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.63588E+12,2021-11-02T12:38:53.242,0,-0.13,0.184,-0.971
1.63588E+12,2021-11-02T12:38:53.282,0.04,-0.135,0.192,-0.981
1.63588E+12,2021-11-02T12:38:53.322,0.08,-0.127,0.187,-0.976
1.63588E+12,2021-11-02T12:38:53.362,0.12,-0.133,0.187,-0.976
1.63588E+12,2021-11-02T12:38:53.402,0.16,-0.13,0.189,-0.975
1.63588E+12,2021-11-02T12:38:53.442,0.2,-0.126,0.186,-0.974
1.63588E+12,2021-11-02T12:38:53.482,0.24,-0.14,0.192,-0.977
1.63588E+12,2021-11-02T12:38:53.522,0.28,-0.123,0.196,-0.974
1.63588E+12,2021-11-02T12:38:53.562,0.32,-0.121,0.186,-0.976
1.63588E+12,2021-11-02T12:38:53.602,0.36,-0.131,0.177,-0.98
1.63588E+12,2021-11-02T12:38:53.642,0.4,-0.128,0.18,-0.975
1.63588E+12,2021-11-02T12:38:53.682,0.44,-0.124,0.197,-0.972
1.63588E+12,2021-11-02T12:38:53.722,0.48,-0.127,0.193,-0.976
1.63588E+12,2021-11-02T12:38:53.762,0.52,-0.126,0.186,-0.979
1.63588E+12,2021-11-02T12:38:53.802,0.56,-0.132,0.187,-0.98
1.63588E+12,2021-11-02T12:38:53.842,0.6,-0.125,0.183,-0.977
1.63588E+12,2021-11-02T12:38:53.882,0.64,-0.121,0.182,-0.975
1.63588E+12,2021-11-02T12:38:53.922,0.68,-0.132,0.189,-0.977
1.63588E+12,2021-11-02T12:38:53.962,0.72,-0.126,0.191,-0.974
1.63588E+12,2021-11-02T12:38:54.002,0.76,-0.129,0.188,-0.977
1.63588E+12,2021-11-02T12:38:54.042,0.8,-0.135,0.19,-0.977
1.63588E+12,2021-11-02T12:38:54.082,0.84,-0.122,0.196,-0.972
1.63588E+12,2021-11-02T12:38:54.122,0.88,-0.132,0.18,-0.978
1.63588E+12,2021-11-02T12:38:54.162,0.92,-0.131,0.182,-0.976
1.63588E+12,2021-11-02T12:38:54.202,0.96,-0.124,0.193,-0.973
1.63588E+12,2021-11-02T12:38:54.242,1,-0.129,0.187,-0.975
1.63588E+12,2021-11-02T12:38:54.282,1.04,-0.129,0.176,-0.978
1.63588E+12,2021-11-02T12:38:54.322,1.08,-0.132,0.194,-0.973
1.63588E+12,2021-11-02T12:38:54.362,1.12,-0.13,0.188,-0.979
1.63588E+12,2021-11-02T12:38:54.402,1.16,-0.126,0.18,-0.976
1.63588E+12,2021-11-02T12:38:54.442,1.2,-0.131,0.188,-0.974
1.63588E+12,2021-11-02T12:38:54.482,1.24,-0.132,0.187,-0.977
1.63588E+12,2021-11-02T12:38:54.522,1.28,-0.122,0.182,-0.972
