epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636311723909,2021-11-07T11:02:03.909,0.000,-0.122,0.240,-0.961
1636311723949,2021-11-07T11:02:03.949,0.040,-0.124,0.245,-0.969
1636311723989,2021-11-07T11:02:03.989,0.080,-0.123,0.245,-0.968
1636311724029,2021-11-07T11:02:04.029,0.120,-0.121,0.241,-0.969
1636311724069,2021-11-07T11:02:04.069,0.160,-0.128,0.239,-0.966
1636311724109,2021-11-07T11:02:04.109,0.200,-0.126,0.237,-0.969
1636311724149,2021-11-07T11:02:04.149,0.240,-0.123,0.243,-0.969
1636311724189,2021-11-07T11:02:04.189,0.280,-0.125,0.242,-0.966
1636311724229,2021-11-07T11:02:04.229,0.320,-0.122,0.252,-0.970
1636311724269,2021-11-07T11:02:04.269,0.360,-0.122,0.238,-0.969
1636311724309,2021-11-07T11:02:04.309,0.400,-0.126,0.236,-0.966
1636311724349,2021-11-07T11:02:04.349,0.440,-0.127,0.233,-0.967
1636311724389,2021-11-07T11:02:04.389,0.480,-0.123,0.237,-0.970
1636311724429,2021-11-07T11:02:04.429,0.520,-0.126,0.238,-0.967
1636311724469,2021-11-07T11:02:04.469,0.560,-0.127,0.238,-0.966
1636311724509,2021-11-07T11:02:04.509,0.600,-0.126,0.240,-0.968
1636311724549,2021-11-07T11:02:04.549,0.640,-0.127,0.244,-0.967
1636311724589,2021-11-07T11:02:04.589,0.680,-0.125,0.251,-0.968
1636311724629,2021-11-07T11:02:04.629,0.720,-0.125,0.244,-0.965
1636311724669,2021-11-07T11:02:04.669,0.760,-0.129,0.250,-0.966
1636311724709,2021-11-07T11:02:04.709,0.800,-0.129,0.247,-0.965
1636311724749,2021-11-07T11:02:04.749,0.840,-0.129,0.234,-0.967
1636311724789,2021-11-07T11:02:04.789,0.880,-0.134,0.248,-0.966
1636311724829,2021-11-07T11:02:04.829,0.920,-0.132,0.245,-0.964
1636311724869,2021-11-07T11:02:04.869,0.960,-0.129,0.240,-0.966
1636311724909,2021-11-07T11:02:04.909,1.000,-0.131,0.246,-0.966
1636311724949,2021-11-07T11:02:04.949,1.040,-0.132,0.249,-0.965
1636311724989,2021-11-07T11:02:04.989,1.080,-0.128,0.243,-0.965
1636311725029,2021-11-07T11:02:05.029,1.120,-0.131,0.246,-0.965
1636311725069,2021-11-07T11:02:05.069,1.160,-0.131,0.252,-0.965
1636311725109,2021-11-07T11:02:05.109,1.200,-0.130,0.239,-0.965
1636311725149,2021-11-07T11:02:05.149,1.240,-0.131,0.247,-0.965
1636311725189,2021-11-07T11:02:05.189,1.280,-0.131,0.247,-0.965
1636311725229,2021-11-07T11:02:05.229,1.320,-0.131,0.244,-0.965
1636311725269,2021-11-07T11:02:05.269,1.360,-0.130,0.242,-0.966
1636311725309,2021-11-07T11:02:05.309,1.400,-0.133,0.245,-0.965
1636311725349,2021-11-07T11:02:05.349,1.440,-0.132,0.245,-0.965
1636311725389,2021-11-07T11:02:05.389,1.480,-0.131,0.244,-0.966
1636311725429,2021-11-07T11:02:05.429,1.520,-0.130,0.246,-0.966
1636311725469,2021-11-07T11:02:05.469,1.560,-0.132,0.244,-0.966
1636311725509,2021-11-07T11:02:05.509,1.600,-0.133,0.241,-0.966
1636311725549,2021-11-07T11:02:05.549,1.640,-0.131,0.243,-0.966
1636311725589,2021-11-07T11:02:05.589,1.680,-0.133,0.240,-0.966
1636311725629,2021-11-07T11:02:05.629,1.720,-0.132,0.244,-0.966
