epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636216697593,2021-11-06T09:38:17.593,0.000,-0.549,-0.213,-0.457
1636216697633,2021-11-06T09:38:17.633,0.040,-0.366,-0.152,-0.793
1636216697673,2021-11-06T09:38:17.673,0.080,0.000,-0.152,-0.610
1636216697713,2021-11-06T09:38:17.713,0.120,-0.152,-0.091,-0.305
1636216697753,2021-11-06T09:38:17.753,0.160,-0.091,0.000,-0.183
1636216697793,2021-11-06T09:38:17.793,0.200,0.030,0.122,-0.305
1636216697833,2021-11-06T09:38:17.833,0.240,-0.030,0.030,-0.518
1636216697873,2021-11-06T09:38:17.873,0.280,-0.244,0.122,-0.335
1636216697913,2021-11-06T09:38:17.913,0.320,-0.396,0.457,-0.213
1636216697953,2021-11-06T09:38:17.953,0.360,-0.701,0.701,-0.427
1636216697993,2021-11-06T09:38:17.993,0.400,-0.945,0.549,-0.701
1636216698033,2021-11-06T09:38:18.033,0.440,-0.976,0.549,-0.518
1636216698073,2021-11-06T09:38:18.073,0.480,-0.518,0.610,-0.427
1636216698113,2021-11-06T09:38:18.113,0.520,-0.122,0.335,-0.640
1636216698153,2021-11-06T09:38:18.153,0.560,0.061,0.091,-0.579
1636216698193,2021-11-06T09:38:18.193,0.600,0.122,0.122,-0.183
1636216698233,2021-11-06T09:38:18.233,0.640,0.000,0.305,0.000
1636216698273,2021-11-06T09:38:18.273,0.680,0.000,0.274,-0.305
1636216698313,2021-11-06T09:38:18.313,0.720,-0.030,0.122,-0.671
1636216698353,2021-11-06T09:38:18.353,0.760,-0.091,0.030,-0.640
1636216698393,2021-11-06T09:38:18.393,0.800,0.030,0.152,-0.396
1636216698433,2021-11-06T09:38:18.433,0.840,-0.122,0.305,-0.091
1636216698473,2021-11-06T09:38:18.473,0.880,-0.701,0.274,-0.274
1636216698513,2021-11-06T09:38:18.513,0.920,-0.518,-0.061,-0.579
1636216698553,2021-11-06T09:38:18.553,0.960,-0.183,0.213,-0.305
1636216698593,2021-11-06T09:38:18.593,1.000,-0.488,0.244,-0.091
1636216698633,2021-11-06T09:38:18.633,1.040,-0.457,0.152,0.000
1636216698673,2021-11-06T09:38:18.673,1.080,-0.396,0.213,-0.030
1636216698713,2021-11-06T09:38:18.713,1.120,-0.213,0.091,-0.396
1636216698753,2021-11-06T09:38:18.753,1.160,-0.091,0.000,-0.549
1636216698793,2021-11-06T09:38:18.793,1.200,-0.122,0.213,-0.457
1636216698833,2021-11-06T09:38:18.833,1.240,-0.122,0.122,-0.427
1636216698873,2021-11-06T09:38:18.873,1.280,-0.061,0.122,-0.396
1636216698913,2021-11-06T09:38:18.913,1.320,-0.274,0.091,-0.366
1636216698953,2021-11-06T09:38:18.953,1.360,-0.610,0.061,-0.427
1636216698993,2021-11-06T09:38:18.993,1.400,-0.640,-0.091,-0.549
1636216699033,2021-11-06T09:38:19.033,1.440,-0.823,-0.122,-0.427
1636216699073,2021-11-06T09:38:19.073,1.480,-0.884,-0.091,-0.427
1636216699113,2021-11-06T09:38:19.113,1.520,-0.518,0.213,-0.579
1636216699153,2021-11-06T09:38:19.153,1.560,-0.640,0.366,-0.579
1636216699193,2021-11-06T09:38:19.193,1.600,-0.610,0.335,-0.549
1636216699233,2021-11-06T09:38:19.233,1.640,-0.579,0.274,-0.579
1636216699273,2021-11-06T09:38:19.273,1.680,-0.549,0.274,-0.549
1636216699313,2021-11-06T09:38:19.313,1.720,-0.701,0.274,-0.488
1636216699353,2021-11-06T09:38:19.353,1.760,-0.244,-0.549,0.030
1636216699393,2021-11-06T09:38:19.393,1.800,-1.860,-2.104,1.280
1636216699433,2021-11-06T09:38:19.433,1.840,-3.079,-2.622,1.098
1636216699473,2021-11-06T09:38:19.473,1.880,-1.555,-0.915,0.122
