epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636622774856,2021-11-11T11:26:14.856,0.000,-0.247,-0.207,-0.942
1636622774896,2021-11-11T11:26:14.896,0.040,-0.249,-0.214,-0.950
1636622774936,2021-11-11T11:26:14.936,0.080,-0.248,-0.207,-0.946
1636622774976,2021-11-11T11:26:14.976,0.120,-0.248,-0.218,-0.947
1636622775016,2021-11-11T11:26:15.016,0.160,-0.245,-0.213,-0.947
1636622775056,2021-11-11T11:26:15.056,0.200,-0.248,-0.216,-0.946
1636622775096,2021-11-11T11:26:15.096,0.240,-0.247,-0.215,-0.948
1636622775136,2021-11-11T11:26:15.136,0.280,-0.249,-0.211,-0.946
1636622775176,2021-11-11T11:26:15.176,0.320,-0.247,-0.214,-0.947
1636622775216,2021-11-11T11:26:15.216,0.360,-0.247,-0.218,-0.947
1636622775256,2021-11-11T11:26:15.256,0.400,-0.248,-0.205,-0.948
1636622775296,2021-11-11T11:26:15.296,0.440,-0.246,-0.217,-0.948
1636622775336,2021-11-11T11:26:15.336,0.480,-0.250,-0.212,-0.946
1636622775376,2021-11-11T11:26:15.376,0.520,-0.246,-0.208,-0.948
1636622775416,2021-11-11T11:26:15.416,0.560,-0.247,-0.214,-0.947
1636622775456,2021-11-11T11:26:15.456,0.600,-0.248,-0.212,-0.947
1636622775496,2021-11-11T11:26:15.496,0.640,-0.247,-0.212,-0.946
1636622775536,2021-11-11T11:26:15.536,0.680,-0.248,-0.215,-0.947
1636622775576,2021-11-11T11:26:15.576,0.720,-0.248,-0.213,-0.947
1636622775616,2021-11-11T11:26:15.616,0.760,-0.247,-0.210,-0.948
1636622775656,2021-11-11T11:26:15.656,0.800,-0.247,-0.213,-0.947
1636622775696,2021-11-11T11:26:15.696,0.840,-0.248,-0.211,-0.947
1636622775736,2021-11-11T11:26:15.736,0.880,-0.247,-0.212,-0.948
1636622775776,2021-11-11T11:26:15.776,0.920,-0.248,-0.213,-0.948
1636622775816,2021-11-11T11:26:15.816,0.960,-0.248,-0.211,-0.947
1636622775856,2021-11-11T11:26:15.856,1.000,-0.248,-0.212,-0.946
1636622775896,2021-11-11T11:26:15.896,1.040,-0.249,-0.215,-0.947
