epoch (ms),time (03:00),elapsed (s),pressure (Pa)
1635340379500,2021-10-27T16:12:59.500,0.000,100823.109
1635340379760,2021-10-27T16:12:59.760,0.260,100821.766
1635340380020,2021-10-27T16:13:00.020,0.520,100824.219
1635340380281,2021-10-27T16:13:00.281,0.781,100829.883
1635340380542,2021-10-27T16:13:00.542,1.042,100825.031
1635340380803,2021-10-27T16:13:00.803,1.303,100815.859
1635340381063,2021-10-27T16:13:01.063,1.563,100809.898
1635340381324,2021-10-27T16:13:01.324,1.824,100819.391
1635340381585,2021-10-27T16:13:01.585,2.085,100801.570
1635340381844,2021-10-27T16:13:01.844,2.344,100818.047
1635340382105,2021-10-27T16:13:02.105,2.605,100834.219
1635340382366,2021-10-27T16:13:02.366,2.866,100796.477
1635340382626,2021-10-27T16:13:02.626,3.126,100816.703
1635340382887,2021-10-27T16:13:02.887,3.387,100824.781
1635340383148,2021-10-27T16:13:03.148,3.648,100840.422
1635340383409,2021-10-27T16:13:03.409,3.909,100850.969
1635340383669,2021-10-27T16:13:03.669,4.169,100831.797
1635340383929,2021-10-27T16:13:03.929,4.429,100826.703
1635340384189,2021-10-27T16:13:04.189,4.689,100845.031
1635340384450,2021-10-27T16:13:04.450,4.950,100840.484
1635340384711,2021-10-27T16:13:04.711,5.211,100838.625
1635340384971,2021-10-27T16:13:04.971,5.471,100836.438
1635340385232,2021-10-27T16:13:05.232,5.732,100831.891
1635340385493,2021-10-27T16:13:05.493,5.993,100830.531
1635340385754,2021-10-27T16:13:05.754,6.254,100830.828
1635340386014,2021-10-27T16:13:06.014,6.514,100812.172
1635340386274,2021-10-27T16:13:06.274,6.774,100801.688
1635340386534,2021-10-27T16:13:06.534,7.034,100803.328
1635340386795,2021-10-27T16:13:06.795,7.295,100828.945
1635340387056,2021-10-27T16:13:07.056,7.556,100826.250
1635340387317,2021-10-27T16:13:07.317,7.817,100823.555
1635340387577,2021-10-27T16:13:07.577,8.077,100830.297
1635340387838,2021-10-27T16:13:07.838,8.338,100829.219
1635340388099,2021-10-27T16:13:08.099,8.599,100832.750
1635340388358,2021-10-27T16:13:08.358,8.858,100830.563
1635340388619,2021-10-27T16:13:08.619,9.119,100825.164
1635340388880,2021-10-27T16:13:08.880,9.380,100826.516
1635340389140,2021-10-27T16:13:09.140,9.640,100828.469
1635340389401,2021-10-27T16:13:09.401,9.901,100828.469
1635340389662,2021-10-27T16:13:09.662,10.162,100828.703
1635340389923,2021-10-27T16:13:09.923,10.423,100831.156
1635340390183,2021-10-27T16:13:10.183,10.683,100829.813
1635340390443,2021-10-27T16:13:10.443,10.943,100827.375
1635340390703,2021-10-27T16:13:10.703,11.203,100823.875
1635340390964,2021-10-27T16:13:10.964,11.464,100824.688
1635340391225,2021-10-27T16:13:11.225,11.725,100833.617
1635340391486,2021-10-27T16:13:11.486,11.986,100827.672
1635340391746,2021-10-27T16:13:11.746,12.246,100829.031
1635340392007,2021-10-27T16:13:12.007,12.507,100829.836
1635340392268,2021-10-27T16:13:12.268,12.768,100824.984
1635340392527,2021-10-27T16:13:12.527,13.027,100821.203
1635340392788,2021-10-27T16:13:12.788,13.288,100823.094
1635340393049,2021-10-27T16:13:13.049,13.549,100827.945
1635340393309,2021-10-27T16:13:13.309,13.809,100827.945
1635340393570,2021-10-27T16:13:13.570,14.070,100826.594
1635340393831,2021-10-27T16:13:13.831,14.331,100821.500
1635340394092,2021-10-27T16:13:14.092,14.592,100818.805
1635340394352,2021-10-27T16:13:14.352,14.852,100825.000
1635340394612,2021-10-27T16:13:14.612,15.112,100830.398
1635340394872,2021-10-27T16:13:14.872,15.372,100825.000
1635340395133,2021-10-27T16:13:15.133,15.633,100825.844
1635340395394,2021-10-27T16:13:15.394,15.894,100830.156
1635340395655,2021-10-27T16:13:15.655,16.155,100822.609
1635340395915,2021-10-27T16:13:15.915,16.415,100818.859
1635340396176,2021-10-27T16:13:16.176,16.676,100824.766
1635340396437,2021-10-27T16:13:16.437,16.937,100823.719
1635340396696,2021-10-27T16:13:16.696,17.196,100823.422
1635340396957,2021-10-27T16:13:16.957,17.457,100819.125
1635340397218,2021-10-27T16:13:17.218,17.718,100825.063
1635340397478,2021-10-27T16:13:17.478,17.978,100831.563
1635340397739,2021-10-27T16:13:17.739,18.239,100818.859
1635340398000,2021-10-27T16:13:18.000,18.500,100826.406
1635340398261,2021-10-27T16:13:18.261,18.761,100826.977
1635340398521,2021-10-27T16:13:18.521,19.021,100825.625
1635340398782,2021-10-27T16:13:18.782,19.282,100826.711
1635340399043,2021-10-27T16:13:19.043,19.543,100829.406
1635340399302,2021-10-27T16:13:19.302,19.802,100824.820
1635340399563,2021-10-27T16:13:19.563,20.063,100835.633
1635340399824,2021-10-27T16:13:19.824,20.324,100822.688
1635340400084,2021-10-27T16:13:20.084,20.584,100826.734
1635340400345,2021-10-27T16:13:20.345,20.845,100817.297
1635340400606,2021-10-27T16:13:20.606,21.106,100822.141
1635340400867,2021-10-27T16:13:20.867,21.367,100826.188
1635340401127,2021-10-27T16:13:21.127,21.627,100828.891
1635340401387,2021-10-27T16:13:21.387,21.887,100826.484
1635340401647,2021-10-27T16:13:21.647,22.147,100832.688
1635340401908,2021-10-27T16:13:21.908,22.408,100832.180
1635340402169,2021-10-27T16:13:22.169,22.669,100814.352
1635340402430,2021-10-27T16:13:22.430,22.930,100818.938
1635340402690,2021-10-27T16:13:22.690,23.190,100817.047
1635340402951,2021-10-27T16:13:22.951,23.451,100817.047
1635340403212,2021-10-27T16:13:23.212,23.712,100821.656
1635340403471,2021-10-27T16:13:23.471,23.971,100817.344
1635340403732,2021-10-27T16:13:23.732,24.232,100821.148
1635340403992,2021-10-27T16:13:23.992,24.492,100824.359
1635340404253,2021-10-27T16:13:24.253,24.753,100820.313
1635340404514,2021-10-27T16:13:24.514,25.014,100821.953
1635340404775,2021-10-27T16:13:24.775,25.275,100825.758
1635340405035,2021-10-27T16:13:25.035,25.535,100823.305
1635340405296,2021-10-27T16:13:25.296,25.796,100815.484
1635340405555,2021-10-27T16:13:25.555,26.055,100820.063
