epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636208496704,2021-11-06T07:21:36.704,0.000,-0.242,0.082,-0.974
1636208496744,2021-11-06T07:21:36.744,0.040,-0.246,0.089,-0.981
1636208496784,2021-11-06T07:21:36.784,0.080,-0.245,0.088,-0.981
1636208496824,2021-11-06T07:21:36.824,0.120,-0.245,0.085,-0.981
1636208496864,2021-11-06T07:21:36.864,0.160,-0.245,0.087,-0.979
1636208496904,2021-11-06T07:21:36.904,0.200,-0.246,0.088,-0.980
1636208496944,2021-11-06T07:21:36.944,0.240,-0.247,0.091,-0.980
1636208496984,2021-11-06T07:21:36.984,0.280,-0.246,0.092,-0.978
1636208497024,2021-11-06T07:21:37.024,0.320,-0.249,0.095,-0.978
1636208497064,2021-11-06T07:21:37.064,0.360,-0.247,0.093,-0.979
1636208497104,2021-11-06T07:21:37.104,0.400,-0.244,0.096,-0.978
1636208497144,2021-11-06T07:21:37.144,0.440,-0.245,0.105,-0.978
1636208497184,2021-11-06T07:21:37.184,0.480,-0.245,0.105,-0.978
1636208497224,2021-11-06T07:21:37.224,0.520,-0.247,0.106,-0.975
1636208497264,2021-11-06T07:21:37.264,0.560,-0.249,0.103,-0.974
1636208497304,2021-11-06T07:21:37.304,0.600,-0.247,0.097,-0.978
1636208497344,2021-11-06T07:21:37.344,0.640,-0.243,0.103,-0.978
1636208497384,2021-11-06T07:21:37.384,0.680,-0.247,0.117,-0.977
1636208497424,2021-11-06T07:21:37.424,0.720,-0.248,0.102,-0.976
1636208497464,2021-11-06T07:21:37.464,0.760,-0.243,0.112,-0.976
1636208497504,2021-11-06T07:21:37.504,0.800,-0.241,0.112,-0.978
1636208497544,2021-11-06T07:21:37.544,0.840,-0.246,0.109,-0.976
1636208497584,2021-11-06T07:21:37.584,0.880,-0.242,0.111,-0.976
1636208497624,2021-11-06T07:21:37.624,0.920,-0.247,0.115,-0.976
1636208497664,2021-11-06T07:21:37.664,0.960,-0.248,0.119,-0.974
1636208497704,2021-11-06T07:21:37.704,1.000,-0.245,0.113,-0.974
1636208497744,2021-11-06T07:21:37.744,1.040,-0.248,0.117,-0.973
1636208497784,2021-11-06T07:21:37.784,1.080,-0.249,0.120,-0.974
1636208497824,2021-11-06T07:21:37.824,1.120,-0.245,0.125,-0.975
1636208497864,2021-11-06T07:21:37.864,1.160,-0.244,0.129,-0.974
1636208497904,2021-11-06T07:21:37.904,1.200,-0.250,0.125,-0.972
1636208497944,2021-11-06T07:21:37.944,1.240,-0.242,0.121,-0.976
1636208497984,2021-11-06T07:21:37.984,1.280,-0.254,0.113,-0.973
1636208498024,2021-11-06T07:21:38.024,1.320,-0.259,0.117,-0.968
1636208498064,2021-11-06T07:21:38.064,1.360,-0.247,0.123,-0.973
1636208498104,2021-11-06T07:21:38.104,1.400,-0.242,0.150,-0.971
1636208498144,2021-11-06T07:21:38.144,1.440,-0.257,0.134,-0.971
1636208498184,2021-11-06T07:21:38.184,1.480,-0.251,0.103,-0.975
1636208498224,2021-11-06T07:21:38.224,1.520,-0.250,0.119,-0.974
1636208498264,2021-11-06T07:21:38.264,1.560,-0.254,0.132,-0.973
1636208498304,2021-11-06T07:21:38.304,1.600,-0.257,0.129,-0.974
1636208498344,2021-11-06T07:21:38.344,1.640,-0.252,0.130,-0.972
1636208498384,2021-11-06T07:21:38.384,1.680,-0.248,0.124,-0.968
1636208498424,2021-11-06T07:21:38.424,1.720,-0.252,0.123,-0.972
1636208498464,2021-11-06T07:21:38.464,1.760,-0.255,0.123,-0.969
1636208498504,2021-11-06T07:21:38.504,1.800,-0.260,0.124,-0.964
1636208498544,2021-11-06T07:21:38.544,1.840,-0.260,0.140,-0.969
1636208498584,2021-11-06T07:21:38.584,1.880,-0.258,0.123,-0.971
1636208498624,2021-11-06T07:21:38.624,1.920,-0.257,0.124,-0.974
1636208498664,2021-11-06T07:21:38.664,1.960,-0.258,0.122,-0.973
1636208498704,2021-11-06T07:21:38.704,2.000,-0.260,0.126,-0.970
1636208498744,2021-11-06T07:21:38.744,2.040,-0.252,0.129,-0.973
1636208498784,2021-11-06T07:21:38.784,2.080,-0.250,0.116,-0.971
1636208498824,2021-11-06T07:21:38.824,2.120,-0.251,0.126,-0.970
1636208498864,2021-11-06T07:21:38.864,2.160,-0.252,0.129,-0.973
1636208498904,2021-11-06T07:21:38.904,2.200,-0.248,0.119,-0.971
1636208498944,2021-11-06T07:21:38.944,2.240,-0.250,0.130,-0.972
1636208498984,2021-11-06T07:21:38.984,2.280,-0.250,0.129,-0.970
1636208499024,2021-11-06T07:21:39.024,2.320,-0.249,0.133,-0.971
1636208499064,2021-11-06T07:21:39.064,2.360,-0.248,0.134,-0.970
1636208499104,2021-11-06T07:21:39.104,2.400,-0.248,0.135,-0.969
1636208499144,2021-11-06T07:21:39.144,2.440,-0.248,0.133,-0.971
1636208499184,2021-11-06T07:21:39.184,2.480,-0.246,0.135,-0.967
1636208499224,2021-11-06T07:21:39.224,2.520,-0.249,0.139,-0.967
1636208499264,2021-11-06T07:21:39.264,2.560,-0.244,0.132,-0.959
1636208499304,2021-11-06T07:21:39.304,2.600,-0.253,0.139,-0.979
1636208499344,2021-11-06T07:21:39.344,2.640,-0.252,0.141,-0.977
1636208499384,2021-11-06T07:21:39.384,2.680,-0.249,0.136,-0.968
1636208499424,2021-11-06T07:21:39.424,2.720,-0.253,0.143,-0.971
1636208499464,2021-11-06T07:21:39.464,2.760,-0.251,0.136,-0.974
1636208499504,2021-11-06T07:21:39.504,2.800,-0.247,0.134,-0.967
1636208499544,2021-11-06T07:21:39.544,2.840,-0.253,0.141,-0.970
1636208499584,2021-11-06T07:21:39.584,2.880,-0.250,0.141,-0.969
1636208499624,2021-11-06T07:21:39.624,2.920,-0.246,0.141,-0.965
1636208499664,2021-11-06T07:21:39.664,2.960,-0.249,0.146,-0.968
1636208499704,2021-11-06T07:21:39.704,3.000,-0.250,0.147,-0.968
