epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.63628E+12,2021-11-07T13:15:34.821,0,0.213,-0.213,-0.122
1.63628E+12,2021-11-07T13:15:34.860,0.039,0.549,-0.457,0
1.63628E+12,2021-11-07T13:15:34.901,0.08,0.762,-0.305,0
1.63628E+12,2021-11-07T13:15:34.941,0.12,0.701,-0.061,0.061
1.63628E+12,2021-11-07T13:15:34.982,0.161,0.488,-0.305,0.03
1.63628E+12,2021-11-07T13:15:35.023,0.202,0.61,-0.335,-0.152
1.63628E+12,2021-11-07T13:15:35.062,0.241,0.64,-0.305,-0.213
1.63628E+12,2021-11-07T13:15:35.103,0.282,0.396,-0.366,-0.274
1.63628E+12,2021-11-07T13:15:35.143,0.322,0.701,-0.457,-0.457
1.63628E+12,2021-11-07T13:15:35.184,0.363,0.335,-0.274,-0.244
1.63628E+12,2021-11-07T13:15:35.224,0.403,0.152,-0.091,-0.152
1.63628E+12,2021-11-07T13:15:35.265,0.444,0.305,0.091,-0.244
1.63628E+12,2021-11-07T13:15:35.306,0.485,-0.152,0.03,-0.213
1.63628E+12,2021-11-07T13:15:35.345,0.524,-0.122,0.061,0
1.63628E+12,2021-11-07T13:15:35.386,0.565,0.274,-0.061,0
1.63628E+12,2021-11-07T13:15:35.426,0.605,-0.091,-0.213,0.213
1.63628E+12,2021-11-07T13:15:35.467,0.646,0.122,-0.152,0.244
1.63628E+12,2021-11-07T13:15:35.506,0.685,0.061,-0.305,0.091
1.63628E+12,2021-11-07T13:15:35.547,0.726,-0.03,-0.244,0.152
1.63628E+12,2021-11-07T13:15:35.588,0.767,0.305,-0.091,-0.03
1.63628E+12,2021-11-07T13:15:35.628,0.807,0.183,-0.274,-0.03
1.63628E+12,2021-11-07T13:15:35.669,0.848,0.122,-0.335,0.061
1.63628E+12,2021-11-07T13:15:35.708,0.887,0.549,-0.274,-0.122
1.63628E+12,2021-11-07T13:15:35.749,0.928,0.64,-0.244,0
1.63628E+12,2021-11-07T13:15:35.790,0.969,0.61,-0.457,-0.061
1.63628E+12,2021-11-07T13:15:35.830,1.009,0.579,-0.366,-0.152
1.63628E+12,2021-11-07T13:15:35.871,1.05,0.335,-0.213,-0.183
1.63628E+12,2021-11-07T13:15:35.911,1.09,0.305,-0.274,-0.152
1.63628E+12,2021-11-07T13:15:35.952,1.131,-0.061,-0.305,-0.274
1.63628E+12,2021-11-07T13:15:35.991,1.17,0.366,-0.457,-0.488
1.63628E+12,2021-11-07T13:15:36.032,1.211,0.579,-0.335,-0.335
1.63628E+12,2021-11-07T13:15:36.073,1.252,0.213,-0.274,-0.213
1.63628E+12,2021-11-07T13:15:36.113,1.292,0.549,-0.396,-0.152
1.63628E+12,2021-11-07T13:15:36.154,1.333,0.183,-0.213,0.122
1.63628E+12,2021-11-07T13:15:36.193,1.372,0.305,-0.274,0.03
1.63628E+12,2021-11-07T13:15:36.234,1.413,0.549,-0.122,0.061
1.63628E+12,2021-11-07T13:15:36.274,1.453,0.183,-0.091,0.274
1.63628E+12,2021-11-07T13:15:36.315,1.494,0.122,-0.152,0.305
1.63628E+12,2021-11-07T13:15:36.356,1.535,0.03,-0.152,0.061
1.63628E+12,2021-11-07T13:15:36.395,1.574,0.457,-0.213,-0.152
1.63628E+12,2021-11-07T13:15:36.436,1.615,0.488,-0.061,-0.122
1.63628E+12,2021-11-07T13:15:36.476,1.655,0.122,-0.061,-0.03
1.63628E+12,2021-11-07T13:15:36.517,1.696,0.213,-0.396,-0.274
1.63628E+12,2021-11-07T13:15:36.557,1.736,0.732,-0.213,-0.457
1.63628E+12,2021-11-07T13:15:36.598,1.777,0.61,-0.579,-0.396
1.63628E+12,2021-11-07T13:15:36.639,1.818,0.305,-0.579,-0.579
1.63628E+12,2021-11-07T13:15:36.678,1.857,0.549,-0.549,-0.793
1.63628E+12,2021-11-07T13:15:36.719,1.898,0.732,-0.396,-0.671
1.63628E+12,2021-11-07T13:15:36.759,1.938,1.128,-0.518,-0.518
1.63628E+12,2021-11-07T13:15:36.800,1.979,0.579,-0.183,-0.335
1.63628E+12,2021-11-07T13:15:36.839,2.018,0.305,-0.183,-0.488
1.63628E+12,2021-11-07T13:15:36.880,2.059,0.457,-0.366,-0.701
1.63628E+12,2021-11-07T13:15:36.921,2.1,0.518,-0.366,-0.915
1.63628E+12,2021-11-07T13:15:36.961,2.14,0.274,-0.183,-1.037
1.63628E+12,2021-11-07T13:15:37.002,2.181,0.61,-0.732,-1.402
1.63628E+12,2021-11-07T13:15:37.041,2.22,0.793,-0.64,-1.128
1.63628E+12,2021-11-07T13:15:37.082,2.261,0.732,-0.396,-0.945
1.63628E+12,2021-11-07T13:15:37.122,2.301,0.884,-0.183,-0.762
1.63628E+12,2021-11-07T13:15:37.163,2.342,0.945,-0.427,-0.762
1.63628E+12,2021-11-07T13:15:37.204,2.383,0.854,-0.335,-0.701
1.63628E+12,2021-11-07T13:15:37.244,2.423,1.341,-0.366,-0.945
1.63628E+12,2021-11-07T13:15:37.285,2.464,1.28,-0.701,-0.762
1.63628E+12,2021-11-07T13:15:37.324,2.503,1.098,-0.183,0.213
1.63628E+12,2021-11-07T13:15:37.365,2.544,3.811,0.671,0.61
1.63628E+12,2021-11-07T13:15:37.405,2.584,4.085,-0.213,-0.671
1.63628E+12,2021-11-07T13:15:37.446,2.625,0.091,-0.366,-0.335
1.63628E+12,2021-11-07T13:15:37.487,2.666,-0.213,-0.183,0
1.63628E+12,2021-11-07T13:15:37.526,2.705,0.671,0.762,-0.183
1.63628E+12,2021-11-07T13:15:37.567,2.746,1.677,1.037,0.671
1.63628E+12,2021-11-07T13:15:37.607,2.786,1.341,3.567,2.195
1.63628E+12,2021-11-07T13:15:37.648,2.827,-0.884,6.006,2.5
1.63628E+12,2021-11-07T13:15:37.687,2.866,0.122,6.951,2.744
1.63628E+12,2021-11-07T13:15:37.728,2.907,-1.982,4.39,1.646
1.63628E+12,2021-11-07T13:15:37.769,2.948,-1.646,0.518,-0.945
1.63628E+12,2021-11-07T13:15:37.809,2.988,0.457,-0.122,-1.067
1.63628E+12,2021-11-07T13:15:37.850,3.029,0,0.061,-0.488
1.63628E+12,2021-11-07T13:15:37.890,3.069,-0.64,-0.244,-0.396
1.63628E+12,2021-11-07T13:15:37.931,3.11,0.183,0.183,-0.64
1.63628E+12,2021-11-07T13:15:37.972,3.151,0.396,-0.03,-0.732
