epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635754319148,2021-11-01T10.11.59.148,0.000,0.190,-0.101,-1.003
1635754319188,2021-11-01T10.11.59.188,0.040,0.195,-0.103,-1.011
1635754319228,2021-11-01T10.11.59.228,0.080,0.193,-0.101,-1.010
1635754319268,2021-11-01T10.11.59.268,0.120,0.191,-0.104,-1.009
1635754319308,2021-11-01T10.11.59.308,0.160,0.194,-0.105,-1.009
1635754319348,2021-11-01T10.11.59.348,0.200,0.192,-0.100,-1.010
1635754319388,2021-11-01T10.11.59.388,0.240,0.193,-0.105,-1.009
1635754319428,2021-11-01T10.11.59.428,0.280,0.193,-0.103,-1.009
1635754319468,2021-11-01T10.11.59.468,0.320,0.191,-0.101,-1.011
1635754319508,2021-11-01T10.11.59.508,0.360,0.193,-0.104,-1.010
1635754319548,2021-11-01T10.11.59.548,0.400,0.192,-0.104,-1.009
1635754319588,2021-11-01T10.11.59.588,0.440,0.192,-0.104,-1.010
1635754319628,2021-11-01T10.11.59.628,0.480,0.193,-0.102,-1.010
1635754319668,2021-11-01T10.11.59.668,0.520,0.193,-0.104,-1.008
1635754319708,2021-11-01T10.11.59.708,0.560,0.193,-0.106,-1.008
1635754319748,2021-11-01T10.11.59.748,0.600,0.193,-0.100,-1.009
1635754319788,2021-11-01T10.11.59.788,0.640,0.193,-0.104,-1.009
1635754319828,2021-11-01T10.11.59.828,0.680,0.194,-0.105,-1.008
1635754319868,2021-11-01T10.11.59.868,0.720,0.189,-0.101,-1.009
1635754319908,2021-11-01T10.11.59.908,0.760,0.192,-0.109,-1.009
1635754319948,2021-11-01T10.11.59.948,0.800,0.198,-0.100,-1.008
1635754319988,2021-11-01T10.11.59.988,0.840,0.189,-0.101,-1.009
1635754320028,2021-11-01T10.12.00.028,0.880,0.193,-0.109,-1.007
1635754320068,2021-11-01T10.12.00.068,0.920,0.195,-0.101,-1.008
1635754320108,2021-11-01T10.12.00.108,0.960,0.189,-0.103,-1.010
1635754320148,2021-11-01T10.12.00.148,1.000,0.194,-0.105,-1.007
1635754320188,2021-11-01T10.12.00.188,1.040,0.194,-0.103,-1.008
1635754320228,2021-11-01T10.12.00.228,1.080,0.191,-0.104,-1.010
1635754320268,2021-11-01T10.12.00.268,1.120,0.195,-0.104,-1.009
1635754320308,2021-11-01T10.12.00.308,1.160,0.193,-0.101,-1.008
1635754320348,2021-11-01T10.12.00.348,1.200,0.192,-0.105,-1.008
1635754320388,2021-11-01T10.12.00.388,1.240,0.195,-0.103,-1.008
1635754320428,2021-11-01T10.12.00.428,1.280,0.193,-0.105,-1.008
1635754320468,2021-11-01T10.12.00.468,1.320,0.193,-0.106,-1.009
1635754320508,2021-11-01T10.12.00.508,1.360,0.192,-0.104,-1.009
1635754320548,2021-11-01T10.12.00.548,1.400,0.192,-0.104,-1.008
1635754320588,2021-11-01T10.12.00.588,1.440,0.193,-0.106,-1.007
1635754320628,2021-11-01T10.12.00.628,1.480,0.192,-0.105,-1.008
1635754320668,2021-11-01T10.12.00.668,1.520,0.192,-0.103,-1.012
1635754320708,2021-11-01T10.12.00.708,1.560,0.196,-0.103,-1.003
1635754320748,2021-11-01T10.12.00.748,1.600,0.187,-0.108,-1.010
1635754320788,2021-11-01T10.12.00.788,1.640,0.194,-0.108,-1.009
1635754320828,2021-11-01T10.12.00.828,1.680,0.192,-0.097,-1.007
1635754320868,2021-11-01T10.12.00.868,1.720,0.191,-0.108,-1.007
1635754320908,2021-11-01T10.12.00.908,1.760,0.193,-0.106,-1.006
1635754320948,2021-11-01T10.12.00.948,1.800,0.192,-0.101,-1.008
1635754320988,2021-11-01T10.12.00.988,1.840,0.194,-0.104,-1.008
1635754321028,2021-11-01T10.12.01.028,1.880,0.193,-0.105,-1.009
1635754321068,2021-11-01T10.12.01.068,1.920,0.192,-0.104,-1.009
1635754321108,2021-11-01T10.12.01.108,1.960,0.194,-0.104,-1.007
1635754321148,2021-11-01T10.12.01.148,2.000,0.192,-0.105,-1.008
1635754321188,2021-11-01T10.12.01.188,2.040,0.193,-0.104,-1.007
1635754321228,2021-11-01T10.12.01.228,2.080,0.194,-0.105,-1.007
1635754321268,2021-11-01T10.12.01.268,2.120,0.191,-0.103,-1.008
1635754321308,2021-11-01T10.12.01.308,2.160,0.193,-0.106,-1.007
1635754321348,2021-11-01T10.12.01.348,2.200,0.194,-0.103,-1.008
1635754321388,2021-11-01T10.12.01.388,2.240,0.193,-0.105,-1.009
1635754321428,2021-11-01T10.12.01.428,2.280,0.193,-0.105,-1.009
1635754321468,2021-11-01T10.12.01.468,2.320,0.193,-0.103,-1.009
1635754321508,2021-11-01T10.12.01.508,2.360,0.193,-0.107,-1.008
1635754321548,2021-11-01T10.12.01.548,2.400,0.192,-0.102,-1.008
1635754321588,2021-11-01T10.12.01.588,2.440,0.194,-0.103,-1.009
1635754321628,2021-11-01T10.12.01.628,2.480,0.193,-0.107,-1.008
1635754321668,2021-11-01T10.12.01.668,2.520,0.192,-0.103,-1.008
1635754321708,2021-11-01T10.12.01.708,2.560,0.193,-0.102,-1.008
1635754321748,2021-11-01T10.12.01.748,2.600,0.195,-0.103,-1.009
1635754321788,2021-11-01T10.12.01.788,2.640,0.192,-0.106,-1.007
1635754321828,2021-11-01T10.12.01.828,2.680,0.193,-0.105,-1.007
1635754321868,2021-11-01T10.12.01.868,2.720,0.194,-0.103,-1.008
1635754321908,2021-11-01T10.12.01.908,2.760,0.193,-0.102,-1.008
1635754321948,2021-11-01T10.12.01.948,2.800,0.191,-0.106,-1.007
1635754321988,2021-11-01T10.12.01.988,2.840,0.192,-0.106,-1.008
1635754322028,2021-11-01T10.12.02.028,2.880,0.194,-0.102,-1.008
1635754322068,2021-11-01T10.12.02.068,2.920,0.190,-0.102,-1.009
1635754322108,2021-11-01T10.12.02.108,2.960,0.193,-0.105,-1.007
1635754322148,2021-11-01T10.12.02.148,3.000,0.190,-0.098,-1.009
1635754322188,2021-11-01T10.12.02.188,3.040,0.192,-0.093,-1.009
1635754322228,2021-11-01T10.12.02.228,3.080,0.195,-0.100,-1.005
