epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636178000662,2021-11-06T07.53.20.662,0.000,-0.274,-0.335,0.213
1636178000703,2021-11-06T07.53.20.703,0.041,-0.396,0.244,-0.183
1636178000744,2021-11-06T07.53.20.744,0.082,-0.061,0.000,0.122
1636178000784,2021-11-06T07.53.20.784,0.122,0.030,-0.030,0.152
1636178000825,2021-11-06T07.53.20.825,0.163,-0.183,0.000,0.061
1636178000866,2021-11-06T07.53.20.866,0.204,-0.152,-0.030,0.030
1636178000907,2021-11-06T07.53.20.907,0.245,-0.152,0.000,0.122
1636178000946,2021-11-06T07.53.20.946,0.284,-0.061,0.030,0.030
1636178000987,2021-11-06T07.53.20.987,0.325,-0.152,0.000,0.000
1636178001028,2021-11-06T07.53.21.028,0.366,-0.183,-0.030,0.030
1636178001068,2021-11-06T07.53.21.068,0.406,-0.030,-0.061,0.122
1636178001109,2021-11-06T07.53.21.109,0.447,-0.244,-0.030,0.183
1636178001150,2021-11-06T07.53.21.150,0.488,0.061,0.000,0.183
1636178001189,2021-11-06T07.53.21.189,0.527,-0.061,0.030,0.061
1636178001230,2021-11-06T07.53.21.230,0.568,0.152,0.000,-0.122
1636178001271,2021-11-06T07.53.21.271,0.609,-0.213,0.000,0.030
1636178001311,2021-11-06T07.53.21.311,0.649,0.030,0.000,-0.091
1636178001352,2021-11-06T07.53.21.352,0.690,0.030,-0.030,0.000
1636178001393,2021-11-06T07.53.21.393,0.731,-0.030,0.000,-0.061
1636178001434,2021-11-06T07.53.21.434,0.772,0.030,-0.030,0.061
1636178001473,2021-11-06T07.53.21.473,0.811,-0.183,-0.061,0.152
1636178001514,2021-11-06T07.53.21.514,0.852,-0.030,-0.061,-0.030
1636178001555,2021-11-06T07.53.21.555,0.893,0.030,-0.061,0.030
1636178001595,2021-11-06T07.53.21.595,0.933,-0.061,-0.061,0.000
1636178001636,2021-11-06T07.53.21.636,0.974,-0.061,-0.091,0.030
1636178001677,2021-11-06T07.53.21.677,1.015,-0.122,-0.030,0.152
1636178001717,2021-11-06T07.53.21.717,1.055,0.030,-0.091,0.000
1636178001758,2021-11-06T07.53.21.758,1.096,-0.030,0.000,0.000
1636178001799,2021-11-06T07.53.21.799,1.137,-0.061,0.000,0.000
1636178001840,2021-11-06T07.53.21.840,1.178,-0.213,0.000,-0.061
1636178001879,2021-11-06T07.53.21.879,1.217,-0.030,-0.061,0.000
1636178001920,2021-11-06T07.53.21.920,1.258,-0.122,-0.061,0.122
1636178001961,2021-11-06T07.53.21.961,1.299,-0.213,0.000,-0.061
1636178002001,2021-11-06T07.53.22.001,1.339,0.000,-0.030,-0.061
1636178002042,2021-11-06T07.53.22.042,1.380,0.091,-0.030,0.091
1636178002083,2021-11-06T07.53.22.083,1.421,-0.091,0.030,-0.061
1636178002122,2021-11-06T07.53.22.122,1.460,0.030,0.030,-0.122
1636178002163,2021-11-06T07.53.22.163,1.501,-0.183,0.000,-0.030
1636178002204,2021-11-06T07.53.22.204,1.542,-0.305,0.000,0.030
1636178002244,2021-11-06T07.53.22.244,1.582,-0.091,0.000,-0.091
1636178002285,2021-11-06T07.53.22.285,1.623,-0.152,0.000,0.030
1636178002326,2021-11-06T07.53.22.326,1.664,-0.122,-0.030,0.061
1636178002367,2021-11-06T07.53.22.367,1.705,-0.213,0.000,0.030
1636178002407,2021-11-06T07.53.22.407,1.745,-0.122,-0.030,0.091
1636178002448,2021-11-06T07.53.22.448,1.786,-0.152,-0.030,0.061
1636178002489,2021-11-06T07.53.22.489,1.827,-0.152,-0.061,0.000
1636178002528,2021-11-06T07.53.22.528,1.866,-0.213,-0.030,0.152
1636178002569,2021-11-06T07.53.22.569,1.907,-0.030,0.000,0.000
1636178002610,2021-11-06T07.53.22.610,1.948,0.000,0.000,-0.030
1636178002650,2021-11-06T07.53.22.650,1.988,-0.122,0.030,-0.030
1636178002691,2021-11-06T07.53.22.691,2.029,0.000,-0.030,0.000
1636178002732,2021-11-06T07.53.22.732,2.070,-0.244,0.000,0.030
1636178002771,2021-11-06T07.53.22.771,2.109,-0.091,0.061,-0.030
1636178002812,2021-11-06T07.53.22.812,2.150,0.030,0.000,-0.030
1636178002853,2021-11-06T07.53.22.853,2.191,0.061,-0.030,0.061
1636178002894,2021-11-06T07.53.22.894,2.232,-0.030,-0.030,0.061
1636178002934,2021-11-06T07.53.22.934,2.272,-0.091,0.000,-0.030
1636178002975,2021-11-06T07.53.22.975,2.313,-0.183,0.000,-0.030
1636178003016,2021-11-06T07.53.23.016,2.354,-0.091,0.000,0.000
1636178003055,2021-11-06T07.53.23.055,2.393,-0.152,0.030,0.061
1636178003097,2021-11-06T07.53.23.097,2.435,-0.122,0.000,0.000
1636178003138,2021-11-06T07.53.23.138,2.476,-0.183,-0.030,0.091
1636178003177,2021-11-06T07.53.23.177,2.515,-0.213,0.000,0.122
1636178003218,2021-11-06T07.53.23.218,2.556,-0.122,0.000,0.000
1636178003259,2021-11-06T07.53.23.259,2.597,-0.122,0.000,-0.030
1636178003299,2021-11-06T07.53.23.299,2.637,-0.244,0.000,0.030
1636178003340,2021-11-06T07.53.23.340,2.678,-0.122,0.030,-0.061
1636178003381,2021-11-06T07.53.23.381,2.719,-0.030,0.000,0.000
1636178003422,2021-11-06T07.53.23.422,2.760,-0.305,0.122,0.061
1636178003461,2021-11-06T07.53.23.461,2.799,-0.152,0.152,-0.061
1636178003502,2021-11-06T07.53.23.502,2.840,-0.091,0.030,0.000
1636178003543,2021-11-06T07.53.23.543,2.881,0.000,-0.091,0.030
1636178003583,2021-11-06T07.53.23.583,2.921,-0.518,-0.061,0.152
1636178003624,2021-11-06T07.53.23.624,2.962,-0.274,0.000,-0.061
1636178003665,2021-11-06T07.53.23.665,3.003,0.366,0.000,-0.396
1636178003704,2021-11-06T07.53.23.704,3.042,-0.061,-0.030,-0.091
1636178003745,2021-11-06T07.53.23.745,3.083,-0.305,-0.030,0.122
1636178003786,2021-11-06T07.53.23.786,3.124,-0.030,-0.030,-0.061
1636178003826,2021-11-06T07.53.23.826,3.164,0.000,0.000,-0.030
1636178003867,2021-11-06T07.53.23.867,3.205,-0.244,-0.061,0.122
1636178003908,2021-11-06T07.53.23.908,3.246,-0.061,-0.061,0.061
1636178003949,2021-11-06T07.53.23.949,3.287,0.030,-0.091,0.000
1636178003989,2021-11-06T07.53.23.989,3.327,-0.122,-0.030,0.152
1636178004030,2021-11-06T07.53.24.030,3.368,-0.061,-0.030,0.122
1636178004071,2021-11-06T07.53.24.071,3.409,-0.061,0.000,0.061
1636178004110,2021-11-06T07.53.24.110,3.448,-0.061,0.000,-0.030
1636178004151,2021-11-06T07.53.24.151,3.489,-0.061,0.061,0.030
1636178004192,2021-11-06T07.53.24.192,3.530,0.030,0.030,-0.091
1636178004232,2021-11-06T07.53.24.232,3.570,-0.030,0.000,-0.030
1636178004273,2021-11-06T07.53.24.273,3.611,-0.152,0.000,0.000
1636178004314,2021-11-06T07.53.24.314,3.652,0.061,0.000,-0.091
1636178004353,2021-11-06T07.53.24.353,3.691,-0.030,0.000,0.030
1636178004394,2021-11-06T07.53.24.394,3.732,-0.061,-0.030,0.122
1636178004435,2021-11-06T07.53.24.435,3.773,-0.549,0.000,0.183
1636178004476,2021-11-06T07.53.24.476,3.814,-0.518,0.030,0.152
1636178004516,2021-11-06T07.53.24.516,3.854,-0.091,0.000,0.091
1636178004557,2021-11-06T07.53.24.557,3.895,-0.335,-0.030,0.305
1636178004598,2021-11-06T07.53.24.598,3.936,-0.152,-0.122,0.305
1636178004638,2021-11-06T07.53.24.638,3.976,-0.335,-0.030,0.244
1636178004679,2021-11-06T07.53.24.679,4.017,-0.396,-0.061,0.213
1636178004720,2021-11-06T07.53.24.720,4.058,-0.122,-0.061,0.183
1636178004759,2021-11-06T07.53.24.759,4.097,-0.244,-0.030,0.091
1636178004800,2021-11-06T07.53.24.800,4.138,-0.091,-0.030,0.061
1636178004841,2021-11-06T07.53.24.841,4.179,-0.091,-0.061,0.122
1636178004882,2021-11-06T07.53.24.882,4.220,-0.152,0.000,0.000
1636178004922,2021-11-06T07.53.24.922,4.260,-0.030,0.030,0.000
1636178004963,2021-11-06T07.53.24.963,4.301,0.000,0.000,-0.122
1636178005004,2021-11-06T07.53.25.004,4.342,-0.061,-0.030,0.030
1636178005043,2021-11-06T07.53.25.043,4.381,-0.183,0.000,0.030
1636178005084,2021-11-06T07.53.25.084,4.422,0.000,-0.061,-0.061
1636178005125,2021-11-06T07.53.25.125,4.463,-0.274,0.000,0.000
1636178005165,2021-11-06T07.53.25.165,4.503,-0.335,0.030,-0.152
1636178005206,2021-11-06T07.53.25.206,4.544,-0.305,0.030,-0.366
1636178005247,2021-11-06T07.53.25.247,4.585,-0.274,-0.061,-0.335
1636178005286,2021-11-06T07.53.25.286,4.624,-1.220,0.061,-0.183
1636178005327,2021-11-06T07.53.25.327,4.665,-6.616,2.866,1.524
1636178005368,2021-11-06T07.53.25.368,4.706,-55.762,9.329,-0.945
1636178005410,2021-11-06T07.53.25.410,4.748,-181.189,28.476,-8.872
1636178005449,2021-11-06T07.53.25.449,4.787,-278.811,130.671,32.195
1636178005490,2021-11-06T07.53.25.490,4.828,-301.280,233.720,73.720
1636178005531,2021-11-06T07.53.25.531,4.869,-284.726,258.293,108.506
1636178005571,2021-11-06T07.53.25.571,4.909,-276.159,258.262,129.848
1636178005612,2021-11-06T07.53.25.612,4.950,-265.091,239.970,119.756
1636178005653,2021-11-06T07.53.25.653,4.991,-203.750,183.994,104.451
1636178005692,2021-11-06T07.53.25.692,5.030,-171.799,118.933,82.104
1636178005733,2021-11-06T07.53.25.733,5.071,-165.976,52.470,42.500
1636178005774,2021-11-06T07.53.25.774,5.112,-139.939,-61.677,-20.579
1636178005814,2021-11-06T07.53.25.814,5.152,-115.579,-225.335,-124.848
1636178005855,2021-11-06T07.53.25.855,5.193,-109.634,-379.238,-220.610
1636178005896,2021-11-06T07.53.25.896,5.234,-46.585,-487.348,-235.610
1636178005937,2021-11-06T07.53.25.937,5.275,63.415,-56.707,150.793
1636178005976,2021-11-06T07.53.25.976,5.314,85.244,-143.079,189.787
1636178006017,2021-11-06T07.53.26.017,5.355,-119.817,-43.049,-49.024
1636178006058,2021-11-06T07.53.26.058,5.396,-41.738,170.884,19.573
1636178006098,2021-11-06T07.53.26.098,5.436,114.604,296.128,62.805
1636178006139,2021-11-06T07.53.26.139,5.477,135.884,354.939,98.598
1636178006180,2021-11-06T07.53.26.180,5.518,133.140,365.945,116.616
1636178006220,2021-11-06T07.53.26.220,5.558,79.024,326.677,135.213
1636178006261,2021-11-06T07.53.26.261,5.599,67.043,228.232,125.884
1636178006302,2021-11-06T07.53.26.302,5.640,25.183,107.317,59.604
1636178006341,2021-11-06T07.53.26.341,5.679,-19.390,-35.640,-5.915
1636178006382,2021-11-06T07.53.26.382,5.720,-52.195,-106.402,-49.360
1636178006423,2021-11-06T07.53.26.423,5.761,-80.183,-151.098,-93.567
1636178006464,2021-11-06T07.53.26.464,5.802,-100.701,-230.671,-131.250
1636178006504,2021-11-06T07.53.26.504,5.842,-112.409,-320.671,-142.439
1636178006545,2021-11-06T07.53.26.545,5.883,-134.909,-455.030,-152.866
1636178006586,2021-11-06T07.53.26.586,5.924,-79.726,-367.530,-108.537
1636178006625,2021-11-06T07.53.26.625,5.963,113.902,-49.116,70.488
1636178006666,2021-11-06T07.53.26.666,6.004,37.652,-188.720,3.811
1636178006707,2021-11-06T07.53.26.707,6.045,142.104,-90.366,-65.091
1636178006747,2021-11-06T07.53.26.747,6.085,250.884,-14.512,-103.110
1636178006788,2021-11-06T07.53.26.788,6.126,250.549,18.049,-134.238
1636178006829,2021-11-06T07.53.26.829,6.167,319.512,-88.323,-190.884
