epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.63588E+12,2021-11-02T12:38:53.154,0,0.244,0.213,-0.244
1.63588E+12,2021-11-02T12:38:53.194,0.04,0.488,0.213,-0.244
1.63588E+12,2021-11-02T12:38:53.234,0.08,-0.091,0.03,-0.579
1.63588E+12,2021-11-02T12:38:53.274,0.12,-0.762,0.244,-0.427
1.63588E+12,2021-11-02T12:38:53.314,0.16,-0.183,0.488,-0.305
1.63588E+12,2021-11-02T12:38:53.354,0.2,-0.061,0.152,-0.457
1.63588E+12,2021-11-02T12:38:53.394,0.24,-0.671,0.305,-0.122
1.63588E+12,2021-11-02T12:38:53.434,0.28,-0.61,0.366,-0.305
1.63588E+12,2021-11-02T12:38:53.474,0.32,-0.915,0.762,-0.793
1.63588E+12,2021-11-02T12:38:53.514,0.36,-0.427,2.134,-0.64
1.63588E+12,2021-11-02T12:38:53.554,0.4,1.921,1.86,-1.25
1.63588E+12,2021-11-02T12:38:53.594,0.44,1.402,0.457,-0.823
1.63588E+12,2021-11-02T12:38:53.634,0.48,-1.189,-0.122,0.274
1.63588E+12,2021-11-02T12:38:53.674,0.52,-1.982,0.061,0.122
1.63588E+12,2021-11-02T12:38:53.714,0.56,-0.03,0.671,-0.549
1.63588E+12,2021-11-02T12:38:53.754,0.6,0.762,0.427,-0.671
1.63588E+12,2021-11-02T12:38:53.794,0.64,0.732,-0.366,-0.488
1.63588E+12,2021-11-02T12:38:53.834,0.68,0.152,-0.305,0.061
1.63588E+12,2021-11-02T12:38:53.874,0.72,-0.671,-0.396,0.091
1.63588E+12,2021-11-02T12:38:53.914,0.76,-0.915,-0.518,-0.244
1.63588E+12,2021-11-02T12:38:53.954,0.8,-1.341,-0.274,0.213
1.63588E+12,2021-11-02T12:38:53.994,0.84,-0.579,-0.457,-0.122
1.63588E+12,2021-11-02T12:38:54.034,0.88,-0.518,-0.244,-0.335
1.63588E+12,2021-11-02T12:38:54.074,0.92,-0.274,0.488,-0.396
1.63588E+12,2021-11-02T12:38:54.114,0.96,1.616,0.366,-0.915
1.63588E+12,2021-11-02T12:38:54.154,1,-0.183,0.091,-0.396
1.63588E+12,2021-11-02T12:38:54.194,1.04,-0.61,0.274,-0.213
1.63588E+12,2021-11-02T12:38:54.234,1.08,1.189,0.091,-0.671
1.63588E+12,2021-11-02T12:38:54.274,1.12,0.488,-0.366,-0.274
1.63588E+12,2021-11-02T12:38:54.314,1.16,-1.433,-0.244,-0.427
1.63588E+12,2021-11-02T12:38:54.354,1.2,0.122,0.61,-0.488
1.63588E+12,2021-11-02T12:38:54.394,1.24,-0.366,0.305,-0.244
1.63588E+12,2021-11-02T12:38:54.434,1.28,-1.128,-0.213,-0.335
1.63588E+12,2021-11-02T12:38:54.474,1.32,-0.884,0.61,-0.274
1.63588E+12,2021-11-02T12:38:54.514,1.36,-1.738,0.732,-0.091
1.63588E+12,2021-11-02T12:38:54.554,1.4,-1.921,0.061,-0.457
1.63588E+12,2021-11-02T12:38:54.594,1.44,-0.396,0,-1.098
1.63588E+12,2021-11-02T12:38:54.634,1.48,0.152,0.518,-0.701
1.63588E+12,2021-11-02T12:38:54.674,1.52,0.091,1.311,0.03
1.63588E+12,2021-11-02T12:38:54.714,1.56,0.854,0.671,-0.396
1.63588E+12,2021-11-02T12:38:54.754,1.6,0.945,-0.244,-0.793
1.63588E+12,2021-11-02T12:38:54.794,1.64,0.03,0.03,-0.549
1.63588E+12,2021-11-02T12:38:54.834,1.68,1.463,0.427,-0.884
1.63588E+12,2021-11-02T12:38:54.874,1.72,1.22,0.976,-0.518
1.63588E+12,2021-11-02T12:38:54.914,1.76,1.341,1.189,0.061
1.63588E+12,2021-11-02T12:38:54.954,1.8,1.982,1.189,-1.037
1.63588E+12,2021-11-02T12:38:54.994,1.84,2.195,1.433,-1.677
1.63588E+12,2021-11-02T12:38:55.034,1.88,3.384,2.195,-1.738
1.63588E+12,2021-11-02T12:38:55.074,1.92,4.573,2.988,-1.86
1.63588E+12,2021-11-02T12:38:55.114,1.96,4.421,3.537,-2.348
1.63588E+12,2021-11-02T12:38:55.154,2,3.537,3.567,-3.049
1.63588E+12,2021-11-02T12:38:55.194,2.04,3.902,4.024,-2.896
1.63588E+12,2021-11-02T12:38:55.234,2.08,4.695,4.055,-2.226
1.63588E+12,2021-11-02T12:38:55.274,2.12,1.433,0.366,-1.524
1.63588E+12,2021-11-02T12:38:55.314,2.16,-1.616,-2.744,-1.433
1.63588E+12,2021-11-02T12:38:55.354,2.2,-3.567,-3.079,-0.854
1.63588E+12,2021-11-02T12:38:55.394,2.24,-2.073,0.061,-0.183
1.63588E+12,2021-11-02T12:38:55.434,2.28,-0.396,1.128,0.64
1.63588E+12,2021-11-02T12:38:55.474,2.32,1.159,1.128,0.061
1.63588E+12,2021-11-02T12:38:55.514,2.36,1.159,2.348,-0.061
1.63588E+12,2021-11-02T12:38:55.554,2.4,4.024,5.213,-0.457
1.63588E+12,2021-11-02T12:38:55.594,2.44,6.311,7.47,-1.28
1.63588E+12,2021-11-02T12:38:55.634,2.48,5.549,5.732,-2.409
1.63588E+12,2021-11-02T12:38:55.674,2.52,2.287,2.256,-1.463
1.63588E+12,2021-11-02T12:38:55.714,2.56,-2.104,-0.579,0.061
1.63588E+12,2021-11-02T12:38:55.754,2.6,-4.299,-1.646,0.122
1.63588E+12,2021-11-02T12:38:55.794,2.64,-3.841,-0.457,0.945
1.63588E+12,2021-11-02T12:38:55.834,2.68,-1.463,-0.427,0.457
1.63588E+12,2021-11-02T12:38:55.874,2.72,-1.707,-2.165,-0.152
1.63588E+12,2021-11-02T12:38:55.914,2.76,-2.835,-2.5,0.152
1.63588E+12,2021-11-02T12:38:55.954,2.8,-2.256,-2.591,0.488
1.63588E+12,2021-11-02T12:38:55.994,2.84,-3.293,-2.713,0.823
1.63588E+12,2021-11-02T12:38:56.034,2.88,-3.811,-1.463,1.128
1.63588E+12,2021-11-02T12:38:56.074,2.92,-2.591,-0.244,1.402
1.63588E+12,2021-11-02T12:38:56.114,2.96,-1.524,-0.122,1.555
1.63588E+12,2021-11-02T12:38:56.154,3,-0.061,-0.152,0.03
1.63588E+12,2021-11-02T12:38:56.194,3.04,-1.159,1.098,-1.311
1.63588E+12,2021-11-02T12:38:56.234,3.08,2.652,2.744,-1.524
1.63588E+12,2021-11-02T12:38:56.274,3.12,5,3.171,-1.738
1.63588E+12,2021-11-02T12:38:56.314,3.16,3.841,2.165,-2.652
1.63588E+12,2021-11-02T12:38:56.354,3.2,2.226,1.707,-2.195
1.63588E+12,2021-11-02T12:38:56.394,3.24,3.018,2.409,-1.646
1.63588E+12,2021-11-02T12:38:56.434,3.28,-0.64,0.915,-1.128
1.63588E+12,2021-11-02T12:38:56.474,3.32,-3.506,-0.427,-0.884
1.63588E+12,2021-11-02T12:38:56.514,3.36,2.012,1.22,-0.915
1.63588E+12,2021-11-02T12:38:56.554,3.4,3.872,-1.372,-1.189
1.63588E+12,2021-11-02T12:38:56.594,3.44,4.817,-1.646,-1.037
1.63588E+12,2021-11-02T12:38:56.634,3.48,5.03,-3.201,-0.793
1.63588E+12,2021-11-02T12:38:56.674,3.52,2.47,-6.067,-0.427
1.63588E+12,2021-11-02T12:38:56.714,3.56,1.037,-4.695,-0.732
1.63588E+12,2021-11-02T12:38:56.754,3.6,2.561,-4.238,0.091
1.63588E+12,2021-11-02T12:38:56.794,3.64,3.232,-4.939,1.433
1.63588E+12,2021-11-02T12:38:56.834,3.68,0.457,-8.354,3.384
1.63588E+12,2021-11-02T12:38:56.874,3.72,-2.47,-10.366,2.47
1.63588E+12,2021-11-02T12:38:56.914,3.76,0.518,-9.665,-0.732
1.63588E+12,2021-11-02T12:38:56.954,3.8,2.165,-8.14,-0.091
1.63588E+12,2021-11-02T12:38:56.994,3.84,3.201,-5.183,0.122
1.63588E+12,2021-11-02T12:38:57.034,3.88,3.567,-4.909,1.189
1.63588E+12,2021-11-02T12:38:57.074,3.92,11.098,0.701,3.262
1.63588E+12,2021-11-02T12:38:57.114,3.96,24.146,1.159,6.921
1.63588E+12,2021-11-02T12:38:57.154,4,13.11,-2.165,10.427
1.63588E+12,2021-11-02T12:38:57.194,4.04,-21.189,11.555,17.409
1.63588E+12,2021-11-02T12:38:57.234,4.08,-17.896,5.396,10.854
1.63588E+12,2021-11-02T12:38:57.274,4.12,9.878,-27.043,-6.189
1.63588E+12,2021-11-02T12:38:57.314,4.16,-7.47,-16.738,-2.195
1.63588E+12,2021-11-02T12:38:57.354,4.2,-11.677,-3.323,6.921
1.63588E+12,2021-11-02T12:38:57.394,4.24,-3.354,-2.226,5.549
1.63588E+12,2021-11-02T12:38:57.434,4.28,-3.72,-5.091,1.098
1.63588E+12,2021-11-02T12:38:57.474,4.32,-3.963,-4.695,-0.183
1.63588E+12,2021-11-02T12:38:57.514,4.36,3.445,-1.555,4.268
1.63588E+12,2021-11-02T12:38:57.554,4.4,20,5.061,3.841
1.63588E+12,2021-11-02T12:38:57.594,4.44,12.256,5.061,2.957
1.63588E+12,2021-11-02T12:38:57.634,4.48,-3.171,1.829,1.433
1.63588E+12,2021-11-02T12:38:57.674,4.52,-6.951,-2.439,-0.671
1.63588E+12,2021-11-02T12:38:57.714,4.56,-12.226,-2.652,2.652
1.63588E+12,2021-11-02T12:38:57.754,4.6,-10.854,-1.768,5.091
1.63588E+12,2021-11-02T12:38:57.794,4.64,-5,-0.091,2.439
1.63588E+12,2021-11-02T12:38:57.834,4.68,1.799,0.457,-0.579
1.63588E+12,2021-11-02T12:38:57.874,4.72,-0.884,0.793,-0.335
1.63588E+12,2021-11-02T12:38:57.914,4.76,-4.695,0.762,-0.305
1.63588E+12,2021-11-02T12:38:57.954,4.8,-3.049,1.707,-0.976
1.63588E+12,2021-11-02T12:38:57.994,4.84,-1.646,1.494,-0.976
1.63588E+12,2021-11-02T12:38:58.034,4.88,-0.884,0.762,-1.555
1.63588E+12,2021-11-02T12:38:58.074,4.92,1.372,1.067,-2.348
