epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1635769134188,2021-11-01T05:18:54.188,0.000,0.213,0.549,-0.366
1635769134228,2021-11-01T05:18:54.228,0.040,0.183,0.000,-0.091
1635769134268,2021-11-01T05:18:54.268,0.080,-0.610,0.305,-0.335
1635769134308,2021-11-01T05:18:54.308,0.120,-0.701,0.427,-0.549
1635769134348,2021-11-01T05:18:54.348,0.160,-1.098,0.305,-0.671
1635769134388,2021-11-01T05:18:54.388,0.200,-1.067,0.244,-0.488
1635769134428,2021-11-01T05:18:54.428,0.240,-0.488,0.000,-0.366
1635769134468,2021-11-01T05:18:54.468,0.280,-0.091,-0.457,-0.183
1635769134508,2021-11-01T05:18:54.508,0.320,0.183,-0.488,-0.030
1635769134548,2021-11-01T05:18:54.548,0.360,0.701,-0.427,-0.030
1635769134588,2021-11-01T05:18:54.588,0.400,0.915,-0.518,0.030
1635769134628,2021-11-01T05:18:54.628,0.440,0.945,-0.610,0.091
1635769134668,2021-11-01T05:18:54.668,0.480,0.335,-0.701,-0.183
1635769134708,2021-11-01T05:18:54.708,0.520,1.037,-0.671,0.030
1635769134748,2021-11-01T05:18:54.748,0.560,1.037,-1.280,0.335
1635769134788,2021-11-01T05:18:54.788,0.600,0.640,-1.280,0.305
1635769134828,2021-11-01T05:18:54.828,0.640,0.488,-1.128,0.396
1635769134868,2021-11-01T05:18:54.868,0.680,0.823,-0.579,0.610
1635769134908,2021-11-01T05:18:54.908,0.720,0.549,-0.366,0.701
1635769134948,2021-11-01T05:18:54.948,0.760,-0.396,0.091,0.518
1635769134988,2021-11-01T05:18:54.988,0.800,-0.549,0.640,0.793
1635769135028,2021-11-01T05:18:55.028,0.840,-0.396,0.366,0.915
1635769135068,2021-11-01T05:18:55.068,0.880,-1.098,0.610,0.518
1635769135108,2021-11-01T05:18:55.108,0.920,-0.579,0.640,0.579
1635769135148,2021-11-01T05:18:55.148,0.960,-0.183,0.610,0.762
