epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.63664E+12,2021-11-11T15.04.25.429,3.08,0.671,-0.183,-0.579
1.63664E+12,2021-11-11T15.04.25.469,3.12,0.884,-0.122,-0.579
1.63664E+12,2021-11-11T15.04.25.509,3.16,0.61,-0.274,-0.64
1.63664E+12,2021-11-11T15.04.25.549,3.2,0.457,-0.061,-0.518
1.63664E+12,2021-11-11T15.04.25.589,3.24,0.396,-0.122,-0.488
1.63664E+12,2021-11-11T15.04.25.629,3.28,0.396,-0.274,-0.335
1.63664E+12,2021-11-11T15.04.25.669,3.32,0.61,-0.274,-0.366
1.63664E+12,2021-11-11T15.04.25.709,3.36,0.335,-0.122,-0.366
1.63664E+12,2021-11-11T15.04.25.749,3.4,-0.274,-0.152,-0.152
1.63664E+12,2021-11-11T15.04.25.789,3.44,-0.61,-0.183,-0.122
1.63664E+12,2021-11-11T15.04.25.829,3.48,-0.457,-0.305,-0.244
1.63664E+12,2021-11-11T15.04.25.869,3.52,0.122,-0.091,-0.305
1.63664E+12,2021-11-11T15.04.25.909,3.56,0.183,0.152,-0.396
1.63664E+12,2021-11-11T15.04.25.949,3.6,-0.152,0.305,-0.396
1.63664E+12,2021-11-11T15.04.25.989,3.64,-0.366,0.244,-0.366
1.63664E+12,2021-11-11T15.04.26.029,3.68,-0.183,0.03,-0.274
1.63664E+12,2021-11-11T15.04.26.069,3.72,0.274,-0.244,-0.274
1.63664E+12,2021-11-11T15.04.26.109,3.76,0.427,-0.213,-0.335
1.63664E+12,2021-11-11T15.04.26.149,3.8,0.274,-0.152,-0.274
1.63664E+12,2021-11-11T15.04.26.189,3.84,0.427,-0.274,-0.427
1.63664E+12,2021-11-11T15.04.26.229,3.88,0.366,-0.03,-0.427
1.63664E+12,2021-11-11T15.04.26.269,3.92,0.183,0.091,-0.366
1.63664E+12,2021-11-11T15.04.26.309,3.96,0.213,-0.061,-0.427
1.63664E+12,2021-11-11T15.04.26.349,4,0.396,-0.091,-0.335
1.63664E+12,2021-11-11T15.04.26.389,4.04,0.518,-0.244,-0.427
1.63664E+12,2021-11-11T15.04.26.429,4.08,0.64,-0.244,-0.457
1.63664E+12,2021-11-11T15.04.26.469,4.12,0.701,-0.305,-0.396
1.63664E+12,2021-11-11T15.04.26.509,4.16,0.762,-0.305,-0.427
1.63664E+12,2021-11-11T15.04.26.549,4.2,0.457,-0.152,-0.335
1.63664E+12,2021-11-11T15.04.26.589,4.24,0.396,-0.213,-0.396
1.63664E+12,2021-11-11T15.04.26.629,4.28,0.396,-0.152,-0.396
1.63664E+12,2021-11-11T15.04.26.669,4.32,0.488,-0.244,-0.335
1.63664E+12,2021-11-11T15.04.26.709,4.36,0.457,-0.183,-0.427
1.63664E+12,2021-11-11T15.04.26.749,4.4,0.366,-0.03,-0.427
1.63664E+12,2021-11-11T15.04.26.789,4.44,0.274,0,-0.457
1.63664E+12,2021-11-11T15.04.26.829,4.48,0.244,0,-0.457
1.63664E+12,2021-11-11T15.04.26.869,4.52,0.579,-0.061,-0.488
1.63664E+12,2021-11-11T15.04.26.909,4.56,0.335,-0.152,-0.396
1.63664E+12,2021-11-11T15.04.26.949,4.6,0.366,-0.213,-0.305
1.63664E+12,2021-11-11T15.04.26.989,4.64,0.305,-0.274,-0.396
1.63664E+12,2021-11-11T15.04.27.029,4.68,0.427,-0.091,-0.335
1.63664E+12,2021-11-11T15.04.27.069,4.72,0.366,-0.091,-0.305
1.63664E+12,2021-11-11T15.04.27.109,4.76,0.335,-0.183,-0.457
1.63664E+12,2021-11-11T15.04.27.149,4.8,0.457,-0.122,-0.396
1.63664E+12,2021-11-11T15.04.27.189,4.84,0.396,-0.213,-0.427
1.63664E+12,2021-11-11T15.04.27.229,4.88,0.427,-0.274,-0.396
1.63664E+12,2021-11-11T15.04.27.269,4.92,0.427,-0.152,-0.427
1.63664E+12,2021-11-11T15.04.27.309,4.96,0.366,-0.152,-0.427
1.63664E+12,2021-11-11T15.04.27.349,5,0.457,-0.122,-0.396
1.63664E+12,2021-11-11T15.04.27.389,5.04,0.488,-0.244,-0.457
1.63664E+12,2021-11-11T15.04.27.429,5.08,0.305,-0.122,-0.427
1.63664E+12,2021-11-11T15.04.27.469,5.12,0.396,-0.091,-0.488
1.63664E+12,2021-11-11T15.04.27.509,5.16,0.335,-0.03,-0.427
1.63664E+12,2021-11-11T15.04.27.549,5.2,0.122,0,-0.366
1.63664E+12,2021-11-11T15.04.27.589,5.24,0.213,-0.122,-0.335
1.63664E+12,2021-11-11T15.04.27.629,5.28,0.366,-0.213,-0.396
1.63664E+12,2021-11-11T15.04.27.669,5.32,0.183,-0.122,-0.366
1.63664E+12,2021-11-11T15.04.27.709,5.36,0.335,-0.183,-0.335
1.63664E+12,2021-11-11T15.04.27.749,5.4,0.305,-0.122,-0.335
1.63664E+12,2021-11-11T15.04.27.789,5.44,0.335,-0.091,-0.335
1.63664E+12,2021-11-11T15.04.27.829,5.48,0.396,-0.091,-0.396
1.63664E+12,2021-11-11T15.04.27.869,5.52,0.457,-0.061,-0.488
1.63664E+12,2021-11-11T15.04.27.909,5.56,0.488,-0.152,-0.518
1.63664E+12,2021-11-11T15.04.27.949,5.6,0.366,-0.122,-0.518
1.63664E+12,2021-11-11T15.04.27.989,5.64,0.213,0.03,-0.427
1.63664E+12,2021-11-11T15.04.28.029,5.68,0.488,-0.122,-0.396
1.63664E+12,2021-11-11T15.04.28.069,5.72,0.549,-0.366,-0.427
1.63664E+12,2021-11-11T15.04.28.109,5.76,0.366,-0.152,-0.335
1.63664E+12,2021-11-11T15.04.28.149,5.8,0.305,-0.244,-0.335
1.63664E+12,2021-11-11T15.04.28.189,5.84,0.579,-0.183,-0.366
1.63664E+12,2021-11-11T15.04.28.229,5.88,0.488,-0.213,-0.396
