epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636639426527,2021-11-11T16.03.46.527,0.000,-0.671,-0.610,0.335
1636639426566,2021-11-11T16.03.46.566,0.039,-0.213,-0.244,-0.122
1636639426606,2021-11-11T16.03.46.606,0.079,0.000,-0.366,0.061
1636639426644,2021-11-11T16.03.46.644,0.117,-0.061,-0.427,0.091
1636639426683,2021-11-11T16.03.46.683,0.156,-0.061,-0.457,0.152
1636639426723,2021-11-11T16.03.46.723,0.196,-0.061,-0.427,0.122
1636639426762,2021-11-11T16.03.46.762,0.235,0.000,-0.366,0.061
1636639426802,2021-11-11T16.03.46.802,0.275,-0.030,-0.427,0.091
1636639426841,2021-11-11T16.03.46.841,0.314,-0.030,-0.396,0.061
1636639426881,2021-11-11T16.03.46.881,0.354,-0.061,-0.488,0.091
1636639426919,2021-11-11T16.03.46.919,0.392,0.000,-0.427,0.091
1636639426959,2021-11-11T16.03.46.959,0.432,0.000,-0.396,0.122
1636639426998,2021-11-11T16.03.46.998,0.471,-0.091,-0.427,0.091
1636639427038,2021-11-11T16.03.47.038,0.511,-0.061,-0.427,0.122
1636639427077,2021-11-11T16.03.47.077,0.550,-0.091,-0.396,0.122
1636639427117,2021-11-11T16.03.47.117,0.590,-0.061,-0.488,0.122
1636639427156,2021-11-11T16.03.47.156,0.629,-0.030,-0.396,0.122
1636639427194,2021-11-11T16.03.47.194,0.667,-0.030,-0.457,0.122
1636639427234,2021-11-11T16.03.47.234,0.707,-0.061,-0.457,0.091
1636639427274,2021-11-11T16.03.47.274,0.747,-0.061,-0.427,0.091
1636639427313,2021-11-11T16.03.47.313,0.786,0.000,-0.396,0.152
1636639427353,2021-11-11T16.03.47.353,0.826,-0.030,-0.457,0.061
1636639427392,2021-11-11T16.03.47.392,0.865,-0.061,-0.396,0.091
1636639427432,2021-11-11T16.03.47.432,0.905,-0.091,-0.488,0.152
1636639427471,2021-11-11T16.03.47.471,0.944,-0.061,-0.427,0.091
1636639427509,2021-11-11T16.03.47.509,0.982,-0.061,-0.427,0.091
1636639427549,2021-11-11T16.03.47.549,1.022,0.000,-0.427,0.122
1636639427589,2021-11-11T16.03.47.589,1.062,-0.030,-0.396,0.091
1636639427628,2021-11-11T16.03.47.628,1.101,0.000,-0.427,0.122
1636639427668,2021-11-11T16.03.47.668,1.141,0.000,-0.366,0.061
1636639427707,2021-11-11T16.03.47.707,1.180,-0.061,-0.427,0.122
1636639427747,2021-11-11T16.03.47.747,1.220,-0.030,-0.427,0.122
1636639427785,2021-11-11T16.03.47.785,1.258,-0.030,-0.366,0.061
1636639427824,2021-11-11T16.03.47.824,1.297,-0.061,-0.457,0.152
1636639427864,2021-11-11T16.03.47.864,1.337,-0.061,-0.396,0.122
1636639427903,2021-11-11T16.03.47.903,1.376,-0.030,-0.427,0.122
1636639427943,2021-11-11T16.03.47.943,1.416,-0.030,-0.366,0.122
1636639427983,2021-11-11T16.03.47.983,1.456,-0.061,-0.396,0.061
1636639428022,2021-11-11T16.03.48.022,1.495,-0.061,-0.396,0.122
1636639428060,2021-11-11T16.03.48.060,1.533,-0.061,-0.396,0.061
1636639428100,2021-11-11T16.03.48.100,1.573,-0.061,-0.396,0.122
1636639428139,2021-11-11T16.03.48.139,1.612,-0.061,-0.457,0.152
1636639428179,2021-11-11T16.03.48.179,1.652,-0.030,-0.396,0.122
1636639428218,2021-11-11T16.03.48.218,1.691,0.000,-0.457,0.091
1636639428258,2021-11-11T16.03.48.258,1.731,-0.061,-0.396,0.122
1636639428298,2021-11-11T16.03.48.298,1.771,-0.061,-0.488,0.091
1636639428337,2021-11-11T16.03.48.337,1.810,-0.030,-0.396,0.122
1636639428375,2021-11-11T16.03.48.375,1.848,-0.061,-0.427,0.091
1636639428415,2021-11-11T16.03.48.415,1.888,-0.061,-0.457,0.122
1636639428454,2021-11-11T16.03.48.454,1.927,-0.091,-0.396,0.122
1636639428494,2021-11-11T16.03.48.494,1.967,-0.061,-0.427,0.122
1636639428533,2021-11-11T16.03.48.533,2.006,-0.061,-0.427,0.091
1636639428573,2021-11-11T16.03.48.573,2.046,-0.061,-0.427,0.122
1636639428612,2021-11-11T16.03.48.612,2.085,-0.030,-0.427,0.122
1636639428651,2021-11-11T16.03.48.651,2.124,-0.061,-0.427,0.091
1636639428690,2021-11-11T16.03.48.690,2.163,-0.030,-0.427,0.122
1636639428730,2021-11-11T16.03.48.730,2.203,-0.061,-0.457,0.122
1636639428769,2021-11-11T16.03.48.769,2.242,-0.122,-0.396,0.091
1636639428809,2021-11-11T16.03.48.809,2.282,-0.091,-0.457,0.091
1636639428848,2021-11-11T16.03.48.848,2.321,-0.061,-0.427,0.152
1636639428888,2021-11-11T16.03.48.888,2.361,-0.030,-0.427,0.091
1636639428927,2021-11-11T16.03.48.927,2.400,-0.061,-0.396,0.122
1636639428965,2021-11-11T16.03.48.965,2.438,0.000,-0.366,0.122
1636639429005,2021-11-11T16.03.49.005,2.478,-0.061,-0.427,0.061
1636639429045,2021-11-11T16.03.49.045,2.518,0.000,-0.427,0.122
1636639429084,2021-11-11T16.03.49.084,2.557,-0.030,-0.396,0.091
1636639429124,2021-11-11T16.03.49.124,2.597,0.000,-0.427,0.091
1636639429163,2021-11-11T16.03.49.163,2.636,-0.061,-0.457,0.122
1636639429203,2021-11-11T16.03.49.203,2.676,-0.091,-0.427,0.122
1636639429242,2021-11-11T16.03.49.242,2.715,-0.030,-0.427,0.152
1636639429280,2021-11-11T16.03.49.280,2.753,-0.030,-0.427,0.061
1636639429320,2021-11-11T16.03.49.320,2.793,-0.030,-0.427,0.091
1636639429360,2021-11-11T16.03.49.360,2.833,-0.061,-0.427,0.122
1636639429399,2021-11-11T16.03.49.399,2.872,-0.091,-0.427,0.091
1636639429439,2021-11-11T16.03.49.439,2.912,-0.061,-0.396,0.061
1636639429478,2021-11-11T16.03.49.478,2.951,-0.061,-0.427,0.122
1636639429518,2021-11-11T16.03.49.518,2.991,-0.061,-0.427,0.091
1636639429556,2021-11-11T16.03.49.556,3.029,-0.061,-0.396,0.122
1636639429595,2021-11-11T16.03.49.595,3.068,-0.061,-0.396,0.091
1636639429635,2021-11-11T16.03.49.635,3.108,-0.030,-0.427,0.122
1636639429674,2021-11-11T16.03.49.674,3.147,-0.061,-0.427,0.091
1636639429714,2021-11-11T16.03.49.714,3.187,-0.061,-0.427,0.091
1636639429754,2021-11-11T16.03.49.754,3.227,-0.091,-0.396,0.122
1636639429793,2021-11-11T16.03.49.793,3.266,-0.061,-0.457,0.091
1636639429833,2021-11-11T16.03.49.833,3.306,0.000,-0.366,0.091
1636639429872,2021-11-11T16.03.49.872,3.345,0.000,-0.427,0.122
1636639429910,2021-11-11T16.03.49.910,3.383,-0.030,-0.396,0.091
1636639429950,2021-11-11T16.03.49.950,3.423,-0.030,-0.396,0.091
1636639429989,2021-11-11T16.03.49.989,3.462,0.000,-0.427,0.122
1636639430029,2021-11-11T16.03.50.029,3.502,-0.030,-0.427,0.122
1636639430069,2021-11-11T16.03.50.069,3.542,-0.061,-0.396,0.091
1636639430108,2021-11-11T16.03.50.108,3.581,-0.030,-0.396,0.122
1636639430148,2021-11-11T16.03.50.148,3.621,-0.030,-0.366,0.091
1636639430186,2021-11-11T16.03.50.186,3.659,-0.030,-0.427,0.091
1636639430225,2021-11-11T16.03.50.225,3.698,-0.061,-0.396,0.091
1636639430265,2021-11-11T16.03.50.265,3.738,0.000,-0.427,0.091
1636639430304,2021-11-11T16.03.50.304,3.777,0.000,-0.396,0.122
1636639430344,2021-11-11T16.03.50.344,3.817,-0.061,-0.396,0.091
1636639430383,2021-11-11T16.03.50.383,3.856,-0.030,-0.427,0.091
1636639430423,2021-11-11T16.03.50.423,3.896,-0.030,-0.366,0.091
1636639430463,2021-11-11T16.03.50.463,3.936,-0.061,-0.396,0.061
1636639430501,2021-11-11T16.03.50.501,3.974,-0.030,-0.427,0.091
1636639430540,2021-11-11T16.03.50.540,4.013,-0.030,-0.427,0.061
1636639430580,2021-11-11T16.03.50.580,4.053,-0.061,-0.427,0.061
1636639430619,2021-11-11T16.03.50.619,4.092,-0.061,-0.396,0.091
1636639430659,2021-11-11T16.03.50.659,4.132,-0.061,-0.366,0.091
1636639430698,2021-11-11T16.03.50.698,4.171,-0.061,-0.396,0.091
1636639430738,2021-11-11T16.03.50.738,4.211,-0.061,-0.488,0.122
1636639430778,2021-11-11T16.03.50.778,4.251,-0.030,-0.427,0.122
1636639430816,2021-11-11T16.03.50.816,4.289,-0.061,-0.427,0.091
1636639430855,2021-11-11T16.03.50.855,4.328,-0.061,-0.366,0.091
1636639430895,2021-11-11T16.03.50.895,4.368,-0.030,-0.427,0.122
1636639430934,2021-11-11T16.03.50.934,4.407,-0.061,-0.427,0.091
1636639430974,2021-11-11T16.03.50.974,4.447,-0.061,-0.427,0.061
1636639431013,2021-11-11T16.03.51.013,4.486,0.000,-0.488,0.122
1636639431053,2021-11-11T16.03.51.053,4.526,-0.061,-0.396,0.152
1636639431092,2021-11-11T16.03.51.092,4.565,-0.030,-0.457,0.122
1636639431132,2021-11-11T16.03.51.132,4.605,-0.091,-0.427,0.122
1636639431170,2021-11-11T16.03.51.170,4.643,-0.091,-0.427,0.091
1636639431210,2021-11-11T16.03.51.210,4.683,-0.091,-0.396,0.122
1636639431249,2021-11-11T16.03.51.249,4.722,-0.030,-0.457,0.091
1636639431289,2021-11-11T16.03.51.289,4.762,-0.061,-0.396,0.091
1636639431328,2021-11-11T16.03.51.328,4.801,-0.030,-0.427,0.091
1636639431368,2021-11-11T16.03.51.368,4.841,-0.030,-0.457,0.122
1636639431407,2021-11-11T16.03.51.407,4.880,0.030,-0.427,0.091
1636639431447,2021-11-11T16.03.51.447,4.920,0.000,-0.518,0.091
1636639431485,2021-11-11T16.03.51.485,4.958,-0.122,-0.366,0.122
1636639431525,2021-11-11T16.03.51.525,4.998,-0.061,-0.457,0.061
1636639431564,2021-11-11T16.03.51.564,5.037,-0.030,-0.396,0.122
1636639431604,2021-11-11T16.03.51.604,5.077,-0.030,-0.457,0.091
1636639431643,2021-11-11T16.03.51.643,5.116,0.000,-0.457,0.091
1636639431683,2021-11-11T16.03.51.683,5.156,-0.061,-0.427,0.152
1636639431722,2021-11-11T16.03.51.722,5.195,-0.091,-0.427,0.091
1636639431762,2021-11-11T16.03.51.762,5.235,-0.091,-0.396,0.091
1636639431800,2021-11-11T16.03.51.800,5.273,0.000,-0.396,0.122
1636639431840,2021-11-11T16.03.51.840,5.313,0.000,-0.427,0.091
1636639431879,2021-11-11T16.03.51.879,5.352,-0.061,-0.305,0.091
1636639431919,2021-11-11T16.03.51.919,5.392,0.000,-0.457,0.122
1636639431958,2021-11-11T16.03.51.958,5.431,-0.030,-0.366,0.122
1636639431998,2021-11-11T16.03.51.998,5.471,-0.091,-0.457,0.061
1636639432037,2021-11-11T16.03.52.037,5.510,-0.061,-0.396,0.091
1636639432077,2021-11-11T16.03.52.077,5.550,-0.061,-0.488,0.061
1636639432115,2021-11-11T16.03.52.115,5.588,-0.030,-0.396,0.122
1636639432154,2021-11-11T16.03.52.154,5.627,0.000,-0.427,0.122
1636639432194,2021-11-11T16.03.52.194,5.667,-0.030,-0.366,0.091
1636639432234,2021-11-11T16.03.52.234,5.707,-0.030,-0.488,0.091
1636639432273,2021-11-11T16.03.52.273,5.746,-0.061,-0.366,0.122
1636639432313,2021-11-11T16.03.52.313,5.786,-0.091,-0.457,0.122
1636639432352,2021-11-11T16.03.52.352,5.825,-0.061,-0.457,0.122
1636639432390,2021-11-11T16.03.52.390,5.863,-0.091,-0.457,0.091
1636639432430,2021-11-11T16.03.52.430,5.903,-0.061,-0.427,0.091
1636639432469,2021-11-11T16.03.52.469,5.942,-0.030,-0.457,0.122
1636639432509,2021-11-11T16.03.52.509,5.982,-0.030,-0.457,0.091
1636639432549,2021-11-11T16.03.52.549,6.022,-0.030,-0.396,0.122
1636639432588,2021-11-11T16.03.52.588,6.061,-0.091,-0.396,0.122
1636639432628,2021-11-11T16.03.52.628,6.101,-0.061,-0.457,0.122
1636639432666,2021-11-11T16.03.52.666,6.139,-0.061,-0.427,0.091
1636639432705,2021-11-11T16.03.52.705,6.178,-0.030,-0.396,0.122
1636639432745,2021-11-11T16.03.52.745,6.218,-0.061,-0.457,0.091
1636639432784,2021-11-11T16.03.52.784,6.257,-0.061,-0.335,0.122
1636639432824,2021-11-11T16.03.52.824,6.297,-0.030,-0.427,0.122
1636639432863,2021-11-11T16.03.52.863,6.336,-0.030,-0.396,0.091
1636639432903,2021-11-11T16.03.52.903,6.376,0.000,-0.427,0.091
1636639432943,2021-11-11T16.03.52.943,6.416,-0.030,-0.427,0.122
1636639432981,2021-11-11T16.03.52.981,6.454,-0.030,-0.427,0.091
1636639433020,2021-11-11T16.03.53.020,6.493,-0.122,-0.396,0.061
1636639433060,2021-11-11T16.03.53.060,6.533,-0.091,-0.427,0.091
1636639433099,2021-11-11T16.03.53.099,6.572,-0.061,-0.427,0.122
1636639433139,2021-11-11T16.03.53.139,6.612,-0.061,-0.488,0.091
1636639433178,2021-11-11T16.03.53.178,6.651,-0.061,-0.366,0.122
1636639433218,2021-11-11T16.03.53.218,6.691,-0.061,-0.457,0.122
1636639433256,2021-11-11T16.03.53.256,6.729,-0.091,-0.427,0.122
1636639433296,2021-11-11T16.03.53.296,6.769,-0.091,-0.457,0.091
1636639433335,2021-11-11T16.03.53.335,6.808,-0.061,-0.366,0.152
1636639433375,2021-11-11T16.03.53.375,6.848,-0.061,-0.427,0.061
1636639433414,2021-11-11T16.03.53.414,6.887,-0.061,-0.427,0.122
1636639433454,2021-11-11T16.03.53.454,6.927,-0.091,-0.427,0.091
1636639433493,2021-11-11T16.03.53.493,6.966,-0.030,-0.427,0.152
1636639433531,2021-11-11T16.03.53.531,7.004,0.000,-0.427,0.091
1636639433571,2021-11-11T16.03.53.571,7.044,-0.030,-0.427,0.091
1636639433611,2021-11-11T16.03.53.611,7.084,-0.030,-0.427,0.122
1636639433650,2021-11-11T16.03.53.650,7.123,-0.061,-0.396,0.030
1636639433690,2021-11-11T16.03.53.690,7.163,-0.091,-0.427,0.061
1636639433729,2021-11-11T16.03.53.729,7.202,-0.061,-0.396,0.122
1636639433769,2021-11-11T16.03.53.769,7.242,-0.061,-0.396,0.091
1636639433807,2021-11-11T16.03.53.807,7.280,0.000,-0.427,0.122
1636639433846,2021-11-11T16.03.53.846,7.319,-0.030,-0.396,0.091
1636639433886,2021-11-11T16.03.53.886,7.359,-0.061,-0.427,0.122
1636639433925,2021-11-11T16.03.53.925,7.398,-0.061,-0.427,0.122
1636639433965,2021-11-11T16.03.53.965,7.438,-0.030,-0.396,0.122
1636639434005,2021-11-11T16.03.54.005,7.478,0.000,-0.427,0.122
1636639434044,2021-11-11T16.03.54.044,7.517,-0.122,-0.457,0.061
1636639434084,2021-11-11T16.03.54.084,7.557,-0.091,-0.396,0.091
1636639434122,2021-11-11T16.03.54.122,7.595,-0.061,-0.427,0.091
1636639434161,2021-11-11T16.03.54.161,7.634,0.000,-0.427,0.152
1636639434201,2021-11-11T16.03.54.201,7.674,-0.061,-0.396,0.091
1636639434240,2021-11-11T16.03.54.240,7.713,-0.061,-0.457,0.122
1636639434280,2021-11-11T16.03.54.280,7.753,-0.030,-0.396,0.091
1636639434319,2021-11-11T16.03.54.319,7.792,-0.061,-0.488,0.122
1636639434359,2021-11-11T16.03.54.359,7.832,-0.030,-0.366,0.091
1636639434397,2021-11-11T16.03.54.397,7.870,-0.061,-0.457,0.061
1636639434437,2021-11-11T16.03.54.437,7.910,0.000,-0.427,0.152
1636639434476,2021-11-11T16.03.54.476,7.949,-0.061,-0.457,0.061
1636639434516,2021-11-11T16.03.54.516,7.989,-0.030,-0.396,0.122
1636639434555,2021-11-11T16.03.54.555,8.028,-0.030,-0.457,0.091
1636639434595,2021-11-11T16.03.54.595,8.068,-0.061,-0.366,0.122
1636639434634,2021-11-11T16.03.54.634,8.107,-0.030,-0.427,0.091
1636639434673,2021-11-11T16.03.54.673,8.146,-0.091,-0.335,0.061
1636639434712,2021-11-11T16.03.54.712,8.185,-0.091,-0.488,0.122
1636639434752,2021-11-11T16.03.54.752,8.225,-0.030,-0.396,0.091
1636639434791,2021-11-11T16.03.54.791,8.264,-0.030,-0.396,0.061
1636639434831,2021-11-11T16.03.54.831,8.304,-0.030,-0.396,0.122
1636639434870,2021-11-11T16.03.54.870,8.343,0.000,-0.396,0.061
1636639434910,2021-11-11T16.03.54.910,8.383,0.000,-0.427,0.152
1636639434949,2021-11-11T16.03.54.949,8.422,-0.030,-0.396,0.091
1636639434987,2021-11-11T16.03.54.987,8.460,-0.061,-0.396,0.091
