epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635799939163,2021-11-01T22.52.19.163,0.000,-0.156,0.500,-0.800
1635799939203,2021-11-01T22.52.19.203,0.040,-0.218,0.504,-0.792
1635799939243,2021-11-01T22.52.19.243,0.080,-0.242,0.529,-0.817
1635799939283,2021-11-01T22.52.19.283,0.120,-0.240,0.507,-0.814
1635799939323,2021-11-01T22.52.19.323,0.160,-0.265,0.499,-0.817
1635799939363,2021-11-01T22.52.19.363,0.200,-0.310,0.489,-0.832
1635799939403,2021-11-01T22.52.19.403,0.240,-0.343,0.493,-0.822
1635799939443,2021-11-01T22.52.19.443,0.280,-0.348,0.497,-0.806
1635799939483,2021-11-01T22.52.19.483,0.320,-0.352,0.485,-0.803
1635799939523,2021-11-01T22.52.19.523,0.360,-0.359,0.497,-0.815
1635799939563,2021-11-01T22.52.19.563,0.400,-0.347,0.495,-0.805
1635799939603,2021-11-01T22.52.19.603,0.440,-0.361,0.509,-0.784
1635799939643,2021-11-01T22.52.19.643,0.480,-0.363,0.513,-0.779
1635799939683,2021-11-01T22.52.19.683,0.520,-0.370,0.510,-0.777
1635799939723,2021-11-01T22.52.19.723,0.560,-0.372,0.501,-0.776
1635799939763,2021-11-01T22.52.19.763,0.600,-0.369,0.498,-0.777
1635799939803,2021-11-01T22.52.19.803,0.640,-0.370,0.493,-0.776
1635799939843,2021-11-01T22.52.19.843,0.680,-0.375,0.494,-0.780
1635799939883,2021-11-01T22.52.19.883,0.720,-0.380,0.487,-0.785
1635799939923,2021-11-01T22.52.19.923,0.760,-0.377,0.477,-0.790
1635799939963,2021-11-01T22.52.19.963,0.800,-0.368,0.482,-0.786
1635799940003,2021-11-01T22.52.20.003,0.840,-0.366,0.488,-0.789
1635799940043,2021-11-01T22.52.20.043,0.880,-0.372,0.481,-0.807
1635799940083,2021-11-01T22.52.20.083,0.920,-0.377,0.465,-0.802
1635799940123,2021-11-01T22.52.20.123,0.960,-0.374,0.476,-0.778
1635799940163,2021-11-01T22.52.20.163,1.000,-0.366,0.484,-0.771
1635799940203,2021-11-01T22.52.20.203,1.040,-0.368,0.496,-0.784
1635799940243,2021-11-01T22.52.20.243,1.080,-0.375,0.488,-0.810
1635799940283,2021-11-01T22.52.20.283,1.120,-0.365,0.472,-0.803
1635799940323,2021-11-01T22.52.20.323,1.160,-0.367,0.479,-0.791
1635799940363,2021-11-01T22.52.20.363,1.200,-0.367,0.479,-0.789
1635799940403,2021-11-01T22.52.20.403,1.240,-0.365,0.468,-0.792
1635799940443,2021-11-01T22.52.20.443,1.280,-0.376,0.484,-0.795
1635799940483,2021-11-01T22.52.20.483,1.320,-0.377,0.484,-0.796
1635799940523,2021-11-01T22.52.20.523,1.360,-0.371,0.477,-0.794
1635799940563,2021-11-01T22.52.20.563,1.400,-0.377,0.482,-0.785
