epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636208496625,2021-11-06T07:21:36.625,0.000,-0.945,0.061,0.091
1636208496665,2021-11-06T07:21:36.665,0.040,-0.762,0.122,0.183
1636208496705,2021-11-06T07:21:36.705,0.080,-0.640,0.061,-0.122
1636208496745,2021-11-06T07:21:36.745,0.120,-1.098,0.091,0.091
1636208496785,2021-11-06T07:21:36.785,0.160,-0.793,-0.061,-0.213
1636208496825,2021-11-06T07:21:36.825,0.200,-0.915,0.030,-0.061
1636208496865,2021-11-06T07:21:36.865,0.240,-1.311,-0.152,0.091
1636208496905,2021-11-06T07:21:36.905,0.280,-1.707,-0.152,0.061
1636208496945,2021-11-06T07:21:36.945,0.320,-2.439,-0.122,0.030
1636208496985,2021-11-06T07:21:36.985,0.360,-2.530,-0.213,0.213
1636208497025,2021-11-06T07:21:37.025,0.400,-2.622,0.213,0.183
1636208497065,2021-11-06T07:21:37.065,0.440,-2.835,0.396,0.366
1636208497105,2021-11-06T07:21:37.105,0.480,-3.415,0.427,0.457
1636208497145,2021-11-06T07:21:37.145,0.520,-3.445,0.335,0.183
1636208497185,2021-11-06T07:21:37.185,0.560,-2.866,0.457,-0.091
1636208497225,2021-11-06T07:21:37.225,0.600,-1.433,-0.030,-0.213
1636208497265,2021-11-06T07:21:37.265,0.640,-1.098,-0.030,0.213
1636208497305,2021-11-06T07:21:37.305,0.680,-0.823,0.061,1.189
1636208497345,2021-11-06T07:21:37.345,0.720,-1.738,-0.732,2.409
1636208497385,2021-11-06T07:21:37.385,0.760,-1.738,-0.915,1.280
1636208497425,2021-11-06T07:21:37.425,0.800,-1.189,-0.732,0.945
1636208497465,2021-11-06T07:21:37.465,0.840,-2.378,0.030,1.494
1636208497505,2021-11-06T07:21:37.505,0.880,-2.195,0.945,0.244
1636208497545,2021-11-06T07:21:37.545,0.920,-2.134,0.335,-0.274
1636208497585,2021-11-06T07:21:37.585,0.960,-2.256,0.274,0.030
1636208497625,2021-11-06T07:21:37.625,1.000,-2.470,0.152,-0.640
1636208497665,2021-11-06T07:21:37.665,1.040,-1.921,-0.518,-0.213
1636208497705,2021-11-06T07:21:37.705,1.080,-1.768,-0.549,0.213
1636208497745,2021-11-06T07:21:37.745,1.120,-1.982,-0.457,0.396
1636208497785,2021-11-06T07:21:37.785,1.160,-2.378,-0.213,0.884
1636208497825,2021-11-06T07:21:37.825,1.200,-2.805,0.396,1.128
1636208497865,2021-11-06T07:21:37.865,1.240,-1.738,0.244,0.030
1636208497905,2021-11-06T07:21:37.905,1.280,-0.061,-0.183,-1.098
1636208497945,2021-11-06T07:21:37.945,1.320,0.732,-0.518,-0.701
1636208497985,2021-11-06T07:21:37.985,1.360,0.427,-2.073,-1.159
1636208498025,2021-11-06T07:21:38.025,1.400,-1.585,-2.439,1.402
1636208498065,2021-11-06T07:21:38.065,1.440,-3.049,0.152,3.689
1636208498105,2021-11-06T07:21:38.105,1.480,-2.409,0.640,2.226
1636208498145,2021-11-06T07:21:38.145,1.520,2.622,-0.274,-2.012
1636208498185,2021-11-06T07:21:38.185,1.560,2.652,-0.915,-0.915
1636208498225,2021-11-06T07:21:38.225,1.600,-0.945,-0.884,1.098
1636208498265,2021-11-06T07:21:38.265,1.640,-1.311,-0.884,1.402
1636208498305,2021-11-06T07:21:38.305,1.680,-0.762,-0.732,1.555
1636208498345,2021-11-06T07:21:38.345,1.720,-0.701,-0.183,2.317
1636208498385,2021-11-06T07:21:38.385,1.760,-0.488,-1.463,1.433
1636208498425,2021-11-06T07:21:38.425,1.800,0.091,-1.890,0.335
1636208498465,2021-11-06T07:21:38.465,1.840,0.122,-1.921,0.152
1636208498505,2021-11-06T07:21:38.505,1.880,0.244,-1.128,-0.061
1636208498545,2021-11-06T07:21:38.545,1.920,0.518,1.433,-0.488
1636208498585,2021-11-06T07:21:38.585,1.960,2.744,0.884,-0.854
1636208498625,2021-11-06T07:21:38.625,2.000,1.860,1.159,-0.213
1636208498665,2021-11-06T07:21:38.665,2.040,0.518,1.159,0.915
1636208498705,2021-11-06T07:21:38.705,2.080,-1.006,0.701,2.866
1636208498745,2021-11-06T07:21:38.745,2.120,-0.183,-0.244,4.024
1636208498785,2021-11-06T07:21:38.785,2.160,-0.091,0.122,3.171
1636208498825,2021-11-06T07:21:38.825,2.200,-1.098,0.457,2.256
1636208498865,2021-11-06T07:21:38.865,2.240,-0.610,0.610,1.128
1636208498905,2021-11-06T07:21:38.905,2.280,-1.524,1.494,1.159
1636208498945,2021-11-06T07:21:38.945,2.320,-2.378,1.098,0.945
1636208498985,2021-11-06T07:21:38.985,2.360,-2.866,1.189,0.701
1636208499025,2021-11-06T07:21:39.025,2.400,-2.744,0.823,0.427
1636208499065,2021-11-06T07:21:39.065,2.440,-2.500,0.640,0.274
1636208499105,2021-11-06T07:21:39.105,2.480,-1.921,0.549,0.183
1636208499145,2021-11-06T07:21:39.145,2.520,-1.463,0.640,0.061
1636208499185,2021-11-06T07:21:39.185,2.560,-1.707,0.518,0.091
1636208499225,2021-11-06T07:21:39.225,2.600,-0.976,0.244,-0.274
1636208499265,2021-11-06T07:21:39.265,2.640,-0.366,-0.854,-0.793
1636208499305,2021-11-06T07:21:39.305,2.680,0.457,-1.860,-1.860
1636208499345,2021-11-06T07:21:39.345,2.720,-0.335,0.061,-0.488
1636208499385,2021-11-06T07:21:39.385,2.760,-0.579,0.000,0.030
1636208499425,2021-11-06T07:21:39.425,2.800,-0.457,-0.335,-0.274
1636208499465,2021-11-06T07:21:39.465,2.840,-1.189,0.427,0.305
1636208499505,2021-11-06T07:21:39.505,2.880,-2.134,0.671,0.945
1636208499545,2021-11-06T07:21:39.545,2.920,-1.921,0.244,0.579
1636208499585,2021-11-06T07:21:39.585,2.960,-2.896,0.915,1.250
1636208499625,2021-11-06T07:21:39.625,3.000,-2.530,0.701,1.098
1636208499665,2021-11-06T07:21:39.665,3.040,-1.402,-0.213,0.396
1636208499705,2021-11-06T07:21:39.705,3.080,-1.616,-0.122,0.335
1636208499745,2021-11-06T07:21:39.745,3.120,-1.128,-0.183,0.091
1636208499785,2021-11-06T07:21:39.785,3.160,-0.640,-0.701,-0.061
1636208499825,2021-11-06T07:21:39.825,3.200,-1.098,-0.152,0.030
1636208499865,2021-11-06T07:21:39.865,3.240,-1.311,0.244,-0.030
1636208499905,2021-11-06T07:21:39.905,3.280,-0.457,-0.122,-0.305
1636208499945,2021-11-06T07:21:39.945,3.320,-0.305,0.213,-0.274
1636208499985,2021-11-06T07:21:39.985,3.360,-0.549,0.396,-0.366
1636208500025,2021-11-06T07:21:40.025,3.400,-0.152,-0.030,-0.427
1636208500065,2021-11-06T07:21:40.065,3.440,-0.335,0.091,-0.396
1636208500105,2021-11-06T07:21:40.105,3.480,-1.067,0.457,-0.427
1636208500145,2021-11-06T07:21:40.145,3.520,-0.610,0.122,-0.457
1636208500185,2021-11-06T07:21:40.185,3.560,-1.098,0.274,-0.427
1636208500225,2021-11-06T07:21:40.225,3.600,-0.762,-0.030,-0.274
1636208500265,2021-11-06T07:21:40.265,3.640,-0.274,0.000,-0.274
1636208500305,2021-11-06T07:21:40.305,3.680,-0.335,-0.030,-0.366
1636208500345,2021-11-06T07:21:40.345,3.720,-0.488,0.183,-0.457
1636208500385,2021-11-06T07:21:40.385,3.760,-0.549,0.122,-0.335
1636208500425,2021-11-06T07:21:40.425,3.800,-0.274,0.122,-0.427
1636208500465,2021-11-06T07:21:40.465,3.840,-0.183,0.305,-0.488
1636208500505,2021-11-06T07:21:40.505,3.880,-0.335,0.305,-0.457
1636208500545,2021-11-06T07:21:40.545,3.920,-0.610,0.396,-0.579
1636208500585,2021-11-06T07:21:40.585,3.960,-0.671,0.579,-0.640
1636208500625,2021-11-06T07:21:40.625,4.000,-1.646,0.335,-0.488
1636208500665,2021-11-06T07:21:40.665,4.040,-1.616,0.030,-0.305
1636208500705,2021-11-06T07:21:40.705,4.080,-0.732,-0.061,-0.518
1636208500745,2021-11-06T07:21:40.745,4.120,-0.274,0.122,-0.457
1636208500785,2021-11-06T07:21:40.785,4.160,0.335,-0.244,-0.396
1636208500825,2021-11-06T07:21:40.825,4.200,1.280,-0.274,-0.671
1636208500865,2021-11-06T07:21:40.865,4.240,1.768,-0.518,-0.854
1636208500905,2021-11-06T07:21:40.905,4.280,0.793,-0.427,-0.213
1636208500945,2021-11-06T07:21:40.945,4.320,0.366,-0.030,-0.396
1636208500985,2021-11-06T07:21:40.985,4.360,0.457,-0.274,-0.488
1636208501025,2021-11-06T07:21:41.025,4.400,0.183,0.000,-0.305
1636208501065,2021-11-06T07:21:41.065,4.440,-0.122,0.274,-0.427
1636208501105,2021-11-06T07:21:41.105,4.480,0.000,0.183,-0.549
1636208501145,2021-11-06T07:21:41.145,4.520,0.305,0.244,-0.518
1636208501185,2021-11-06T07:21:41.185,4.560,1.098,-0.061,-0.793
1636208501225,2021-11-06T07:21:41.225,4.600,14.238,-4.726,-3.415
1636208501265,2021-11-06T07:21:41.265,4.640,32.805,-9.451,-5.457
1636208501305,2021-11-06T07:21:41.305,4.680,22.500,0.000,-4.329
1636208501345,2021-11-06T07:21:41.345,4.720,6.250,2.652,-1.341
1636208501385,2021-11-06T07:21:41.385,4.760,1.463,1.250,0.122
1636208501425,2021-11-06T07:21:41.425,4.800,-1.220,0.945,0.366
1636208501465,2021-11-06T07:21:41.465,4.840,-3.689,0.488,0.701
1636208501505,2021-11-06T07:21:41.505,4.880,-5.152,0.000,0.854
1636208501545,2021-11-06T07:21:41.545,4.920,-3.171,-0.671,0.549
1636208501585,2021-11-06T07:21:41.585,4.960,-3.689,-1.311,0.549
1636208501625,2021-11-06T07:21:41.625,5.000,-2.012,-1.159,0.305
1636208501665,2021-11-06T07:21:41.665,5.040,0.183,-1.067,0.000
1636208501705,2021-11-06T07:21:41.705,5.080,2.012,-1.098,-0.183
1636208501745,2021-11-06T07:21:41.745,5.120,1.128,-1.006,-0.030
1636208501785,2021-11-06T07:21:41.785,5.160,-0.518,-0.579,0.152
1636208501825,2021-11-06T07:21:41.825,5.200,-1.372,-0.152,0.061
1636208501865,2021-11-06T07:21:41.865,5.240,-1.707,-0.671,0.091
1636208501905,2021-11-06T07:21:41.905,5.280,-3.506,-0.305,0.305
1636208501945,2021-11-06T07:21:41.945,5.320,-4.695,-0.244,0.244
1636208501985,2021-11-06T07:21:41.985,5.360,-4.756,-0.274,0.305
1636208502025,2021-11-06T07:21:42.025,5.400,-3.689,0.000,0.091
1636208502065,2021-11-06T07:21:42.065,5.440,-2.043,-0.061,-0.061
1636208502105,2021-11-06T07:21:42.105,5.480,-1.616,-0.152,-0.030
1636208502145,2021-11-06T07:21:42.145,5.520,-1.280,-0.152,-0.122
1636208502185,2021-11-06T07:21:42.185,5.560,-0.701,-0.091,-0.213
1636208502225,2021-11-06T07:21:42.225,5.600,-0.640,-0.030,-0.366
1636208502265,2021-11-06T07:21:42.265,5.640,-0.915,0.305,-0.274
1636208502305,2021-11-06T07:21:42.305,5.680,-0.762,0.152,-0.366
1636208502345,2021-11-06T07:21:42.345,5.720,-0.335,0.030,-0.305
1636208502385,2021-11-06T07:21:42.385,5.760,-0.305,0.122,-0.335
1636208502425,2021-11-06T07:21:42.425,5.800,-0.274,0.274,-0.366
1636208502465,2021-11-06T07:21:42.465,5.840,-0.457,0.305,-0.335
1636208502505,2021-11-06T07:21:42.505,5.880,-0.549,0.274,-0.335
1636208502545,2021-11-06T07:21:42.545,5.920,-0.427,0.213,-0.305
1636208502585,2021-11-06T07:21:42.585,5.960,-0.671,0.305,-0.366
1636208502625,2021-11-06T07:21:42.625,6.000,-0.274,0.213,-0.396
1636208502665,2021-11-06T07:21:42.665,6.040,-0.305,0.213,-0.366
1636208502705,2021-11-06T07:21:42.705,6.080,-0.061,0.122,-0.305
1636208502745,2021-11-06T07:21:42.745,6.120,-0.305,0.000,-0.335
1636208502785,2021-11-06T07:21:42.785,6.160,-0.701,0.152,-0.274
1636208502825,2021-11-06T07:21:42.825,6.200,-0.488,0.152,-0.274
1636208502865,2021-11-06T07:21:42.865,6.240,-0.091,0.183,-0.396
1636208502905,2021-11-06T07:21:42.905,6.280,-0.061,0.305,-0.427
1636208502945,2021-11-06T07:21:42.945,6.320,-0.274,0.274,-0.427
1636208502985,2021-11-06T07:21:42.985,6.360,-0.427,0.396,-0.488
1636208503025,2021-11-06T07:21:43.025,6.400,-0.457,0.335,-0.366
1636208503065,2021-11-06T07:21:43.065,6.440,-0.305,0.183,-0.366
1636208503105,2021-11-06T07:21:43.105,6.480,-0.488,0.305,-0.335
1636208503145,2021-11-06T07:21:43.145,6.520,-0.457,0.335,-0.305
1636208503185,2021-11-06T07:21:43.185,6.560,-0.152,0.183,-0.335
1636208503225,2021-11-06T07:21:43.225,6.600,-0.488,0.335,-0.366
1636208503265,2021-11-06T07:21:43.265,6.640,-0.396,0.305,-0.335
1636208503305,2021-11-06T07:21:43.305,6.680,-0.335,0.122,-0.183
1636208503345,2021-11-06T07:21:43.345,6.720,-0.518,0.213,-0.183
1636208503385,2021-11-06T07:21:43.385,6.760,-0.549,0.274,-0.305
1636208503425,2021-11-06T07:21:43.425,6.800,-0.549,0.305,-0.335
