epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636616982047,2021-11-11T09.49.42.047,0.000,-0.231,-0.144,-0.969
1636616982087,2021-11-11T09.49.42.087,0.040,-0.235,-0.146,-0.979
1636616982127,2021-11-11T09.49.42.127,0.080,-0.232,-0.141,-0.978
1636616982167,2021-11-11T09.49.42.167,0.120,-0.231,-0.144,-0.978
1636616982207,2021-11-11T09.49.42.207,0.160,-0.233,-0.136,-0.978
1636616982247,2021-11-11T09.49.42.247,0.200,-0.235,-0.135,-0.976
1636616982287,2021-11-11T09.49.42.287,0.240,-0.235,-0.130,-0.976
1636616982327,2021-11-11T09.49.42.327,0.280,-0.233,-0.133,-0.977
1636616982367,2021-11-11T09.49.42.367,0.320,-0.232,-0.139,-0.977
1636616982407,2021-11-11T09.49.42.407,0.360,-0.233,-0.138,-0.979
1636616982447,2021-11-11T09.49.42.447,0.400,-0.231,-0.134,-0.979
1636616982487,2021-11-11T09.49.42.487,0.440,-0.231,-0.136,-0.977
1636616982527,2021-11-11T09.49.42.527,0.480,-0.234,-0.109,-0.978
1636616982567,2021-11-11T09.49.42.567,0.520,-0.234,-0.110,-0.985
1636616982607,2021-11-11T09.49.42.607,0.560,-0.210,-0.117,-0.993
1636616982647,2021-11-11T09.49.42.647,0.600,-0.293,0.026,-1.070
1636616982687,2021-11-11T09.49.42.687,0.640,-0.164,-0.303,-1.073
1636616982727,2021-11-11T09.49.42.727,0.680,-0.052,-0.967,-1.220
1636616982767,2021-11-11T09.49.42.767,0.720,0.103,-0.779,-1.072
1636616982807,2021-11-11T09.49.42.807,0.760,0.249,-0.863,-0.802
1636616982847,2021-11-11T09.49.42.847,0.800,0.392,-0.954,-0.508
1636616982887,2021-11-11T09.49.42.887,0.840,0.463,-0.957,-0.165
1636616982927,2021-11-11T09.49.42.927,0.880,0.380,-0.890,0.106
1636616982967,2021-11-11T09.49.42.967,0.920,0.307,-0.790,0.174
1636616983007,2021-11-11T09.49.43.007,0.960,0.168,-0.815,0.138
1636616983047,2021-11-11T09.49.43.047,1.000,0.043,-0.703,-0.040
1636616983087,2021-11-11T09.49.43.087,1.040,0.339,-0.632,-1.261
1636616983127,2021-11-11T09.49.43.127,1.080,0.506,0.021,-2.526
1636616983167,2021-11-11T09.49.43.167,1.120,0.670,-0.290,-0.456
1636616983207,2021-11-11T09.49.43.207,1.160,0.671,-0.898,0.788
