epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636041362294,2021-11-04T17.56.02.294,0.000,0.152,0.305,0.213
1636041362334,2021-11-04T17.56.02.334,0.040,0.091,0.579,0.335
1636041362374,2021-11-04T17.56.02.374,0.080,-0.122,0.000,0.335
1636041362414,2021-11-04T17.56.02.414,0.120,-0.244,-0.335,0.183
1636041362454,2021-11-04T17.56.02.454,0.160,-0.183,-0.152,0.152
1636041362494,2021-11-04T17.56.02.494,0.200,-0.030,0.122,0.305
1636041362534,2021-11-04T17.56.02.534,0.240,0.030,0.061,0.244
1636041362574,2021-11-04T17.56.02.574,0.280,0.061,0.000,0.244
1636041362614,2021-11-04T17.56.02.614,0.320,-0.122,-0.152,0.244
1636041362654,2021-11-04T17.56.02.654,0.360,-0.183,-0.122,0.213
1636041362694,2021-11-04T17.56.02.694,0.400,-0.091,-0.122,0.183
1636041362734,2021-11-04T17.56.02.734,0.440,0.061,0.000,0.183
1636041362774,2021-11-04T17.56.02.774,0.480,0.000,0.152,0.305
1636041362814,2021-11-04T17.56.02.814,0.520,-0.122,0.000,0.244
1636041362854,2021-11-04T17.56.02.854,0.560,-0.213,-0.122,0.183
1636041362894,2021-11-04T17.56.02.894,0.600,-0.183,-0.091,0.213
1636041362934,2021-11-04T17.56.02.934,0.640,-0.091,-0.030,0.183
1636041362974,2021-11-04T17.56.02.974,0.680,-0.152,-0.061,0.213
1636041363014,2021-11-04T17.56.03.014,0.720,-0.061,-0.030,0.183
1636041363054,2021-11-04T17.56.03.054,0.760,-0.122,0.030,0.183
1636041363094,2021-11-04T17.56.03.094,0.800,-0.061,0.091,0.244
1636041363134,2021-11-04T17.56.03.134,0.840,-0.122,-0.152,0.213
1636041363174,2021-11-04T17.56.03.174,0.880,-0.274,-0.366,0.122
1636041363214,2021-11-04T17.56.03.214,0.920,-0.122,-0.061,0.122
1636041363254,2021-11-04T17.56.03.254,0.960,0.030,0.152,0.244
1636041363294,2021-11-04T17.56.03.294,1.000,-0.091,0.000,0.274
1636041363334,2021-11-04T17.56.03.334,1.040,-0.122,-0.152,0.183
1636041363374,2021-11-04T17.56.03.374,1.080,-0.183,-0.061,0.152
1636041363414,2021-11-04T17.56.03.414,1.120,-0.274,0.061,0.244
1636041363454,2021-11-04T17.56.03.454,1.160,-0.213,-0.061,0.274
1636041363494,2021-11-04T17.56.03.494,1.200,-0.091,-0.091,0.183
1636041363534,2021-11-04T17.56.03.534,1.240,0.000,0.183,0.335
1636041363574,2021-11-04T17.56.03.574,1.280,-0.091,0.152,0.305
1636041363614,2021-11-04T17.56.03.614,1.320,0.000,0.122,0.213
1636041363654,2021-11-04T17.56.03.654,1.360,-0.213,0.000,0.152
1636041363694,2021-11-04T17.56.03.694,1.400,-0.396,-0.122,0.213
1636041363734,2021-11-04T17.56.03.734,1.440,-0.335,-0.061,0.274
1636041363774,2021-11-04T17.56.03.774,1.480,-0.244,0.152,0.152
1636041363814,2021-11-04T17.56.03.814,1.520,-0.305,0.396,0.244
1636041363854,2021-11-04T17.56.03.854,1.560,-0.274,0.274,0.305
1636041363894,2021-11-04T17.56.03.894,1.600,-0.579,-0.183,0.183
1636041363934,2021-11-04T17.56.03.934,1.640,-0.396,0.030,0.183
1636041363974,2021-11-04T17.56.03.974,1.680,-0.244,0.335,0.305
1636041364014,2021-11-04T17.56.04.014,1.720,-0.274,0.579,0.366
1636041364054,2021-11-04T17.56.04.054,1.760,-0.183,0.427,0.244
1636041364094,2021-11-04T17.56.04.094,1.800,-0.091,0.518,0.244
1636041364134,2021-11-04T17.56.04.134,1.840,-0.335,0.061,0.244
1636041364174,2021-11-04T17.56.04.174,1.880,-0.488,-0.335,0.122
1636041364214,2021-11-04T17.56.04.214,1.920,-0.396,-0.274,0.061
1636041364254,2021-11-04T17.56.04.254,1.960,-0.335,-0.091,0.152
1636041364294,2021-11-04T17.56.04.294,2.000,-0.671,-0.213,0.122
1636041364334,2021-11-04T17.56.04.334,2.040,-1.128,-0.945,-0.061
1636041364374,2021-11-04T17.56.04.374,2.080,-1.280,-1.341,-0.427
1636041364414,2021-11-04T17.56.04.414,2.120,-0.854,-0.610,0.122
1636041364454,2021-11-04T17.56.04.454,2.160,-0.793,0.152,0.518
1636041364494,2021-11-04T17.56.04.494,2.200,-0.366,0.488,0.366
1636041364534,2021-11-04T17.56.04.534,2.240,-0.335,0.030,0.213
1636041364574,2021-11-04T17.56.04.574,2.280,-0.274,0.061,0.244
1636041364614,2021-11-04T17.56.04.614,2.320,-0.579,-0.244,0.244
1636041364654,2021-11-04T17.56.04.654,2.360,-0.823,-0.274,0.122
1636041364694,2021-11-04T17.56.04.694,2.400,-0.701,0.579,0.366
1636041364734,2021-11-04T17.56.04.734,2.440,-0.671,1.006,1.006
1636041364774,2021-11-04T17.56.04.774,2.480,0.427,0.762,0.945
1636041364814,2021-11-04T17.56.04.814,2.520,1.372,-0.213,0.000
1636041364854,2021-11-04T17.56.04.854,2.560,0.518,-1.311,-0.335
1636041364894,2021-11-04T17.56.04.894,2.600,-0.152,-1.037,0.000
1636041364934,2021-11-04T17.56.04.934,2.640,0.762,0.152,0.030
1636041364974,2021-11-04T17.56.04.974,2.680,1.616,0.518,-0.122
1636041365014,2021-11-04T17.56.05.014,2.720,1.707,0.366,0.183
1636041365054,2021-11-04T17.56.05.054,2.760,1.128,-0.518,0.122
1636041365094,2021-11-04T17.56.05.094,2.800,1.463,-1.128,-0.549
1636041365134,2021-11-04T17.56.05.134,2.840,1.311,-0.366,-0.213
1636041365174,2021-11-04T17.56.05.174,2.880,0.183,-0.305,0.244
1636041365214,2021-11-04T17.56.05.214,2.920,-0.091,0.061,0.610
1636041365254,2021-11-04T17.56.05.254,2.960,0.213,1.250,0.701
1636041365294,2021-11-04T17.56.05.294,3.000,0.640,2.073,0.671
1636041365334,2021-11-04T17.56.05.334,3.040,-0.244,0.945,0.518
1636041365374,2021-11-04T17.56.05.374,3.080,-1.555,-0.762,0.122
1636041365414,2021-11-04T17.56.05.414,3.120,-1.098,-0.610,0.091
1636041365454,2021-11-04T17.56.05.454,3.160,0.091,0.518,0.488
1636041365494,2021-11-04T17.56.05.494,3.200,0.396,0.427,0.671
1636041365534,2021-11-04T17.56.05.534,3.240,-0.457,-0.152,0.427
1636041365574,2021-11-04T17.56.05.574,3.280,-0.823,-0.305,0.152
1636041365614,2021-11-04T17.56.05.614,3.320,-0.732,-0.610,-0.030
1636041365654,2021-11-04T17.56.05.654,3.360,-0.396,-0.671,0.030
1636041365694,2021-11-04T17.56.05.694,3.400,0.061,-0.213,0.061
1636041365734,2021-11-04T17.56.05.734,3.440,0.244,0.610,0.061
1636041365774,2021-11-04T17.56.05.774,3.480,-0.396,0.854,0.030
1636041365814,2021-11-04T17.56.05.814,3.520,-1.738,0.335,0.091
1636041365854,2021-11-04T17.56.05.854,3.560,-2.165,0.122,0.000
1636041365894,2021-11-04T17.56.05.894,3.600,-2.104,-0.579,0.183
1636041365934,2021-11-04T17.56.05.934,3.640,-1.860,-1.098,0.213
1636041365974,2021-11-04T17.56.05.974,3.680,-0.793,-0.335,0.366
1636041366014,2021-11-04T17.56.06.014,3.720,0.091,-0.030,0.305
1636041366054,2021-11-04T17.56.06.054,3.760,0.152,-0.244,0.274
1636041366094,2021-11-04T17.56.06.094,3.800,0.518,-0.152,0.000
1636041366134,2021-11-04T17.56.06.134,3.840,0.884,-0.305,-0.122
1636041366174,2021-11-04T17.56.06.174,3.880,1.250,-0.610,-0.091
1636041366214,2021-11-04T17.56.06.214,3.920,1.646,-0.915,-0.244
1636041366254,2021-11-04T17.56.06.254,3.960,1.646,-0.823,-0.305
1636041366294,2021-11-04T17.56.06.294,4.000,1.006,-0.305,-0.030
1636041366334,2021-11-04T17.56.06.334,4.040,0.061,-0.396,0.183
1636041366374,2021-11-04T17.56.06.374,4.080,-0.091,-0.762,0.335
1636041366414,2021-11-04T17.56.06.414,4.120,0.915,-0.396,1.402
1636041366454,2021-11-04T17.56.06.454,4.160,1.280,0.030,1.280
1636041366494,2021-11-04T17.56.06.494,4.200,0.549,-0.488,0.061
1636041366534,2021-11-04T17.56.06.534,4.240,0.000,-0.183,-0.427
1636041366574,2021-11-04T17.56.06.574,4.280,-0.152,1.860,-0.091
1636041366614,2021-11-04T17.56.06.614,4.320,-1.860,1.738,0.244
1636041366654,2021-11-04T17.56.06.654,4.360,-2.896,0.213,0.335
1636041366694,2021-11-04T17.56.06.694,4.400,-2.348,-0.061,0.183
1636041366734,2021-11-04T17.56.06.734,4.440,-0.793,0.274,-0.183
1636041366774,2021-11-04T17.56.06.774,4.480,-0.457,0.091,0.122
1636041366814,2021-11-04T17.56.06.814,4.520,-0.732,-0.427,0.274
1636041366854,2021-11-04T17.56.06.854,4.560,-0.793,-0.579,-0.122
1636041366894,2021-11-04T17.56.06.894,4.600,-0.823,-0.427,-0.366
1636041366934,2021-11-04T17.56.06.934,4.640,-0.762,-0.366,-0.183
