epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636127000388,2021-11-05T17:43:20.388,0.000,1.220,3.963,-0.793
1636127000428,2021-11-05T17:43:20.428,0.040,0.305,3.750,-1.280
1636127000468,2021-11-05T17:43:20.468,0.080,-3.841,5.640,0.488
1636127000508,2021-11-05T17:43:20.508,0.120,-7.470,5.579,0.366
1636127000548,2021-11-05T17:43:20.548,0.160,-4.604,5.732,-1.860
1636127000588,2021-11-05T17:43:20.588,0.200,-7.439,3.811,-0.427
1636127000628,2021-11-05T17:43:20.628,0.240,-8.811,1.677,1.341
1636127000668,2021-11-05T17:43:20.668,0.280,-2.165,-0.030,-0.396
1636127000708,2021-11-05T17:43:20.708,0.320,0.823,1.311,-0.793
1636127000748,2021-11-05T17:43:20.748,0.360,-0.945,3.049,0.640
1636127000788,2021-11-05T17:43:20.788,0.400,-2.012,-0.427,1.616
1636127000828,2021-11-05T17:43:20.828,0.440,-1.159,-1.646,1.402
1636127000868,2021-11-05T17:43:20.868,0.480,-1.585,2.226,2.256
1636127000908,2021-11-05T17:43:20.908,0.520,-5.152,2.591,4.573
1636127000948,2021-11-05T17:43:20.948,0.560,-13.201,-1.037,8.110
1636127000988,2021-11-05T17:43:20.988,0.600,-14.116,-2.622,7.805
1636127001028,2021-11-05T17:43:21.028,0.640,-5.610,0.274,3.902
1636127001068,2021-11-05T17:43:21.068,0.680,-2.378,2.195,2.561
1636127001108,2021-11-05T17:43:21.108,0.720,-3.049,4.238,3.140
1636127001148,2021-11-05T17:43:21.148,0.760,-4.451,3.171,3.720
1636127001188,2021-11-05T17:43:21.188,0.800,-4.085,2.683,4.055
1636127001228,2021-11-05T17:43:21.228,0.840,-3.171,0.549,3.659
1636127001268,2021-11-05T17:43:21.268,0.880,-2.835,-0.213,2.530
1636127001308,2021-11-05T17:43:21.308,0.920,-1.890,1.799,1.982
1636127001348,2021-11-05T17:43:21.348,0.960,-4.116,1.280,3.537
1636127001388,2021-11-05T17:43:21.388,1.000,-5.793,4.238,4.177
1636127001428,2021-11-05T17:43:21.428,1.040,-3.415,2.774,2.470
1636127001468,2021-11-05T17:43:21.468,1.080,-2.805,-1.555,0.884
1636127001508,2021-11-05T17:43:21.508,1.120,-1.433,1.250,1.098
1636127001548,2021-11-05T17:43:21.548,1.160,-1.128,1.280,1.128
1636127001588,2021-11-05T17:43:21.588,1.200,-0.823,1.921,1.037
1636127001628,2021-11-05T17:43:21.628,1.240,-1.250,6.707,2.409
1636127001668,2021-11-05T17:43:21.668,1.280,-10.579,8.079,5.640
1636127001708,2021-11-05T17:43:21.708,1.320,-19.787,0.549,6.768
1636127001748,2021-11-05T17:43:21.748,1.360,-17.530,-2.439,3.384
1636127001788,2021-11-05T17:43:21.788,1.400,-8.963,2.043,0.549
1636127001828,2021-11-05T17:43:21.828,1.440,-11.311,11.159,4.024
1636127001868,2021-11-05T17:43:21.868,1.480,-16.402,10.915,8.354
1636127001908,2021-11-05T17:43:21.908,1.520,-12.530,5.244,6.921
1636127001948,2021-11-05T17:43:21.948,1.560,-5.000,4.177,6.921
1636127001988,2021-11-05T17:43:21.988,1.600,-6.280,6.067,7.439
1636127002028,2021-11-05T17:43:22.028,1.640,-6.646,6.829,6.555
1636127002068,2021-11-05T17:43:22.068,1.680,-4.878,2.500,6.037
1636127002108,2021-11-05T17:43:22.108,1.720,-9.787,-4.970,4.268
1636127002148,2021-11-05T17:43:22.148,1.760,-49.695,-39.390,4.299
1636127002188,2021-11-05T17:43:22.188,1.800,-72.439,-81.860,8.201
1636127002228,2021-11-05T17:43:22.228,1.840,-34.207,-66.220,4.421
1636127002268,2021-11-05T17:43:22.268,1.880,0.640,-27.530,1.280
1636127002308,2021-11-05T17:43:22.308,1.920,12.927,-6.951,2.957
1636127002348,2021-11-05T17:43:22.348,1.960,12.530,5.610,5.457
1636127002388,2021-11-05T17:43:22.388,2.000,8.780,17.622,5.610
1636127002428,2021-11-05T17:43:22.428,2.040,6.585,13.567,3.537
1636127002468,2021-11-05T17:43:22.468,2.080,-0.427,5.945,3.841
1636127002508,2021-11-05T17:43:22.508,2.120,-2.409,7.226,3.841
1636127002548,2021-11-05T17:43:22.548,2.160,-2.165,3.171,1.311
1636127002588,2021-11-05T17:43:22.588,2.200,-2.866,1.402,0.335
1636127002628,2021-11-05T17:43:22.628,2.240,0.396,5.366,1.494
1636127002668,2021-11-05T17:43:22.668,2.280,1.768,1.890,1.799
1636127002708,2021-11-05T17:43:22.708,2.320,2.409,1.768,2.957
1636127002748,2021-11-05T17:43:22.748,2.360,5.091,3.201,2.957
1636127002788,2021-11-05T17:43:22.788,2.400,6.067,0.122,2.012
1636127002828,2021-11-05T17:43:22.828,2.440,5.305,0.762,1.494
1636127002868,2021-11-05T17:43:22.868,2.480,3.110,2.500,-0.884
1636127002908,2021-11-05T17:43:22.908,2.520,1.494,2.744,-0.823
1636127002948,2021-11-05T17:43:22.948,2.560,0.366,5.976,0.976
1636127002988,2021-11-05T17:43:22.988,2.600,0.244,8.811,1.433
1636127003028,2021-11-05T17:43:23.028,2.640,-1.890,5.793,1.860
1636127003068,2021-11-05T17:43:23.068,2.680,-1.524,8.567,2.957
1636127003108,2021-11-05T17:43:23.108,2.720,1.402,10.122,1.768
1636127003148,2021-11-05T17:43:23.148,2.760,0.335,5.671,0.915
1636127003188,2021-11-05T17:43:23.188,2.800,0.335,7.713,0.945
1636127003228,2021-11-05T17:43:23.228,2.840,4.421,8.018,-0.427
1636127003268,2021-11-05T17:43:23.268,2.880,3.445,1.982,-1.250
1636127003308,2021-11-05T17:43:23.308,2.920,3.232,4.817,-0.213
1636127003348,2021-11-05T17:43:23.348,2.960,2.927,3.384,-2.561
1636127003388,2021-11-05T17:43:23.388,3.000,0.183,-2.652,-5.518
1636127003428,2021-11-05T17:43:23.428,3.040,0.335,2.591,-4.451
1636127003468,2021-11-05T17:43:23.468,3.080,3.720,6.616,-3.232
1636127003508,2021-11-05T17:43:23.508,3.120,3.354,3.689,-1.280
1636127003548,2021-11-05T17:43:23.548,3.160,3.537,2.744,1.189
1636127003588,2021-11-05T17:43:23.588,3.200,5.976,-0.854,0.305
1636127003628,2021-11-05T17:43:23.628,3.240,6.524,-4.543,-0.793
