epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.635E+12,2021-10-23T07:31:33.714,0,-0.305,-0.186,-0.92
1.635E+12,2021-10-23T07:31:33.754,0.04,-0.309,-0.187,-0.928
1.635E+12,2021-10-23T07:31:33.794,0.08,-0.309,-0.186,-0.925
1.635E+12,2021-10-23T07:31:33.834,0.12,-0.308,-0.183,-0.927
1.635E+12,2021-10-23T07:31:33.874,0.16,-0.304,-0.18,-0.929
1.635E+12,2021-10-23T07:31:33.914,0.2,-0.308,-0.181,-0.925
1.635E+12,2021-10-23T07:31:33.954,0.24,-0.31,-0.185,-0.925
1.635E+12,2021-10-23T07:31:33.994,0.28,-0.303,-0.181,-0.928
1.635E+12,2021-10-23T07:31:34.034,0.32,-0.304,-0.183,-0.926
1.635E+12,2021-10-23T07:31:34.074,0.36,-0.31,-0.187,-0.925
1.635E+12,2021-10-23T07:31:34.114,0.4,-0.307,-0.179,-0.926
1.635E+12,2021-10-23T07:31:34.154,0.44,-0.309,-0.186,-0.928
1.635E+12,2021-10-23T07:31:34.194,0.48,-0.307,-0.184,-0.928
1.635E+12,2021-10-23T07:31:34.234,0.52,-0.306,-0.181,-0.928
1.635E+12,2021-10-23T07:31:34.274,0.56,-0.306,-0.18,-0.926
1.635E+12,2021-10-23T07:31:34.314,0.6,-0.311,-0.183,-0.924
1.635E+12,2021-10-23T07:31:34.354,0.64,-0.307,-0.184,-0.927
1.635E+12,2021-10-23T07:31:34.394,0.68,-0.307,-0.185,-0.927
1.635E+12,2021-10-23T07:31:34.434,0.72,-0.311,-0.185,-0.926
1.635E+12,2021-10-23T07:31:34.474,0.76,-0.304,-0.181,-0.927
1.635E+12,2021-10-23T07:31:34.514,0.8,-0.303,-0.187,-0.928
1.635E+12,2021-10-23T07:31:34.554,0.84,-0.31,-0.183,-0.924
1.635E+12,2021-10-23T07:31:34.594,0.88,-0.307,-0.176,-0.926
1.635E+12,2021-10-23T07:31:34.634,0.92,-0.309,-0.193,-0.927
1.635E+12,2021-10-23T07:31:34.674,0.96,-0.303,-0.186,-0.929
1.635E+12,2021-10-23T07:31:34.714,1,-0.309,-0.173,-0.924
1.635E+12,2021-10-23T07:31:34.754,1.04,-0.316,-0.183,-0.922
1.635E+12,2021-10-23T07:31:34.794,1.08,-0.31,-0.187,-0.926
1.635E+12,2021-10-23T07:31:34.834,1.12,-0.305,-0.175,-0.928
1.635E+12,2021-10-23T07:31:34.874,1.16,-0.308,-0.169,-0.927
1.635E+12,2021-10-23T07:31:34.914,1.2,-0.31,-0.172,-0.928
1.635E+12,2021-10-23T07:31:34.954,1.24,-0.31,-0.172,-0.925
1.635E+12,2021-10-23T07:31:34.994,1.28,-0.31,-0.173,-0.926
1.635E+12,2021-10-23T07:31:35.034,1.32,-0.309,-0.177,-0.927
1.635E+12,2021-10-23T07:31:35.074,1.36,-0.309,-0.183,-0.926
1.635E+12,2021-10-23T07:31:35.114,1.4,-0.31,-0.176,-0.926
1.635E+12,2021-10-23T07:31:35.154,1.44,-0.309,-0.171,-0.927
1.635E+12,2021-10-23T07:31:35.194,1.48,-0.312,-0.174,-0.927
1.635E+12,2021-10-23T07:31:35.234,1.52,-0.31,-0.175,-0.927
1.635E+12,2021-10-23T07:31:35.274,1.56,-0.309,-0.176,-0.926
1.635E+12,2021-10-23T07:31:35.314,1.6,-0.311,-0.179,-0.925
1.635E+12,2021-10-23T07:31:35.354,1.64,-0.31,-0.178,-0.925
1.635E+12,2021-10-23T07:31:35.394,1.68,-0.31,-0.172,-0.927
1.635E+12,2021-10-23T07:31:35.434,1.72,-0.308,-0.17,-0.928
1.635E+12,2021-10-23T07:31:35.474,1.76,-0.31,-0.176,-0.926
1.635E+12,2021-10-23T07:31:35.514,1.8,-0.311,-0.179,-0.925
1.635E+12,2021-10-23T07:31:35.554,1.84,-0.312,-0.178,-0.926
1.635E+12,2021-10-23T07:31:35.594,1.88,-0.312,-0.178,-0.925
1.635E+12,2021-10-23T07:31:35.634,1.92,-0.31,-0.181,-0.925
1.635E+12,2021-10-23T07:31:35.674,1.96,-0.308,-0.165,-0.928
1.635E+12,2021-10-23T07:31:35.714,2,-0.312,-0.182,-0.925
1.635E+12,2021-10-23T07:31:35.754,2.04,-0.31,-0.17,-0.927
1.635E+12,2021-10-23T07:31:35.794,2.08,-0.309,-0.178,-0.928
1.635E+12,2021-10-23T07:31:35.834,2.12,-0.311,-0.174,-0.926
1.635E+12,2021-10-23T07:31:35.874,2.16,-0.311,-0.163,-0.926
1.635E+12,2021-10-23T07:31:35.914,2.2,-0.314,-0.172,-0.925
1.635E+12,2021-10-23T07:31:35.954,2.24,-0.31,-0.175,-0.926
1.635E+12,2021-10-23T07:31:35.994,2.28,-0.314,-0.165,-0.925
1.635E+12,2021-10-23T07:31:36.034,2.32,-0.312,-0.174,-0.927
1.635E+12,2021-10-23T07:31:36.074,2.36,-0.32,-0.175,-0.924
1.635E+12,2021-10-23T07:31:36.114,2.4,-0.308,-0.16,-0.927
1.635E+12,2021-10-23T07:31:36.154,2.44,-0.309,-0.17,-0.931
1.635E+12,2021-10-23T07:31:36.194,2.48,-0.314,-0.175,-0.924
1.635E+12,2021-10-23T07:31:36.234,2.52,-0.31,-0.161,-0.927
1.635E+12,2021-10-23T07:31:36.274,2.56,-0.313,-0.183,-0.926
1.635E+12,2021-10-23T07:31:36.314,2.6,-0.316,-0.166,-0.924
1.635E+12,2021-10-23T07:31:36.354,2.64,-0.316,-0.162,-0.928
1.635E+12,2021-10-23T07:31:36.394,2.68,-0.311,-0.169,-0.929
1.635E+12,2021-10-23T07:31:36.434,2.72,-0.31,-0.15,-0.927
1.635E+12,2021-10-23T07:31:36.474,2.76,-0.301,-0.17,-0.931
1.635E+12,2021-10-23T07:31:36.514,2.8,-0.318,-0.167,-0.927
1.635E+12,2021-10-23T07:31:36.554,2.84,-0.33,-0.167,-0.916
1.635E+12,2021-10-23T07:31:36.594,2.88,-0.316,-0.162,-0.928
1.635E+12,2021-10-23T07:31:36.634,2.92,-0.318,-0.163,-0.928
1.635E+12,2021-10-23T07:31:36.674,2.96,-0.322,-0.171,-0.924
1.635E+12,2021-10-23T07:31:36.714,3,-0.325,-0.174,-0.923
1.635E+12,2021-10-23T07:31:36.754,3.04,-0.317,-0.155,-0.926
1.635E+12,2021-10-23T07:31:36.794,3.08,-0.313,-0.158,-0.932
1.635E+12,2021-10-23T07:31:36.834,3.12,-0.325,-0.181,-0.929
1.635E+12,2021-10-23T07:31:36.874,3.16,-0.313,-0.156,-0.942
1.635E+12,2021-10-23T07:31:36.914,3.2,-0.297,-0.087,-0.925
1.635E+12,2021-10-23T07:31:36.954,3.24,-0.333,-0.105,-0.9
1.635E+12,2021-10-23T07:31:36.994,3.28,-0.316,-0.143,-0.942
1.635E+12,2021-10-23T07:31:37.034,3.32,-0.307,-0.125,-0.936
1.635E+12,2021-10-23T07:31:37.074,3.36,-0.33,-0.127,-0.922
1.635E+12,2021-10-23T07:31:37.114,3.4,-0.334,-0.143,-0.922
1.635E+12,2021-10-23T07:31:37.154,3.44,-0.319,-0.128,-0.927
1.635E+12,2021-10-23T07:31:37.194,3.48,-0.318,-0.135,-0.932
