epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636374971301,2021-11-08T14.36.11.301,0.000,-0.691,-0.642,-1.140
1636374971341,2021-11-08T14.36.11.341,0.040,-0.175,-0.374,-0.923
1636374971381,2021-11-08T14.36.11.381,0.080,-0.205,-0.214,-0.983
1636374971421,2021-11-08T14.36.11.421,0.120,-0.296,-0.193,-0.953
1636374971461,2021-11-08T14.36.11.461,0.160,-0.261,-0.207,-0.964
1636374971501,2021-11-08T14.36.11.501,0.200,-0.238,-0.266,-0.964
1636374971541,2021-11-08T14.36.11.541,0.240,-0.240,-0.231,-0.964
1636374971581,2021-11-08T14.36.11.581,0.280,-0.245,-0.215,-0.962
1636374971621,2021-11-08T14.36.11.621,0.320,-0.246,-0.217,-0.965
1636374971661,2021-11-08T14.36.11.661,0.360,-0.246,-0.215,-0.963
1636374971701,2021-11-08T14.36.11.701,0.400,-0.249,-0.214,-0.963
1636374971741,2021-11-08T14.36.11.741,0.440,-0.249,-0.208,-0.963
1636374971781,2021-11-08T14.36.11.781,0.480,-0.246,-0.208,-0.964
1636374971821,2021-11-08T14.36.11.821,0.520,-0.248,-0.213,-0.964
1636374971861,2021-11-08T14.36.11.861,0.560,-0.250,-0.202,-0.963
1636374971901,2021-11-08T14.36.11.901,0.600,-0.247,-0.211,-0.962
1636374971941,2021-11-08T14.36.11.941,0.640,-0.247,-0.201,-0.964
1636374971981,2021-11-08T14.36.11.981,0.680,-0.230,-0.242,-0.964
1636374972021,2021-11-08T14.36.12.021,0.720,-0.236,-0.243,-0.957
1636374972061,2021-11-08T14.36.12.061,0.760,-0.232,-0.217,-0.965
1636374972101,2021-11-08T14.36.12.101,0.800,-0.234,-0.217,-0.967
1636374972141,2021-11-08T14.36.12.141,0.840,-0.235,-0.227,-0.959
1636374972181,2021-11-08T14.36.12.181,0.880,-0.239,-0.229,-0.959
1636374972221,2021-11-08T14.36.12.221,0.920,-0.233,-0.233,-0.965
1636374972261,2021-11-08T14.36.12.261,0.960,-0.234,-0.220,-0.962
1636374972301,2021-11-08T14.36.12.301,1.000,-0.246,-0.219,-0.957
1636374972341,2021-11-08T14.36.12.341,1.040,-0.240,-0.225,-0.961
1636374972381,2021-11-08T14.36.12.381,1.080,-0.231,-0.229,-0.964
1636374972421,2021-11-08T14.36.12.421,1.120,-0.235,-0.226,-0.961
1636374972461,2021-11-08T14.36.12.461,1.160,-0.231,-0.232,-0.960
1636374972501,2021-11-08T14.36.12.501,1.200,-0.224,-0.225,-0.967
1636374972541,2021-11-08T14.36.12.541,1.240,-0.230,-0.234,-0.962
1636374972581,2021-11-08T14.36.12.581,1.280,-0.232,-0.225,-0.960
1636374972621,2021-11-08T14.36.12.621,1.320,-0.233,-0.224,-0.962
1636374972661,2021-11-08T14.36.12.661,1.360,-0.230,-0.234,-0.960
1636374972701,2021-11-08T14.36.12.701,1.400,-0.227,-0.226,-0.966
1636374972741,2021-11-08T14.36.12.741,1.440,-0.227,-0.225,-0.964
1636374972781,2021-11-08T14.36.12.781,1.480,-0.228,-0.238,-0.960
1636374972821,2021-11-08T14.36.12.821,1.520,-0.215,-0.233,-0.965
1636374972861,2021-11-08T14.36.12.861,1.560,-0.225,-0.225,-0.963
1636374972901,2021-11-08T14.36.12.901,1.600,-0.232,-0.224,-0.959
1636374972941,2021-11-08T14.36.12.941,1.640,-0.228,-0.231,-0.964
1636374972981,2021-11-08T14.36.12.981,1.680,-0.229,-0.229,-0.966
1636374973021,2021-11-08T14.36.13.021,1.720,-0.233,-0.222,-0.960
1636374973061,2021-11-08T14.36.13.061,1.760,-0.226,-0.230,-0.963
1636374973101,2021-11-08T14.36.13.101,1.800,-0.230,-0.227,-0.962
1636374973141,2021-11-08T14.36.13.141,1.840,-0.228,-0.238,-0.959
1636374973181,2021-11-08T14.36.13.181,1.880,-0.230,-0.227,-0.965
1636374973221,2021-11-08T14.36.13.221,1.920,-0.232,-0.236,-0.961
1636374973261,2021-11-08T14.36.13.261,1.960,-0.226,-0.222,-0.964
1636374973301,2021-11-08T14.36.13.301,2.000,-0.230,-0.237,-0.962
1636374973341,2021-11-08T14.36.13.341,2.040,-0.229,-0.223,-0.963
1636374973381,2021-11-08T14.36.13.381,2.080,-0.232,-0.231,-0.962
1636374973421,2021-11-08T14.36.13.421,2.120,-0.233,-0.227,-0.962
1636374973461,2021-11-08T14.36.13.461,2.160,-0.231,-0.232,-0.961
1636374973501,2021-11-08T14.36.13.501,2.200,-0.225,-0.229,-0.965
1636374973541,2021-11-08T14.36.13.541,2.240,-0.230,-0.225,-0.963
1636374973581,2021-11-08T14.36.13.581,2.280,-0.235,-0.218,-0.962
1636374973621,2021-11-08T14.36.13.621,2.320,-0.227,-0.226,-0.965
1636374973661,2021-11-08T14.36.13.661,2.360,-0.232,-0.230,-0.961
1636374973701,2021-11-08T14.36.13.701,2.400,-0.227,-0.216,-0.965
1636374973741,2021-11-08T14.36.13.741,2.440,-0.236,-0.222,-0.960
1636374973781,2021-11-08T14.36.13.781,2.480,-0.231,-0.222,-0.963
1636374973821,2021-11-08T14.36.13.821,2.520,-0.225,-0.228,-0.965
1636374973861,2021-11-08T14.36.13.861,2.560,-0.230,-0.217,-0.960
1636374973901,2021-11-08T14.36.13.901,2.600,-0.233,-0.245,-0.961
1636374973941,2021-11-08T14.36.13.941,2.640,-0.230,-0.201,-0.968
1636374973981,2021-11-08T14.36.13.981,2.680,-0.216,-0.225,-0.966
1636374974021,2021-11-08T14.36.14.021,2.720,-0.236,-0.244,-0.958
1636374974061,2021-11-08T14.36.14.061,2.760,-0.237,-0.213,-0.963
1636374974101,2021-11-08T14.36.14.101,2.800,-0.230,-0.223,-0.960
1636374974141,2021-11-08T14.36.14.141,2.840,-0.224,-0.242,-0.962
1636374974181,2021-11-08T14.36.14.181,2.880,-0.229,-0.236,-0.964
1636374974221,2021-11-08T14.36.14.221,2.920,-0.230,-0.222,-0.963
1636374974261,2021-11-08T14.36.14.261,2.960,-0.221,-0.245,-0.964
1636374974301,2021-11-08T14.36.14.301,3.000,-0.220,-0.240,-0.962
1636374974341,2021-11-08T14.36.14.341,3.040,-0.226,-0.239,-0.960
1636374974381,2021-11-08T14.36.14.381,3.080,-0.224,-0.249,-0.961
1636374974421,2021-11-08T14.36.14.421,3.120,-0.226,-0.238,-0.960
1636374974461,2021-11-08T14.36.14.461,3.160,-0.228,-0.230,-0.960
1636374974501,2021-11-08T14.36.14.501,3.200,-0.232,-0.233,-0.961
1636374974541,2021-11-08T14.36.14.541,3.240,-0.223,-0.238,-0.962
1636374974581,2021-11-08T14.36.14.581,3.280,-0.223,-0.234,-0.961
1636374974621,2021-11-08T14.36.14.621,3.320,-0.229,-0.240,-0.960
1636374974661,2021-11-08T14.36.14.661,3.360,-0.224,-0.241,-0.962
1636374974701,2021-11-08T14.36.14.701,3.400,-0.216,-0.235,-0.966
1636374974741,2021-11-08T14.36.14.741,3.440,-0.220,-0.240,-0.963
1636374974781,2021-11-08T14.36.14.781,3.480,-0.224,-0.250,-0.959
1636374974821,2021-11-08T14.36.14.821,3.520,-0.216,-0.242,-0.963
1636374974861,2021-11-08T14.36.14.861,3.560,-0.207,-0.247,-0.965
1636374974901,2021-11-08T14.36.14.901,3.600,-0.211,-0.247,-0.963
1636374974941,2021-11-08T14.36.14.941,3.640,-0.212,-0.261,-0.959
1636374974981,2021-11-08T14.36.14.981,3.680,-0.209,-0.276,-0.957
1636374975021,2021-11-08T14.36.15.021,3.720,-0.209,-0.250,-0.961
1636374975061,2021-11-08T14.36.15.061,3.760,-0.207,-0.260,-0.961
1636374975101,2021-11-08T14.36.15.101,3.800,-0.207,-0.260,-0.961
1636374975141,2021-11-08T14.36.15.141,3.840,-0.204,-0.271,-0.960
1636374975181,2021-11-08T14.36.15.181,3.880,-0.199,-0.257,-0.963
1636374975221,2021-11-08T14.36.15.221,3.920,-0.213,-0.264,-0.959
1636374975261,2021-11-08T14.36.15.261,3.960,-0.221,-0.261,-0.958
1636374975301,2021-11-08T14.36.15.301,4.000,-0.212,-0.254,-0.961
1636374975341,2021-11-08T14.36.15.341,4.040,-0.213,-0.261,-0.958
1636374975381,2021-11-08T14.36.15.381,4.080,-0.223,-0.254,-0.958
1636374975421,2021-11-08T14.36.15.421,4.120,-0.220,-0.255,-0.958
1636374975461,2021-11-08T14.36.15.461,4.160,-0.216,-0.259,-0.960
1636374975501,2021-11-08T14.36.15.501,4.200,-0.219,-0.247,-0.961
1636374975541,2021-11-08T14.36.15.541,4.240,-0.217,-0.255,-0.958
1636374975581,2021-11-08T14.36.15.581,4.280,-0.209,-0.246,-0.963
1636374975621,2021-11-08T14.36.15.621,4.320,-0.223,-0.264,-0.957
1636374975661,2021-11-08T14.36.15.661,4.360,-0.218,-0.252,-0.959
1636374975701,2021-11-08T14.36.15.701,4.400,-0.209,-0.259,-0.964
