epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635769134276,2021-11-01T05:18:54.276,0.000,-0.221,0.171,-0.964
1635769134316,2021-11-01T05:18:54.316,0.040,-0.223,0.170,-0.974
1635769134356,2021-11-01T05:18:54.356,0.080,-0.223,0.174,-0.971
1635769134396,2021-11-01T05:18:54.396,0.120,-0.224,0.173,-0.971
1635769134436,2021-11-01T05:18:54.436,0.160,-0.222,0.177,-0.970
1635769134476,2021-11-01T05:18:54.476,0.200,-0.223,0.175,-0.971
1635769134516,2021-11-01T05:18:54.516,0.240,-0.223,0.177,-0.969
1635769134556,2021-11-01T05:18:54.556,0.280,-0.226,0.171,-0.971
1635769134596,2021-11-01T05:18:54.596,0.320,-0.225,0.175,-0.970
1635769134636,2021-11-01T05:18:54.636,0.360,-0.226,0.166,-0.970
1635769134676,2021-11-01T05:18:54.676,0.400,-0.226,0.174,-0.969
1635769134716,2021-11-01T05:18:54.716,0.440,-0.227,0.168,-0.971
1635769134756,2021-11-01T05:18:54.756,0.480,-0.227,0.167,-0.970
1635769134796,2021-11-01T05:18:54.796,0.520,-0.229,0.167,-0.971
1635769134836,2021-11-01T05:18:54.836,0.560,-0.230,0.169,-0.970
1635769134876,2021-11-01T05:18:54.876,0.600,-0.230,0.168,-0.971
1635769134916,2021-11-01T05:18:54.916,0.640,-0.228,0.167,-0.971
1635769134956,2021-11-01T05:18:54.956,0.680,-0.231,0.166,-0.969
1635769134996,2021-11-01T05:18:54.996,0.720,-0.230,0.164,-0.971
1635769135036,2021-11-01T05:18:55.036,0.760,-0.228,0.167,-0.971
1635769135076,2021-11-01T05:18:55.076,0.800,-0.228,0.169,-0.970
1635769135116,2021-11-01T05:18:55.116,0.840,-0.229,0.171,-0.970
1635769135156,2021-11-01T05:18:55.156,0.880,-0.228,0.166,-0.970
1635769135196,2021-11-01T05:18:55.196,0.920,-0.227,0.170,-0.970
1635769135236,2021-11-01T05:18:55.236,0.960,-0.225,0.174,-0.971
1635769135276,2021-11-01T05:18:55.276,1.000,-0.225,0.173,-0.969
1635769135316,2021-11-01T05:18:55.316,1.040,-0.223,0.173,-0.970
1635769135356,2021-11-01T05:18:55.356,1.080,-0.225,0.174,-0.970
1635769135396,2021-11-01T05:18:55.396,1.120,-0.227,0.164,-0.971
1635769135436,2021-11-01T05:18:55.436,1.160,-0.226,0.170,-0.969
1635769135476,2021-11-01T05:18:55.476,1.200,-0.226,0.170,-0.971
1635769135516,2021-11-01T05:18:55.516,1.240,-0.225,0.171,-0.972
1635769135556,2021-11-01T05:18:55.556,1.280,-0.224,0.168,-0.970
1635769135596,2021-11-01T05:18:55.596,1.320,-0.225,0.172,-0.971
1635769135636,2021-11-01T05:18:55.636,1.360,-0.224,0.171,-0.970
1635769135676,2021-11-01T05:18:55.676,1.400,-0.225,0.172,-0.970
1635769135716,2021-11-01T05:18:55.716,1.440,-0.225,0.169,-0.970
1635769135756,2021-11-01T05:18:55.756,1.480,-0.223,0.173,-0.971
1635769135796,2021-11-01T05:18:55.796,1.520,-0.224,0.169,-0.971
1635769135836,2021-11-01T05:18:55.836,1.560,-0.225,0.172,-0.971
1635769135876,2021-11-01T05:18:55.876,1.600,-0.226,0.169,-0.970
1635769135916,2021-11-01T05:18:55.916,1.640,-0.224,0.171,-0.970
1635769135956,2021-11-01T05:18:55.956,1.680,-0.226,0.167,-0.970
1635769135996,2021-11-01T05:18:55.996,1.720,-0.225,0.169,-0.970
1635769136036,2021-11-01T05:18:56.036,1.760,-0.227,0.166,-0.971
1635769136076,2021-11-01T05:18:56.076,1.800,-0.225,0.172,-0.969
1635769136116,2021-11-01T05:18:56.116,1.840,-0.224,0.168,-0.970
1635769136156,2021-11-01T05:18:56.156,1.880,-0.224,0.169,-0.970
1635769136196,2021-11-01T05:18:56.196,1.920,-0.225,0.172,-0.969
1635769136236,2021-11-01T05:18:56.236,1.960,-0.227,0.163,-0.970
1635769136276,2021-11-01T05:18:56.276,2.000,-0.225,0.166,-0.971
1635769136316,2021-11-01T05:18:56.316,2.040,-0.226,0.164,-0.971
1635769136356,2021-11-01T05:18:56.356,2.080,-0.225,0.168,-0.969
