epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636226897478,2021-11-06T21:28:17.478,0.000,-0.030,0.061,0.915
1636226897518,2021-11-06T21:28:17.518,0.040,0.274,-0.305,0.884
1636226897558,2021-11-06T21:28:17.558,0.080,0.488,-0.305,0.244
1636226897598,2021-11-06T21:28:17.598,0.120,0.732,-0.701,-0.366
1636226897638,2021-11-06T21:28:17.638,0.160,0.762,-1.159,-0.274
1636226897678,2021-11-06T21:28:17.678,0.200,-0.213,-0.640,0.366
1636226897718,2021-11-06T21:28:17.718,0.240,-0.061,0.000,1.006
1636226897758,2021-11-06T21:28:17.758,0.280,-0.518,0.427,0.823
1636226897798,2021-11-06T21:28:17.798,0.320,0.122,0.213,0.183
1636226897838,2021-11-06T21:28:17.838,0.360,0.335,0.030,-0.488
1636226897878,2021-11-06T21:28:17.878,0.400,0.518,-0.274,-0.854
1636226897918,2021-11-06T21:28:17.918,0.440,0.518,-0.244,-0.884
1636226897958,2021-11-06T21:28:17.958,0.480,0.427,-0.122,-0.854
1636226897998,2021-11-06T21:28:17.998,0.520,0.183,-0.366,-0.549
1636226898038,2021-11-06T21:28:18.038,0.560,-0.213,0.030,-0.671
1636226898078,2021-11-06T21:28:18.078,0.600,-0.427,0.366,-0.976
1636226898118,2021-11-06T21:28:18.118,0.640,-0.396,-0.030,-0.793
1636226898158,2021-11-06T21:28:18.158,0.680,-0.183,-0.183,-0.610
1636226898198,2021-11-06T21:28:18.198,0.720,-0.488,-0.335,-0.396
1636226898238,2021-11-06T21:28:18.238,0.760,-0.427,-0.274,-0.061
1636226898278,2021-11-06T21:28:18.278,0.800,-0.640,-0.061,0.305
1636226898318,2021-11-06T21:28:18.318,0.840,-0.061,-0.213,0.091
1636226898358,2021-11-06T21:28:18.358,0.880,0.000,0.061,0.061
1636226898398,2021-11-06T21:28:18.398,0.920,-0.671,0.122,0.274
1636226898438,2021-11-06T21:28:18.438,0.960,0.762,-0.335,0.518
1636226898478,2021-11-06T21:28:18.478,1.000,0.945,-0.854,0.488
