epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.63627E+12,2021-11-07T08:13:56.125,0,0,-0.305,-1.128
1.63627E+12,2021-11-07T08:13:56.164,0.039,-0.122,0.03,-1.159
1.63627E+12,2021-11-07T08:13:56.205,0.08,0.244,-0.64,-0.762
1.63627E+12,2021-11-07T08:13:56.245,0.12,0.457,-0.64,-0.518
1.63627E+12,2021-11-07T08:13:56.286,0.161,1.067,-0.274,-0.366
1.63627E+12,2021-11-07T08:13:56.327,0.202,1.585,-0.091,0.152
1.63627E+12,2021-11-07T08:13:56.367,0.242,1.159,-1.006,-0.335
1.63627E+12,2021-11-07T08:13:56.408,0.283,0.793,-1.189,-0.915
1.63627E+12,2021-11-07T08:13:56.447,0.322,0.884,-0.945,-1.402
1.63627E+12,2021-11-07T08:13:56.488,0.363,0.061,-0.366,-1.128
1.63627E+12,2021-11-07T08:13:56.528,0.403,0.03,0.579,-0.061
1.63627E+12,2021-11-07T08:13:56.569,0.444,0.915,0.976,0.366
1.63627E+12,2021-11-07T08:13:56.610,0.485,1.341,1.098,0.579
1.63627E+12,2021-11-07T08:13:56.649,0.524,0.579,1.768,0.518
1.63627E+12,2021-11-07T08:13:56.690,0.565,-0.274,3.323,0.03
1.63627E+12,2021-11-07T08:13:56.730,0.605,0.274,3.14,0.061
1.63627E+12,2021-11-07T08:13:56.771,0.646,2.165,2.561,0.457
1.63627E+12,2021-11-07T08:13:56.810,0.685,2.835,1.951,1.341
1.63627E+12,2021-11-07T08:13:56.851,0.726,2.927,2.439,1.799
1.63627E+12,2021-11-07T08:13:56.892,0.767,2.439,2.317,1.189
1.63627E+12,2021-11-07T08:13:56.932,0.807,1.707,1.707,0.61
1.63627E+12,2021-11-07T08:13:56.973,0.848,0.762,1.037,0.03
1.63627E+12,2021-11-07T08:13:57.013,0.888,0.488,0.274,-0.366
1.63627E+12,2021-11-07T08:13:57.054,0.929,0.579,-0.213,-0.396
1.63627E+12,2021-11-07T08:13:57.093,0.968,0.671,-0.244,-0.396
1.63627E+12,2021-11-07T08:13:57.134,1.009,0.854,-0.274,-0.366
1.63627E+12,2021-11-07T08:13:57.175,1.05,0.884,-0.122,-0.03
1.63627E+12,2021-11-07T08:13:57.215,1.09,0.793,-0.061,-0.03
1.63627E+12,2021-11-07T08:13:57.256,1.131,0.823,-0.061,-0.122
1.63627E+12,2021-11-07T08:13:57.295,1.17,0.854,-0.152,-0.061
1.63627E+12,2021-11-07T08:13:57.336,1.211,0.64,-0.427,-0.122
1.63627E+12,2021-11-07T08:13:57.376,1.251,0.64,-0.122,0.091
1.63627E+12,2021-11-07T08:13:57.417,1.292,0.366,-0.244,-0.152
1.63627E+12,2021-11-07T08:13:57.458,1.333,0.152,-0.152,0.183
1.63627E+12,2021-11-07T08:13:57.497,1.372,0.183,-0.915,0.274
1.63627E+12,2021-11-07T08:13:57.538,1.413,-0.213,-0.915,0.305
1.63627E+12,2021-11-07T08:13:57.578,1.453,-0.091,0.793,0.213
1.63627E+12,2021-11-07T08:13:57.619,1.494,-0.945,0.915,-0.366
1.63627E+12,2021-11-07T08:13:57.659,1.534,0.488,1.463,0.305
1.63627E+12,2021-11-07T08:13:57.700,1.575,0.945,1.28,0.335
1.63627E+12,2021-11-07T08:13:57.741,1.616,3.323,2.134,0.671
1.63627E+12,2021-11-07T08:13:57.780,1.655,2.988,2.256,0.396
1.63627E+12,2021-11-07T08:13:57.821,1.696,1.951,2.104,0.091
1.63627E+12,2021-11-07T08:13:57.861,1.736,0.823,1.646,-0.244
1.63627E+12,2021-11-07T08:13:57.902,1.777,2.012,1.25,0.03
1.63627E+12,2021-11-07T08:13:57.941,1.816,2.378,1.341,0.823
1.63627E+12,2021-11-07T08:13:57.982,1.857,2.226,0.945,1.25
1.63627E+12,2021-11-07T08:13:58.023,1.898,2.256,1.189,1.555
1.63627E+12,2021-11-07T08:13:58.063,1.938,2.256,0.976,1.067
1.63627E+12,2021-11-07T08:13:58.104,1.979,2.165,1.555,1.25
1.63627E+12,2021-11-07T08:13:58.143,2.018,2.256,1.524,1.037
1.63627E+12,2021-11-07T08:13:58.184,2.059,1.768,0.549,0.427
1.63627E+12,2021-11-07T08:13:58.224,2.099,0.884,0.671,0.488
1.63627E+12,2021-11-07T08:13:58.265,2.14,0.061,0.854,0.976
1.63627E+12,2021-11-07T08:13:58.306,2.181,0.549,0.732,0.518
1.63627E+12,2021-11-07T08:13:58.346,2.221,0.152,1.128,0.244
1.63627E+12,2021-11-07T08:13:58.387,2.262,0.671,1.037,0.488
1.63627E+12,2021-11-07T08:13:58.426,2.301,1.22,1.189,0.549
1.63627E+12,2021-11-07T08:13:58.467,2.342,-0.061,0.244,-0.244
1.63627E+12,2021-11-07T08:13:58.507,2.382,0,-0.518,-0.457
1.63627E+12,2021-11-07T08:13:58.548,2.423,-0.335,-1.006,-0.64
1.63627E+12,2021-11-07T08:13:58.589,2.464,-0.274,-1.677,-0.976
1.63627E+12,2021-11-07T08:13:58.628,2.503,-0.549,-2.043,-1.402
1.63627E+12,2021-11-07T08:13:58.669,2.544,-1.311,-2.073,-1.707
1.63627E+12,2021-11-07T08:13:58.709,2.584,-1.037,-1.22,-1.433
1.63627E+12,2021-11-07T08:13:58.750,2.625,0,-0.854,-1.22
1.63627E+12,2021-11-07T08:13:58.789,2.664,-0.244,-1.067,-1.22
1.63627E+12,2021-11-07T08:13:58.830,2.705,-0.762,-1.768,-1.067
1.63627E+12,2021-11-07T08:13:58.871,2.746,-1.128,-2.317,-0.884
1.63627E+12,2021-11-07T08:13:58.911,2.786,-0.976,-2.073,-0.823
1.63627E+12,2021-11-07T08:13:58.952,2.827,-0.61,-1.799,-1.037
1.63627E+12,2021-11-07T08:13:58.992,2.867,-0.305,-1.463,-0.579
1.63627E+12,2021-11-07T08:13:59.033,2.908,-0.61,-1.829,-0.671
1.63627E+12,2021-11-07T08:13:59.072,2.947,-1.006,-1.677,-0.701
