epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636043576246,2021-11-04T18.32.56.246,0.000,-0.640,0.061,0.091
1636043576286,2021-11-04T18.32.56.286,0.040,-0.549,-0.030,0.183
1636043576326,2021-11-04T18.32.56.326,0.080,-0.213,0.000,0.213
1636043576366,2021-11-04T18.32.56.366,0.120,-0.183,0.030,0.244
1636043576406,2021-11-04T18.32.56.406,0.160,-0.396,0.000,0.244
1636043576446,2021-11-04T18.32.56.446,0.200,-0.152,0.000,0.274
1636043576486,2021-11-04T18.32.56.486,0.240,0.061,0.030,0.213
1636043576526,2021-11-04T18.32.56.526,0.280,-0.122,0.061,0.274
1636043576566,2021-11-04T18.32.56.566,0.320,-0.366,0.061,0.305
1636043576606,2021-11-04T18.32.56.606,0.360,-0.244,0.061,0.183
1636043576646,2021-11-04T18.32.56.646,0.400,0.000,0.030,0.213
1636043576686,2021-11-04T18.32.56.686,0.440,-0.091,0.000,0.274
1636043576726,2021-11-04T18.32.56.726,0.480,-0.366,0.030,0.305
1636043576766,2021-11-04T18.32.56.766,0.520,-0.213,0.030,0.213
1636043576806,2021-11-04T18.32.56.806,0.560,-0.030,0.091,0.244
1636043576846,2021-11-04T18.32.56.846,0.600,-0.152,-0.183,0.244
1636043576886,2021-11-04T18.32.56.886,0.640,-0.305,-0.152,0.274
1636043576926,2021-11-04T18.32.56.926,0.680,-0.366,0.091,0.274
1636043576966,2021-11-04T18.32.56.966,0.720,-0.488,-0.091,0.152
1636043577006,2021-11-04T18.32.57.006,0.760,0.152,-0.030,0.152
1636043577046,2021-11-04T18.32.57.046,0.800,0.335,0.122,0.183
1636043577086,2021-11-04T18.32.57.086,0.840,-0.274,0.000,0.335
1636043577126,2021-11-04T18.32.57.126,0.880,-0.488,-0.061,0.366
1636043577166,2021-11-04T18.32.57.166,0.920,-0.030,0.091,0.213
1636043577206,2021-11-04T18.32.57.206,0.960,-0.030,0.213,0.213
1636043577246,2021-11-04T18.32.57.246,1.000,-0.457,0.305,0.366
1636043577286,2021-11-04T18.32.57.286,1.040,-0.305,0.244,0.366
1636043577326,2021-11-04T18.32.57.326,1.080,0.091,0.091,0.183
1636043577366,2021-11-04T18.32.57.366,1.120,-0.213,-0.183,0.183
1636043577406,2021-11-04T18.32.57.406,1.160,-0.640,-0.152,0.274
1636043577446,2021-11-04T18.32.57.446,1.200,-0.396,-0.061,0.213
1636043577486,2021-11-04T18.32.57.486,1.240,0.061,-0.061,0.091
