epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.6363E+12,2021-11-07T08:03:56.374,0,-0.189,0.039,-0.989
1.6363E+12,2021-11-07T08:03:56.414,0.04,-0.188,0.036,-0.999
1.6363E+12,2021-11-07T08:03:56.454,0.08,-0.188,0.036,-0.995
1.6363E+12,2021-11-07T08:03:56.494,0.12,-0.188,0.036,-0.994
1.6363E+12,2021-11-07T08:03:56.534,0.16,-0.189,0.037,-0.995
1.6363E+12,2021-11-07T08:03:56.574,0.2,-0.188,0.037,-0.996
1.6363E+12,2021-11-07T08:03:56.614,0.24,-0.189,0.037,-0.995
1.6363E+12,2021-11-07T08:03:56.654,0.28,-0.189,0.038,-0.994
1.6363E+12,2021-11-07T08:03:56.694,0.32,-0.189,0.038,-0.995
1.6363E+12,2021-11-07T08:03:56.734,0.36,-0.187,0.039,-0.996
1.6363E+12,2021-11-07T08:03:56.774,0.4,-0.188,0.035,-0.995
1.6363E+12,2021-11-07T08:03:56.814,0.44,-0.188,0.036,-0.995
1.6363E+12,2021-11-07T08:03:56.854,0.48,-0.189,0.037,-0.995
1.6363E+12,2021-11-07T08:03:56.894,0.52,-0.189,0.033,-0.995
1.6363E+12,2021-11-07T08:03:56.934,0.56,-0.19,0.034,-0.995
1.6363E+12,2021-11-07T08:03:56.974,0.6,-0.188,0.033,-0.996
1.6363E+12,2021-11-07T08:03:57.014,0.64,-0.19,0.037,-0.995
1.6363E+12,2021-11-07T08:03:57.054,0.68,-0.188,0.032,-0.995
1.6363E+12,2021-11-07T08:03:57.094,0.72,-0.19,0.035,-0.994
1.6363E+12,2021-11-07T08:03:57.134,0.76,-0.188,0.031,-0.995
1.6363E+12,2021-11-07T08:03:57.174,0.8,-0.189,0.035,-0.995
1.6363E+12,2021-11-07T08:03:57.214,0.84,-0.187,0.031,-0.995
1.6363E+12,2021-11-07T08:03:57.254,0.88,-0.19,0.037,-0.995
1.6363E+12,2021-11-07T08:03:57.294,0.92,-0.188,0.034,-0.995
1.6363E+12,2021-11-07T08:03:57.334,0.96,-0.191,0.036,-0.995
1.6363E+12,2021-11-07T08:03:57.374,1,-0.189,0.034,-0.995
1.6363E+12,2021-11-07T08:03:57.414,1.04,-0.189,0.034,-0.994
1.6363E+12,2021-11-07T08:03:57.454,1.08,-0.189,0.033,-0.994
1.6363E+12,2021-11-07T08:03:57.494,1.12,-0.19,0.039,-0.995
1.6363E+12,2021-11-07T08:03:57.534,1.16,-0.188,0.034,-0.995
1.6363E+12,2021-11-07T08:03:57.574,1.2,-0.19,0.035,-0.995
1.6363E+12,2021-11-07T08:03:57.614,1.24,-0.186,0.029,-0.994
1.6363E+12,2021-11-07T08:03:57.654,1.28,-0.191,0.037,-0.994
1.6363E+12,2021-11-07T08:03:57.694,1.32,-0.188,0.033,-0.995
1.6363E+12,2021-11-07T08:03:57.734,1.36,-0.188,0.036,-0.994
1.6363E+12,2021-11-07T08:03:57.774,1.4,-0.187,0.034,-0.995
1.6363E+12,2021-11-07T08:03:57.814,1.44,-0.19,0.037,-0.994
1.6363E+12,2021-11-07T08:03:57.854,1.48,-0.189,0.035,-0.994
1.6363E+12,2021-11-07T08:03:57.894,1.52,-0.188,0.035,-0.995
1.6363E+12,2021-11-07T08:03:57.934,1.56,-0.189,0.033,-0.996
1.6363E+12,2021-11-07T08:03:57.974,1.6,-0.189,0.036,-0.994
1.6363E+12,2021-11-07T08:03:58.014,1.64,-0.189,0.037,-0.994
1.6363E+12,2021-11-07T08:03:58.054,1.68,-0.188,0.033,-0.994
1.6363E+12,2021-11-07T08:03:58.094,1.72,-0.189,0.035,-0.995
1.6363E+12,2021-11-07T08:03:58.134,1.76,-0.187,0.035,-0.995
1.6363E+12,2021-11-07T08:03:58.174,1.8,-0.188,0.032,-0.994
1.6363E+12,2021-11-07T08:03:58.214,1.84,-0.189,0.033,-0.995
1.6363E+12,2021-11-07T08:03:58.254,1.88,-0.189,0.033,-0.995
1.6363E+12,2021-11-07T08:03:58.294,1.92,-0.187,0.03,-0.996
1.6363E+12,2021-11-07T08:03:58.334,1.96,-0.188,0.034,-0.994
1.6363E+12,2021-11-07T08:03:58.374,2,-0.188,0.032,-0.994
1.6363E+12,2021-11-07T08:03:58.414,2.04,-0.189,0.035,-0.994
1.6363E+12,2021-11-07T08:03:58.454,2.08,-0.188,0.034,-0.994
1.6363E+12,2021-11-07T08:03:58.494,2.12,-0.188,0.032,-0.995
1.6363E+12,2021-11-07T08:03:58.534,2.16,-0.189,0.034,-0.993
1.6363E+12,2021-11-07T08:03:58.574,2.2,-0.187,0.029,-0.993
1.6363E+12,2021-11-07T08:03:58.614,2.24,-0.19,0.036,-0.994
1.6363E+12,2021-11-07T08:03:58.654,2.28,-0.187,0.033,-0.994
1.6363E+12,2021-11-07T08:03:58.694,2.32,-0.189,0.034,-0.995
1.6363E+12,2021-11-07T08:03:58.734,2.36,-0.188,0.032,-0.995
1.6363E+12,2021-11-07T08:03:58.774,2.4,-0.189,0.035,-0.994
1.6363E+12,2021-11-07T08:03:58.814,2.44,-0.187,0.032,-0.995
1.6363E+12,2021-11-07T08:03:58.854,2.48,-0.19,0.038,-0.993
1.6363E+12,2021-11-07T08:03:58.894,2.52,-0.19,0.037,-0.994
1.6363E+12,2021-11-07T08:03:58.934,2.56,-0.188,0.033,-0.994
1.6363E+12,2021-11-07T08:03:58.974,2.6,-0.189,0.034,-0.995
1.6363E+12,2021-11-07T08:03:59.014,2.64,-0.189,0.035,-0.995
1.6363E+12,2021-11-07T08:03:59.054,2.68,-0.188,0.034,-0.994
1.6363E+12,2021-11-07T08:03:59.094,2.72,-0.188,0.035,-0.994
1.6363E+12,2021-11-07T08:03:59.134,2.76,-0.188,0.035,-0.994
1.6363E+12,2021-11-07T08:03:59.174,2.8,-0.188,0.032,-0.996
1.6363E+12,2021-11-07T08:03:59.214,2.84,-0.19,0.035,-0.994
1.6363E+12,2021-11-07T08:03:59.254,2.88,-0.188,0.033,-0.994
1.6363E+12,2021-11-07T08:03:59.294,2.92,-0.187,0.033,-0.994
1.6363E+12,2021-11-07T08:03:59.334,2.96,-0.188,0.033,-0.994
1.6363E+12,2021-11-07T08:03:59.374,3,-0.189,0.035,-0.995
1.6363E+12,2021-11-07T08:03:59.414,3.04,-0.188,0.033,-0.994
1.6363E+12,2021-11-07T08:03:59.454,3.08,-0.187,0.032,-0.994
1.6363E+12,2021-11-07T08:03:59.494,3.12,-0.189,0.033,-0.995
1.6363E+12,2021-11-07T08:03:59.534,3.16,-0.187,0.033,-0.995
1.6363E+12,2021-11-07T08:03:59.574,3.2,-0.188,0.034,-0.994
1.6363E+12,2021-11-07T08:03:59.614,3.24,-0.188,0.033,-0.994
1.6363E+12,2021-11-07T08:03:59.654,3.28,-0.189,0.033,-0.994
1.6363E+12,2021-11-07T08:03:59.694,3.32,-0.187,0.034,-0.995
1.6363E+12,2021-11-07T08:03:59.734,3.36,-0.188,0.033,-0.994
1.6363E+12,2021-11-07T08:03:59.774,3.4,-0.188,0.034,-0.995
1.6363E+12,2021-11-07T08:03:59.814,3.44,-0.189,0.035,-0.994
1.6363E+12,2021-11-07T08:03:59.854,3.48,-0.188,0.033,-0.994
1.6363E+12,2021-11-07T08:03:59.894,3.52,-0.188,0.034,-0.994
1.6363E+12,2021-11-07T08:03:59.934,3.56,-0.188,0.033,-0.995
1.6363E+12,2021-11-07T08:03:59.974,3.6,-0.188,0.032,-0.994
1.6363E+12,2021-11-07T08:04:00.014,3.64,-0.19,0.034,-0.995
1.6363E+12,2021-11-07T08:04:00.054,3.68,-0.188,0.033,-0.995
1.6363E+12,2021-11-07T08:04:00.094,3.72,-0.186,0.031,-0.994
1.6363E+12,2021-11-07T08:04:00.134,3.76,-0.188,0.034,-0.994
1.6363E+12,2021-11-07T08:04:00.174,3.8,-0.187,0.031,-0.993
1.6363E+12,2021-11-07T08:04:00.214,3.84,-0.187,0.032,-0.993
1.6363E+12,2021-11-07T08:04:00.254,3.88,-0.189,0.032,-0.994
1.6363E+12,2021-11-07T08:04:00.294,3.92,-0.19,0.035,-0.994
1.6363E+12,2021-11-07T08:04:00.334,3.96,-0.188,0.034,-0.995
1.6363E+12,2021-11-07T08:04:00.374,4,-0.188,0.033,-0.995
1.6363E+12,2021-11-07T08:04:00.414,4.04,-0.189,0.034,-0.994
1.6363E+12,2021-11-07T08:04:00.454,4.08,-0.187,0.031,-0.995
1.6363E+12,2021-11-07T08:04:00.494,4.12,-0.189,0.035,-0.994
1.6363E+12,2021-11-07T08:04:00.534,4.16,-0.187,0.032,-0.995
1.6363E+12,2021-11-07T08:04:00.574,4.2,-0.188,0.032,-0.994
1.6363E+12,2021-11-07T08:04:00.614,4.24,-0.188,0.032,-0.994
1.6363E+12,2021-11-07T08:04:00.654,4.28,-0.188,0.031,-0.995
1.6363E+12,2021-11-07T08:04:00.694,4.32,-0.189,0.033,-0.994
1.6363E+12,2021-11-07T08:04:00.734,4.36,-0.189,0.032,-0.994
1.6363E+12,2021-11-07T08:04:00.774,4.4,-0.188,0.032,-0.994
1.6363E+12,2021-11-07T08:04:00.814,4.44,-0.189,0.033,-0.995
1.6363E+12,2021-11-07T08:04:00.854,4.48,-0.188,0.033,-0.993
1.6363E+12,2021-11-07T08:04:00.894,4.52,-0.188,0.031,-0.994
1.6363E+12,2021-11-07T08:04:00.934,4.56,-0.19,0.035,-0.995
1.6363E+12,2021-11-07T08:04:00.974,4.6,-0.186,0.031,-0.995
1.6363E+12,2021-11-07T08:04:01.014,4.64,-0.188,0.034,-0.994
1.6363E+12,2021-11-07T08:04:01.054,4.68,-0.186,0.031,-0.995
1.6363E+12,2021-11-07T08:04:01.094,4.72,-0.188,0.033,-0.994
1.6363E+12,2021-11-07T08:04:01.134,4.76,-0.187,0.032,-0.996
1.6363E+12,2021-11-07T08:04:01.174,4.8,-0.187,0.034,-0.994
1.6363E+12,2021-11-07T08:04:01.214,4.84,-0.188,0.033,-0.993
