epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1635955538437,2021-11-03T18:05:38.437,0.000,-0.579,0.427,-0.183
1635955538477,2021-11-03T18:05:38.477,0.040,-0.183,0.183,-0.488
1635955538517,2021-11-03T18:05:38.517,0.080,0.305,-0.213,-0.122
1635955538557,2021-11-03T18:05:38.557,0.120,-0.152,-0.061,0.030
1635955538597,2021-11-03T18:05:38.597,0.160,-0.396,0.213,0.030
1635955538637,2021-11-03T18:05:38.637,0.200,0.000,-0.122,-0.091
1635955538677,2021-11-03T18:05:38.677,0.240,-0.518,0.183,0.030
1635955538717,2021-11-03T18:05:38.717,0.280,-0.335,0.213,0.030
1635955538757,2021-11-03T18:05:38.757,0.320,0.183,-0.244,-0.061
1635955538797,2021-11-03T18:05:38.797,0.360,-0.427,0.244,0.213
1635955538837,2021-11-03T18:05:38.837,0.400,-0.091,-0.061,-0.061
1635955538877,2021-11-03T18:05:38.877,0.440,0.030,-0.244,-0.305
1635955538917,2021-11-03T18:05:38.917,0.480,-0.518,0.366,0.305
1635955538957,2021-11-03T18:05:38.957,0.520,-0.122,0.183,0.000
1635955538997,2021-11-03T18:05:38.997,0.560,-0.213,0.030,-0.274
1635955539037,2021-11-03T18:05:39.037,0.600,-0.091,0.030,-0.061
1635955539077,2021-11-03T18:05:39.077,0.640,-0.061,-0.061,-0.122
1635955539117,2021-11-03T18:05:39.117,0.680,-0.244,0.152,-0.030
1635955539157,2021-11-03T18:05:39.157,0.720,0.366,-0.274,-0.091
1635955539197,2021-11-03T18:05:39.197,0.760,-0.274,-0.061,-0.091
1635955539237,2021-11-03T18:05:39.237,0.800,-0.030,-0.061,-0.122
1635955539277,2021-11-03T18:05:39.277,0.840,-0.091,-0.091,0.030
1635955539317,2021-11-03T18:05:39.317,0.880,0.030,-0.518,-0.122
1635955539357,2021-11-03T18:05:39.357,0.920,0.213,-0.427,-0.122
1635955539397,2021-11-03T18:05:39.397,0.960,-0.579,0.457,0.152
1635955539437,2021-11-03T18:05:39.437,1.000,-0.091,0.000,0.488
1635955539477,2021-11-03T18:05:39.477,1.040,0.305,-0.762,0.152
1635955539517,2021-11-03T18:05:39.517,1.080,-0.640,0.213,-0.091
1635955539557,2021-11-03T18:05:39.557,1.120,0.000,0.061,-0.122
1635955539597,2021-11-03T18:05:39.597,1.160,-0.244,0.061,-0.061
1635955539637,2021-11-03T18:05:39.637,1.200,-0.366,0.183,-0.091
1635955539677,2021-11-03T18:05:39.677,1.240,0.000,-0.091,-0.122
1635955539717,2021-11-03T18:05:39.717,1.280,-0.579,0.335,0.335
1635955539757,2021-11-03T18:05:39.757,1.320,-0.244,-0.122,0.335
1635955539797,2021-11-03T18:05:39.797,1.360,0.244,-0.762,-0.335
1635955539837,2021-11-03T18:05:39.837,1.400,-0.488,0.152,0.213
1635955539877,2021-11-03T18:05:39.877,1.440,-0.366,0.427,0.732
1635955539917,2021-11-03T18:05:39.917,1.480,-0.274,0.091,0.366
1635955539957,2021-11-03T18:05:39.957,1.520,0.030,-0.152,0.061
1635955539997,2021-11-03T18:05:39.997,1.560,0.488,-0.091,0.305
1635955540037,2021-11-03T18:05:40.037,1.600,1.280,-0.549,0.457
1635955540077,2021-11-03T18:05:40.077,1.640,0.427,-0.305,-0.030
1635955540117,2021-11-03T18:05:40.117,1.680,-0.030,-0.274,-0.671
1635955540157,2021-11-03T18:05:40.157,1.720,-0.183,-0.061,-0.061
1635955540197,2021-11-03T18:05:40.197,1.760,-0.457,0.091,0.000
1635955540237,2021-11-03T18:05:40.237,1.800,-0.366,0.061,-0.396
1635955540277,2021-11-03T18:05:40.277,1.840,-0.152,-0.274,-0.183
1635955540317,2021-11-03T18:05:40.317,1.880,0.305,-0.610,-0.061
1635955540357,2021-11-03T18:05:40.357,1.920,0.396,-0.335,0.244
1635955540397,2021-11-03T18:05:40.397,1.960,3.628,-1.890,0.762
1635955540437,2021-11-03T18:05:40.437,2.000,3.872,-2.317,2.073
1635955540477,2021-11-03T18:05:40.477,2.040,2.957,-2.988,1.098
1635955540517,2021-11-03T18:05:40.517,2.080,0.732,-1.067,-0.701
1635955540557,2021-11-03T18:05:40.557,2.120,-1.921,1.646,-0.732
1635955540597,2021-11-03T18:05:40.597,2.160,-1.585,1.159,-0.396
1635955540637,2021-11-03T18:05:40.637,2.200,-1.189,0.823,-0.213
1635955540677,2021-11-03T18:05:40.677,2.240,-1.433,0.854,0.122
1635955540717,2021-11-03T18:05:40.717,2.280,-0.854,0.274,0.671
1635955540757,2021-11-03T18:05:40.757,2.320,-0.305,0.061,0.915
1635955540797,2021-11-03T18:05:40.797,2.360,0.274,0.091,1.067
1635955540837,2021-11-03T18:05:40.837,2.400,-0.671,0.396,0.610
1635955540877,2021-11-03T18:05:40.877,2.440,-0.518,0.305,0.366
1635955540917,2021-11-03T18:05:40.917,2.480,-0.457,0.152,0.061
1635955540957,2021-11-03T18:05:40.957,2.520,0.213,-0.274,-0.793
1635955540997,2021-11-03T18:05:40.997,2.560,-0.457,0.183,-1.159
1635955541037,2021-11-03T18:05:41.037,2.600,-0.213,-0.030,-1.738
1635955541077,2021-11-03T18:05:41.077,2.640,0.274,-0.396,-2.073
1635955541117,2021-11-03T18:05:41.117,2.680,-0.244,0.091,-1.463
1635955541157,2021-11-03T18:05:41.157,2.720,0.244,-0.488,-1.494
1635955541197,2021-11-03T18:05:41.197,2.760,0.610,-1.067,-1.189
1635955541237,2021-11-03T18:05:41.237,2.800,0.274,-0.488,-0.244
1635955541277,2021-11-03T18:05:41.277,2.840,0.915,-0.701,0.579
1635955541317,2021-11-03T18:05:41.317,2.880,-0.274,0.213,1.585
1635955541357,2021-11-03T18:05:41.357,2.920,-0.396,0.640,1.707
1635955541397,2021-11-03T18:05:41.397,2.960,0.335,0.366,0.701
1635955541437,2021-11-03T18:05:41.437,3.000,0.091,0.549,0.671
1635955541477,2021-11-03T18:05:41.477,3.040,0.030,-0.061,0.122
1635955541517,2021-11-03T18:05:41.517,3.080,0.244,-0.274,-1.128
1635955541557,2021-11-03T18:05:41.557,3.120,-0.579,0.305,-1.311
1635955541597,2021-11-03T18:05:41.597,3.160,-1.067,-0.091,-1.616
1635955541637,2021-11-03T18:05:41.637,3.200,-1.037,-0.183,-1.128
1635955541677,2021-11-03T18:05:41.677,3.240,-1.006,0.122,-0.152
1635955541717,2021-11-03T18:05:41.717,3.280,-1.220,0.061,0.640
1635955541757,2021-11-03T18:05:41.757,3.320,-0.549,0.061,0.732
1635955541797,2021-11-03T18:05:41.797,3.360,-0.244,0.488,1.555
1635955541837,2021-11-03T18:05:41.837,3.400,0.884,-0.640,0.335
1635955541877,2021-11-03T18:05:41.877,3.440,1.646,-1.524,-1.220
1635955541917,2021-11-03T18:05:41.917,3.480,1.585,0.061,-0.701
1635955541957,2021-11-03T18:05:41.957,3.520,0.732,0.305,-0.366
1635955541997,2021-11-03T18:05:41.997,3.560,1.311,-1.128,-1.890
1635955542037,2021-11-03T18:05:42.037,3.600,1.463,-0.732,-1.372
1635955542077,2021-11-03T18:05:42.077,3.640,0.427,0.000,0.671
1635955542117,2021-11-03T18:05:42.117,3.680,0.061,-0.610,1.128
1635955542157,2021-11-03T18:05:42.157,3.720,-0.091,-0.549,0.335
1635955542197,2021-11-03T18:05:42.197,3.760,-0.152,-0.305,0.061
1635955542237,2021-11-03T18:05:42.237,3.800,0.091,-0.335,-0.335
1635955542277,2021-11-03T18:05:42.277,3.840,0.122,-0.244,0.274
1635955542317,2021-11-03T18:05:42.317,3.880,-1.098,-0.091,1.494
1635955542357,2021-11-03T18:05:42.357,3.920,0.122,-0.457,0.213
1635955542397,2021-11-03T18:05:42.397,3.960,-0.396,0.366,1.860
1635955542437,2021-11-03T18:05:42.437,4.000,-0.030,-0.640,0.915
1635955542477,2021-11-03T18:05:42.477,4.040,1.524,-2.470,-0.396
1635955542517,2021-11-03T18:05:42.517,4.080,-0.244,-0.549,1.280
1635955542557,2021-11-03T18:05:42.557,4.120,-0.152,0.061,1.372
1635955542597,2021-11-03T18:05:42.597,4.160,0.335,-0.976,0.091
1635955542637,2021-11-03T18:05:42.637,4.200,-1.311,0.366,1.128
1635955542677,2021-11-03T18:05:42.677,4.240,-0.549,0.335,-0.396
1635955542717,2021-11-03T18:05:42.717,4.280,-0.518,0.335,-0.518
1635955542757,2021-11-03T18:05:42.757,4.320,-1.402,0.762,0.274
1635955542797,2021-11-03T18:05:42.797,4.360,-0.305,-0.030,-0.091
1635955542837,2021-11-03T18:05:42.837,4.400,-0.213,-0.122,0.244
1635955542877,2021-11-03T18:05:42.877,4.440,-0.610,0.030,0.274
1635955542917,2021-11-03T18:05:42.917,4.480,-0.091,-0.244,-0.823
1635955542957,2021-11-03T18:05:42.957,4.520,-0.854,0.244,0.030
1635955542997,2021-11-03T18:05:42.997,4.560,-0.457,0.213,-0.122
1635955543037,2021-11-03T18:05:43.037,4.600,-0.030,-0.396,-0.518
1635955543077,2021-11-03T18:05:43.077,4.640,-0.366,0.122,0.945
1635955543117,2021-11-03T18:05:43.117,4.680,-0.244,0.183,0.518
1635955543157,2021-11-03T18:05:43.157,4.720,0.030,-0.518,0.091
1635955543197,2021-11-03T18:05:43.197,4.760,-0.823,0.640,0.396
1635955543237,2021-11-03T18:05:43.237,4.800,-1.280,1.006,0.854
1635955543277,2021-11-03T18:05:43.277,4.840,-0.244,-0.183,0.488
1635955543317,2021-11-03T18:05:43.317,4.880,-0.671,0.274,-0.488
1635955543357,2021-11-03T18:05:43.357,4.920,-1.128,0.823,0.000
1635955543397,2021-11-03T18:05:43.397,4.960,-1.220,0.274,1.006
1635955543437,2021-11-03T18:05:43.437,5.000,-0.793,-0.396,-0.579
