epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.63567E+12,2021-10-31T10.23.08.322,0,0.148,-0.327,-0.906
1.63567E+12,2021-10-31T10.23.08.363,0.041,0.146,-0.327,-0.91
1.63567E+12,2021-10-31T10.23.08.402,0.08,0.146,-0.323,-0.909
1.63567E+12,2021-10-31T10.23.08.443,0.121,0.144,-0.323,-0.913
1.63567E+12,2021-10-31T10.23.08.484,0.162,0.144,-0.318,-0.913
1.63567E+12,2021-10-31T10.23.08.525,0.203,0.143,-0.314,-0.912
1.63567E+12,2021-10-31T10.23.08.565,0.243,0.144,-0.321,-0.912
1.63567E+12,2021-10-31T10.23.08.606,0.284,0.146,-0.324,-0.911
1.63567E+12,2021-10-31T10.23.08.647,0.325,0.15,-0.323,-0.911
1.63567E+12,2021-10-31T10.23.08.688,0.366,0.149,-0.318,-0.912
1.63567E+12,2021-10-31T10.23.08.728,0.406,0.148,-0.318,-0.914
1.63567E+12,2021-10-31T10.23.08.769,0.447,0.146,-0.319,-0.911
1.63567E+12,2021-10-31T10.23.08.810,0.488,0.145,-0.318,-0.912
1.63567E+12,2021-10-31T10.23.08.851,0.529,0.147,-0.317,-0.913
1.63567E+12,2021-10-31T10.23.08.890,0.568,0.147,-0.317,-0.913
1.63567E+12,2021-10-31T10.23.08.931,0.609,0.148,-0.318,-0.911
1.63567E+12,2021-10-31T10.23.08.972,0.65,0.148,-0.317,-0.909
1.63567E+12,2021-10-31T10.23.09.013,0.691,0.147,-0.315,-0.912
1.63567E+12,2021-10-31T10.23.09.053,0.731,0.148,-0.319,-0.914
1.63567E+12,2021-10-31T10.23.09.094,0.772,0.146,-0.319,-0.911
1.63567E+12,2021-10-31T10.23.09.135,0.813,0.146,-0.315,-0.913
1.63567E+12,2021-10-31T10.23.09.176,0.854,0.148,-0.316,-0.914
1.63567E+12,2021-10-31T10.23.09.215,0.893,0.145,-0.317,-0.912
1.63567E+12,2021-10-31T10.23.09.256,0.934,0.146,-0.316,-0.914
1.63567E+12,2021-10-31T10.23.09.297,0.975,0.147,-0.32,-0.916
1.63567E+12,2021-10-31T10.23.09.338,1.016,0.15,-0.316,-0.913
1.63567E+12,2021-10-31T10.23.09.378,1.056,0.148,-0.312,-0.912
1.63567E+12,2021-10-31T10.23.09.419,1.097,0.145,-0.308,-0.913
1.63567E+12,2021-10-31T10.23.09.460,1.138,0.147,-0.313,-0.915
1.63567E+12,2021-10-31T10.23.09.501,1.179,0.146,-0.314,-0.914
1.63567E+12,2021-10-31T10.23.09.541,1.219,0.149,-0.312,-0.915
1.63567E+12,2021-10-31T10.23.09.582,1.26,0.149,-0.311,-0.914
1.63567E+12,2021-10-31T10.23.09.623,1.301,0.145,-0.314,-0.913
1.63567E+12,2021-10-31T10.23.09.664,1.342,0.145,-0.314,-0.914
1.63567E+12,2021-10-31T10.23.09.705,1.383,0.147,-0.312,-0.913
1.63567E+12,2021-10-31T10.23.09.744,1.422,0.148,-0.312,-0.914
1.63567E+12,2021-10-31T10.23.09.785,1.463,0.15,-0.314,-0.913
1.63567E+12,2021-10-31T10.23.09.826,1.504,0.148,-0.313,-0.911
1.63567E+12,2021-10-31T10.23.09.867,1.545,0.147,-0.311,-0.914
1.63567E+12,2021-10-31T10.23.09.907,1.585,0.148,-0.314,-0.915
1.63567E+12,2021-10-31T10.23.09.948,1.626,0.145,-0.314,-0.912
1.63567E+12,2021-10-31T10.23.09.989,1.667,0.146,-0.309,-0.915
1.63567E+12,2021-10-31T10.23.10.030,1.708,0.147,-0.308,-0.917
1.63567E+12,2021-10-31T10.23.10.069,1.747,0.145,-0.314,-0.912
1.63567E+12,2021-10-31T10.23.10.110,1.788,0.142,-0.312,-0.913
1.63567E+12,2021-10-31T10.23.10.151,1.829,0.146,-0.313,-0.918
