epoch (ms),time (03:00),elapsed (s),pressure (Pa)
1635358366894,2021-10-27T21:12:46.894,0.000,100956.922
1635358367155,2021-10-27T21:12:47.155,0.261,100959.617
1635358367416,2021-10-27T21:12:47.416,0.522,100929.555
1635358367677,2021-10-27T21:12:47.677,0.783,100933.281
1635358367937,2021-10-27T21:12:47.937,1.043,100955.930
1635358368197,2021-10-27T21:12:48.197,1.303,100963.195
1635358368457,2021-10-27T21:12:48.457,1.563,100959.969
1635358368718,2021-10-27T21:12:48.718,1.824,100967.234
1635358368979,2021-10-27T21:12:48.979,2.085,100962.656
1635358369240,2021-10-27T21:12:49.240,2.346,100961.617
1635358369500,2021-10-27T21:12:49.500,2.606,100958.391
1635358369761,2021-10-27T21:12:49.761,2.867,100958.695
1635358370022,2021-10-27T21:12:50.022,3.128,100964.078
1635358370281,2021-10-27T21:12:50.281,3.387,100963.008
1635358370542,2021-10-27T21:12:50.542,3.648,100959.500
1635358370803,2021-10-27T21:12:50.803,3.909,100963.008
1635358371063,2021-10-27T21:12:51.063,4.169,100946.328
1635358371324,2021-10-27T21:12:51.324,4.430,100949.859
1635358371585,2021-10-27T21:12:51.585,4.691,100958.203
1635358371846,2021-10-27T21:12:51.846,4.952,100962.547
1635358372106,2021-10-27T21:12:52.106,5.212,100958.734
1635358372367,2021-10-27T21:12:52.367,5.473,100959.320
1635358372626,2021-10-27T21:12:52.626,5.732,100945.047
1635358372887,2021-10-27T21:12:52.887,5.993,100948.320
1635358373148,2021-10-27T21:12:53.148,6.254,100959.086
1635358373409,2021-10-27T21:12:53.409,6.515,100948.859
1635358373669,2021-10-27T21:12:53.669,6.775,100957.742
1635358373930,2021-10-27T21:12:53.930,7.036,100962.086
1635358374191,2021-10-27T21:12:54.191,7.297,100955.047
1635358374451,2021-10-27T21:12:54.451,7.557,100956.969
1635358374711,2021-10-27T21:12:54.711,7.817,100958.859
1635358374971,2021-10-27T21:12:54.971,8.077,100956.969
1635358375232,2021-10-27T21:12:55.232,8.338,100955.938
1635358375493,2021-10-27T21:12:55.493,8.599,100953.250
1635358375754,2021-10-27T21:12:55.754,8.860,100959.969
1635358376014,2021-10-27T21:12:56.014,9.120,100964.594
1635358376275,2021-10-27T21:12:56.275,9.381,100955.703
1635358376536,2021-10-27T21:12:56.536,9.642,100934.977
1635358376795,2021-10-27T21:12:56.795,9.901,100948.203
1635358377056,2021-10-27T21:12:57.056,10.162,100958.164
1635358377317,2021-10-27T21:12:57.317,10.423,100959.508
1635358377577,2021-10-27T21:12:57.577,10.683,100940.672
1635358377838,2021-10-27T21:12:57.838,10.944,100951.703
1635358378099,2021-10-27T21:12:58.099,11.205,100952.250
1635358378360,2021-10-27T21:12:58.360,11.466,100952.547
1635358378620,2021-10-27T21:12:58.620,11.726,100953.125
1635358378880,2021-10-27T21:12:58.880,11.986,100949.320
1635358379140,2021-10-27T21:12:59.140,12.246,100948.781
1635358379401,2021-10-27T21:12:59.401,12.507,100946.938
1635358379662,2021-10-27T21:12:59.662,12.768,100950.438
1635358379923,2021-10-27T21:12:59.923,13.029,100940.477
1635358380183,2021-10-27T21:13:00.183,13.289,100950.742
