epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635679047666,2021-10-31T13.17.27.666,0.000,0.327,-0.000,-0.942
1635679047707,2021-10-31T13.17.27.707,0.041,0.343,0.053,-0.939
1635679047748,2021-10-31T13.17.27.748,0.082,0.343,0.011,-0.934
1635679047788,2021-10-31T13.17.27.788,0.122,0.356,0.014,-0.897
1635679047829,2021-10-31T13.17.27.829,0.163,0.357,0.032,-0.927
1635679047870,2021-10-31T13.17.27.870,0.204,0.301,-0.072,-0.923
1635679047909,2021-10-31T13.17.27.909,0.243,0.336,-0.057,-0.972
1635679047950,2021-10-31T13.17.27.950,0.284,0.320,-0.002,-0.986
1635679047991,2021-10-31T13.17.27.991,0.325,0.329,0.006,-0.908
1635679048032,2021-10-31T13.17.28.032,0.366,0.350,0.038,-0.872
1635679048072,2021-10-31T13.17.28.072,0.406,0.305,-0.050,-0.869
1635679048113,2021-10-31T13.17.28.113,0.447,0.320,-0.015,-1.007
1635679048154,2021-10-31T13.17.28.154,0.488,0.320,-0.031,-0.959
1635679048193,2021-10-31T13.17.28.193,0.527,0.332,0.015,-0.960
1635679048234,2021-10-31T13.17.28.234,0.568,0.318,0.003,-0.921
1635679048275,2021-10-31T13.17.28.275,0.609,0.375,0.019,-0.958
1635679048315,2021-10-31T13.17.28.315,0.649,0.346,0.072,-0.930
1635679048356,2021-10-31T13.17.28.356,0.690,0.302,-0.008,-0.919
1635679048397,2021-10-31T13.17.28.397,0.731,0.297,-0.030,-0.915
1635679048437,2021-10-31T13.17.28.437,0.771,0.326,-0.084,-0.866
1635679048478,2021-10-31T13.17.28.478,0.812,0.349,-0.036,-0.869
1635679048519,2021-10-31T13.17.28.519,0.853,0.348,-0.023,-0.874
1635679048560,2021-10-31T13.17.28.560,0.894,0.366,0.018,-0.984
1635679048599,2021-10-31T13.17.28.599,0.933,0.362,0.021,-1.062
1635679048640,2021-10-31T13.17.28.640,0.974,0.345,0.029,-1.014
1635679048681,2021-10-31T13.17.28.681,1.015,0.359,0.013,-1.012
1635679048721,2021-10-31T13.17.28.721,1.055,0.137,-0.028,-0.955
1635679048762,2021-10-31T13.17.28.762,1.096,0.317,-0.054,-0.944
1635679048803,2021-10-31T13.17.28.803,1.137,0.334,-0.046,-0.881
1635679048842,2021-10-31T13.17.28.842,1.176,0.301,-0.054,-0.887
1635679048883,2021-10-31T13.17.28.883,1.217,0.299,-0.079,-0.908
1635679048924,2021-10-31T13.17.28.924,1.258,0.318,-0.060,-0.900
1635679048965,2021-10-31T13.17.28.965,1.299,0.329,0.027,-0.942
1635679049005,2021-10-31T13.17.29.005,1.339,0.327,0.060,-0.963
1635679049046,2021-10-31T13.17.29.046,1.380,0.334,0.076,-0.933
1635679049087,2021-10-31T13.17.29.087,1.421,0.347,0.056,-0.889
1635679049127,2021-10-31T13.17.29.127,1.461,0.302,0.067,-0.779
1635679049168,2021-10-31T13.17.29.168,1.502,0.194,0.194,-0.747
1635679049209,2021-10-31T13.17.29.209,1.543,0.059,0.215,-0.913
