epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.6363E+12,2021-11-07T08:03:56.307,0,1.22,0.793,-0.549
1.6363E+12,2021-11-07T08:03:56.347,0.04,0.762,0.579,-0.488
1.6363E+12,2021-11-07T08:03:56.387,0.08,0.335,0.457,-0.671
1.6363E+12,2021-11-07T08:03:56.427,0.12,0.64,0.762,-0.64
1.6363E+12,2021-11-07T08:03:56.467,0.16,-0.152,0.396,-0.701
1.6363E+12,2021-11-07T08:03:56.507,0.2,-0.762,0.457,-0.549
1.6363E+12,2021-11-07T08:03:56.547,0.24,-0.823,0.457,-0.579
1.6363E+12,2021-11-07T08:03:56.587,0.28,-0.488,0.213,-0.335
1.6363E+12,2021-11-07T08:03:56.627,0.32,-0.335,-0.122,-0.213
1.6363E+12,2021-11-07T08:03:56.667,0.36,-0.183,-0.061,-0.122
1.6363E+12,2021-11-07T08:03:56.707,0.4,0,-0.03,0.03
1.6363E+12,2021-11-07T08:03:56.747,0.44,0.396,0.091,0.03
1.6363E+12,2021-11-07T08:03:56.787,0.48,1.311,-0.061,0.091
1.6363E+12,2021-11-07T08:03:56.827,0.52,0.61,0.03,-0.152
1.6363E+12,2021-11-07T08:03:56.867,0.56,0.091,0.305,-0.427
1.6363E+12,2021-11-07T08:03:56.907,0.6,0.396,0.305,-0.549
1.6363E+12,2021-11-07T08:03:56.947,0.64,0.427,0.061,-0.366
1.6363E+12,2021-11-07T08:03:56.987,0.68,0.274,0.274,-0.305
1.6363E+12,2021-11-07T08:03:57.027,0.72,-0.518,0.335,-0.457
1.6363E+12,2021-11-07T08:03:57.067,0.76,0.61,-0.091,-0.152
1.6363E+12,2021-11-07T08:03:57.107,0.8,0.244,-0.183,-0.03
1.6363E+12,2021-11-07T08:03:57.147,0.84,0.183,0.335,-0.152
1.6363E+12,2021-11-07T08:03:57.187,0.88,-0.549,0.183,-0.335
1.6363E+12,2021-11-07T08:03:57.227,0.92,-0.549,0.213,-0.366
1.6363E+12,2021-11-07T08:03:57.267,0.96,-0.976,0.122,-0.427
1.6363E+12,2021-11-07T08:03:57.307,1,-0.305,0.122,-0.274
1.6363E+12,2021-11-07T08:03:57.347,1.04,-0.305,0.061,-0.183
1.6363E+12,2021-11-07T08:03:57.387,1.08,0.122,0.244,-0.213
1.6363E+12,2021-11-07T08:03:57.427,1.12,0.091,0.152,-0.183
