epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636311726969,2021-11-07T11:02:06.969,3.240,-0.091,0.122,-0.305
1636311727009,2021-11-07T11:02:07.009,3.280,-0.274,0.061,-0.396
1636311727049,2021-11-07T11:02:07.049,3.320,-0.305,0.091,-0.427
1636311727089,2021-11-07T11:02:07.089,3.360,0.000,0.213,-0.396
1636311727129,2021-11-07T11:02:07.129,3.400,0.030,0.152,-0.366
1636311727169,2021-11-07T11:02:07.169,3.440,-0.061,0.152,-0.427
1636311727209,2021-11-07T11:02:07.209,3.480,-0.061,0.122,-0.457
1636311727249,2021-11-07T11:02:07.249,3.520,-0.061,0.244,-0.305
1636311727289,2021-11-07T11:02:07.289,3.560,0.000,0.305,-0.274
1636311727329,2021-11-07T11:02:07.329,3.600,-0.366,0.061,-0.335
1636311727369,2021-11-07T11:02:07.369,3.640,-0.305,0.091,-0.427
1636311727409,2021-11-07T11:02:07.409,3.680,-0.335,0.305,-0.366
1636311727449,2021-11-07T11:02:07.449,3.720,0.091,0.335,-0.244
1636311727489,2021-11-07T11:02:07.489,3.760,-0.091,0.274,-0.305
1636311727529,2021-11-07T11:02:07.529,3.800,-0.518,0.091,-0.335
1636311727569,2021-11-07T11:02:07.569,3.840,-0.030,0.213,-0.366
1636311727609,2021-11-07T11:02:07.609,3.880,-0.122,0.122,-0.274
1636311727649,2021-11-07T11:02:07.649,3.920,-0.061,0.122,-0.213
1636311727689,2021-11-07T11:02:07.689,3.960,-0.061,0.152,-0.274
1636311727729,2021-11-07T11:02:07.729,4.000,-0.122,0.061,-0.366
1636311727769,2021-11-07T11:02:07.769,4.040,-0.183,0.030,-0.396
1636311727809,2021-11-07T11:02:07.809,4.080,-0.274,0.000,-0.244
1636311727849,2021-11-07T11:02:07.849,4.120,0.030,0.152,-0.305
1636311727889,2021-11-07T11:02:07.889,4.160,-0.152,0.122,-0.457
1636311727929,2021-11-07T11:02:07.929,4.200,-0.030,0.213,-0.396
1636311727969,2021-11-07T11:02:07.969,4.240,-0.061,0.305,-0.427
1636311728009,2021-11-07T11:02:08.009,4.280,-0.091,0.213,-0.366
1636311728049,2021-11-07T11:02:08.049,4.320,-0.366,0.366,-0.305
1636311728089,2021-11-07T11:02:08.089,4.360,-0.213,0.518,-0.366
1636311728129,2021-11-07T11:02:08.129,4.400,-0.457,0.213,-0.396
1636311728169,2021-11-07T11:02:08.169,4.440,-0.030,0.305,-0.396
1636311728209,2021-11-07T11:02:08.209,4.480,-0.152,0.366,-0.457
1636311728249,2021-11-07T11:02:08.249,4.520,-0.427,0.305,-0.457
1636311728289,2021-11-07T11:02:08.289,4.560,0.000,0.396,-0.427
1636311728329,2021-11-07T11:02:08.329,4.600,-0.335,0.274,-0.518
1636311728369,2021-11-07T11:02:08.369,4.640,-0.122,0.244,-0.518
1636311728409,2021-11-07T11:02:08.409,4.680,0.000,0.244,-0.396
1636311728449,2021-11-07T11:02:08.449,4.720,-0.305,0.183,-0.427
1636311728489,2021-11-07T11:02:08.489,4.760,-0.152,0.183,-0.396
1636311728529,2021-11-07T11:02:08.529,4.800,-0.061,0.213,-0.396
1636311728569,2021-11-07T11:02:08.569,4.840,-0.305,0.122,-0.396
1636311728609,2021-11-07T11:02:08.609,4.880,-0.335,0.122,-0.366
1636311728649,2021-11-07T11:02:08.649,4.920,-0.030,0.152,-0.366
1636311728689,2021-11-07T11:02:08.689,4.960,-0.335,0.152,-0.427
1636311728729,2021-11-07T11:02:08.729,5.000,-0.244,0.152,-0.335
1636311728769,2021-11-07T11:02:08.769,5.040,0.000,0.183,-0.366
1636311728809,2021-11-07T11:02:08.809,5.080,-0.335,0.183,-0.396
1636311728849,2021-11-07T11:02:08.849,5.120,-0.457,0.213,-0.396
1636311728889,2021-11-07T11:02:08.889,5.160,-0.091,0.335,-0.305
1636311728929,2021-11-07T11:02:08.929,5.200,-0.427,0.030,-0.274
1636311728969,2021-11-07T11:02:08.969,5.240,-0.335,0.030,-0.305
1636311729009,2021-11-07T11:02:09.009,5.280,-0.274,0.000,-0.183
1636311729049,2021-11-07T11:02:09.049,5.320,-0.030,0.122,-0.122
1636311729089,2021-11-07T11:02:09.089,5.360,-0.366,0.000,-0.305
1636311729129,2021-11-07T11:02:09.129,5.400,-0.366,0.000,-0.305
1636311729169,2021-11-07T11:02:09.169,5.440,-0.427,0.091,-0.366
1636311729209,2021-11-07T11:02:09.209,5.480,-0.305,0.030,-0.396
1636311729249,2021-11-07T11:02:09.249,5.520,-0.122,0.091,-0.335
1636311729289,2021-11-07T11:02:09.289,5.560,-0.274,0.061,-0.335
1636311729329,2021-11-07T11:02:09.329,5.600,-0.122,0.030,-0.335
1636311729369,2021-11-07T11:02:09.369,5.640,0.061,0.061,-0.305
1636311729409,2021-11-07T11:02:09.409,5.680,-0.061,0.091,-0.274
1636311729449,2021-11-07T11:02:09.449,5.720,-0.091,0.122,-0.305
1636311729489,2021-11-07T11:02:09.489,5.760,0.030,0.152,-0.305
1636311729529,2021-11-07T11:02:09.529,5.800,-0.122,0.183,-0.305
1636311729569,2021-11-07T11:02:09.569,5.840,-0.335,0.152,-0.427
1636311729609,2021-11-07T11:02:09.609,5.880,-0.427,0.244,-0.335
1636311729649,2021-11-07T11:02:09.649,5.920,-0.793,0.488,-0.366
1636311729689,2021-11-07T11:02:09.689,5.960,-0.823,0.244,-0.457
1636311729729,2021-11-07T11:02:09.729,6.000,-0.305,0.122,-0.396
1636311729769,2021-11-07T11:02:09.769,6.040,0.000,0.183,-0.335
1636311729809,2021-11-07T11:02:09.809,6.080,-0.091,0.152,-0.335
1636311729849,2021-11-07T11:02:09.849,6.120,0.152,0.183,-0.366
1636311729889,2021-11-07T11:02:09.889,6.160,0.061,0.244,-0.305
1636311729929,2021-11-07T11:02:09.929,6.200,-0.030,0.305,-0.396
1636311729969,2021-11-07T11:02:09.969,6.240,-0.213,0.274,-0.457
1636311730009,2021-11-07T11:02:10.009,6.280,-0.457,0.061,-0.427
1636311730049,2021-11-07T11:02:10.049,6.320,0.091,0.183,-0.305
1636311730089,2021-11-07T11:02:10.089,6.360,-0.183,0.244,-0.366
