epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636220451263,2021-11-06T10:40:51.263,0.000,-0.549,0.244,-0.244
1636220451303,2021-11-06T10:40:51.303,0.040,-0.244,0.061,-0.274
1636220451343,2021-11-06T10:40:51.343,0.080,-0.366,0.213,-0.305
1636220451383,2021-11-06T10:40:51.383,0.120,-0.488,0.457,-0.396
1636220451423,2021-11-06T10:40:51.423,0.160,-0.335,0.366,-0.427
1636220451463,2021-11-06T10:40:51.463,0.200,-0.427,0.213,-0.366
1636220451503,2021-11-06T10:40:51.503,0.240,-0.488,0.335,-0.305
1636220451543,2021-11-06T10:40:51.543,0.280,-0.305,0.396,-0.305
1636220451583,2021-11-06T10:40:51.583,0.320,-0.335,0.274,-0.305
1636220451623,2021-11-06T10:40:51.623,0.360,-0.427,0.244,-0.274
1636220451663,2021-11-06T10:40:51.663,0.400,-0.457,0.274,-0.335
1636220451703,2021-11-06T10:40:51.703,0.440,-0.427,0.274,-0.335
1636220451743,2021-11-06T10:40:51.743,0.480,-0.579,0.213,-0.244
1636220451783,2021-11-06T10:40:51.783,0.520,-0.579,0.122,-0.274
1636220451823,2021-11-06T10:40:51.823,0.560,-0.396,0.305,-0.366
1636220451863,2021-11-06T10:40:51.863,0.600,-0.061,0.427,-0.427
1636220451903,2021-11-06T10:40:51.903,0.640,-0.274,0.091,-0.457
1636220451943,2021-11-06T10:40:51.943,0.680,-0.457,0.244,-0.335
1636220451983,2021-11-06T10:40:51.983,0.720,-0.518,0.213,-0.244
1636220452023,2021-11-06T10:40:52.023,0.760,-0.518,0.091,-0.274
1636220452063,2021-11-06T10:40:52.063,0.800,-0.274,0.335,-0.366
1636220452103,2021-11-06T10:40:52.103,0.840,-0.366,0.305,-0.335
1636220452143,2021-11-06T10:40:52.143,0.880,-0.366,0.183,-0.305
1636220452183,2021-11-06T10:40:52.183,0.920,-0.183,0.061,-0.366
1636220452223,2021-11-06T10:40:52.223,0.960,-0.183,0.213,-0.335
1636220452263,2021-11-06T10:40:52.263,1.000,-0.396,-0.030,-0.335
1636220452303,2021-11-06T10:40:52.303,1.040,-0.396,0.122,-0.366
1636220452343,2021-11-06T10:40:52.343,1.080,-0.335,0.213,-0.335
1636220452383,2021-11-06T10:40:52.383,1.120,-0.427,0.030,-0.305
1636220452423,2021-11-06T10:40:52.423,1.160,-0.396,0.183,-0.335
1636220452463,2021-11-06T10:40:52.463,1.200,-0.396,0.335,-0.274
1636220452503,2021-11-06T10:40:52.503,1.240,0.030,0.396,-0.457
1636220452543,2021-11-06T10:40:52.543,1.280,0.152,0.244,-0.518
1636220452583,2021-11-06T10:40:52.583,1.320,0.061,0.305,-0.427
1636220452623,2021-11-06T10:40:52.623,1.360,0.152,0.244,-0.488
1636220452663,2021-11-06T10:40:52.663,1.400,-0.152,0.183,-0.305
