epoc (ms),timestamp (+0200),elapsed (s),pressure (Pa)
1636482336510,2021-11-09T20.25.36.510,0.000,101181.422
1636482336775,2021-11-09T20.25.36.775,0.265,101181.422
1636482337039,2021-11-09T20.25.37.039,0.529,101182.750
1636482337304,2021-11-09T20.25.37.304,0.794,101183.406
1636482337569,2021-11-09T20.25.37.569,1.059,101186.398
1636482337833,2021-11-09T20.25.37.833,1.323,101179.438
1636482338098,2021-11-09T20.25.38.098,1.588,101178.766
1636482338363,2021-11-09T20.25.38.363,1.853,101180.438
1636482338627,2021-11-09T20.25.38.627,2.117,101185.070
1636482338892,2021-11-09T20.25.38.892,2.382,101184.750
1636482339157,2021-11-09T20.25.39.157,2.647,101183.914
1636482339421,2021-11-09T20.25.39.421,2.911,101184.086
1636482339686,2021-11-09T20.25.39.686,3.176,101181.438
1636482339950,2021-11-09T20.25.39.950,3.440,101183.250
1636482340215,2021-11-09T20.25.40.215,3.705,101186.750
1636482340480,2021-11-09T20.25.40.480,3.970,101183.422
1636482340744,2021-11-09T20.25.40.744,4.234,101180.766
1636482341009,2021-11-09T20.25.41.009,4.499,101179.273
1636482341274,2021-11-09T20.25.41.274,4.764,101187.406
1636482341538,2021-11-09T20.25.41.538,5.028,101182.094
1636482341803,2021-11-09T20.25.41.803,5.293,101184.250
1636482342066,2021-11-09T20.25.42.066,5.556,101180.453
1636482342332,2021-11-09T20.25.42.332,5.822,101180.109
1636482342597,2021-11-09T20.25.42.597,6.087,101181.602
1636482342860,2021-11-09T20.25.42.860,6.350,101180.109
1636482343126,2021-11-09T20.25.43.126,6.616,101180.766
1636482343391,2021-11-09T20.25.43.391,6.881,101185.578
1636482343654,2021-11-09T20.25.43.654,7.144,101182.758
1636482343919,2021-11-09T20.25.43.919,7.409,101181.438
1636482344183,2021-11-09T20.25.44.183,7.673,101180.938
1636482344448,2021-11-09T20.25.44.448,7.938,101183.266
1636482344713,2021-11-09T20.25.44.713,8.203,101180.109
1636482344977,2021-11-09T20.25.44.977,8.467,101180.938
1636482345242,2021-11-09T20.25.45.242,8.732,101181.602
1636482345507,2021-11-09T20.25.45.507,8.997,101184.766
1636482345771,2021-11-09T20.25.45.771,9.261,101184.594
1636482346036,2021-11-09T20.25.46.036,9.526,101181.109
1636482346300,2021-11-09T20.25.46.300,9.790,101180.766
1636482346565,2021-11-09T20.25.46.565,10.055,101183.758
1636482346830,2021-11-09T20.25.46.830,10.320,101182.758
1636482347094,2021-11-09T20.25.47.094,10.584,101184.594
1636482347359,2021-11-09T20.25.47.359,10.849,101185.086
1636482347624,2021-11-09T20.25.47.624,11.114,101182.266
1636482347888,2021-11-09T20.25.47.888,11.378,101180.453
1636482348153,2021-11-09T20.25.48.153,11.643,101183.438
1636482348417,2021-11-09T20.25.48.417,11.907,101183.094
1636482348682,2021-11-09T20.25.48.682,12.172,101179.781
1636482348947,2021-11-09T20.25.48.947,12.437,101180.281
1636482349210,2021-11-09T20.25.49.210,12.700,101182.758
1636482349476,2021-11-09T20.25.49.476,12.966,101183.438
1636482349741,2021-11-09T20.25.49.741,13.231,101185.750
1636482350004,2021-11-09T20.25.50.004,13.494,101183.438
1636482350270,2021-11-09T20.25.50.270,13.760,101184.094
1636482350533,2021-11-09T20.25.50.533,14.023,101179.453
1636482350798,2021-11-09T20.25.50.798,14.288,101182.766
1636482351064,2021-11-09T20.25.51.064,14.554,101182.109
1636482351327,2021-11-09T20.25.51.327,14.817,101181.281
1636482351592,2021-11-09T20.25.51.592,15.082,101179.609
1636482351857,2021-11-09T20.25.51.857,15.347,101186.922
1636482352121,2021-11-09T20.25.52.121,15.611,101185.422
1636482352386,2021-11-09T20.25.52.386,15.876,101183.438
1636482352650,2021-11-09T20.25.52.650,16.140,101184.422
1636482352915,2021-11-09T20.25.52.915,16.405,101184.266
1636482353180,2021-11-09T20.25.53.180,16.670,101184.266
1636482353444,2021-11-09T20.25.53.444,16.934,101186.250
1636482353709,2021-11-09T20.25.53.709,17.199,101184.438
1636482353974,2021-11-09T20.25.53.974,17.464,101180.125
1636482354238,2021-11-09T20.25.54.238,17.728,101183.109
1636482354503,2021-11-09T20.25.54.503,17.993,101185.766
1636482354767,2021-11-09T20.25.54.767,18.257,101185.766
1636482355032,2021-11-09T20.25.55.032,18.522,101185.422
1636482355297,2021-11-09T20.25.55.297,18.787,101184.266
1636482355561,2021-11-09T20.25.55.561,19.051,101181.125
1636482355826,2021-11-09T20.25.55.826,19.316,101179.797
1636482356091,2021-11-09T20.25.56.091,19.581,101185.094
1636482356355,2021-11-09T20.25.56.355,19.845,101185.094
1636482356620,2021-11-09T20.25.56.620,20.110,101181.781
1636482356883,2021-11-09T20.25.56.883,20.373,101183.109
1636482357148,2021-11-09T20.25.57.148,20.638,101182.281
1636482357414,2021-11-09T20.25.57.414,20.904,101182.617
1636482357677,2021-11-09T20.25.57.677,21.167,101183.766
1636482357942,2021-11-09T20.25.57.942,21.432,101185.266
1636482358208,2021-11-09T20.25.58.208,21.698,101185.594
1636482358471,2021-11-09T20.25.58.471,21.961,101185.094
1636482358736,2021-11-09T20.25.58.736,22.226,101181.781
1636482359002,2021-11-09T20.25.59.002,22.492,101181.289
1636482359265,2021-11-09T20.25.59.265,22.755,101182.617
1636482359530,2021-11-09T20.25.59.530,23.020,101184.773
1636482359795,2021-11-09T20.25.59.795,23.285,101183.281
1636482360059,2021-11-09T20.26.00.059,23.549,101184.609
