epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635778767826,2021-11-01T07:59:27.826,0.000,-0.300,0.114,-0.957
1635778767866,2021-11-01T07:59:27.866,0.040,-0.301,0.117,-0.965
1635778767906,2021-11-01T07:59:27.906,0.080,-0.301,0.117,-0.964
1635778767946,2021-11-01T07:59:27.946,0.120,-0.300,0.115,-0.963
1635778767986,2021-11-01T07:59:27.986,0.160,-0.300,0.116,-0.963
1635778768026,2021-11-01T07:59:28.026,0.200,-0.298,0.116,-0.964
1635778768066,2021-11-01T07:59:28.066,0.240,-0.299,0.114,-0.964
1635778768106,2021-11-01T07:59:28.106,0.280,-0.300,0.115,-0.963
1635778768146,2021-11-01T07:59:28.146,0.320,-0.300,0.112,-0.962
1635778768186,2021-11-01T07:59:28.186,0.360,-0.298,0.117,-0.963
1635778768226,2021-11-01T07:59:28.226,0.400,-0.299,0.117,-0.964
1635778768266,2021-11-01T07:59:28.266,0.440,-0.301,0.113,-0.963
1635778768306,2021-11-01T07:59:28.306,0.480,-0.299,0.115,-0.962
1635778768346,2021-11-01T07:59:28.346,0.520,-0.300,0.122,-0.961
1635778768386,2021-11-01T07:59:28.386,0.560,-0.297,0.118,-0.965
1635778768426,2021-11-01T07:59:28.426,0.600,-0.297,0.118,-0.964
1635778768466,2021-11-01T07:59:28.466,0.640,-0.299,0.116,-0.963
1635778768506,2021-11-01T07:59:28.506,0.680,-0.295,0.119,-0.963
1635778768546,2021-11-01T07:59:28.546,0.720,-0.292,0.124,-0.964
1635778768586,2021-11-01T07:59:28.586,0.760,-0.295,0.124,-0.964
1635778768626,2021-11-01T07:59:28.626,0.800,-0.293,0.129,-0.962
1635778768666,2021-11-01T07:59:28.666,0.840,-0.294,0.132,-0.962
1635778768706,2021-11-01T07:59:28.706,0.880,-0.294,0.131,-0.960
1635778768746,2021-11-01T07:59:28.746,0.920,-0.294,0.132,-0.961
1635778768786,2021-11-01T07:59:28.786,0.960,-0.296,0.131,-0.959
1635778768826,2021-11-01T07:59:28.826,1.000,-0.297,0.130,-0.961
1635778768866,2021-11-01T07:59:28.866,1.040,-0.294,0.136,-0.961
1635778768906,2021-11-01T07:59:28.906,1.080,-0.292,0.137,-0.961
1635778768946,2021-11-01T07:59:28.946,1.120,-0.295,0.136,-0.962
1635778768986,2021-11-01T07:59:28.986,1.160,-0.293,0.137,-0.961
1635778769026,2021-11-01T07:59:29.026,1.200,-0.289,0.144,-0.961
1635778769066,2021-11-01T07:59:29.066,1.240,-0.294,0.133,-0.962
1635778769106,2021-11-01T07:59:29.106,1.280,-0.295,0.126,-0.961
1635778769146,2021-11-01T07:59:29.146,1.320,-0.289,0.137,-0.962
1635778769186,2021-11-01T07:59:29.186,1.360,-0.291,0.142,-0.961
1635778769226,2021-11-01T07:59:29.226,1.400,-0.285,0.149,-0.959
1635778769266,2021-11-01T07:59:29.266,1.440,-0.279,0.163,-0.966
1635778769306,2021-11-01T07:59:29.306,1.480,-0.280,0.163,-0.959
1635778769346,2021-11-01T07:59:29.346,1.520,-0.283,0.148,-0.962
1635778769386,2021-11-01T07:59:29.386,1.560,-0.287,0.148,-0.961
1635778769426,2021-11-01T07:59:29.426,1.600,-0.284,0.156,-0.960
1635778769466,2021-11-01T07:59:29.466,1.640,-0.285,0.149,-0.961
1635778769506,2021-11-01T07:59:29.506,1.680,-0.286,0.151,-0.961
1635778769546,2021-11-01T07:59:29.546,1.720,-0.283,0.152,-0.961
1635778769586,2021-11-01T07:59:29.586,1.760,-0.287,0.147,-0.960
1635778769626,2021-11-01T07:59:29.626,1.800,-0.293,0.145,-0.958
1635778769666,2021-11-01T07:59:29.666,1.840,-0.286,0.153,-0.960
1635778769706,2021-11-01T07:59:29.706,1.880,-0.289,0.145,-0.959
1635778769746,2021-11-01T07:59:29.746,1.920,-0.289,0.150,-0.961
1635778769786,2021-11-01T07:59:29.786,1.960,-0.288,0.149,-0.960
1635778769826,2021-11-01T07:59:29.826,2.000,-0.292,0.144,-0.959
1635778769866,2021-11-01T07:59:29.866,2.040,-0.288,0.150,-0.958
1635778769906,2021-11-01T07:59:29.906,2.080,-0.291,0.142,-0.960
1635778769946,2021-11-01T07:59:29.946,2.120,-0.291,0.145,-0.960
1635778769986,2021-11-01T07:59:29.986,2.160,-0.291,0.145,-0.960
