epoc (ms),timestamp (+0200),elapsed (s),pressure (Pa)
1636492598984,2021-11-09T23.16.38.984,0.000,101105.719
1636492599246,2021-11-09T23.16.39.246,0.262,101102.414
1636492599508,2021-11-09T23.16.39.508,0.524,101100.422
1636492599770,2021-11-09T23.16.39.770,0.785,101106.281
1636492600031,2021-11-09T23.16.40.031,1.047,101106.484
1636492600293,2021-11-09T23.16.40.293,1.309,101104.508
1636492600555,2021-11-09T23.16.40.555,1.571,101106.859
1636492600817,2021-11-09T23.16.40.817,1.832,101110.172
1636492601078,2021-11-09T23.16.41.078,2.094,101106.414
1636492601340,2021-11-09T23.16.41.340,2.356,101107.922
1636492601602,2021-11-09T23.16.41.602,2.618,101106.594
1636492601864,2021-11-09T23.16.41.864,2.880,101101.297
1636492602126,2021-11-09T23.16.42.126,3.141,101105.672
1636492602387,2021-11-09T23.16.42.387,3.403,101108.320
1636492602649,2021-11-09T23.16.42.649,3.665,101105.375
1636492602911,2021-11-09T23.16.42.911,3.927,101104.711
1636492603173,2021-11-09T23.16.43.173,4.188,101104.047
1636492603434,2021-11-09T23.16.43.434,4.450,101102.906
1636492603696,2021-11-09T23.16.43.696,4.712,101108.422
1636492603958,2021-11-09T23.16.43.958,4.974,101099.156
1636492604220,2021-11-09T23.16.44.220,5.236,101104.812
1636492604482,2021-11-09T23.16.44.482,5.497,101107.203
1636492604743,2021-11-09T23.16.44.743,5.759,101104.156
1636492605005,2021-11-09T23.16.45.005,6.021,101103.891
1636492605267,2021-11-09T23.16.45.267,6.283,101102.750
1636492605529,2021-11-09T23.16.45.529,6.545,101106.062
1636492605790,2021-11-09T23.16.45.790,6.806,101100.945
1636492606052,2021-11-09T23.16.46.052,7.068,101106.469
1636492606314,2021-11-09T23.16.46.314,7.330,101103.336
1636492606576,2021-11-09T23.16.46.576,7.592,101105.320
1636492606838,2021-11-09T23.16.46.838,7.853,101105.984
1636492607099,2021-11-09T23.16.47.099,8.115,101105.719
1636492607361,2021-11-09T23.16.47.361,8.377,101105.250
1636492607623,2021-11-09T23.16.47.623,8.639,101106.750
1636492607885,2021-11-09T23.16.47.885,8.901,101104.102
1636492608147,2021-11-09T23.16.48.147,9.162,101101.930
1636492608408,2021-11-09T23.16.48.408,9.424,101105.422
1636492608670,2021-11-09T23.16.48.670,9.686,101106.969
1636492608932,2021-11-09T23.16.48.932,9.948,101103.656
1636492609194,2021-11-09T23.16.49.194,10.209,101106.188
1636492609455,2021-11-09T23.16.49.455,10.471,101107.258
1636492609717,2021-11-09T23.16.49.717,10.733,101107.922
1636492609979,2021-11-09T23.16.49.979,10.995,101107.656
1636492610241,2021-11-09T23.16.50.241,11.257,101103.461
1636492610503,2021-11-09T23.16.50.503,11.518,101109.641
1636492610764,2021-11-09T23.16.50.764,11.780,101106.328
1636492611026,2021-11-09T23.16.51.026,12.042,101108.688
1636492611288,2021-11-09T23.16.51.288,12.304,101109.164
1636492611550,2021-11-09T23.16.51.550,12.565,101102.062
1636492611811,2021-11-09T23.16.51.811,12.827,101102.719
1636492612073,2021-11-09T23.16.52.073,13.089,101103.781
1636492612335,2021-11-09T23.16.52.335,13.351,101103.781
1636492612597,2021-11-09T23.16.52.597,13.613,101105.773
1636492612859,2021-11-09T23.16.52.859,13.874,101101.500
1636492613120,2021-11-09T23.16.53.120,14.136,101110.109
1636492613382,2021-11-09T23.16.53.382,14.398,101104.406
1636492613644,2021-11-09T23.16.53.644,14.660,101102.594
1636492613906,2021-11-09T23.16.53.906,14.921,101108.562
1636492614167,2021-11-09T23.16.54.167,15.183,101101.641
1636492614429,2021-11-09T23.16.54.429,15.445,101103.625
1636492614691,2021-11-09T23.16.54.691,15.707,101107.812
1636492614953,2021-11-09T23.16.54.953,15.969,101106.016
1636492615215,2021-11-09T23.16.55.215,16.230,101104.688
1636492615476,2021-11-09T23.16.55.476,16.492,101103.359
1636492615738,2021-11-09T23.16.55.738,16.754,101100.719
1636492616000,2021-11-09T23.16.56.000,17.016,101102.438
1636492616262,2021-11-09T23.16.56.262,17.277,101103.094
1636492616523,2021-11-09T23.16.56.523,17.539,101107.438
1636492616785,2021-11-09T23.16.56.785,17.801,101102.438
1636492617047,2021-11-09T23.16.57.047,18.063,101102.438
1636492617309,2021-11-09T23.16.57.309,18.325,101103.016
1636492617571,2021-11-09T23.16.57.571,18.586,101102.062
1636492617832,2021-11-09T23.16.57.832,18.848,101101.875
1636492618094,2021-11-09T23.16.58.094,19.110,101106.516
1636492618356,2021-11-09T23.16.58.356,19.372,101101.688
1636492618618,2021-11-09T23.16.58.618,19.634,101100.922
1636492618879,2021-11-09T23.16.58.879,19.895,101106.219
1636492619141,2021-11-09T23.16.59.141,20.157,101103.305
1636492619403,2021-11-09T23.16.59.403,20.419,101100.922
1636492619665,2021-11-09T23.16.59.665,20.681,101103.484
1636492619927,2021-11-09T23.16.59.927,20.942,101104.812
1636492620188,2021-11-09T23.17.00.188,21.204,101105.688
1636492620450,2021-11-09T23.17.00.450,21.466,101105.031
1636492620712,2021-11-09T23.17.00.712,21.728,101100.844
1636492620974,2021-11-09T23.17.00.974,21.990,101105.688
1636492621236,2021-11-09T23.17.01.236,22.251,101102.750
1636492621497,2021-11-09T23.17.01.497,22.513,101104.734
1636492621759,2021-11-09T23.17.01.759,22.775,101105.797
1636492622021,2021-11-09T23.17.02.021,23.037,101099.617
1636492622283,2021-11-09T23.17.02.283,23.298,101102.922
1636492622544,2021-11-09T23.17.02.544,23.560,101103.328
1636492622806,2021-11-09T23.17.02.806,23.822,101103.328
1636492623068,2021-11-09T23.17.03.068,24.084,101103.906
1636492623330,2021-11-09T23.17.03.330,24.346,101102.188
1636492623592,2021-11-09T23.17.03.592,24.607,101107.219
1636492623853,2021-11-09T23.17.03.853,24.869,101107.883
1636492624115,2021-11-09T23.17.04.115,25.131,101104.094
1636492624377,2021-11-09T23.17.04.377,25.393,101102.500
1636492624639,2021-11-09T23.17.04.639,25.654,101104.492
1636492624900,2021-11-09T23.17.04.900,25.916,101106.656
1636492625162,2021-11-09T23.17.05.162,26.178,101102.281
1636492625424,2021-11-09T23.17.05.424,26.440,101103.344
1636492625686,2021-11-09T23.17.05.686,26.702,101104.859
1636492625948,2021-11-09T23.17.05.948,26.963,101103.531
1636492626209,2021-11-09T23.17.06.209,27.225,101106.180
1636492626471,2021-11-09T23.17.06.471,27.487,101103.750
1636492626733,2021-11-09T23.17.06.733,27.749,101103.750
1636492626995,2021-11-09T23.17.06.995,28.010,101106.578
1636492627256,2021-11-09T23.17.07.256,28.272,101105.836
1636492627518,2021-11-09T23.17.07.518,28.534,101107.164
1636492627780,2021-11-09T23.17.07.780,28.796,101105.359
1636492628042,2021-11-09T23.17.08.042,29.058,101105.836
1636492628304,2021-11-09T23.17.08.304,29.319,101102.703
1636492628565,2021-11-09T23.17.08.565,29.581,101106.859
1636492628827,2021-11-09T23.17.08.827,29.843,101103.547
