epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1635778767747,2021-11-01T07:59:27.747,0.000,-0.091,0.183,-0.061
1635778767787,2021-11-01T07:59:27.787,0.040,-0.335,0.152,-0.183
1635778767827,2021-11-01T07:59:27.827,0.080,0.457,-0.061,-0.366
1635778767867,2021-11-01T07:59:27.867,0.120,-0.244,0.427,-0.335
1635778767907,2021-11-01T07:59:27.907,0.160,0.030,0.701,-0.427
1635778767947,2021-11-01T07:59:27.947,0.200,1.006,0.915,-0.518
1635778767987,2021-11-01T07:59:27.987,0.240,0.823,1.128,-0.488
1635778768027,2021-11-01T07:59:28.027,0.280,1.159,1.463,-0.427
1635778768067,2021-11-01T07:59:28.067,0.320,-0.244,0.091,-0.213
1635778768107,2021-11-01T07:59:28.107,0.360,-0.732,-0.274,-0.305
1635778768147,2021-11-01T07:59:28.147,0.400,-0.671,0.091,-0.366
1635778768187,2021-11-01T07:59:28.187,0.440,-1.585,0.000,-0.305
1635778768227,2021-11-01T07:59:28.227,0.480,-1.433,-0.274,-0.335
1635778768267,2021-11-01T07:59:28.267,0.520,-0.793,-0.030,-0.549
1635778768307,2021-11-01T07:59:28.307,0.560,-1.220,0.823,-0.732
1635778768347,2021-11-01T07:59:28.347,0.600,-1.646,1.433,-0.945
1635778768387,2021-11-01T07:59:28.387,0.640,-1.098,1.311,-0.549
1635778768427,2021-11-01T07:59:28.427,0.680,-0.091,1.280,-0.640
1635778768467,2021-11-01T07:59:28.467,0.720,-0.915,1.341,-0.518
1635778768507,2021-11-01T07:59:28.507,0.760,-1.524,2.409,-0.366
1635778768547,2021-11-01T07:59:28.547,0.800,-2.591,1.646,-0.244
1635778768587,2021-11-01T07:59:28.587,0.840,-3.445,-0.061,-0.061
1635778768627,2021-11-01T07:59:28.627,0.880,-4.207,-0.213,0.000
1635778768667,2021-11-01T07:59:28.667,0.920,-3.537,-0.305,-0.152
1635778768707,2021-11-01T07:59:28.707,0.960,-2.470,-0.610,-0.091
1635778768747,2021-11-01T07:59:28.747,1.000,-1.860,-0.579,-0.030
1635778768787,2021-11-01T07:59:28.787,1.040,-0.945,-0.183,-0.152
1635778768827,2021-11-01T07:59:28.827,1.080,-1.159,0.823,-0.427
1635778768867,2021-11-01T07:59:28.867,1.120,-2.439,1.646,-0.213
1635778768907,2021-11-01T07:59:28.907,1.160,-1.646,0.915,0.000
1635778768947,2021-11-01T07:59:28.947,1.200,-1.402,0.610,-0.091
1635778768987,2021-11-01T07:59:28.987,1.240,-1.280,0.305,0.091
1635778769027,2021-11-01T07:59:29.027,1.280,-1.067,0.793,-0.244
1635778769067,2021-11-01T07:59:29.067,1.320,0.701,0.366,-0.366
1635778769107,2021-11-01T07:59:29.107,1.360,-1.524,1.311,-0.122
1635778769147,2021-11-01T07:59:29.147,1.400,-4.848,3.110,-0.549
1635778769187,2021-11-01T07:59:29.187,1.440,-5.762,3.201,-0.884
1635778769227,2021-11-01T07:59:29.227,1.480,-6.463,3.933,-0.823
1635778769267,2021-11-01T07:59:29.267,1.520,-5.274,3.262,-1.006
1635778769307,2021-11-01T07:59:29.307,1.560,-1.616,1.220,-1.067
1635778769347,2021-11-01T07:59:29.347,1.600,1.220,-0.122,-0.762
1635778769387,2021-11-01T07:59:29.387,1.640,0.762,-0.549,-0.732
1635778769427,2021-11-01T07:59:29.427,1.680,-0.183,-0.335,-0.488
1635778769467,2021-11-01T07:59:29.467,1.720,0.396,-0.732,0.000
1635778769507,2021-11-01T07:59:29.507,1.760,0.518,-0.488,0.030
1635778769547,2021-11-01T07:59:29.547,1.800,0.762,-0.976,0.091
1635778769587,2021-11-01T07:59:29.587,1.840,1.250,-1.341,-0.274
1635778769627,2021-11-01T07:59:29.627,1.880,0.823,-1.037,-0.366
1635778769667,2021-11-01T07:59:29.667,1.920,-0.549,-0.061,-0.122
1635778769707,2021-11-01T07:59:29.707,1.960,0.244,-0.457,-0.091
1635778769747,2021-11-01T07:59:29.747,2.000,-0.061,-0.305,-0.213
1635778769787,2021-11-01T07:59:29.787,2.040,0.701,-0.457,-0.183
1635778769827,2021-11-01T07:59:29.827,2.080,0.854,-0.579,-0.183
1635778769867,2021-11-01T07:59:29.867,2.120,0.518,-0.274,-0.183
1635778769907,2021-11-01T07:59:29.907,2.160,1.280,-0.579,-0.183
1635778769947,2021-11-01T07:59:29.947,2.200,0.671,-0.152,-0.183
1635778769987,2021-11-01T07:59:29.987,2.240,0.366,-0.183,-0.061
1635778770027,2021-11-01T07:59:30.027,2.280,-0.518,0.274,-0.152
1635778770067,2021-11-01T07:59:30.067,2.320,-0.671,0.457,-0.213
1635778770107,2021-11-01T07:59:30.107,2.360,-0.488,0.457,-0.427
1635778770147,2021-11-01T07:59:30.147,2.400,-1.220,0.640,-0.366
1635778770187,2021-11-01T07:59:30.187,2.440,-0.854,0.396,-0.366
1635778770227,2021-11-01T07:59:30.227,2.480,0.061,0.030,-0.335
1635778770267,2021-11-01T07:59:30.267,2.520,0.122,-0.183,-0.305
1635778770307,2021-11-01T07:59:30.307,2.560,-0.152,-0.518,-0.305
1635778770347,2021-11-01T07:59:30.347,2.600,0.427,-0.549,-0.366
1635778770387,2021-11-01T07:59:30.387,2.640,-0.244,0.427,-0.213
1635778770427,2021-11-01T07:59:30.427,2.680,-0.701,1.341,-0.335
1635778770467,2021-11-01T07:59:30.467,2.720,-0.091,0.762,-0.488
1635778770507,2021-11-01T07:59:30.507,2.760,-1.524,0.823,-0.396
1635778770547,2021-11-01T07:59:30.547,2.800,-1.524,0.396,-0.366
1635778770587,2021-11-01T07:59:30.587,2.840,-0.823,-0.122,-0.427
1635778770627,2021-11-01T07:59:30.627,2.880,-0.640,-0.091,-0.457
1635778770667,2021-11-01T07:59:30.667,2.920,-0.549,0.244,-0.488
1635778770707,2021-11-01T07:59:30.707,2.960,-0.793,0.305,-0.305
1635778770747,2021-11-01T07:59:30.747,3.000,-0.518,0.427,-0.427
1635778770787,2021-11-01T07:59:30.787,3.040,-0.427,0.366,-0.396
1635778770827,2021-11-01T07:59:30.827,3.080,-0.610,0.183,-0.274
1635778770867,2021-11-01T07:59:30.867,3.120,-0.183,0.213,-0.274
1635778770907,2021-11-01T07:59:30.907,3.160,-0.366,0.152,-0.213
1635778770947,2021-11-01T07:59:30.947,3.200,-0.457,0.183,-0.305
1635778770987,2021-11-01T07:59:30.987,3.240,-0.183,0.061,-0.244
1635778771027,2021-11-01T07:59:31.027,3.280,-0.579,0.274,-0.305
1635778771067,2021-11-01T07:59:31.067,3.320,-0.732,0.396,-0.366
1635778771107,2021-11-01T07:59:31.107,3.360,-0.183,-0.061,-0.183
1635778771147,2021-11-01T07:59:31.147,3.400,-0.549,0.244,-0.335
1635778771187,2021-11-01T07:59:31.187,3.440,-0.762,0.244,-0.335
1635778771227,2021-11-01T07:59:31.227,3.480,-0.457,0.152,-0.335
1635778771267,2021-11-01T07:59:31.267,3.520,-0.244,0.335,-0.427
1635778771307,2021-11-01T07:59:31.307,3.560,-0.305,0.305,-0.366
1635778771347,2021-11-01T07:59:31.347,3.600,-0.427,0.427,-0.396
1635778771387,2021-11-01T07:59:31.387,3.640,-0.244,0.122,-0.396
1635778771427,2021-11-01T07:59:31.427,3.680,-0.183,0.213,-0.335
1635778771467,2021-11-01T07:59:31.467,3.720,-0.457,0.183,-0.274
1635778771507,2021-11-01T07:59:31.507,3.760,-0.823,-0.061,-0.152
1635778771547,2021-11-01T07:59:31.547,3.800,-0.762,0.427,0.000
1635778771587,2021-11-01T07:59:31.587,3.840,-0.549,0.549,-0.030
1635778771627,2021-11-01T07:59:31.627,3.880,-0.610,0.335,-0.213
1635778771667,2021-11-01T07:59:31.667,3.920,-0.396,0.305,-0.061
1635778771707,2021-11-01T07:59:31.707,3.960,-0.976,0.793,-0.244
1635778771747,2021-11-01T07:59:31.747,4.000,-0.671,0.793,-0.305
1635778771787,2021-11-01T07:59:31.787,4.040,-0.335,0.457,-0.152
1635778771827,2021-11-01T07:59:31.827,4.080,-0.488,0.549,-0.366
1635778771867,2021-11-01T07:59:31.867,4.120,-0.183,0.213,-0.244
1635778771907,2021-11-01T07:59:31.907,4.160,0.030,0.183,-0.274
1635778771947,2021-11-01T07:59:31.947,4.200,-0.183,0.366,-0.396
1635778771987,2021-11-01T07:59:31.987,4.240,-0.366,0.335,-0.457
1635778772027,2021-11-01T07:59:32.027,4.280,-0.396,0.152,-0.396
