epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636384515721,2021-11-08T17:15:15.721,0.000,0.440,-0.127,-0.875
1636384515761,2021-11-08T17:15:15.761,0.040,0.441,-0.128,-0.870
1636384515801,2021-11-08T17:15:15.801,0.080,0.438,-0.120,-0.878
1636384515841,2021-11-08T17:15:15.841,0.120,0.436,-0.126,-0.871
1636384515881,2021-11-08T17:15:15.881,0.160,0.438,-0.121,-0.884
1636384515921,2021-11-08T17:15:15.921,0.200,0.436,-0.115,-0.875
1636384515961,2021-11-08T17:15:15.961,0.240,0.438,-0.114,-0.871
1636384516001,2021-11-08T17:15:16.001,0.280,0.440,-0.127,-0.883
1636384516041,2021-11-08T17:15:16.041,0.320,0.438,-0.134,-0.872
1636384516081,2021-11-08T17:15:16.081,0.360,0.438,-0.119,-0.870
1636384516121,2021-11-08T17:15:16.121,0.400,0.438,-0.125,-0.884
1636384516161,2021-11-08T17:15:16.161,0.440,0.441,-0.128,-0.866
1636384516201,2021-11-08T17:15:16.201,0.480,0.438,-0.118,-0.880
1636384516241,2021-11-08T17:15:16.241,0.520,0.437,-0.120,-0.884
1636384516281,2021-11-08T17:15:16.281,0.560,0.432,-0.120,-0.869
1636384516321,2021-11-08T17:15:16.321,0.600,0.435,-0.125,-0.879
1636384516361,2021-11-08T17:15:16.361,0.640,0.443,-0.137,-0.875
1636384516401,2021-11-08T17:15:16.401,0.680,0.445,-0.120,-0.879
1636384516441,2021-11-08T17:15:16.441,0.720,0.431,-0.100,-0.879
1636384516481,2021-11-08T17:15:16.481,0.760,0.430,-0.126,-0.872
1636384516521,2021-11-08T17:15:16.521,0.800,0.441,-0.130,-0.884
1636384516561,2021-11-08T17:15:16.561,0.840,0.441,-0.128,-0.871
1636384516601,2021-11-08T17:15:16.601,0.880,0.440,-0.130,-0.874
1636384516641,2021-11-08T17:15:16.641,0.920,0.438,-0.116,-0.898
1636384516681,2021-11-08T17:15:16.681,0.960,0.438,-0.117,-0.875
1636384516721,2021-11-08T17:15:16.721,1.000,0.420,-0.077,-0.864
1636384516761,2021-11-08T17:15:16.761,1.040,0.424,-0.133,-0.875
1636384516801,2021-11-08T17:15:16.801,1.080,0.440,-0.138,-0.882
1636384516841,2021-11-08T17:15:16.841,1.120,0.454,-0.107,-0.885
1636384516881,2021-11-08T17:15:16.881,1.160,0.438,-0.121,-0.880
1636384516921,2021-11-08T17:15:16.921,1.200,0.426,-0.127,-0.878
1636384516961,2021-11-08T17:15:16.961,1.240,0.427,-0.099,-0.876
1636384517001,2021-11-08T17:15:17.001,1.280,0.435,-0.104,-0.885
1636384517041,2021-11-08T17:15:17.041,1.320,0.442,-0.129,-0.882
1636384517081,2021-11-08T17:15:17.081,1.360,0.432,-0.113,-0.884
1636384517121,2021-11-08T17:15:17.121,1.400,0.412,-0.164,-0.869
1636384517161,2021-11-08T17:15:17.161,1.440,0.436,-0.116,-0.879
1636384517201,2021-11-08T17:15:17.201,1.480,0.425,-0.120,-0.885
1636384517241,2021-11-08T17:15:17.241,1.520,0.422,-0.142,-0.880
1636384517281,2021-11-08T17:15:17.281,1.560,0.417,-0.113,-0.887
1636384517321,2021-11-08T17:15:17.321,1.600,0.414,-0.130,-0.884
1636384517361,2021-11-08T17:15:17.361,1.640,0.423,-0.143,-0.891
1636384517401,2021-11-08T17:15:17.401,1.680,0.413,-0.112,-0.885
1636384517441,2021-11-08T17:15:17.441,1.720,0.410,-0.141,-0.877
1636384517481,2021-11-08T17:15:17.481,1.760,0.420,-0.151,-0.887
1636384517521,2021-11-08T17:15:17.521,1.800,0.428,-0.140,-0.891
1636384517561,2021-11-08T17:15:17.561,1.840,0.418,-0.135,-0.877
1636384517601,2021-11-08T17:15:17.601,1.880,0.404,-0.125,-0.862
1636384517641,2021-11-08T17:15:17.641,1.920,0.402,-0.156,-0.866
1636384517681,2021-11-08T17:15:17.681,1.960,0.407,-0.161,-0.889
1636384517721,2021-11-08T17:15:17.721,2.000,0.462,-0.122,-0.895
1636384517761,2021-11-08T17:15:17.761,2.040,0.550,-0.126,-0.844
