epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635662616536,2021-10-31T08:43:36.536,0.000,0.587,-0.099,-0.754
1635662616576,2021-10-31T08:43:36.576,0.040,0.591,-0.101,-0.756
1635662616616,2021-10-31T08:43:36.616,0.080,0.588,-0.100,-0.759
1635662616656,2021-10-31T08:43:36.656,0.120,0.591,-0.098,-0.759
1635662616696,2021-10-31T08:43:36.696,0.160,0.591,-0.095,-0.753
1635662616736,2021-10-31T08:43:36.736,0.200,0.582,-0.101,-0.753
1635662616776,2021-10-31T08:43:36.776,0.240,0.584,-0.096,-0.760
1635662616816,2021-10-31T08:43:36.816,0.280,0.593,-0.098,-0.759
1635662616856,2021-10-31T08:43:36.856,0.320,0.594,-0.096,-0.763
1635662616896,2021-10-31T08:43:36.896,0.360,0.588,-0.092,-0.758
1635662616936,2021-10-31T08:43:36.936,0.400,0.589,-0.093,-0.758
1635662616976,2021-10-31T08:43:36.976,0.440,0.594,-0.105,-0.763
1635662617016,2021-10-31T08:43:37.016,0.480,0.589,-0.089,-0.766
1635662617056,2021-10-31T08:43:37.056,0.520,0.582,-0.095,-0.757
1635662617096,2021-10-31T08:43:37.096,0.560,0.592,-0.101,-0.747
1635662617136,2021-10-31T08:43:37.136,0.600,0.593,-0.104,-0.753
1635662617176,2021-10-31T08:43:37.176,0.640,0.583,-0.100,-0.760
1635662617216,2021-10-31T08:43:37.216,0.680,0.586,-0.101,-0.762
1635662617256,2021-10-31T08:43:37.256,0.720,0.585,-0.094,-0.760
1635662617296,2021-10-31T08:43:37.296,0.760,0.587,-0.092,-0.755
1635662617336,2021-10-31T08:43:37.336,0.800,0.592,-0.097,-0.763
1635662617376,2021-10-31T08:43:37.376,0.840,0.583,-0.109,-0.764
1635662617416,2021-10-31T08:43:37.416,0.880,0.590,-0.098,-0.759
1635662617456,2021-10-31T08:43:37.456,0.920,0.592,-0.078,-0.760
1635662617496,2021-10-31T08:43:37.496,0.960,0.584,-0.099,-0.756
1635662617536,2021-10-31T08:43:37.536,1.000,0.600,-0.094,-0.757
1635662617576,2021-10-31T08:43:37.576,1.040,0.583,-0.100,-0.757
1635662617616,2021-10-31T08:43:37.616,1.080,0.574,-0.111,-0.759
1635662617656,2021-10-31T08:43:37.656,1.120,0.587,-0.091,-0.762
