epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.635E+12,2021-10-23T07:31:33.557,0,-0.03,-0.152,0.183
1.635E+12,2021-10-23T07:31:33.597,0.04,-0.122,0,-0.03
1.635E+12,2021-10-23T07:31:33.637,0.08,-0.335,0.03,0.213
1.635E+12,2021-10-23T07:31:33.677,0.12,-0.488,-0.244,0.366
1.635E+12,2021-10-23T07:31:33.717,0.16,-0.518,-0.061,0.427
1.635E+12,2021-10-23T07:31:33.757,0.2,-0.671,-0.305,0.549
1.635E+12,2021-10-23T07:31:33.797,0.24,-0.884,0,0.549
1.635E+12,2021-10-23T07:31:33.837,0.28,-1.067,0.244,0.549
1.635E+12,2021-10-23T07:31:33.877,0.32,-0.884,0.366,0.366
1.635E+12,2021-10-23T07:31:33.917,0.36,-0.457,-0.335,0.396
1.635E+12,2021-10-23T07:31:33.957,0.4,-0.152,0.335,0.335
1.635E+12,2021-10-23T07:31:33.997,0.44,-0.091,0.518,0.183
1.635E+12,2021-10-23T07:31:34.037,0.48,-0.091,-0.396,0.244
1.635E+12,2021-10-23T07:31:34.077,0.52,-0.579,-0.976,0.427
1.635E+12,2021-10-23T07:31:34.117,0.56,-0.579,-0.213,0.366
1.635E+12,2021-10-23T07:31:34.157,0.6,0.03,0.061,0.335
1.635E+12,2021-10-23T07:31:34.197,0.64,-0.091,0.213,0.366
1.635E+12,2021-10-23T07:31:34.237,0.68,-0.274,0.061,0.305
1.635E+12,2021-10-23T07:31:34.277,0.72,0.122,-0.549,0.335
1.635E+12,2021-10-23T07:31:34.317,0.76,0.335,-0.61,0.091
1.635E+12,2021-10-23T07:31:34.357,0.8,0.457,0.396,-0.183
1.635E+12,2021-10-23T07:31:34.397,0.84,0.396,0.122,-0.122
1.635E+12,2021-10-23T07:31:34.437,0.88,-0.244,-0.152,0.457
1.635E+12,2021-10-23T07:31:34.477,0.92,-0.122,0.976,0.122
1.635E+12,2021-10-23T07:31:34.517,0.96,0.061,-0.03,0
1.635E+12,2021-10-23T07:31:34.557,1,-0.549,-1.555,0.366
1.635E+12,2021-10-23T07:31:34.597,1.04,-0.152,0.122,-0.122
1.635E+12,2021-10-23T07:31:34.637,1.08,0.03,-0.03,-0.213
1.635E+12,2021-10-23T07:31:34.677,1.12,-1.311,-1.25,0.671
1.635E+12,2021-10-23T07:31:34.717,1.16,-1.982,-3.079,1.402
1.635E+12,2021-10-23T07:31:34.757,1.2,-1.433,-0.213,0.976
1.635E+12,2021-10-23T07:31:34.797,1.24,-1.89,2.012,0.976
1.635E+12,2021-10-23T07:31:34.837,1.28,-2.195,0.335,1.646
1.635E+12,2021-10-23T07:31:34.877,1.32,-1.463,-0.762,1.494
1.635E+12,2021-10-23T07:31:34.917,1.36,-0.427,-0.823,0.701
1.635E+12,2021-10-23T07:31:34.957,1.4,-0.122,-0.549,-0.03
1.635E+12,2021-10-23T07:31:34.997,1.44,-0.122,-0.03,-0.366
1.635E+12,2021-10-23T07:31:35.037,1.48,0.061,0.244,-0.64
1.635E+12,2021-10-23T07:31:35.077,1.52,-0.122,-0.427,-0.274
1.635E+12,2021-10-23T07:31:35.117,1.56,-0.671,-0.579,0.427
1.635E+12,2021-10-23T07:31:35.157,1.6,-0.457,-0.274,0.64
1.635E+12,2021-10-23T07:31:35.197,1.64,0.274,0,0.396
1.635E+12,2021-10-23T07:31:35.237,1.68,0.64,0.366,0.061
1.635E+12,2021-10-23T07:31:35.277,1.72,0.366,0.03,-0.061
1.635E+12,2021-10-23T07:31:35.317,1.76,-0.091,-0.366,0.305
1.635E+12,2021-10-23T07:31:35.357,1.8,-0.305,-0.427,0.732
1.635E+12,2021-10-23T07:31:35.397,1.84,-0.366,-0.061,0.976
1.635E+12,2021-10-23T07:31:35.437,1.88,0.213,0,0.549
1.635E+12,2021-10-23T07:31:35.477,1.92,0.793,-0.335,0.183
