epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.6362E+12,2021-11-06T05:22:43.346,0,-0.283,0.078,-0.963
1.6362E+12,2021-11-06T05:22:43.386,0.04,-0.283,0.078,-0.974
1.6362E+12,2021-11-06T05:22:43.426,0.08,-0.285,0.08,-0.97
1.6362E+12,2021-11-06T05:22:43.466,0.12,-0.285,0.082,-0.97
1.6362E+12,2021-11-06T05:22:43.506,0.16,-0.283,0.081,-0.97
1.6362E+12,2021-11-06T05:22:43.546,0.2,-0.281,0.078,-0.972
1.6362E+12,2021-11-06T05:22:43.586,0.24,-0.285,0.09,-0.969
1.6362E+12,2021-11-06T05:22:43.626,0.28,-0.284,0.083,-0.97
1.6362E+12,2021-11-06T05:22:43.666,0.32,-0.284,0.084,-0.969
1.6362E+12,2021-11-06T05:22:43.706,0.36,-0.284,0.084,-0.968
1.6362E+12,2021-11-06T05:22:43.746,0.4,-0.285,0.086,-0.969
1.6362E+12,2021-11-06T05:22:43.786,0.44,-0.28,0.081,-0.969
1.6362E+12,2021-11-06T05:22:43.826,0.48,-0.285,0.087,-0.968
1.6362E+12,2021-11-06T05:22:43.866,0.52,-0.283,0.091,-0.97
1.6362E+12,2021-11-06T05:22:43.906,0.56,-0.283,0.094,-0.969
1.6362E+12,2021-11-06T05:22:43.946,0.6,-0.281,0.093,-0.97
1.6362E+12,2021-11-06T05:22:43.986,0.64,-0.282,0.09,-0.972
1.6362E+12,2021-11-06T05:22:44.026,0.68,-0.281,0.093,-0.968
1.6362E+12,2021-11-06T05:22:44.066,0.72,-0.284,0.091,-0.968
1.6362E+12,2021-11-06T05:22:44.106,0.76,-0.281,0.088,-0.969
1.6362E+12,2021-11-06T05:22:44.146,0.8,-0.282,0.093,-0.968
1.6362E+12,2021-11-06T05:22:44.186,0.84,-0.283,0.091,-0.969
1.6362E+12,2021-11-06T05:22:44.226,0.88,-0.282,0.089,-0.97
1.6362E+12,2021-11-06T05:22:44.266,0.92,-0.283,0.091,-0.968
