epoc (ms),timestamp (+0300),elapsed (s),pressure (Pa)
1635087008996,2021-10-24T17.50.08.996,0.000,101102.633
1635087009259,2021-10-24T17.50.09.259,0.263,101104.266
1635087009525,2021-10-24T17.50.09.525,0.529,101103.250
1635087009788,2021-10-24T17.50.09.788,0.792,101103.914
1635087010053,2021-10-24T17.50.10.053,1.057,101105.453
1635087010319,2021-10-24T17.50.10.319,1.323,101108.273
1635087010582,2021-10-24T17.50.10.582,1.586,101104.781
1635087010847,2021-10-24T17.50.10.847,1.851,101105.922
1635087011112,2021-10-24T17.50.11.112,2.116,101105.109
1635087011376,2021-10-24T17.50.11.376,2.380,101102.719
1635087011641,2021-10-24T17.50.11.641,2.645,101105.781
1635087011906,2021-10-24T17.50.11.906,2.910,101106.938
1635087012170,2021-10-24T17.50.12.170,3.174,101104.438
1635087012435,2021-10-24T17.50.12.435,3.439,101109.406
1635087012699,2021-10-24T17.50.12.699,3.703,101109.406
1635087012964,2021-10-24T17.50.12.964,3.968,101107.258
1635087013229,2021-10-24T17.50.13.229,4.233,101107.258
1635087013493,2021-10-24T17.50.13.493,4.497,101104.438
1635087013758,2021-10-24T17.50.13.758,4.762,101100.914
1635087014023,2021-10-24T17.50.14.023,5.027,101105.781
1635087014287,2021-10-24T17.50.14.287,5.291,101102.250
1635087014552,2021-10-24T17.50.14.552,5.556,101107.109
1635087014817,2021-10-24T17.50.14.817,5.821,101105.109
1635087015081,2021-10-24T17.50.15.081,6.085,101104.438
1635087015346,2021-10-24T17.50.15.346,6.350,101101.766
1635087015610,2021-10-24T17.50.15.610,6.614,101103.914
1635087015875,2021-10-24T17.50.15.875,6.879,101106.266
1635087016140,2021-10-24T17.50.16.140,7.144,101104.578
1635087016403,2021-10-24T17.50.16.403,7.407,101107.406
1635087016669,2021-10-24T17.50.16.669,7.673,101103.445
1635087016934,2021-10-24T17.50.16.934,7.938,101105.109
1635087017197,2021-10-24T17.50.17.197,8.201,101109.789
1635087017463,2021-10-24T17.50.17.463,8.467,101106.438
1635087017726,2021-10-24T17.50.17.726,8.730,101105.594
1635087017991,2021-10-24T17.50.17.991,8.995,101105.109
1635087018256,2021-10-24T17.50.18.256,9.260,101103.914
1635087018520,2021-10-24T17.50.18.520,9.524,101100.766
1635087018785,2021-10-24T17.50.18.785,9.789,101106.789
1635087019050,2021-10-24T17.50.19.050,10.054,101100.109
1635087019314,2021-10-24T17.50.19.314,10.318,101104.266
1635087019579,2021-10-24T17.50.19.579,10.583,101102.109
1635087019843,2021-10-24T17.50.19.843,10.847,101101.766
1635087020108,2021-10-24T17.50.20.108,11.112,101104.438
1635087020373,2021-10-24T17.50.20.373,11.377,101101.766
1635087020637,2021-10-24T17.50.20.637,11.641,101103.102
