epoch (ms),time (03:00),elapsed (s),pressure (Pa)
1635328583139,2021-10-27T12:56:23.139,0.000,100880.266
1635328583400,2021-10-27T12:56:23.400,0.261,100878.648
1635328583660,2021-10-27T12:56:23.660,0.521,100874.672
1635328583921,2021-10-27T12:56:23.921,0.782,100875.781
1635328584182,2021-10-27T12:56:24.182,1.043,100877.125
1635328584443,2021-10-27T12:56:24.443,1.304,100871.750
1635328584703,2021-10-27T12:56:24.703,1.564,100879.281
1635328584963,2021-10-27T12:56:24.963,1.824,100873.688
1635328585223,2021-10-27T12:56:25.223,2.084,100870.188
1635328585484,2021-10-27T12:56:25.484,2.345,100873.188
1635328585745,2021-10-27T12:56:25.745,2.606,100878.828
1635328586006,2021-10-27T12:56:26.006,2.867,100880.984
1635328586266,2021-10-27T12:56:26.266,3.127,100881.102
1635328586527,2021-10-27T12:56:26.527,3.388,100877.875
1635328586788,2021-10-27T12:56:26.788,3.649,100877.070
1635328587047,2021-10-27T12:56:27.047,3.908,100874.688
1635328587308,2021-10-27T12:56:27.308,4.169,100870.938
1635328587569,2021-10-27T12:56:27.569,4.430,100873.938
1635328587829,2021-10-27T12:56:27.829,4.690,100874.203
1635328588090,2021-10-27T12:56:28.090,4.951,100873.938
1635328588351,2021-10-27T12:56:28.351,5.212,100870.484
1635328588612,2021-10-27T12:56:28.612,5.473,100873.250
1635328588872,2021-10-27T12:56:28.872,5.733,100867.031
1635328589133,2021-10-27T12:56:29.133,5.994,100874.594
1635328589394,2021-10-27T12:56:29.394,6.255,100881.055
1635328589653,2021-10-27T12:56:29.653,6.514,100872.992
1635328589914,2021-10-27T12:56:29.914,6.775,100877.328
1635328590175,2021-10-27T12:56:30.175,7.036,100870.305
1635328590435,2021-10-27T12:56:30.435,7.296,100873.609
1635328590696,2021-10-27T12:56:30.696,7.557,100873.078
1635328590957,2021-10-27T12:56:30.957,7.818,100873.883
1635328591218,2021-10-27T12:56:31.218,8.079,100878.219
1635328591478,2021-10-27T12:56:31.478,8.339,100874.500
1635328591738,2021-10-27T12:56:31.738,8.599,100874.234
1635328591998,2021-10-27T12:56:31.998,8.859,100881.266
1635328592259,2021-10-27T12:56:32.259,9.120,100874.016
1635328592520,2021-10-27T12:56:32.520,9.381,100874.016
1635328592781,2021-10-27T12:56:32.781,9.642,100886.953
1635328593041,2021-10-27T12:56:33.041,9.902,100886.188
1635328593302,2021-10-27T12:56:33.302,10.163,100886.422
1635328593563,2021-10-27T12:56:33.563,10.424,100856.094
1635328593822,2021-10-27T12:56:33.822,10.683,100887.531
1635328594083,2021-10-27T12:56:34.083,10.944,100879.242
1635328594344,2021-10-27T12:56:34.344,11.205,100875.211
1635328594604,2021-10-27T12:56:34.604,11.465,100868.766
1635328594865,2021-10-27T12:56:34.865,11.726,100878.781
1635328595126,2021-10-27T12:56:35.126,11.987,100873.414
1635328595386,2021-10-27T12:56:35.386,12.247,100872.344
1635328595647,2021-10-27T12:56:35.647,12.508,100870.500
1635328595906,2021-10-27T12:56:35.906,12.767,100875.875
1635328596167,2021-10-27T12:56:36.167,13.028,100871.305
1635328596428,2021-10-27T12:56:36.428,13.289,100867.547
1635328596689,2021-10-27T12:56:36.689,13.550,100868.078
1635328596949,2021-10-27T12:56:36.949,13.810,100874.578
1635328597210,2021-10-27T12:56:37.210,14.071,100865.477
1635328597471,2021-10-27T12:56:37.471,14.332,100876.813
1635328597732,2021-10-27T12:56:37.732,14.593,100874.930
1635328597991,2021-10-27T12:56:37.991,14.852,100873.078
1635328598252,2021-10-27T12:56:38.252,15.113,100875.234
1635328598512,2021-10-27T12:56:38.512,15.373,100873.359
1635328598773,2021-10-27T12:56:38.773,15.634,100872.828
1635328599034,2021-10-27T12:56:39.034,15.895,100877.156
1635328599295,2021-10-27T12:56:39.295,16.156,100873.938
1635328599555,2021-10-27T12:56:39.555,16.416,100875.594
1635328599816,2021-10-27T12:56:39.816,16.677,100870.211
1635328600075,2021-10-27T12:56:40.075,16.936,100867.828
1635328600336,2021-10-27T12:56:40.336,17.197,100874.328
1635328600597,2021-10-27T12:56:40.597,17.458,100877.016
1635328600858,2021-10-27T12:56:40.858,17.719,100876.477
1635328601118,2021-10-27T12:56:41.118,17.979,100871.906
1635328601379,2021-10-27T12:56:41.379,18.240,100875.406
1635328601640,2021-10-27T12:56:41.640,18.501,100874.367
1635328601901,2021-10-27T12:56:41.901,18.762,100872.484
1635328602160,2021-10-27T12:56:42.160,19.021,100873.328
1635328602421,2021-10-27T12:56:42.421,19.282,100872.258
1635328602681,2021-10-27T12:56:42.681,19.542,100869.297
1635328602942,2021-10-27T12:56:42.942,19.803,100864.500
1635328603203,2021-10-27T12:56:43.203,20.064,100863.688
1635328603464,2021-10-27T12:56:43.464,20.325,100872.875
1635328603724,2021-10-27T12:56:43.724,20.585,100871.531
1635328603985,2021-10-27T12:56:43.985,20.846,100873.141
1635328604244,2021-10-27T12:56:44.244,21.105,100869.422
1635328604505,2021-10-27T12:56:44.505,21.366,100870.234
1635328604766,2021-10-27T12:56:44.766,21.627,100871.578
1635328605027,2021-10-27T12:56:45.027,21.888,100868.344
1635328605287,2021-10-27T12:56:45.287,22.148,100873.266
1635328605548,2021-10-27T12:56:45.548,22.409,100870.313
1635328605809,2021-10-27T12:56:45.809,22.670,100869.469
1635328606070,2021-10-27T12:56:46.070,22.931,100878.953
1635328606329,2021-10-27T12:56:46.329,23.190,100873.578
1635328606590,2021-10-27T12:56:46.590,23.451,100870.891
1635328606850,2021-10-27T12:56:46.850,23.711,100872.813
1635328607111,2021-10-27T12:56:47.111,23.972,100865.281
1635328607372,2021-10-27T12:56:47.372,24.233,100836.508
1635328607633,2021-10-27T12:56:47.633,24.494,100879.844
1635328607893,2021-10-27T12:56:47.893,24.754,100877.422
1635328608154,2021-10-27T12:56:48.154,25.015,100879.078
1635328608415,2021-10-27T12:56:48.415,25.276,100876.391
1635328608674,2021-10-27T12:56:48.674,25.535,100875.852
1635328608935,2021-10-27T12:56:48.935,25.796,100860.047
1635328609196,2021-10-27T12:56:49.196,26.057,100865.938
1635328609456,2021-10-27T12:56:49.456,26.317,100866.242
1635328609717,2021-10-27T12:56:49.717,26.578,100877.000
1635328609978,2021-10-27T12:56:49.978,26.839,100880.000
1635328610239,2021-10-27T12:56:50.239,27.100,100870.578
1635328610499,2021-10-27T12:56:50.499,27.360,100856.594
1635328610759,2021-10-27T12:56:50.759,27.620,100846.141
1635328611019,2021-10-27T12:56:51.019,27.880,100844.266
1635328611280,2021-10-27T12:56:51.280,28.141,100861.438
1635328611541,2021-10-27T12:56:51.541,28.402,100870.930
1635328611802,2021-10-27T12:56:51.802,28.663,100856.141
1635328612062,2021-10-27T12:56:52.062,28.923,100882.805
1635328612323,2021-10-27T12:56:52.323,29.184,100884.148
1635328612584,2021-10-27T12:56:52.584,29.445,100872.047
1635328612843,2021-10-27T12:56:52.843,29.704,100874.203
1635328613104,2021-10-27T12:56:53.104,29.965,100873.969
1635328613365,2021-10-27T12:56:53.365,30.226,100870.234
1635328613625,2021-10-27T12:56:53.625,30.486,100876.969
1635328613886,2021-10-27T12:56:53.886,30.747,100870.234
1635328614147,2021-10-27T12:56:54.147,31.008,100877.234
1635328614407,2021-10-27T12:56:54.407,31.268,100871.320
1635328614668,2021-10-27T12:56:54.668,31.529,100873.781
1635328614927,2021-10-27T12:56:54.927,31.788,100865.438
1635328615188,2021-10-27T12:56:55.188,32.049,100871.398
1635328615449,2021-10-27T12:56:55.449,32.310,100874.086
1635328615710,2021-10-27T12:56:55.710,32.571,100873.781
1635328615970,2021-10-27T12:56:55.970,32.831,100870.359
1635328616231,2021-10-27T12:56:56.231,33.092,100874.391
1635328616492,2021-10-27T12:56:56.492,33.353,100873.859
1635328616753,2021-10-27T12:56:56.753,33.614,100876.852
1635328617012,2021-10-27T12:56:57.012,33.873,100876.313
1635328617273,2021-10-27T12:56:57.273,34.134,100874.969
1635328617533,2021-10-27T12:56:57.533,34.394,100878.234
1635328617794,2021-10-27T12:56:57.794,34.655,100875.242
1635328618055,2021-10-27T12:56:58.055,34.916,100880.125
1635328618316,2021-10-27T12:56:58.316,35.177,100875.016
