epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1635233068797,2021-10-26T10.24.28.797,0.000,-0.366,-0.091,0.488
1635233068837,2021-10-26T10.24.28.837,0.040,-0.488,0.122,0.457
1635233068877,2021-10-26T10.24.28.877,0.080,-0.183,-0.030,0.396
1635233068917,2021-10-26T10.24.28.917,0.120,-0.152,-0.030,0.488
1635233068957,2021-10-26T10.24.28.957,0.160,-0.305,-0.030,0.457
1635233068997,2021-10-26T10.24.28.997,0.200,-0.152,0.000,0.518
1635233069037,2021-10-26T10.24.29.037,0.240,-0.122,-0.030,0.518
1635233069077,2021-10-26T10.24.29.077,0.280,-0.030,-0.061,0.518
1635233069117,2021-10-26T10.24.29.117,0.320,-0.152,-0.030,0.488
1635233069157,2021-10-26T10.24.29.157,0.360,0.000,0.000,0.427
1635233069197,2021-10-26T10.24.29.197,0.400,-0.061,-0.030,0.457
1635233069237,2021-10-26T10.24.29.237,0.440,-0.213,0.000,0.488
1635233069277,2021-10-26T10.24.29.277,0.480,-0.030,-0.030,0.488
1635233069317,2021-10-26T10.24.29.317,0.520,-0.061,-0.030,0.488
1635233069357,2021-10-26T10.24.29.357,0.560,0.030,-0.061,0.457
1635233069397,2021-10-26T10.24.29.397,0.600,-0.122,0.030,0.488
1635233069437,2021-10-26T10.24.29.437,0.640,-0.030,0.091,0.518
1635233069477,2021-10-26T10.24.29.477,0.680,-0.396,0.000,0.488
1635233069517,2021-10-26T10.24.29.517,0.720,0.030,-0.091,0.457
1635233069557,2021-10-26T10.24.29.557,0.760,0.152,0.030,0.427
1635233069597,2021-10-26T10.24.29.597,0.800,-0.091,0.030,0.488
1635233069637,2021-10-26T10.24.29.637,0.840,0.091,-0.030,0.488
1635233069677,2021-10-26T10.24.29.677,0.880,-0.030,-0.030,0.457
1635233069717,2021-10-26T10.24.29.717,0.920,0.152,0.000,0.427
1635233069757,2021-10-26T10.24.29.757,0.960,-0.122,0.000,0.427
1635233069797,2021-10-26T10.24.29.797,1.000,-0.366,0.000,0.457
1635233069837,2021-10-26T10.24.29.837,1.040,0.183,-0.030,0.427
1635233069877,2021-10-26T10.24.29.877,1.080,-0.091,0.061,0.488
1635233069917,2021-10-26T10.24.29.917,1.120,-0.274,0.061,0.457
1635233069957,2021-10-26T10.24.29.957,1.160,-0.213,-0.030,0.427
1635233069997,2021-10-26T10.24.29.997,1.200,-0.061,-0.030,0.457
1635233070037,2021-10-26T10.24.30.037,1.240,0.122,-0.030,0.488
1635233070077,2021-10-26T10.24.30.077,1.280,-0.061,-0.030,0.488
1635233070117,2021-10-26T10.24.30.117,1.320,-0.305,0.000,0.488
1635233070157,2021-10-26T10.24.30.157,1.360,0.091,-0.030,0.457
1635233070197,2021-10-26T10.24.30.197,1.400,-0.244,-0.030,0.457
1635233070237,2021-10-26T10.24.30.237,1.440,-0.122,0.000,0.396
1635233070277,2021-10-26T10.24.30.277,1.480,0.335,0.000,0.152
1635233070317,2021-10-26T10.24.30.317,1.520,3.262,-0.457,-0.183
1635233070357,2021-10-26T10.24.30.357,1.560,1.159,-0.579,-0.762
1635233070397,2021-10-26T10.24.30.397,1.600,2.348,-0.610,0.244
1635233070437,2021-10-26T10.24.30.437,1.640,3.598,0.427,1.768
1635233070477,2021-10-26T10.24.30.477,1.680,-2.561,2.195,1.646
1635233070517,2021-10-26T10.24.30.517,1.720,-2.744,2.652,0.549
1635233070557,2021-10-26T10.24.30.557,1.760,4.146,0.518,1.707
1635233070597,2021-10-26T10.24.30.597,1.800,1.616,0.244,1.311
1635233070637,2021-10-26T10.24.30.637,1.840,-2.957,0.854,0.579
1635233070677,2021-10-26T10.24.30.677,1.880,0.000,1.311,0.366
1635233070717,2021-10-26T10.24.30.717,1.920,3.079,0.854,-0.244
1635233070757,2021-10-26T10.24.30.757,1.960,3.415,2.835,-1.128
1635233070797,2021-10-26T10.24.30.797,2.000,-0.122,5.213,-3.537
1635233070837,2021-10-26T10.24.30.837,2.040,-10.152,1.372,-7.927
1635233070877,2021-10-26T10.24.30.877,2.080,-22.348,2.409,-5.854
1635233070917,2021-10-26T10.24.30.917,2.120,-10.762,8.049,-2.043
1635233070957,2021-10-26T10.24.30.957,2.160,3.902,4.085,0.396
1635233070997,2021-10-26T10.24.30.997,2.200,3.201,2.896,0.061
1635233071037,2021-10-26T10.24.31.037,2.240,-2.500,8.384,-0.488
1635233071077,2021-10-26T10.24.31.077,2.280,-2.988,9.299,-0.213
1635233071117,2021-10-26T10.24.31.117,2.320,-1.494,4.756,-0.884
1635233071157,2021-10-26T10.24.31.157,2.360,-1.799,4.390,-1.860
1635233071197,2021-10-26T10.24.31.197,2.400,-0.457,3.720,-3.323
1635233071237,2021-10-26T10.24.31.237,2.440,-0.579,1.098,-4.299
1635233071277,2021-10-26T10.24.31.277,2.480,-0.030,-0.396,-4.360
1635233071317,2021-10-26T10.24.31.317,2.520,0.884,-1.037,-2.652
1635233071357,2021-10-26T10.24.31.357,2.560,1.707,-0.610,-1.341
1635233071397,2021-10-26T10.24.31.397,2.600,1.280,0.152,-0.274
1635233071437,2021-10-26T10.24.31.437,2.640,-0.061,-1.463,-0.030
1635233071477,2021-10-26T10.24.31.477,2.680,-0.518,-3.232,-1.128
1635233071517,2021-10-26T10.24.31.517,2.720,-1.799,-0.945,-0.183
1635233071557,2021-10-26T10.24.31.557,2.760,-0.610,1.738,1.616
1635233071597,2021-10-26T10.24.31.597,2.800,-0.671,1.860,2.043
1635233071637,2021-10-26T10.24.31.637,2.840,-0.976,-0.305,0.945
1635233071677,2021-10-26T10.24.31.677,2.880,-0.366,1.006,1.250
1635233071717,2021-10-26T10.24.31.717,2.920,-0.884,1.921,1.799
1635233071757,2021-10-26T10.24.31.757,2.960,-0.671,-0.976,0.915
1635233071797,2021-10-26T10.24.31.797,3.000,-0.549,-0.427,0.457
1635233071837,2021-10-26T10.24.31.837,3.040,-0.671,0.915,0.884
1635233071877,2021-10-26T10.24.31.877,3.080,-0.671,-0.793,0.640
1635233071917,2021-10-26T10.24.31.917,3.120,-0.701,-0.183,0.610
1635233071957,2021-10-26T10.24.31.957,3.160,-0.213,1.220,0.610
1635233071997,2021-10-26T10.24.31.997,3.200,0.091,0.274,0.549
1635233072037,2021-10-26T10.24.32.037,3.240,0.091,-0.274,0.274
1635233072077,2021-10-26T10.24.32.077,3.280,-0.061,-0.152,0.305
1635233072117,2021-10-26T10.24.32.117,3.320,0.183,-0.884,0.000
1635233072157,2021-10-26T10.24.32.157,3.360,0.610,-0.183,0.122
1635233072197,2021-10-26T10.24.32.197,3.400,0.640,0.305,0.305
1635233072237,2021-10-26T10.24.32.237,3.440,0.335,-0.518,0.061
1635233072277,2021-10-26T10.24.32.277,3.480,0.427,0.091,0.335
1635233072317,2021-10-26T10.24.32.317,3.520,0.244,0.000,0.335
1635233072357,2021-10-26T10.24.32.357,3.560,0.457,0.122,0.518
1635233072397,2021-10-26T10.24.32.397,3.600,0.274,-0.091,0.457
1635233072437,2021-10-26T10.24.32.437,3.640,-0.152,-0.884,0.335
1635233072477,2021-10-26T10.24.32.477,3.680,0.122,0.000,0.549
1635233072517,2021-10-26T10.24.32.517,3.720,0.823,1.280,0.854
1635233072557,2021-10-26T10.24.32.557,3.760,0.335,0.274,0.610
1635233072597,2021-10-26T10.24.32.597,3.800,-0.457,-0.549,0.274
1635233072637,2021-10-26T10.24.32.637,3.840,0.457,0.366,0.488
1635233072677,2021-10-26T10.24.32.677,3.880,0.427,-0.335,0.549
1635233072717,2021-10-26T10.24.32.717,3.920,-0.579,-0.701,0.183
1635233072757,2021-10-26T10.24.32.757,3.960,-0.122,0.274,0.457
1635233072797,2021-10-26T10.24.32.797,4.000,0.396,-0.305,0.457
1635233072837,2021-10-26T10.24.32.837,4.040,-0.305,0.427,0.396
1635233072877,2021-10-26T10.24.32.877,4.080,0.061,0.305,0.427
1635233072917,2021-10-26T10.24.32.917,4.120,0.061,0.335,0.366
1635233072957,2021-10-26T10.24.32.957,4.160,0.122,-0.091,0.366
1635233072997,2021-10-26T10.24.32.997,4.200,-0.061,-0.274,0.427
1635233073037,2021-10-26T10.24.33.037,4.240,0.213,0.152,0.518
1635233073077,2021-10-26T10.24.33.077,4.280,-0.122,-0.061,0.366
1635233073117,2021-10-26T10.24.33.117,4.320,0.030,0.366,0.549
1635233073157,2021-10-26T10.24.33.157,4.360,0.091,0.427,0.793
1635233073197,2021-10-26T10.24.33.197,4.400,-0.244,0.366,0.518
1635233073237,2021-10-26T10.24.33.237,4.440,0.335,-0.030,0.427
1635233073277,2021-10-26T10.24.33.277,4.480,-0.274,-0.488,0.427
1635233073317,2021-10-26T10.24.33.317,4.520,-0.305,-0.091,0.610
1635233073357,2021-10-26T10.24.33.357,4.560,0.213,0.183,0.884
1635233073397,2021-10-26T10.24.33.397,4.600,-0.488,0.366,0.671
1635233073437,2021-10-26T10.24.33.437,4.640,-0.701,0.396,0.549
1635233073477,2021-10-26T10.24.33.477,4.680,0.244,1.037,0.854
1635233073517,2021-10-26T10.24.33.517,4.720,-0.274,0.213,0.396
1635233073557,2021-10-26T10.24.33.557,4.760,-1.463,0.091,0.000
1635233073597,2021-10-26T10.24.33.597,4.800,-1.067,0.732,0.518
1635233073637,2021-10-26T10.24.33.637,4.840,0.457,0.061,1.341
1635233073677,2021-10-26T10.24.33.677,4.880,0.396,0.030,1.250
1635233073717,2021-10-26T10.24.33.717,4.920,0.091,-0.122,0.030
1635233073757,2021-10-26T10.24.33.757,4.960,0.183,-0.396,-0.091
1635233073797,2021-10-26T10.24.33.797,5.000,-0.091,-0.213,-0.030
1635233073837,2021-10-26T10.24.33.837,5.040,-0.305,0.366,0.152
1635233073877,2021-10-26T10.24.33.877,5.080,-0.030,0.000,0.671
1635233073917,2021-10-26T10.24.33.917,5.120,-0.305,0.854,0.884
1635233073957,2021-10-26T10.24.33.957,5.160,-0.244,0.640,0.640
1635233073997,2021-10-26T10.24.33.997,5.200,0.152,0.152,0.396
1635233074037,2021-10-26T10.24.34.037,5.240,-0.396,0.305,0.610
1635233074077,2021-10-26T10.24.34.077,5.280,-0.274,0.244,0.579
1635233074117,2021-10-26T10.24.34.117,5.320,0.671,0.244,0.488
1635233074157,2021-10-26T10.24.34.157,5.360,-0.183,0.061,0.335
1635233074197,2021-10-26T10.24.34.197,5.400,-0.915,0.000,0.488
1635233074237,2021-10-26T10.24.34.237,5.440,-0.305,0.213,0.732
1635233074277,2021-10-26T10.24.34.277,5.480,-0.518,0.061,0.427
1635233074317,2021-10-26T10.24.34.317,5.520,-0.579,0.396,0.518
1635233074357,2021-10-26T10.24.34.357,5.560,0.427,0.671,1.372
1635233074397,2021-10-26T10.24.34.397,5.600,0.396,-0.091,0.823
1635233074437,2021-10-26T10.24.34.437,5.640,-0.884,-0.396,0.000
1635233074477,2021-10-26T10.24.34.477,5.680,-0.854,0.213,0.305
1635233074517,2021-10-26T10.24.34.517,5.720,0.305,-0.061,0.762
1635233074557,2021-10-26T10.24.34.557,5.760,0.335,-0.549,0.671
1635233074597,2021-10-26T10.24.34.597,5.800,-0.915,0.122,0.335
1635233074637,2021-10-26T10.24.34.637,5.840,-1.677,1.341,0.030
1635233074677,2021-10-26T10.24.34.677,5.880,-1.433,0.244,-0.762
1635233074717,2021-10-26T10.24.34.717,5.920,0.701,0.610,-0.274
1635233074757,2021-10-26T10.24.34.757,5.960,1.128,2.348,0.579
1635233074797,2021-10-26T10.24.34.797,6.000,-1.250,0.854,-0.396
1635233074837,2021-10-26T10.24.34.837,6.040,-1.951,0.061,-0.732
1635233074877,2021-10-26T10.24.34.877,6.080,0.884,1.280,0.549
1635233074917,2021-10-26T10.24.34.917,6.120,1.006,1.311,1.402
1635233074957,2021-10-26T10.24.34.957,6.160,-0.457,0.488,0.610
1635233074997,2021-10-26T10.24.34.997,6.200,0.000,0.366,0.579
1635233075037,2021-10-26T10.24.35.037,6.240,0.122,0.457,1.341
1635233075077,2021-10-26T10.24.35.077,6.280,-0.213,-0.305,-0.091
1635233075117,2021-10-26T10.24.35.117,6.320,-0.152,-0.183,-0.579
1635233075157,2021-10-26T10.24.35.157,6.360,0.427,0.152,0.335
1635233075197,2021-10-26T10.24.35.197,6.400,0.610,0.518,1.098
1635233075237,2021-10-26T10.24.35.237,6.440,0.457,2.500,1.860
1635233075277,2021-10-26T10.24.35.277,6.480,-0.793,3.293,0.945
1635233075317,2021-10-26T10.24.35.317,6.520,0.122,0.061,-0.396
1635233075357,2021-10-26T10.24.35.357,6.560,1.402,-1.402,0.579
1635233075397,2021-10-26T10.24.35.397,6.600,0.061,-0.427,1.128
1635233075437,2021-10-26T10.24.35.437,6.640,-0.976,0.457,0.518
1635233075477,2021-10-26T10.24.35.477,6.680,-0.152,0.488,0.061
1635233075517,2021-10-26T10.24.35.517,6.720,0.671,-0.030,0.701
1635233075557,2021-10-26T10.24.35.557,6.760,0.000,0.305,0.793
1635233075597,2021-10-26T10.24.35.597,6.800,-0.244,0.183,0.305
1635233075637,2021-10-26T10.24.35.637,6.840,0.152,-0.457,0.427
1635233075677,2021-10-26T10.24.35.677,6.880,-0.030,0.213,0.274
1635233075717,2021-10-26T10.24.35.717,6.920,0.518,-0.335,-0.488
1635233075757,2021-10-26T10.24.35.757,6.960,0.884,-0.823,-0.640
1635233075797,2021-10-26T10.24.35.797,7.000,-0.122,-0.244,-0.884
1635233075837,2021-10-26T10.24.35.837,7.040,0.335,-0.488,-0.366
1635233075877,2021-10-26T10.24.35.877,7.080,0.823,0.457,1.250
1635233075917,2021-10-26T10.24.35.917,7.120,-0.122,0.671,1.128
1635233075957,2021-10-26T10.24.35.957,7.160,-1.006,-0.030,0.549
1635233075997,2021-10-26T10.24.35.997,7.200,-0.579,0.671,0.671
1635233076037,2021-10-26T10.24.36.037,7.240,-0.091,0.122,0.274
1635233076077,2021-10-26T10.24.36.077,7.280,0.152,0.244,0.305
1635233076117,2021-10-26T10.24.36.117,7.320,-0.152,0.152,0.701
1635233076157,2021-10-26T10.24.36.157,7.360,-0.732,-0.579,0.366
1635233076197,2021-10-26T10.24.36.197,7.400,-0.823,-0.244,0.213
1635233076237,2021-10-26T10.24.36.237,7.440,-0.640,-0.518,0.305
