epoc (ms),timestamp (+0200),elapsed (s),pressure (Pa)
1636364133868,2021-11-08T11.35.33.868,0.000,100794.438
1636364134130,2021-11-08T11.35.34.130,0.262,100792.445
1636364134392,2021-11-08T11.35.34.392,0.524,100793.109
1636364134654,2021-11-08T11.35.34.654,0.785,100791.773
1636364134916,2021-11-08T11.35.34.916,1.047,100792.617
1636364135177,2021-11-08T11.35.35.177,1.309,100793.109
1636364135439,2021-11-08T11.35.35.439,1.571,100792.789
1636364135701,2021-11-08T11.35.35.701,1.832,100789.781
1636364135963,2021-11-08T11.35.35.963,2.094,100792.789
1636364136224,2021-11-08T11.35.36.224,2.356,100792.445
1636364136486,2021-11-08T11.35.36.486,2.618,100793.461
1636364136748,2021-11-08T11.35.36.748,2.880,100801.094
1636364137010,2021-11-08T11.35.37.010,3.141,100791.953
1636364137272,2021-11-08T11.35.37.272,3.403,100801.938
1636364137533,2021-11-08T11.35.37.533,3.665,100792.445
1636364137795,2021-11-08T11.35.37.795,3.927,100799.766
1636364138057,2021-11-08T11.35.38.057,4.188,100795.766
1636364138319,2021-11-08T11.35.38.319,4.450,100794.438
1636364138580,2021-11-08T11.35.38.580,4.712,100799.766
1636364138842,2021-11-08T11.35.38.842,4.974,100791.953
1636364139104,2021-11-08T11.35.39.104,5.236,100796.125
1636364139366,2021-11-08T11.35.39.366,5.497,100799.453
1636364139628,2021-11-08T11.35.39.628,5.759,100791.953
1636364139889,2021-11-08T11.35.39.889,6.021,100800.430
1636364140151,2021-11-08T11.35.40.151,6.283,100796.438
1636364140413,2021-11-08T11.35.40.413,6.545,100791.281
1636364140675,2021-11-08T11.35.40.675,6.806,100792.125
1636364140937,2021-11-08T11.35.40.937,7.068,100795.453
1636364141198,2021-11-08T11.35.41.198,7.330,100791.281
1636364141460,2021-11-08T11.35.41.460,7.592,100796.438
1636364141722,2021-11-08T11.35.41.722,7.853,100794.125
1636364141984,2021-11-08T11.35.41.984,8.115,100790.445
1636364142245,2021-11-08T11.35.42.245,8.377,100794.789
1636364142507,2021-11-08T11.35.42.507,8.639,100791.281
1636364142769,2021-11-08T11.35.42.769,8.901,100791.953
1636364143031,2021-11-08T11.35.43.031,9.162,100789.781
1636364143293,2021-11-08T11.35.43.293,9.424,100794.789
1636364143554,2021-11-08T11.35.43.554,9.686,100797.766
1636364143816,2021-11-08T11.35.43.816,9.948,100789.109
1636364144078,2021-11-08T11.35.44.078,10.209,100792.125
1636364144340,2021-11-08T11.35.44.340,10.471,100792.969
1636364144601,2021-11-08T11.35.44.601,10.733,100797.453
1636364144863,2021-11-08T11.35.44.863,10.995,100789.469
1636364145125,2021-11-08T11.35.45.125,11.257,100793.953
1636364145387,2021-11-08T11.35.45.387,11.518,100792.125
1636364145649,2021-11-08T11.35.45.649,11.780,100791.109
1636364145910,2021-11-08T11.35.45.910,12.042,100789.289
1636364146172,2021-11-08T11.35.46.172,12.304,100788.625
1636364146434,2021-11-08T11.35.46.434,12.565,100787.781
1636364146696,2021-11-08T11.35.46.696,12.827,100791.109
1636364146957,2021-11-08T11.35.46.957,13.089,100788.625
1636364147219,2021-11-08T11.35.47.219,13.351,100790.797
1636364147481,2021-11-08T11.35.47.481,13.613,100791.461
1636364147743,2021-11-08T11.35.47.743,13.874,100792.125
1636364148005,2021-11-08T11.35.48.005,14.136,100791.281
1636364148266,2021-11-08T11.35.48.266,14.398,100790.125
1636364148528,2021-11-08T11.35.48.528,14.660,100791.281
1636364148790,2021-11-08T11.35.48.790,14.921,100794.789
1636364149052,2021-11-08T11.35.49.052,15.183,100791.281
1636364149313,2021-11-08T11.35.49.313,15.445,100798.500
1636364149575,2021-11-08T11.35.49.575,15.707,100793.633
1636364149837,2021-11-08T11.35.49.837,15.969,100793.461
1636364150099,2021-11-08T11.35.50.099,16.230,100790.797
1636364150361,2021-11-08T11.35.50.361,16.492,100790.625
1636364150622,2021-11-08T11.35.50.622,16.754,100789.953
1636364150884,2021-11-08T11.35.50.884,17.016,100791.281
1636364151146,2021-11-08T11.35.51.146,17.277,100793.461
1636364151408,2021-11-08T11.35.51.408,17.539,100787.297
1636364151669,2021-11-08T11.35.51.669,17.801,100793.461
1636364151931,2021-11-08T11.35.51.931,18.063,100787.781
1636364152193,2021-11-08T11.35.52.193,18.325,100790.125
1636364152455,2021-11-08T11.35.52.455,18.586,100794.789
1636364152717,2021-11-08T11.35.52.717,18.848,100790.797
1636364152978,2021-11-08T11.35.52.978,19.110,100792.125
1636364153240,2021-11-08T11.35.53.240,19.372,100797.453
1636364153502,2021-11-08T11.35.53.502,19.634,100789.109
1636364153764,2021-11-08T11.35.53.764,19.895,100789.289
1636364154026,2021-11-08T11.35.54.026,20.157,100792.617
1636364154287,2021-11-08T11.35.54.287,20.419,100792.789
1636364154549,2021-11-08T11.35.54.549,20.681,100790.125
1636364154811,2021-11-08T11.35.54.811,20.942,100791.281
1636364155073,2021-11-08T11.35.55.073,21.204,100792.125
1636364155334,2021-11-08T11.35.55.334,21.466,100789.289
1636364155596,2021-11-08T11.35.55.596,21.728,100793.461
1636364155858,2021-11-08T11.35.55.858,21.990,100788.797
1636364156120,2021-11-08T11.35.56.120,22.251,100794.125
1636364156382,2021-11-08T11.35.56.382,22.513,100788.625
1636364156643,2021-11-08T11.35.56.643,22.775,100790.797
1636364156905,2021-11-08T11.35.56.905,23.037,100794.789
1636364157167,2021-11-08T11.35.57.167,23.298,100795.453
1636364157429,2021-11-08T11.35.57.429,23.560,100792.789
1636364157690,2021-11-08T11.35.57.690,23.822,100791.281
1636364157952,2021-11-08T11.35.57.952,24.084,100792.789
1636364158214,2021-11-08T11.35.58.214,24.346,100791.281
1636364158476,2021-11-08T11.35.58.476,24.607,100790.125
1636364158738,2021-11-08T11.35.58.738,24.869,100791.953
1636364158999,2021-11-08T11.35.58.999,25.131,100789.469
1636364159261,2021-11-08T11.35.59.261,25.393,100785.781
1636364159523,2021-11-08T11.35.59.523,25.654,100793.773
1636364159785,2021-11-08T11.35.59.785,25.916,100790.625
1636364160046,2021-11-08T11.36.00.046,26.178,100794.297
1636364160308,2021-11-08T11.36.00.308,26.440,100792.969
1636364160570,2021-11-08T11.36.00.570,26.702,100792.789
1636364160832,2021-11-08T11.36.00.832,26.963,100791.461
1636364161094,2021-11-08T11.36.01.094,27.225,100794.297
1636364161355,2021-11-08T11.36.01.355,27.487,100789.289
1636364161617,2021-11-08T11.36.01.617,27.749,100794.609
1636364161879,2021-11-08T11.36.01.879,28.010,100790.125
1636364162141,2021-11-08T11.36.02.141,28.272,100792.789
1636364162402,2021-11-08T11.36.02.402,28.534,100789.781
1636364162664,2021-11-08T11.36.02.664,28.796,100788.625
1636364162926,2021-11-08T11.36.02.926,29.058,100790.797
1636364163188,2021-11-08T11.36.03.188,29.319,100792.125
1636364163450,2021-11-08T11.36.03.450,29.581,100789.953
1636364163711,2021-11-08T11.36.03.711,29.843,100796.781
1636364163973,2021-11-08T11.36.03.973,30.105,100792.297
1636364164235,2021-11-08T11.36.04.235,30.366,100791.461
1636364164497,2021-11-08T11.36.04.497,30.628,100786.453
1636364164758,2021-11-08T11.36.04.758,30.890,100792.789
1636364165020,2021-11-08T11.36.05.020,31.152,100790.797
1636364165282,2021-11-08T11.36.05.282,31.414,100791.281
1636364165544,2021-11-08T11.36.05.544,31.675,100791.461
1636364165806,2021-11-08T11.36.05.806,31.937,100791.461
1636364166067,2021-11-08T11.36.06.067,32.199,100792.125
1636364166329,2021-11-08T11.36.06.329,32.461,100790.797
1636364166591,2021-11-08T11.36.06.591,32.723,100788.125
1636364166853,2021-11-08T11.36.06.853,32.984,100794.125
1636364167115,2021-11-08T11.36.07.115,33.246,100788.625
1636364167376,2021-11-08T11.36.07.376,33.508,100795.281
1636364167638,2021-11-08T11.36.07.638,33.770,100792.125
1636364167900,2021-11-08T11.36.07.900,34.031,100792.125
1636364168162,2021-11-08T11.36.08.162,34.293,100792.125
1636364168423,2021-11-08T11.36.08.423,34.555,100789.469
1636364168685,2021-11-08T11.36.08.685,34.817,100790.125
1636364168947,2021-11-08T11.36.08.947,35.079,100790.797
1636364169209,2021-11-08T11.36.09.209,35.340,100794.125
1636364169471,2021-11-08T11.36.09.471,35.602,100794.969
1636364169732,2021-11-08T11.36.09.732,35.864,100789.781
