epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636175468866,2021-11-06T07.11.08.866,0.000,-0.002,0.197,-0.967
1636175468907,2021-11-06T07.11.08.907,0.041,0.018,0.232,-0.972
1636175468947,2021-11-06T07.11.08.947,0.081,0.014,0.182,-0.977
1636175468988,2021-11-06T07.11.08.988,0.122,0.004,0.193,-0.974
1636175469029,2021-11-06T07.11.09.029,0.163,0.001,0.214,-0.971
1636175469069,2021-11-06T07.11.09.069,0.203,-0.001,0.194,-0.974
1636175469110,2021-11-06T07.11.09.110,0.244,0.008,0.199,-0.972
1636175469151,2021-11-06T07.11.09.151,0.285,0.011,0.206,-0.972
1636175469190,2021-11-06T07.11.09.190,0.324,0.002,0.197,-0.974
1636175469231,2021-11-06T07.11.09.231,0.365,0.007,0.202,-0.972
1636175469272,2021-11-06T07.11.09.272,0.406,0.010,0.200,-0.974
1636175469313,2021-11-06T07.11.09.313,0.447,0.002,0.202,-0.973
1636175469353,2021-11-06T07.11.09.353,0.487,0.003,0.204,-0.972
1636175469394,2021-11-06T07.11.09.394,0.528,0.008,0.197,-0.973
1636175469435,2021-11-06T07.11.09.435,0.569,0.007,0.203,-0.973
1636175469474,2021-11-06T07.11.09.474,0.608,0.005,0.203,-0.972
1636175469515,2021-11-06T07.11.09.515,0.649,0.005,0.202,-0.971
1636175469556,2021-11-06T07.11.09.556,0.690,0.007,0.195,-0.972
1636175469596,2021-11-06T07.11.09.596,0.730,0.006,0.201,-0.973
1636175469637,2021-11-06T07.11.09.637,0.771,0.005,0.201,-0.972
1636175469678,2021-11-06T07.11.09.678,0.812,0.006,0.199,-0.972
1636175469717,2021-11-06T07.11.09.717,0.851,0.006,0.199,-0.973
1636175469758,2021-11-06T07.11.09.758,0.892,0.004,0.201,-0.973
1636175469800,2021-11-06T07.11.09.800,0.934,0.005,0.202,-0.972
1636175469841,2021-11-06T07.11.09.841,0.975,0.008,0.201,-0.973
1636175469880,2021-11-06T07.11.09.880,1.014,0.009,0.198,-0.974
1636175469921,2021-11-06T07.11.09.921,1.055,0.005,0.201,-0.973
1636175469962,2021-11-06T07.11.09.962,1.096,0.003,0.198,-0.973
1636175470002,2021-11-06T07.11.10.002,1.136,0.005,0.204,-0.971
1636175470043,2021-11-06T07.11.10.043,1.177,0.005,0.200,-0.973
1636175470084,2021-11-06T07.11.10.084,1.218,0.006,0.198,-0.974
1636175470123,2021-11-06T07.11.10.123,1.257,0.006,0.199,-0.973
1636175470164,2021-11-06T07.11.10.164,1.298,0.006,0.200,-0.972
1636175470205,2021-11-06T07.11.10.205,1.339,0.005,0.203,-0.972
1636175470245,2021-11-06T07.11.10.245,1.379,0.006,0.200,-0.973
1636175470286,2021-11-06T07.11.10.286,1.420,0.006,0.202,-0.973
1636175470327,2021-11-06T07.11.10.327,1.461,0.005,0.196,-0.973
1636175470368,2021-11-06T07.11.10.368,1.502,0.005,0.198,-0.972
1636175470407,2021-11-06T07.11.10.407,1.541,0.005,0.198,-0.972
1636175470448,2021-11-06T07.11.10.448,1.582,0.006,0.203,-0.973
1636175470489,2021-11-06T07.11.10.489,1.623,0.006,0.198,-0.974
1636175470529,2021-11-06T07.11.10.529,1.663,0.005,0.203,-0.973
1636175470570,2021-11-06T07.11.10.570,1.704,0.007,0.198,-0.975
1636175470611,2021-11-06T07.11.10.611,1.745,0.007,0.198,-0.973
1636175470651,2021-11-06T07.11.10.651,1.785,0.009,0.202,-0.972
1636175470692,2021-11-06T07.11.10.692,1.826,0.007,0.193,-0.973
1636175470733,2021-11-06T07.11.10.733,1.867,0.004,0.199,-0.972
1636175470774,2021-11-06T07.11.10.774,1.908,0.006,0.198,-0.973
1636175470813,2021-11-06T07.11.10.813,1.947,0.005,0.196,-0.972
1636175470854,2021-11-06T07.11.10.854,1.988,0.005,0.191,-0.975
1636175470895,2021-11-06T07.11.10.895,2.029,0.006,0.198,-0.973
1636175470935,2021-11-06T07.11.10.935,2.069,0.009,0.197,-0.972
1636175470976,2021-11-06T07.11.10.976,2.110,0.007,0.193,-0.973
1636175471017,2021-11-06T07.11.11.017,2.151,0.006,0.201,-0.973
1636175471056,2021-11-06T07.11.11.056,2.190,0.007,0.198,-0.972
1636175471097,2021-11-06T07.11.11.097,2.231,0.007,0.194,-0.973
1636175471138,2021-11-06T07.11.11.138,2.272,0.007,0.197,-0.974
1636175471178,2021-11-06T07.11.11.178,2.312,0.005,0.199,-0.974
1636175471219,2021-11-06T07.11.11.219,2.353,0.007,0.196,-0.974
1636175471260,2021-11-06T07.11.11.260,2.394,0.008,0.198,-0.973
1636175471300,2021-11-06T07.11.11.300,2.434,0.008,0.195,-0.973
1636175471341,2021-11-06T07.11.11.341,2.475,0.005,0.200,-0.974
1636175471382,2021-11-06T07.11.11.382,2.516,0.008,0.196,-0.973
