epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1635081320861,2021-10-24T16:15:20.861,0.000,1.738,-0.610,-0.122
1635081320901,2021-10-24T16:15:20.901,0.040,1.677,-0.823,-1.372
1635081320941,2021-10-24T16:15:20.941,0.080,2.622,-0.152,-1.494
1635081320981,2021-10-24T16:15:20.981,0.120,1.982,0.183,-0.762
1635081321021,2021-10-24T16:15:21.021,0.160,1.372,0.732,0.152
1635081321061,2021-10-24T16:15:21.061,0.200,1.707,0.732,0.335
1635081321101,2021-10-24T16:15:21.101,0.240,0.671,0.610,0.396
1635081321141,2021-10-24T16:15:21.141,0.280,0.610,0.427,0.030
1635081321181,2021-10-24T16:15:21.181,0.320,-0.030,0.762,0.274
1635081321221,2021-10-24T16:15:21.221,0.360,0.061,1.037,0.518
1635081321261,2021-10-24T16:15:21.261,0.400,0.854,0.854,0.854
1635081321301,2021-10-24T16:15:21.301,0.440,1.799,1.037,1.341
1635081321341,2021-10-24T16:15:21.341,0.480,2.500,0.854,0.701
1635081321381,2021-10-24T16:15:21.381,0.520,5.396,-0.457,-2.043
1635081321421,2021-10-24T16:15:21.421,0.560,6.372,-0.640,-2.591
1635081321461,2021-10-24T16:15:21.461,0.600,5.244,0.274,-1.829
1635081321501,2021-10-24T16:15:21.501,0.640,3.902,2.530,-0.518
1635081321541,2021-10-24T16:15:21.541,0.680,2.226,4.268,0.305
1635081321581,2021-10-24T16:15:21.581,0.720,2.500,2.104,-0.488
1635081321621,2021-10-24T16:15:21.621,0.760,3.506,-0.122,-1.494
1635081321661,2021-10-24T16:15:21.661,0.800,4.146,-0.335,-1.463
1635081321701,2021-10-24T16:15:21.701,0.840,2.378,-0.030,-0.701
1635081321741,2021-10-24T16:15:21.741,0.880,2.195,-0.213,-0.549
1635081321781,2021-10-24T16:15:21.781,0.920,2.896,-0.091,-0.213
1635081321821,2021-10-24T16:15:21.821,0.960,0.945,0.274,1.037
1635081321861,2021-10-24T16:15:21.861,1.000,-0.427,1.250,2.409
1635081321901,2021-10-24T16:15:21.901,1.040,-0.244,0.762,0.549
1635081321941,2021-10-24T16:15:21.941,1.080,1.128,-0.457,-0.610
1635081321981,2021-10-24T16:15:21.981,1.120,0.701,0.000,0.000
1635081322021,2021-10-24T16:15:22.021,1.160,0.610,0.030,0.274
1635081322061,2021-10-24T16:15:22.061,1.200,0.488,-0.335,0.152
1635081322101,2021-10-24T16:15:22.101,1.240,0.366,-0.152,-0.396
1635081322141,2021-10-24T16:15:22.141,1.280,0.915,-0.091,-0.488
1635081322181,2021-10-24T16:15:22.181,1.320,0.671,-0.091,-0.549
1635081322221,2021-10-24T16:15:22.221,1.360,1.280,-0.335,-0.518
1635081322261,2021-10-24T16:15:22.261,1.400,1.524,-0.244,-0.488
1635081322301,2021-10-24T16:15:22.301,1.440,2.378,0.000,-0.396
1635081322341,2021-10-24T16:15:22.341,1.480,2.134,0.335,-0.732
1635081322381,2021-10-24T16:15:22.381,1.520,2.348,-0.213,-0.976
1635081322421,2021-10-24T16:15:22.421,1.560,1.921,0.183,-0.457
1635081322461,2021-10-24T16:15:22.461,1.600,2.195,0.701,-0.366
1635081322501,2021-10-24T16:15:22.501,1.640,2.561,0.335,-0.457
1635081322541,2021-10-24T16:15:22.541,1.680,2.226,0.488,-0.183
1635081322581,2021-10-24T16:15:22.581,1.720,1.402,1.220,0.335
1635081322621,2021-10-24T16:15:22.621,1.760,0.091,0.671,0.305
1635081322661,2021-10-24T16:15:22.661,1.800,-1.280,0.823,0.366
1635081322701,2021-10-24T16:15:22.701,1.840,0.610,0.396,0.000
1635081322741,2021-10-24T16:15:22.741,1.880,2.561,-0.518,-0.701
1635081322781,2021-10-24T16:15:22.781,1.920,3.232,-0.793,-0.335
1635081322821,2021-10-24T16:15:22.821,1.960,2.500,-0.366,-0.244
1635081322861,2021-10-24T16:15:22.861,2.000,2.256,0.061,-0.884
1635081322901,2021-10-24T16:15:22.901,2.040,2.470,0.000,-1.311
1635081322941,2021-10-24T16:15:22.941,2.080,1.829,0.762,-1.220
1635081322981,2021-10-24T16:15:22.981,2.120,1.677,0.610,-0.549
1635081323021,2021-10-24T16:15:23.021,2.160,1.037,-0.122,-0.152
1635081323061,2021-10-24T16:15:23.061,2.200,0.427,-0.640,-0.457
1635081323101,2021-10-24T16:15:23.101,2.240,2.530,-0.976,-0.884
1635081323141,2021-10-24T16:15:23.141,2.280,2.744,-0.579,-0.366
1635081323181,2021-10-24T16:15:23.181,2.320,1.311,-0.793,0.061
1635081323221,2021-10-24T16:15:23.221,2.360,-0.335,-0.945,0.549
1635081323261,2021-10-24T16:15:23.261,2.400,-4.939,-1.128,1.860
1635081323301,2021-10-24T16:15:23.301,2.440,-7.226,-0.762,2.470
1635081323341,2021-10-24T16:15:23.341,2.480,-3.384,-1.311,1.555
1635081323381,2021-10-24T16:15:23.381,2.520,-0.396,-1.646,1.433
1635081323421,2021-10-24T16:15:23.421,2.560,1.280,-1.463,1.524
1635081323461,2021-10-24T16:15:23.461,2.600,1.067,-1.402,0.823
1635081323501,2021-10-24T16:15:23.501,2.640,-2.134,-0.915,0.945
1635081323541,2021-10-24T16:15:23.541,2.680,-0.030,-0.549,-0.030
1635081323581,2021-10-24T16:15:23.581,2.720,2.500,-0.488,-2.226
1635081323621,2021-10-24T16:15:23.621,2.760,5.152,-1.311,-3.567
1635081323661,2021-10-24T16:15:23.661,2.800,6.585,-1.433,-3.598
1635081323701,2021-10-24T16:15:23.701,2.840,3.811,-0.244,-2.226
1635081323741,2021-10-24T16:15:23.741,2.880,3.049,0.762,-0.518
1635081323781,2021-10-24T16:15:23.781,2.920,1.037,1.006,-0.396
1635081323821,2021-10-24T16:15:23.821,2.960,1.890,1.951,-0.335
1635081323861,2021-10-24T16:15:23.861,3.000,4.177,1.280,-0.701
1635081323901,2021-10-24T16:15:23.901,3.040,5.457,-0.762,-0.915
1635081323941,2021-10-24T16:15:23.941,3.080,6.433,-1.311,-1.555
1635081323981,2021-10-24T16:15:23.981,3.120,8.171,-0.884,-1.951
1635081324021,2021-10-24T16:15:24.021,3.160,6.829,0.305,-0.549
1635081324061,2021-10-24T16:15:24.061,3.200,3.811,0.061,-0.061
1635081324101,2021-10-24T16:15:24.101,3.240,2.652,-0.549,-0.061
1635081324141,2021-10-24T16:15:24.141,3.280,0.549,-0.122,0.488
