epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635667794789,2021-10-31T10:09:54.789,0.000,0.031,0.787,0.928
1635667794829,2021-10-31T10:09:54.829,0.040,-0.035,0.850,0.826
1635667794869,2021-10-31T10:09:54.869,0.080,0.021,0.794,0.509
1635667794909,2021-10-31T10:09:54.909,0.120,0.121,0.907,0.239
1635667794949,2021-10-31T10:09:54.949,0.160,0.247,0.829,0.055
1635667794989,2021-10-31T10:09:54.989,0.200,0.277,0.474,-0.161
1635667795029,2021-10-31T10:09:55.029,0.240,0.060,0.429,-0.550
1635667795069,2021-10-31T10:09:55.069,0.280,-0.211,0.606,-0.831
1635667795109,2021-10-31T10:09:55.109,0.320,-0.428,0.365,-1.118
1635667795149,2021-10-31T10:09:55.149,0.360,-0.376,0.443,-1.108
1635667795189,2021-10-31T10:09:55.189,0.400,-0.101,0.277,-0.825
1635667795229,2021-10-31T10:09:55.229,0.440,-0.254,0.299,-0.829
1635667795269,2021-10-31T10:09:55.269,0.480,-0.380,0.353,-0.931
1635667795309,2021-10-31T10:09:55.309,0.520,-0.314,0.314,-0.930
1635667795349,2021-10-31T10:09:55.349,0.560,-0.291,0.268,-0.888
1635667795389,2021-10-31T10:09:55.389,0.600,-0.302,0.247,-0.879
1635667795429,2021-10-31T10:09:55.429,0.640,-0.327,0.259,-0.906
1635667795469,2021-10-31T10:09:55.469,0.680,-0.328,0.285,-0.888
1635667795509,2021-10-31T10:09:55.509,0.720,-0.317,0.282,-0.897
1635667795549,2021-10-31T10:09:55.549,0.760,-0.321,0.287,-0.902
1635667795589,2021-10-31T10:09:55.589,0.800,-0.322,0.277,-0.893
1635667795629,2021-10-31T10:09:55.629,0.840,-0.323,0.295,-0.901
1635667795669,2021-10-31T10:09:55.669,0.880,-0.318,0.268,-0.895
1635667795709,2021-10-31T10:09:55.709,0.920,-0.320,0.280,-0.904
1635667795749,2021-10-31T10:09:55.749,0.960,-0.323,0.303,-0.913
1635667795789,2021-10-31T10:09:55.789,1.000,-0.326,0.264,-0.912
1635667795829,2021-10-31T10:09:55.829,1.040,-0.335,0.251,-0.894
1635667795869,2021-10-31T10:09:55.869,1.080,-0.348,0.244,-0.906
1635667795909,2021-10-31T10:09:55.909,1.120,-0.330,0.334,-0.889
1635667795949,2021-10-31T10:09:55.949,1.160,-0.345,0.338,-0.870
1635667795989,2021-10-31T10:09:55.989,1.200,-0.329,0.186,-0.842
1635667796029,2021-10-31T10:09:56.029,1.240,-0.364,0.382,-0.876
1635667796069,2021-10-31T10:09:56.069,1.280,-0.376,0.478,-0.850
1635667796109,2021-10-31T10:09:56.109,1.320,-0.394,0.321,-0.923
1635667796149,2021-10-31T10:09:56.149,1.360,-0.296,0.169,-0.872
1635667796189,2021-10-31T10:09:56.189,1.400,-0.408,0.286,-0.910
1635667796229,2021-10-31T10:09:56.229,1.440,-0.404,0.325,-0.838
1635667796269,2021-10-31T10:09:56.269,1.480,-0.309,0.317,-0.813
1635667796309,2021-10-31T10:09:56.309,1.520,-0.318,0.333,-0.822
1635667796349,2021-10-31T10:09:56.349,1.560,-0.389,0.350,-0.857
1635667796389,2021-10-31T10:09:56.389,1.600,-0.429,0.168,-1.014
1635667796429,2021-10-31T10:09:56.429,1.640,-0.371,0.123,-0.944
1635667796469,2021-10-31T10:09:56.469,1.680,-0.354,0.144,-0.901
1635667796509,2021-10-31T10:09:56.509,1.720,-0.352,0.139,-0.889
1635667796549,2021-10-31T10:09:56.549,1.760,-0.363,0.126,-0.907
1635667796589,2021-10-31T10:09:56.589,1.800,-0.345,0.117,-0.913
1635667796629,2021-10-31T10:09:56.629,1.840,-0.345,0.125,-0.913
1635667796669,2021-10-31T10:09:56.669,1.880,-0.342,0.136,-0.921
1635667796709,2021-10-31T10:09:56.709,1.920,-0.330,0.149,-0.949
1635667796749,2021-10-31T10:09:56.749,1.960,-0.328,0.187,-0.923
1635667796789,2021-10-31T10:09:56.789,2.000,-0.327,0.204,-0.902
1635667796829,2021-10-31T10:09:56.829,2.040,-0.318,0.185,-0.929
1635667796869,2021-10-31T10:09:56.869,2.080,-0.306,0.170,-0.956
