epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636199710130,2021-11-06T13:55:10.130,0.000,-3.537,9.665,4.024
1636199710170,2021-11-06T13:55:10.170,0.040,-3.994,8.902,4.817
1636199710210,2021-11-06T13:55:10.210,0.080,-9.787,5.671,7.043
1636199710250,2021-11-06T13:55:10.250,0.120,-3.720,15.976,7.774
1636199710290,2021-11-06T13:55:10.290,0.160,1.738,21.128,11.372
1636199710330,2021-11-06T13:55:10.330,0.200,-5.091,14.878,14.726
1636199710370,2021-11-06T13:55:10.370,0.240,1.402,27.104,15.213
1636199710410,2021-11-06T13:55:10.410,0.280,-0.061,23.323,10.854
1636199710450,2021-11-06T13:55:10.450,0.320,-2.835,14.421,4.604
1636199710490,2021-11-06T13:55:10.490,0.360,8.963,6.799,-3.567
1636199710530,2021-11-06T13:55:10.530,0.400,1.098,2.591,-9.543
1636199710570,2021-11-06T13:55:10.570,0.440,5.518,10.732,-15.427
1636199710610,2021-11-06T13:55:10.610,0.480,1.921,9.360,-9.055
1636199710650,2021-11-06T13:55:10.650,0.520,3.567,4.238,-7.195
1636199710690,2021-11-06T13:55:10.690,0.560,11.341,8.445,-14.329
1636199710730,2021-11-06T13:55:10.730,0.600,6.524,20.427,-11.707
1636199710770,2021-11-06T13:55:10.770,0.640,7.409,36.555,-17.561
1636199710810,2021-11-06T13:55:10.810,0.680,12.896,49.055,-11.921
1636199710850,2021-11-06T13:55:10.850,0.720,-0.305,64.116,10.396
1636199710890,2021-11-06T13:55:10.890,0.760,-17.439,68.598,33.506
1636199710930,2021-11-06T13:55:10.930,0.800,-3.598,52.988,57.622
1636199710970,2021-11-06T13:55:10.970,0.840,-6.860,52.561,66.768
1636199711010,2021-11-06T13:55:11.010,0.880,-11.006,47.988,72.378
1636199711050,2021-11-06T13:55:11.050,0.920,-3.201,42.957,76.860
1636199711090,2021-11-06T13:55:11.090,0.960,0.000,29.512,55.366
1636199711130,2021-11-06T13:55:11.130,1.000,7.622,4.787,42.622
1636199711170,2021-11-06T13:55:11.170,1.040,4.482,19.726,49.390
1636199711210,2021-11-06T13:55:11.210,1.080,24.878,-5.274,40.549
1636199711250,2021-11-06T13:55:11.250,1.120,-3.933,5.122,23.841
1636199711290,2021-11-06T13:55:11.290,1.160,17.409,17.134,20.976
1636199711330,2021-11-06T13:55:11.330,1.200,6.860,26.860,14.573
1636199711370,2021-11-06T13:55:11.370,1.240,-7.134,47.470,0.793
1636199711410,2021-11-06T13:55:11.410,1.280,-11.707,37.287,-18.780
1636199711450,2021-11-06T13:55:11.450,1.320,-17.683,32.165,-13.140
1636199711490,2021-11-06T13:55:11.490,1.360,10.762,-6.646,-6.890
1636199711530,2021-11-06T13:55:11.530,1.400,-2.073,-45.457,-4.817
1636199711570,2021-11-06T13:55:11.570,1.440,2.835,-40.884,-10.488
1636199711610,2021-11-06T13:55:11.610,1.480,8.689,-15.366,-3.933
1636199711650,2021-11-06T13:55:11.650,1.520,-4.604,-44.848,1.860
1636199711690,2021-11-06T13:55:11.690,1.560,-2.378,-61.982,24.695
1636199711730,2021-11-06T13:55:11.730,1.600,5.823,-66.433,27.348
1636199711770,2021-11-06T13:55:11.770,1.640,5.945,-50.335,13.354
1636199711810,2021-11-06T13:55:11.810,1.680,-0.732,-44.390,13.323
1636199711850,2021-11-06T13:55:11.850,1.720,-0.976,-22.165,16.341
1636199711890,2021-11-06T13:55:11.890,1.760,7.470,-6.189,10.091
1636199711930,2021-11-06T13:55:11.930,1.800,21.372,-15.610,0.091
1636199711970,2021-11-06T13:55:11.970,1.840,6.921,-21.250,3.506
1636199712010,2021-11-06T13:55:12.010,1.880,3.872,-26.982,11.189
1636199712050,2021-11-06T13:55:12.050,1.920,0.610,-22.073,16.677
1636199712090,2021-11-06T13:55:12.090,1.960,-7.683,-11.524,21.677
1636199712130,2021-11-06T13:55:12.130,2.000,0.122,-16.402,21.616
1636199712170,2021-11-06T13:55:12.170,2.040,22.774,3.079,18.293
1636199712210,2021-11-06T13:55:12.210,2.080,17.713,11.707,24.024
1636199712250,2021-11-06T13:55:12.250,2.120,29.909,-16.616,18.354
1636199712290,2021-11-06T13:55:12.290,2.160,34.970,4.756,16.037
1636199712330,2021-11-06T13:55:12.330,2.200,23.628,15.823,15.549
1636199712370,2021-11-06T13:55:12.370,2.240,19.756,-13.354,11.067
1636199712410,2021-11-06T13:55:12.410,2.280,18.018,-28.963,15.976
1636199712450,2021-11-06T13:55:12.450,2.320,42.530,-44.238,9.970
1636199712490,2021-11-06T13:55:12.490,2.360,26.341,-63.659,16.707
1636199712530,2021-11-06T13:55:12.530,2.400,12.378,-36.829,21.006
1636199712570,2021-11-06T13:55:12.570,2.440,17.530,-5.945,19.268
1636199712610,2021-11-06T13:55:12.610,2.480,14.726,-3.537,8.841
1636199712650,2021-11-06T13:55:12.650,2.520,3.506,-3.445,1.799
1636199712690,2021-11-06T13:55:12.690,2.560,4.451,2.683,5.610
1636199712730,2021-11-06T13:55:12.730,2.600,9.085,2.835,-2.409
1636199712770,2021-11-06T13:55:12.770,2.640,8.079,-15.244,-7.805
1636199712810,2021-11-06T13:55:12.810,2.680,-9.817,-14.207,-7.835
1636199712850,2021-11-06T13:55:12.850,2.720,8.201,-19.817,-17.500
1636199712890,2021-11-06T13:55:12.890,2.760,-6.311,-10.396,-15.976
1636199712930,2021-11-06T13:55:12.930,2.800,-15.549,4.268,-8.659
1636199712970,2021-11-06T13:55:12.970,2.840,1.829,9.146,-6.006
1636199713010,2021-11-06T13:55:13.010,2.880,-17.683,18.354,-0.640
1636199713050,2021-11-06T13:55:13.050,2.920,-14.085,14.146,0.183
1636199713090,2021-11-06T13:55:13.090,2.960,-5.000,5.030,-0.610
1636199713130,2021-11-06T13:55:13.130,3.000,-16.768,-1.799,6.494
1636199713170,2021-11-06T13:55:13.170,3.040,-7.561,-4.817,5.884
1636199713210,2021-11-06T13:55:13.210,3.080,-9.970,22.104,-2.256
1636199713250,2021-11-06T13:55:13.250,3.120,-15.610,28.293,-13.750
1636199713290,2021-11-06T13:55:13.290,3.160,-7.561,20.640,-15.518
1636199713330,2021-11-06T13:55:13.330,3.200,-25.000,36.616,0.335
1636199713370,2021-11-06T13:55:13.370,3.240,-11.829,28.110,-10.457
1636199713410,2021-11-06T13:55:13.410,3.280,-14.177,-5.518,-10.091
1636199713450,2021-11-06T13:55:13.450,3.320,-13.994,5.671,-11.616
1636199713490,2021-11-06T13:55:13.490,3.360,-7.256,7.896,-13.201
1636199713530,2021-11-06T13:55:13.530,3.400,-10.488,-2.104,-8.689
1636199713570,2021-11-06T13:55:13.570,3.440,0.427,3.963,-5.823
1636199713610,2021-11-06T13:55:13.610,3.480,-0.762,7.439,-5.701
1636199713650,2021-11-06T13:55:13.650,3.520,-0.213,12.195,-6.463
1636199713690,2021-11-06T13:55:13.690,3.560,4.421,3.750,-1.982
1636199713730,2021-11-06T13:55:13.730,3.600,-3.232,-2.500,1.555
1636199713770,2021-11-06T13:55:13.770,3.640,2.866,5.762,-1.006
1636199713810,2021-11-06T13:55:13.810,3.680,-2.561,-17.012,1.402
1636199713850,2021-11-06T13:55:13.850,3.720,-2.866,-14.238,9.878
1636199713890,2021-11-06T13:55:13.890,3.760,1.890,15.640,9.878
1636199713930,2021-11-06T13:55:13.930,3.800,0.884,20.000,6.677
1636199713970,2021-11-06T13:55:13.970,3.840,-4.939,34.238,13.780
1636199714010,2021-11-06T13:55:14.010,3.880,-9.390,27.287,4.482
1636199714050,2021-11-06T13:55:14.050,3.920,-7.652,9.329,-4.848
1636199714090,2021-11-06T13:55:14.090,3.960,-11.372,-0.732,2.439
1636199714130,2021-11-06T13:55:14.130,4.000,-11.951,-1.006,-1.768
