epoc (ms),timestamp (+0200),elapsed (s),pressure (Pa)
1636606764011,2021-11-11T06.59.24.011,0.000,101078.219
1636606764274,2021-11-11T06.59.24.274,0.263,101077.867
1636606764539,2021-11-11T06.59.24.539,0.528,101076.203
1636606764803,2021-11-11T06.59.24.803,0.792,101077.547
1636606765068,2021-11-11T06.59.25.068,1.057,101076.359
1636606765333,2021-11-11T06.59.25.333,1.322,101073.828
1636606765597,2021-11-11T06.59.25.597,1.586,101074.656
1636606765862,2021-11-11T06.59.25.862,1.851,101075.641
1636606766127,2021-11-11T06.59.26.127,2.116,101073.633
1636606766391,2021-11-11T06.59.26.391,2.380,101076.625
1636606766656,2021-11-11T06.59.26.656,2.645,101073.945
1636606766921,2021-11-11T06.59.26.921,2.910,101076.938
1636606767185,2021-11-11T06.59.27.185,3.174,101071.734
1636606767450,2021-11-11T06.59.27.450,3.439,101078.078
1636606767715,2021-11-11T06.59.27.715,3.704,101072.719
1636606767979,2021-11-11T06.59.27.979,3.968,101078.031
1636606768244,2021-11-11T06.59.28.244,4.233,101076.695
1636606768508,2021-11-11T06.59.28.508,4.497,101074.844
1636606768773,2021-11-11T06.59.28.773,4.762,101072.828
1636606769038,2021-11-11T06.59.29.038,5.027,101072.312
1636606769302,2021-11-11T06.59.29.302,5.291,101069.633
1636606769567,2021-11-11T06.59.29.567,5.556,101069.117
1636606769832,2021-11-11T06.59.29.832,5.821,101069.789
1636606770096,2021-11-11T06.59.30.096,6.085,101069.938
1636606770361,2021-11-11T06.59.30.361,6.350,101066.594
1636606770626,2021-11-11T06.59.30.626,6.615,101068.609
1636606770890,2021-11-11T06.59.30.890,6.879,101067.570
1636606771155,2021-11-11T06.59.31.155,7.144,101066.906
1636606771420,2021-11-11T06.59.31.420,7.409,101068.250
1636606771684,2021-11-11T06.59.31.684,7.673,101068.555
1636606771949,2021-11-11T06.59.31.949,7.938,101068.875
1636606772214,2021-11-11T06.59.32.214,8.203,101067.016
1636606772477,2021-11-11T06.59.32.477,8.466,101066.031
1636606772743,2021-11-11T06.59.32.743,8.732,101066.344
1636606773006,2021-11-11T06.59.33.006,8.995,101067.328
1636606773271,2021-11-11T06.59.33.271,9.260,101072.484
1636606773537,2021-11-11T06.59.33.537,9.526,101065.625
1636606773800,2021-11-11T06.59.33.800,9.789,101064.125
1636606774065,2021-11-11T06.59.34.065,10.054,101067.953
1636606774331,2021-11-11T06.59.34.331,10.320,101067.797
1636606774594,2021-11-11T06.59.34.594,10.583,101071.461
1636606774859,2021-11-11T06.59.34.859,10.848,101069.094
1636606775123,2021-11-11T06.59.35.123,11.112,101068.781
1636606775388,2021-11-11T06.59.35.388,11.377,101065.422
1636606775653,2021-11-11T06.59.35.653,11.642,101068.422
1636606775917,2021-11-11T06.59.35.917,11.906,101070.750
1636606776182,2021-11-11T06.59.36.182,12.171,101062.703
1636606776447,2021-11-11T06.59.36.447,12.436,101068.734
1636606776711,2021-11-11T06.59.36.711,12.700,101068.531
1636606776976,2021-11-11T06.59.36.976,12.965,101065.852
1636606777240,2021-11-11T06.59.37.240,13.229,101065.336
1636606777505,2021-11-11T06.59.37.505,13.494,101065.336
1636606777770,2021-11-11T06.59.37.770,13.759,101069.000
1636606778034,2021-11-11T06.59.38.034,14.023,101067.500
1636606778299,2021-11-11T06.59.38.299,14.288,101066.984
