epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635178521648,2021-10-25T19:15:21.648,0.000,-0.238,0.272,-0.933
1635178521688,2021-10-25T19:15:21.688,0.040,-0.237,0.268,-0.941
1635178521728,2021-10-25T19:15:21.728,0.080,-0.227,0.283,-0.939
1635178521768,2021-10-25T19:15:21.768,0.120,-0.233,0.274,-0.941
1635178521808,2021-10-25T19:15:21.808,0.160,-0.235,0.268,-0.942
1635178521848,2021-10-25T19:15:21.848,0.200,-0.229,0.277,-0.940
1635178521888,2021-10-25T19:15:21.888,0.240,-0.230,0.279,-0.941
1635178521928,2021-10-25T19:15:21.928,0.280,-0.234,0.280,-0.938
1635178521968,2021-10-25T19:15:21.968,0.320,-0.233,0.272,-0.939
1635178522008,2021-10-25T19:15:22.008,0.360,-0.234,0.267,-0.942
1635178522048,2021-10-25T19:15:22.048,0.400,-0.236,0.276,-0.939
1635178522088,2021-10-25T19:15:22.088,0.440,-0.233,0.277,-0.939
1635178522128,2021-10-25T19:15:22.128,0.480,-0.234,0.271,-0.939
1635178522168,2021-10-25T19:15:22.168,0.520,-0.236,0.271,-0.939
1635178522208,2021-10-25T19:15:22.208,0.560,-0.235,0.277,-0.938
1635178522248,2021-10-25T19:15:22.248,0.600,-0.236,0.275,-0.938
1635178522288,2021-10-25T19:15:22.288,0.640,-0.231,0.277,-0.939
1635178522328,2021-10-25T19:15:22.328,0.680,-0.227,0.287,-0.939
1635178522368,2021-10-25T19:15:22.368,0.720,-0.236,0.271,-0.940
1635178522408,2021-10-25T19:15:22.408,0.760,-0.237,0.272,-0.938
1635178522448,2021-10-25T19:15:22.448,0.800,-0.238,0.275,-0.938
1635178522488,2021-10-25T19:15:22.488,0.840,-0.237,0.281,-0.937
1635178522528,2021-10-25T19:15:22.528,0.880,-0.238,0.273,-0.938
1635178522568,2021-10-25T19:15:22.568,0.920,-0.231,0.283,-0.938
1635178522608,2021-10-25T19:15:22.608,0.960,-0.229,0.277,-0.938
1635178522648,2021-10-25T19:15:22.648,1.000,-0.238,0.275,-0.936
1635178522688,2021-10-25T19:15:22.688,1.040,-0.237,0.266,-0.940
1635178522728,2021-10-25T19:15:22.728,1.080,-0.232,0.282,-0.938
1635178522768,2021-10-25T19:15:22.768,1.120,-0.232,0.277,-0.940
1635178522808,2021-10-25T19:15:22.808,1.160,-0.234,0.276,-0.940
1635178522848,2021-10-25T19:15:22.848,1.200,-0.243,0.268,-0.937
1635178522888,2021-10-25T19:15:22.888,1.240,-0.238,0.261,-0.941
1635178522928,2021-10-25T19:15:22.928,1.280,-0.228,0.270,-0.943
1635178522968,2021-10-25T19:15:22.968,1.320,-0.237,0.267,-0.939
