epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1635055997596,2021-10-24T09:13:17.596,0.000,3.872,-1.768,-1.372
1635055997636,2021-10-24T09:13:17.636,0.040,3.659,-1.555,-1.372
1635055997676,2021-10-24T09:13:17.676,0.080,4.177,-0.518,-0.518
1635055997716,2021-10-24T09:13:17.716,0.120,5.061,-0.061,-0.610
1635055997756,2021-10-24T09:13:17.756,0.160,3.506,0.915,-0.366
1635055997796,2021-10-24T09:13:17.796,0.200,2.409,2.378,0.427
1635055997836,2021-10-24T09:13:17.836,0.240,1.372,2.348,0.976
1635055997876,2021-10-24T09:13:17.876,0.280,1.402,2.317,0.884
1635055997916,2021-10-24T09:13:17.916,0.320,2.256,2.439,0.030
1635055997956,2021-10-24T09:13:17.956,0.360,4.817,0.488,-0.945
1635055997996,2021-10-24T09:13:17.996,0.400,5.518,0.976,-0.976
1635055998036,2021-10-24T09:13:18.036,0.440,3.628,0.274,-0.945
1635055998076,2021-10-24T09:13:18.076,0.480,1.463,0.030,-0.213
1635055998116,2021-10-24T09:13:18.116,0.520,1.037,0.854,-0.549
1635055998156,2021-10-24T09:13:18.156,0.560,1.311,1.555,-1.159
1635055998196,2021-10-24T09:13:18.196,0.600,2.195,1.311,0.335
1635055998236,2021-10-24T09:13:18.236,0.640,2.439,-0.854,-1.372
1635055998276,2021-10-24T09:13:18.276,0.680,5.183,-3.323,-1.829
1635055998316,2021-10-24T09:13:18.316,0.720,5.793,-2.409,-1.280
1635055998356,2021-10-24T09:13:18.356,0.760,7.805,-0.732,-2.195
1635055998396,2021-10-24T09:13:18.396,0.800,6.799,0.945,-1.341
1635055998436,2021-10-24T09:13:18.436,0.840,4.085,-0.152,0.305
1635055998476,2021-10-24T09:13:18.476,0.880,3.659,-2.317,-1.677
1635055998516,2021-10-24T09:13:18.516,0.920,7.530,-2.927,-2.713
1635055998556,2021-10-24T09:13:18.556,0.960,3.262,6.585,-1.311
1635055998596,2021-10-24T09:13:18.596,1.000,-3.933,17.683,-2.287
1635055998636,2021-10-24T09:13:18.636,1.040,0.366,7.530,-2.652
1635055998676,2021-10-24T09:13:18.676,1.080,5.091,6.677,-5.091
1635055998716,2021-10-24T09:13:18.716,1.120,4.695,14.116,-5.061
1635055998756,2021-10-24T09:13:18.756,1.160,0.518,13.506,-1.433
1635055998796,2021-10-24T09:13:18.796,1.200,-2.774,12.835,1.707
1635055998836,2021-10-24T09:13:18.836,1.240,-0.549,4.573,1.616
1635055998876,2021-10-24T09:13:18.876,1.280,0.549,0.579,0.610
1635055998916,2021-10-24T09:13:18.916,1.320,0.823,1.677,0.610
1635055998956,2021-10-24T09:13:18.956,1.360,-0.274,0.488,1.159
1635055998996,2021-10-24T09:13:18.996,1.400,-0.793,0.793,0.671
1635055999036,2021-10-24T09:13:19.036,1.440,0.183,1.494,0.213
1635055999076,2021-10-24T09:13:19.076,1.480,0.122,1.768,0.549
1635055999116,2021-10-24T09:13:19.116,1.520,-0.732,1.524,0.549
1635055999156,2021-10-24T09:13:19.156,1.560,-0.366,1.982,0.061
1635055999196,2021-10-24T09:13:19.196,1.600,0.457,2.073,-0.549
1635055999236,2021-10-24T09:13:19.236,1.640,0.945,1.829,-1.128
1635055999276,2021-10-24T09:13:19.276,1.680,1.159,2.287,-0.793
1635055999316,2021-10-24T09:13:19.316,1.720,0.671,3.201,-0.549
1635055999356,2021-10-24T09:13:19.356,1.760,0.488,5.762,-0.488
1635055999396,2021-10-24T09:13:19.396,1.800,0.030,8.354,-0.152
1635055999436,2021-10-24T09:13:19.436,1.840,0.945,3.537,-0.091
1635055999476,2021-10-24T09:13:19.476,1.880,1.738,3.079,-0.884
1635055999516,2021-10-24T09:13:19.516,1.920,0.518,8.262,-0.640
1635055999556,2021-10-24T09:13:19.556,1.960,0.030,4.695,0.396
1635055999596,2021-10-24T09:13:19.596,2.000,1.220,0.091,-0.335
1635055999636,2021-10-24T09:13:19.636,2.040,1.372,1.799,-0.549
1635055999676,2021-10-24T09:13:19.676,2.080,1.494,1.524,-0.152
1635055999716,2021-10-24T09:13:19.716,2.120,1.494,0.610,-0.213
1635055999756,2021-10-24T09:13:19.756,2.160,0.762,1.372,-0.579
1635055999796,2021-10-24T09:13:19.796,2.200,1.585,1.890,-1.220
1635055999836,2021-10-24T09:13:19.836,2.240,1.433,3.079,-1.341
1635055999876,2021-10-24T09:13:19.876,2.280,1.006,2.561,-0.274
1635055999916,2021-10-24T09:13:19.916,2.320,1.220,0.854,0.061
1635055999956,2021-10-24T09:13:19.956,2.360,1.037,0.945,0.366
1635055999996,2021-10-24T09:13:19.996,2.400,0.671,1.037,0.091
1635056000036,2021-10-24T09:13:20.036,2.440,0.976,0.061,0.274
1635056000076,2021-10-24T09:13:20.076,2.480,0.366,-0.549,0.000
1635056000116,2021-10-24T09:13:20.116,2.520,0.488,-0.518,0.000
1635056000156,2021-10-24T09:13:20.156,2.560,0.640,0.335,-0.183
1635056000196,2021-10-24T09:13:20.196,2.600,0.671,0.244,0.274
1635056000236,2021-10-24T09:13:20.236,2.640,0.732,0.549,0.274
1635056000276,2021-10-24T09:13:20.276,2.680,0.945,0.427,0.183
1635056000316,2021-10-24T09:13:20.316,2.720,0.000,0.305,0.122
1635056000356,2021-10-24T09:13:20.356,2.760,0.335,-0.579,0.610
1635056000396,2021-10-24T09:13:20.396,2.800,0.366,-0.701,0.488
1635056000436,2021-10-24T09:13:20.436,2.840,0.518,-0.457,0.427
1635056000476,2021-10-24T09:13:20.476,2.880,0.701,-0.122,0.244
1635056000516,2021-10-24T09:13:20.516,2.920,0.915,-0.122,0.213
1635056000556,2021-10-24T09:13:20.556,2.960,0.518,0.396,0.000
1635056000596,2021-10-24T09:13:20.596,3.000,1.128,0.213,-0.030
1635056000636,2021-10-24T09:13:20.636,3.040,1.311,0.030,-0.183
1635056000676,2021-10-24T09:13:20.676,3.080,1.159,-0.244,-0.030
1635056000716,2021-10-24T09:13:20.716,3.120,1.067,-0.183,-0.091
