epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635340017484,2021-10-27T16.06.57.484,0.000,-0.158,0.260,-0.979
1635340017564,2021-10-27T16.06.57.564,0.080,-0.141,0.264,-0.990
1635340017644,2021-10-27T16.06.57.644,0.160,-0.145,0.273,-0.986
1635340017724,2021-10-27T16.06.57.724,0.240,-0.145,0.258,-0.987
1635340017804,2021-10-27T16.06.57.804,0.320,-0.139,0.284,-0.984
1635340017884,2021-10-27T16.06.57.884,0.400,-0.159,0.265,-0.984
1635340017964,2021-10-27T16.06.57.964,0.480,-0.159,0.262,-0.986
1635340018044,2021-10-27T16.06.58.044,0.560,-0.161,0.278,-0.981
1635340018124,2021-10-27T16.06.58.124,0.640,-0.159,0.269,-0.982
1635340018204,2021-10-27T16.06.58.204,0.720,-0.161,0.262,-0.983
1635340018284,2021-10-27T16.06.58.284,0.800,-0.161,0.264,-0.984
1635340018364,2021-10-27T16.06.58.364,0.880,-0.159,0.263,-0.984
1635340018444,2021-10-27T16.06.58.444,0.960,-0.165,0.266,-0.986
1635340018524,2021-10-27T16.06.58.524,1.040,-0.168,0.278,-0.974
1635340018604,2021-10-27T16.06.58.604,1.120,-0.168,0.284,-0.975
1635340018684,2021-10-27T16.06.58.684,1.200,-0.165,0.279,-0.981
1635340018764,2021-10-27T16.06.58.764,1.280,-0.161,0.271,-0.982
1635340018844,2021-10-27T16.06.58.844,1.360,-0.159,0.270,-0.982
1635340018924,2021-10-27T16.06.58.924,1.440,-0.161,0.271,-0.982
1635340019004,2021-10-27T16.06.59.004,1.520,-0.162,0.271,-0.982
1635340019084,2021-10-27T16.06.59.084,1.600,-0.159,0.266,-0.983
1635340019164,2021-10-27T16.06.59.164,1.680,-0.163,0.264,-0.982
1635340019244,2021-10-27T16.06.59.244,1.760,-0.162,0.265,-0.983
1635340019324,2021-10-27T16.06.59.324,1.840,-0.160,0.266,-0.984
1635340019404,2021-10-27T16.06.59.404,1.920,-0.161,0.271,-0.982
1635340019484,2021-10-27T16.06.59.484,2.000,-0.162,0.269,-0.982
1635340019564,2021-10-27T16.06.59.564,2.080,-0.157,0.272,-0.982
1635340019644,2021-10-27T16.06.59.644,2.160,-0.161,0.271,-0.982
1635340019724,2021-10-27T16.06.59.724,2.240,-0.165,0.271,-0.982
1635340019804,2021-10-27T16.06.59.804,2.320,-0.163,0.267,-0.983
1635340019884,2021-10-27T16.06.59.884,2.400,-0.161,0.270,-0.982
1635340019964,2021-10-27T16.06.59.964,2.480,-0.164,0.272,-0.981
1635340020044,2021-10-27T16.07.00.044,2.560,-0.164,0.272,-0.981
1635340020124,2021-10-27T16.07.00.124,2.640,-0.163,0.272,-0.980
1635340020204,2021-10-27T16.07.00.204,2.720,-0.160,0.272,-0.982
1635340020284,2021-10-27T16.07.00.284,2.800,-0.163,0.272,-0.982
1635340020364,2021-10-27T16.07.00.364,2.880,-0.163,0.268,-0.981
1635340020444,2021-10-27T16.07.00.444,2.960,-0.164,0.268,-0.982
1635340020524,2021-10-27T16.07.00.524,3.040,-0.163,0.270,-0.982
1635340020604,2021-10-27T16.07.00.604,3.120,-0.164,0.271,-0.982
1635340020684,2021-10-27T16.07.00.684,3.200,-0.170,0.272,-0.980
1635340020764,2021-10-27T16.07.00.764,3.280,-0.168,0.261,-0.982
1635340020844,2021-10-27T16.07.00.844,3.360,-0.175,0.261,-0.981
1635340020924,2021-10-27T16.07.00.924,3.440,-0.185,0.269,-0.978
1635340021004,2021-10-27T16.07.01.004,3.520,-0.197,0.270,-0.977
1635340021084,2021-10-27T16.07.01.084,3.600,-0.192,0.291,-0.968
1635340021164,2021-10-27T16.07.01.164,3.680,-0.212,0.282,-0.967
1635340021244,2021-10-27T16.07.01.244,3.760,-0.215,0.298,-0.964
1635340021324,2021-10-27T16.07.01.324,3.840,-0.215,0.308,-0.958
1635340021404,2021-10-27T16.07.01.404,3.920,-0.215,0.312,-0.957
1635340021484,2021-10-27T16.07.01.484,4.000,-0.221,0.304,-0.956
1635340021564,2021-10-27T16.07.01.564,4.080,-0.217,0.302,-0.962
1635340021644,2021-10-27T16.07.01.644,4.160,-0.223,0.299,-0.960
