epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635328583334,2021-10-27T12:56:23.334,0.000,-0.127,0.144,-0.961
1635328583373,2021-10-27T12:56:23.373,0.039,-0.128,0.150,-0.968
1635328583414,2021-10-27T12:56:23.414,0.080,-0.129,0.140,-0.967
1635328583454,2021-10-27T12:56:23.454,0.120,-0.129,0.144,-0.968
1635328583495,2021-10-27T12:56:23.495,0.161,-0.128,0.151,-0.965
1635328583534,2021-10-27T12:56:23.534,0.200,-0.129,0.139,-0.968
1635328583575,2021-10-27T12:56:23.575,0.241,-0.129,0.150,-0.965
1635328583615,2021-10-27T12:56:23.615,0.281,-0.125,0.145,-0.969
1635328583656,2021-10-27T12:56:23.656,0.322,-0.128,0.151,-0.963
1635328583696,2021-10-27T12:56:23.696,0.362,-0.132,0.141,-0.967
1635328583735,2021-10-27T12:56:23.735,0.401,-0.127,0.152,-0.965
1635328583776,2021-10-27T12:56:23.776,0.442,-0.127,0.145,-0.967
1635328583816,2021-10-27T12:56:23.816,0.482,-0.127,0.142,-0.967
1635328583857,2021-10-27T12:56:23.857,0.523,-0.128,0.152,-0.964
1635328583896,2021-10-27T12:56:23.896,0.562,-0.130,0.138,-0.968
1635328583937,2021-10-27T12:56:23.937,0.603,-0.128,0.152,-0.965
1635328583977,2021-10-27T12:56:23.977,0.643,-0.129,0.144,-0.966
1635328584018,2021-10-27T12:56:24.018,0.684,-0.129,0.146,-0.965
1635328584057,2021-10-27T12:56:24.057,0.723,-0.127,0.146,-0.965
1635328584097,2021-10-27T12:56:24.097,0.763,-0.128,0.144,-0.967
1635328584138,2021-10-27T12:56:24.138,0.804,-0.127,0.148,-0.966
1635328584177,2021-10-27T12:56:24.177,0.843,-0.128,0.143,-0.966
1635328584219,2021-10-27T12:56:24.219,0.885,-0.128,0.141,-0.965
1635328584258,2021-10-27T12:56:24.258,0.924,-0.126,0.150,-0.966
1635328584299,2021-10-27T12:56:24.299,0.965,-0.129,0.143,-0.967
1635328584339,2021-10-27T12:56:24.339,1.005,-0.127,0.145,-0.967
1635328584380,2021-10-27T12:56:24.380,1.046,-0.126,0.144,-0.967
1635328584419,2021-10-27T12:56:24.419,1.085,-0.129,0.144,-0.966
1635328584459,2021-10-27T12:56:24.459,1.125,-0.127,0.144,-0.966
1635328584500,2021-10-27T12:56:24.500,1.166,-0.127,0.139,-0.968
1635328584539,2021-10-27T12:56:24.539,1.205,-0.127,0.147,-0.967
1635328584580,2021-10-27T12:56:24.580,1.246,-0.126,0.144,-0.967
1635328584620,2021-10-27T12:56:24.620,1.286,-0.128,0.143,-0.966
1635328584661,2021-10-27T12:56:24.661,1.327,-0.126,0.146,-0.966
1635328584700,2021-10-27T12:56:24.700,1.366,-0.125,0.143,-0.967
1635328584741,2021-10-27T12:56:24.741,1.407,-0.129,0.154,-0.964
1635328584781,2021-10-27T12:56:24.781,1.447,-0.130,0.138,-0.962
1635328584821,2021-10-27T12:56:24.821,1.487,-0.121,0.136,-0.970
1635328584862,2021-10-27T12:56:24.862,1.528,-0.126,0.160,-0.969
1635328584901,2021-10-27T12:56:24.901,1.567,-0.131,0.120,-0.966
1635328584942,2021-10-27T12:56:24.942,1.608,-0.125,0.146,-0.965
1635328584982,2021-10-27T12:56:24.982,1.648,-0.124,0.149,-0.968
1635328585023,2021-10-27T12:56:25.023,1.689,-0.128,0.142,-0.965
1635328585062,2021-10-27T12:56:25.062,1.728,-0.126,0.143,-0.964
1635328585103,2021-10-27T12:56:25.103,1.769,-0.124,0.147,-0.968
1635328585143,2021-10-27T12:56:25.143,1.809,-0.126,0.144,-0.960
1635328585184,2021-10-27T12:56:25.184,1.850,-0.123,0.142,-0.969
1635328585223,2021-10-27T12:56:25.223,1.889,-0.122,0.158,-0.964
1635328585263,2021-10-27T12:56:25.263,1.929,-0.121,0.150,-0.963
1635328585304,2021-10-27T12:56:25.304,1.970,-0.121,0.147,-0.969
1635328585344,2021-10-27T12:56:25.344,2.010,-0.116,0.166,-0.961
1635328585385,2021-10-27T12:56:25.385,2.051,-0.114,0.151,-0.967
1635328585424,2021-10-27T12:56:25.424,2.090,-0.117,0.162,-0.964
1635328585465,2021-10-27T12:56:25.465,2.131,-0.117,0.162,-0.966
1635328585505,2021-10-27T12:56:25.505,2.171,-0.116,0.155,-0.965
1635328585546,2021-10-27T12:56:25.546,2.212,-0.112,0.166,-0.964
1635328585585,2021-10-27T12:56:25.585,2.251,-0.110,0.167,-0.963
1635328585625,2021-10-27T12:56:25.625,2.291,-0.116,0.167,-0.963
1635328585666,2021-10-27T12:56:25.666,2.332,-0.112,0.172,-0.962
1635328585705,2021-10-27T12:56:25.705,2.371,-0.109,0.168,-0.966
1635328585746,2021-10-27T12:56:25.746,2.412,-0.110,0.168,-0.963
1635328585786,2021-10-27T12:56:25.786,2.452,-0.114,0.169,-0.960
1635328585827,2021-10-27T12:56:25.827,2.493,-0.115,0.162,-0.964
1635328585866,2021-10-27T12:56:25.866,2.532,-0.116,0.178,-0.962
1635328585907,2021-10-27T12:56:25.907,2.573,-0.118,0.164,-0.965
1635328585947,2021-10-27T12:56:25.947,2.613,-0.114,0.140,-0.966
1635328585987,2021-10-27T12:56:25.987,2.653,-0.121,0.171,-0.963
1635328586028,2021-10-27T12:56:26.028,2.694,-0.115,0.184,-0.963
1635328586067,2021-10-27T12:56:26.067,2.733,-0.115,0.151,-0.966
1635328586108,2021-10-27T12:56:26.108,2.774,-0.118,0.154,-0.965
1635328586148,2021-10-27T12:56:26.148,2.814,-0.116,0.185,-0.959
1635328586189,2021-10-27T12:56:26.189,2.855,-0.119,0.169,-0.962
1635328586228,2021-10-27T12:56:26.228,2.894,-0.121,0.141,-0.967
1635328586269,2021-10-27T12:56:26.269,2.935,-0.120,0.145,-0.962
