epoc (ms),timestamp (+0200),elapsed (s),pressure (Pa)
1636463253342,2021-11-09T15.07.33.342,0.000,101058.375
1636463253607,2021-11-09T15.07.33.607,0.265,101058.375
1636463253871,2021-11-09T15.07.33.871,0.529,101060.867
1636463254136,2021-11-09T15.07.34.136,0.794,101060.867
1636463254401,2021-11-09T15.07.34.401,1.059,101056.883
1636463254665,2021-11-09T15.07.34.665,1.323,101055.219
1636463254930,2021-11-09T15.07.34.930,1.588,101059.867
1636463255194,2021-11-09T15.07.35.194,1.852,101059.703
1636463255459,2021-11-09T15.07.35.459,2.117,101055.719
1636463255724,2021-11-09T15.07.35.724,2.382,101059.367
1636463255988,2021-11-09T15.07.35.988,2.646,101057.539
1636463256253,2021-11-09T15.07.36.253,2.911,101059.062
1636463256518,2021-11-09T15.07.36.518,3.176,101060.391
1636463256782,2021-11-09T15.07.36.782,3.440,101059.531
1636463257047,2021-11-09T15.07.37.047,3.705,101055.383
1636463257312,2021-11-09T15.07.37.312,3.970,101059.891
1636463257576,2021-11-09T15.07.37.576,4.234,101056.406
1636463257841,2021-11-09T15.07.37.841,4.499,101060.391
1636463258106,2021-11-09T15.07.38.106,4.764,101057.906
1636463258370,2021-11-09T15.07.38.370,5.028,101059.234
1636463258635,2021-11-09T15.07.38.635,5.293,101056.875
1636463258898,2021-11-09T15.07.38.898,5.556,101055.078
1636463259164,2021-11-09T15.07.39.164,5.822,101060.062
1636463259429,2021-11-09T15.07.39.429,6.087,101057.906
1636463259692,2021-11-09T15.07.39.692,6.350,101056.570
1636463259957,2021-11-09T15.07.39.957,6.615,101058.406
1636463260223,2021-11-09T15.07.40.223,6.881,101055.906
1636463260486,2021-11-09T15.07.40.486,7.144,101053.750
1636463260751,2021-11-09T15.07.40.751,7.409,101057.406
1636463261015,2021-11-09T15.07.41.015,7.673,101059.891
1636463261280,2021-11-09T15.07.41.280,7.938,101057.734
1636463261545,2021-11-09T15.07.41.545,8.203,101060.062
1636463261809,2021-11-09T15.07.41.809,8.467,101057.406
1636463262074,2021-11-09T15.07.42.074,8.732,101062.055
1636463262339,2021-11-09T15.07.42.339,8.997,101059.891
1636463262603,2021-11-09T15.07.42.603,9.261,101059.391
1636463262868,2021-11-09T15.07.42.868,9.526,101053.914
1636463263132,2021-11-09T15.07.43.132,9.790,101055.906
1636463263397,2021-11-09T15.07.43.397,10.055,101057.906
1636463263662,2021-11-09T15.07.43.662,10.320,101060.562
1636463263926,2021-11-09T15.07.43.926,10.584,101056.070
1636463264191,2021-11-09T15.07.44.191,10.849,101061.055
1636463264456,2021-11-09T15.07.44.456,11.114,101057.406
1636463264720,2021-11-09T15.07.44.720,11.378,101057.406
1636463264985,2021-11-09T15.07.44.985,11.643,101057.562
1636463265250,2021-11-09T15.07.45.250,11.908,101056.734
1636463265514,2021-11-09T15.07.45.514,12.172,101056.906
1636463265779,2021-11-09T15.07.45.779,12.437,101058.234
1636463266042,2021-11-09T15.07.46.042,12.700,101057.562
1636463266308,2021-11-09T15.07.46.308,12.966,101057.406
1636463266573,2021-11-09T15.07.46.573,13.231,101058.234
1636463266836,2021-11-09T15.07.46.836,13.494,101057.406
1636463267102,2021-11-09T15.07.47.102,13.760,101058.891
1636463267367,2021-11-09T15.07.47.367,14.025,101062.883
1636463267630,2021-11-09T15.07.47.630,14.288,101055.070
1636463267895,2021-11-09T15.07.47.895,14.553,101059.391
1636463268161,2021-11-09T15.07.48.161,14.819,101056.734
1636463268424,2021-11-09T15.07.48.424,15.082,101060.555
1636463268689,2021-11-09T15.07.48.689,15.347,101056.406
1636463268955,2021-11-09T15.07.48.955,15.613,101056.562
1636463269218,2021-11-09T15.07.49.218,15.876,101059.719
1636463269483,2021-11-09T15.07.49.483,16.141,101057.391
1636463269747,2021-11-09T15.07.49.747,16.405,101055.234
1636463270012,2021-11-09T15.07.50.012,16.670,101060.391
1636463270277,2021-11-09T15.07.50.277,16.935,101059.219
1636463270541,2021-11-09T15.07.50.541,17.199,101058.391
1636463270806,2021-11-09T15.07.50.806,17.464,101056.562
1636463271071,2021-11-09T15.07.51.071,17.729,101057.562
1636463271335,2021-11-09T15.07.51.335,17.993,101061.375
1636463271600,2021-11-09T15.07.51.600,18.258,101057.891
1636463271864,2021-11-09T15.07.51.864,18.522,101060.719
1636463272129,2021-11-09T15.07.52.129,18.787,101056.406
1636463272394,2021-11-09T15.07.52.394,19.052,101058.891
1636463272658,2021-11-09T15.07.52.658,19.316,101057.391
1636463272923,2021-11-09T15.07.52.923,19.581,101058.062
1636463273188,2021-11-09T15.07.53.188,19.846,101059.219
1636463273452,2021-11-09T15.07.53.452,20.110,101056.391
1636463273717,2021-11-09T15.07.53.717,20.375,101058.062
1636463273980,2021-11-09T15.07.53.980,20.638,101054.734
1636463274246,2021-11-09T15.07.54.246,20.904,101054.570
1636463274511,2021-11-09T15.07.54.511,21.169,101054.570
1636463274774,2021-11-09T15.07.54.774,21.432,101057.062
1636463275039,2021-11-09T15.07.55.039,21.697,101063.867
1636463275305,2021-11-09T15.07.55.305,21.963,101059.719
1636463275568,2021-11-09T15.07.55.568,22.226,101058.383
1636463275833,2021-11-09T15.07.55.833,22.491,101061.211
1636463276097,2021-11-09T15.07.56.097,22.755,101055.562
1636463276362,2021-11-09T15.07.56.362,23.020,101058.062
1636463276627,2021-11-09T15.07.56.627,23.285,101055.891
1636463276891,2021-11-09T15.07.56.891,23.549,101058.062
1636463277156,2021-11-09T15.07.57.156,23.814,101061.047
1636463277421,2021-11-09T15.07.57.421,24.079,101057.391
1636463277685,2021-11-09T15.07.57.685,24.343,101057.883
1636463277950,2021-11-09T15.07.57.950,24.608,101061.875
1636463278214,2021-11-09T15.07.58.214,24.872,101064.703
1636463278479,2021-11-09T15.07.58.479,25.137,101059.219
1636463278744,2021-11-09T15.07.58.744,25.402,101059.875
1636463279008,2021-11-09T15.07.59.008,25.666,101057.062
1636463279273,2021-11-09T15.07.59.273,25.931,101059.219
1636463279538,2021-11-09T15.07.59.538,26.196,101061.375
1636463279802,2021-11-09T15.07.59.802,26.460,101056.391
1636463280067,2021-11-09T15.08.00.067,26.725,101058.547
1636463280331,2021-11-09T15.08.00.331,26.989,101056.227
1636463280596,2021-11-09T15.08.00.596,27.254,101055.406
1636463280861,2021-11-09T15.08.00.861,27.519,101061.711
1636463281124,2021-11-09T15.08.01.124,27.782,101059.555
1636463281390,2021-11-09T15.08.01.390,28.048,101059.375
1636463281655,2021-11-09T15.08.01.655,28.313,101059.875
1636463281918,2021-11-09T15.08.01.918,28.576,101057.883
1636463282184,2021-11-09T15.08.02.184,28.842,101058.891
1636463282447,2021-11-09T15.08.02.447,29.105,101061.375
1636463282712,2021-11-09T15.08.02.712,29.370,101057.719
1636463282977,2021-11-09T15.08.02.977,29.635,101052.562
1636463283241,2021-11-09T15.08.03.241,29.899,101056.562
1636463283506,2021-11-09T15.08.03.506,30.164,101057.883
1636463283771,2021-11-09T15.08.03.771,30.429,101057.391
1636463284035,2021-11-09T15.08.04.035,30.693,101059.719
1636463284300,2021-11-09T15.08.04.300,30.958,101057.719
1636463284564,2021-11-09T15.08.04.564,31.222,101059.375
1636463284829,2021-11-09T15.08.04.829,31.487,101056.062
1636463285094,2021-11-09T15.08.05.094,31.752,101062.031
1636463285358,2021-11-09T15.08.05.358,32.016,101058.547
1636463285623,2021-11-09T15.08.05.623,32.281,101058.875
1636463285888,2021-11-09T15.08.05.888,32.546,101053.898
1636463286152,2021-11-09T15.08.06.152,32.810,101056.562
1636463286417,2021-11-09T15.08.06.417,33.075,101057.883
1636463286681,2021-11-09T15.08.06.681,33.339,101061.531
1636463286946,2021-11-09T15.08.06.946,33.604,101056.219
1636463287211,2021-11-09T15.08.07.211,33.869,101058.719
1636463287475,2021-11-09T15.08.07.475,34.133,101058.719
1636463287740,2021-11-09T15.08.07.740,34.398,101061.531
1636463288005,2021-11-09T15.08.08.005,34.663,101056.719
1636463288268,2021-11-09T15.08.08.268,34.926,101061.531
1636463288534,2021-11-09T15.08.08.534,35.192,101057.719
1636463288797,2021-11-09T15.08.08.797,35.455,101057.547
1636463289062,2021-11-09T15.08.09.062,35.720,101061.039
1636463289328,2021-11-09T15.08.09.328,35.986,101057.047
1636463289591,2021-11-09T15.08.09.591,36.249,101058.875
1636463289856,2021-11-09T15.08.09.856,36.514,101056.891
1636463290122,2021-11-09T15.08.10.122,36.780,101059.047
1636463290385,2021-11-09T15.08.10.385,37.043,101061.039
1636463290650,2021-11-09T15.08.10.650,37.308,101061.703
1636463290914,2021-11-09T15.08.10.914,37.572,101057.719
1636463291179,2021-11-09T15.08.11.179,37.837,101057.719
1636463291444,2021-11-09T15.08.11.444,38.102,101056.891
1636463291708,2021-11-09T15.08.11.708,38.366,101055.719
1636463291973,2021-11-09T15.08.11.973,38.631,101057.719
1636463292238,2021-11-09T15.08.12.238,38.896,101056.891
1636463292502,2021-11-09T15.08.12.502,39.160,101055.719
1636463292767,2021-11-09T15.08.12.767,39.425,101056.391
1636463293031,2021-11-09T15.08.13.031,39.689,101058.375
1636463293296,2021-11-09T15.08.13.296,39.954,101059.047
1636463293561,2021-11-09T15.08.13.561,40.219,101060.703
1636463293825,2021-11-09T15.08.13.825,40.483,101057.719
1636463294090,2021-11-09T15.08.14.090,40.748,101053.891
1636463294355,2021-11-09T15.08.14.355,41.013,101054.891
1636463294619,2021-11-09T15.08.14.619,41.277,101056.391
1636463294884,2021-11-09T15.08.14.884,41.542,101056.547
1636463295147,2021-11-09T15.08.15.147,41.805,101059.875
1636463295413,2021-11-09T15.08.15.413,42.071,101059.875
1636463295678,2021-11-09T15.08.15.678,42.336,101059.875
1636463295941,2021-11-09T15.08.15.941,42.599,101055.055
1636463296206,2021-11-09T15.08.16.206,42.864,101058.375
1636463296472,2021-11-09T15.08.16.472,43.130,101056.391
1636463296735,2021-11-09T15.08.16.735,43.393,101056.391
1636463297000,2021-11-09T15.08.17.000,43.658,101059.047
1636463297264,2021-11-09T15.08.17.264,43.922,101059.375
1636463297529,2021-11-09T15.08.17.529,44.187,101057.047
1636463297794,2021-11-09T15.08.17.794,44.452,101055.055
1636463298058,2021-11-09T15.08.18.058,44.716,101053.062
1636463298323,2021-11-09T15.08.18.323,44.981,101054.227
1636463298588,2021-11-09T15.08.18.588,45.246,101058.375
1636463298852,2021-11-09T15.08.18.852,45.510,101057.219
1636463299117,2021-11-09T15.08.19.117,45.775,101059.203
1636463299381,2021-11-09T15.08.19.381,46.039,101060.039
1636463299646,2021-11-09T15.08.19.646,46.304,101055.055
1636463299911,2021-11-09T15.08.19.911,46.569,101058.703
1636463300175,2021-11-09T15.08.20.175,46.833,101057.875
1636463300440,2021-11-09T15.08.20.440,47.098,101058.375
1636463300705,2021-11-09T15.08.20.705,47.363,101056.047
1636463300969,2021-11-09T15.08.20.969,47.627,101052.562
1636463301234,2021-11-09T15.08.21.234,47.892,101057.719
1636463301497,2021-11-09T15.08.21.497,48.155,101059.375
1636463301763,2021-11-09T15.08.21.763,48.421,101061.367
1636463302028,2021-11-09T15.08.22.028,48.686,101057.375
1636463302291,2021-11-09T15.08.22.291,48.949,101057.875
1636463302557,2021-11-09T15.08.22.557,49.215,101056.711
1636463302822,2021-11-09T15.08.22.822,49.480,101052.734
1636463303085,2021-11-09T15.08.23.085,49.743,101060.203
1636463303351,2021-11-09T15.08.23.351,50.009,101054.055
1636463303614,2021-11-09T15.08.23.614,50.272,101054.555
1636463303879,2021-11-09T15.08.23.879,50.537,101055.891
1636463304144,2021-11-09T15.08.24.144,50.802,101057.875
1636463304408,2021-11-09T15.08.24.408,51.066,101060.359
1636463304673,2021-11-09T15.08.24.673,51.331,101058.047
1636463304938,2021-11-09T15.08.24.938,51.596,101054.055
1636463305202,2021-11-09T15.08.25.202,51.860,101055.719
1636463305467,2021-11-09T15.08.25.467,52.125,101057.375
1636463305731,2021-11-09T15.08.25.731,52.389,101057.375
1636463305996,2021-11-09T15.08.25.996,52.654,101058.547
1636463306261,2021-11-09T15.08.26.261,52.919,101060.203
1636463306525,2021-11-09T15.08.26.525,53.183,101057.875
1636463306790,2021-11-09T15.08.26.790,53.448,101059.875
1636463307055,2021-11-09T15.08.27.055,53.713,101057.875
1636463307319,2021-11-09T15.08.27.319,53.977,101054.555
1636463307584,2021-11-09T15.08.27.584,54.242,101056.211
1636463307848,2021-11-09T15.08.27.848,54.506,101057.875
1636463308113,2021-11-09T15.08.28.113,54.771,101059.039
1636463308378,2021-11-09T15.08.28.378,55.036,101057.375
1636463308642,2021-11-09T15.08.28.642,55.300,101055.891
1636463308907,2021-11-09T15.08.28.907,55.565,101056.211
1636463309172,2021-11-09T15.08.29.172,55.830,101057.375
1636463309435,2021-11-09T15.08.29.435,56.093,101054.055
1636463309701,2021-11-09T15.08.29.701,56.359,101056.047
1636463309964,2021-11-09T15.08.29.964,56.622,101055.047
1636463310229,2021-11-09T15.08.30.229,56.887,101060.867
1636463310495,2021-11-09T15.08.30.495,57.153,101054.555
1636463310758,2021-11-09T15.08.30.758,57.416,101055.711
1636463311023,2021-11-09T15.08.31.023,57.681,101056.391
1636463311289,2021-11-09T15.08.31.289,57.947,101056.875
1636463311552,2021-11-09T15.08.31.552,58.210,101060.203
1636463311817,2021-11-09T15.08.31.817,58.475,101058.203
1636463312081,2021-11-09T15.08.32.081,58.739,101057.547
1636463312346,2021-11-09T15.08.32.346,59.004,101059.703
1636463312611,2021-11-09T15.08.32.611,59.269,101055.219
1636463312875,2021-11-09T15.08.32.875,59.533,101052.727
1636463313140,2021-11-09T15.08.33.140,59.798,101050.734
1636463313405,2021-11-09T15.08.33.405,60.063,101055.391
1636463313669,2021-11-09T15.08.33.669,60.327,101050.734
1636463313934,2021-11-09T15.08.33.934,60.592,101054.219
1636463314199,2021-11-09T15.08.34.199,60.857,101061.031
1636463314463,2021-11-09T15.08.34.463,61.121,101059.539
1636463314728,2021-11-09T15.08.34.728,61.386,101055.547
1636463314993,2021-11-09T15.08.34.993,61.651,101056.711
1636463315257,2021-11-09T15.08.35.257,61.915,101053.391
1636463315522,2021-11-09T15.08.35.522,62.180,101058.375
1636463315786,2021-11-09T15.08.35.786,62.444,101056.047
1636463316051,2021-11-09T15.08.36.051,62.709,101056.711
1636463316316,2021-11-09T15.08.36.316,62.974,101056.711
1636463316580,2021-11-09T15.08.36.580,63.238,101052.891
1636463316845,2021-11-09T15.08.36.845,63.503,101056.547
1636463317110,2021-11-09T15.08.37.110,63.768,101059.703
1636463317373,2021-11-09T15.08.37.373,64.031,101054.547
1636463317639,2021-11-09T15.08.37.639,64.297,101057.203
1636463317902,2021-11-09T15.08.37.902,64.560,101059.703
1636463318167,2021-11-09T15.08.38.167,64.825,101054.219
1636463318433,2021-11-09T15.08.38.433,65.091,101056.734
1636463318696,2021-11-09T15.08.38.696,65.354,101062.062
