epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635250652858,2021-10-26T15.17.32.858,0.000,0.135,0.840,0.422
1635250652898,2021-10-26T15.17.32.898,0.040,0.131,0.847,0.428
1635250652938,2021-10-26T15.17.32.938,0.080,0.136,0.851,0.421
1635250652978,2021-10-26T15.17.32.978,0.120,0.131,0.851,0.420
1635250653018,2021-10-26T15.17.33.018,0.160,0.131,0.850,0.421
1635250653058,2021-10-26T15.17.33.058,0.200,0.136,0.844,0.420
1635250653098,2021-10-26T15.17.33.098,0.240,0.128,0.835,0.428
1635250653138,2021-10-26T15.17.33.138,0.280,0.126,0.831,0.443
1635250653178,2021-10-26T15.17.33.178,0.320,0.120,0.824,0.452
1635250653218,2021-10-26T15.17.33.218,0.360,0.113,0.828,0.444
1635250653258,2021-10-26T15.17.33.258,0.400,0.141,0.834,0.410
1635250653298,2021-10-26T15.17.33.298,0.440,0.148,0.845,0.378
1635250653338,2021-10-26T15.17.33.338,0.480,0.103,0.846,0.374
1635250653378,2021-10-26T15.17.33.378,0.520,0.102,0.918,0.341
1635250653418,2021-10-26T15.17.33.418,0.560,0.112,0.963,0.315
1635250653458,2021-10-26T15.17.33.458,0.600,0.133,0.942,0.269
1635250653498,2021-10-26T15.17.33.498,0.640,0.144,0.906,0.296
1635250653538,2021-10-26T15.17.33.538,0.680,0.115,0.880,0.333
1635250653578,2021-10-26T15.17.33.578,0.720,0.114,0.880,0.341
1635250653618,2021-10-26T15.17.33.618,0.760,0.122,0.883,0.365
1635250653658,2021-10-26T15.17.33.658,0.800,0.098,0.902,0.387
1635250653698,2021-10-26T15.17.33.698,0.840,0.124,0.898,0.353
1635250653738,2021-10-26T15.17.33.738,0.880,0.174,0.898,0.269
1635250653778,2021-10-26T15.17.33.778,0.920,0.151,0.886,0.214
1635250653818,2021-10-26T15.17.33.818,0.960,0.053,0.894,0.185
1635250653858,2021-10-26T15.17.33.858,1.000,0.007,0.943,0.126
1635250653898,2021-10-26T15.17.33.898,1.040,0.008,1.044,0.075
1635250653938,2021-10-26T15.17.33.938,1.080,0.033,1.036,0.026
1635250653978,2021-10-26T15.17.33.978,1.120,0.031,0.999,-0.019
1635250654018,2021-10-26T15.17.34.018,1.160,0.127,0.952,-0.057
1635250654058,2021-10-26T15.17.34.058,1.200,0.169,0.896,-0.061
1635250654098,2021-10-26T15.17.34.098,1.240,0.186,0.872,-0.057
1635250654138,2021-10-26T15.17.34.138,1.280,0.211,0.897,-0.059
1635250654178,2021-10-26T15.17.34.178,1.320,0.208,0.904,-0.056
1635250654218,2021-10-26T15.17.34.218,1.360,0.206,0.908,-0.065
1635250654258,2021-10-26T15.17.34.258,1.400,0.229,0.897,-0.069
1635250654298,2021-10-26T15.17.34.298,1.440,0.228,0.901,-0.078
1635250654338,2021-10-26T15.17.34.338,1.480,0.234,0.913,-0.091
1635250654378,2021-10-26T15.17.34.378,1.520,0.236,0.915,-0.111
1635250654418,2021-10-26T15.17.34.418,1.560,0.237,0.918,-0.133
1635250654458,2021-10-26T15.17.34.458,1.600,0.248,0.906,-0.142
1635250654498,2021-10-26T15.17.34.498,1.640,0.251,0.895,-0.142
1635250654538,2021-10-26T15.17.34.538,1.680,0.261,0.895,-0.139
1635250654578,2021-10-26T15.17.34.578,1.720,0.263,0.891,-0.136
1635250654618,2021-10-26T15.17.34.618,1.760,0.260,0.892,-0.143
1635250654658,2021-10-26T15.17.34.658,1.800,0.262,0.894,-0.143
1635250654698,2021-10-26T15.17.34.698,1.840,0.253,0.909,-0.161
1635250654738,2021-10-26T15.17.34.738,1.880,0.258,0.904,-0.175
1635250654778,2021-10-26T15.17.34.778,1.920,0.270,0.880,-0.171
1635250654818,2021-10-26T15.17.34.818,1.960,0.267,0.882,-0.167
1635250654858,2021-10-26T15.17.34.858,2.000,0.268,0.888,-0.168
1635250654898,2021-10-26T15.17.34.898,2.040,0.267,0.892,-0.170
1635250654938,2021-10-26T15.17.34.938,2.080,0.261,0.905,-0.176
1635250654978,2021-10-26T15.17.34.978,2.120,0.275,0.894,-0.183
1635250655018,2021-10-26T15.17.35.018,2.160,0.273,0.889,-0.196
1635250655058,2021-10-26T15.17.35.058,2.200,0.265,0.893,-0.206
1635250655098,2021-10-26T15.17.35.098,2.240,0.273,0.883,-0.204
1635250655138,2021-10-26T15.17.35.138,2.280,0.279,0.871,-0.202
1635250655178,2021-10-26T15.17.35.178,2.320,0.288,0.879,-0.206
1635250655218,2021-10-26T15.17.35.218,2.360,0.283,0.888,-0.216
