epoc (ms),timestamp (+0200),elapsed (s),pressure (Pa)
1636388939837,2021-11-08T18.28.59.837,0.000,101040.180
1636388940100,2021-11-08T18.29.00.100,0.263,101039.672
1636388940365,2021-11-08T18.29.00.365,0.528,101039.672
1636388940631,2021-11-08T18.29.00.631,0.794,101038.336
1636388940894,2021-11-08T18.29.00.894,1.057,101039.008
1636388941159,2021-11-08T18.29.01.159,1.322,101035.664
1636388941425,2021-11-08T18.29.01.425,1.588,101040.500
1636388941688,2021-11-08T18.29.01.688,1.851,101033.148
1636388941953,2021-11-08T18.29.01.953,2.116,101038.336
1636388942218,2021-11-08T18.29.02.218,2.381,101033.500
1636388942482,2021-11-08T18.29.02.482,2.645,101037.477
1636388942747,2021-11-08T18.29.02.747,2.910,101033.469
1636388943011,2021-11-08T18.29.03.011,3.174,101036.812
1636388943276,2021-11-08T18.29.03.276,3.439,101036.141
1636388943541,2021-11-08T18.29.03.541,3.704,101038.977
1636388943805,2021-11-08T18.29.03.805,3.968,101034.969
1636388944070,2021-11-08T18.29.04.070,4.233,101037.797
1636388944335,2021-11-08T18.29.04.335,4.498,101037.797
1636388944599,2021-11-08T18.29.04.599,4.762,101034.453
1636388944864,2021-11-08T18.29.04.864,5.027,101033.953
1636388945128,2021-11-08T18.29.05.128,5.291,101035.477
1636388945393,2021-11-08T18.29.05.393,5.556,101039.297
1636388945658,2021-11-08T18.29.05.658,5.821,101036.461
1636388945923,2021-11-08T18.29.05.923,6.086,101038.633
1636388946187,2021-11-08T18.29.06.187,6.350,101038.977
1636388946452,2021-11-08T18.29.06.452,6.615,101040.469
1636388946716,2021-11-08T18.29.06.716,6.879,101033.633
1636388946981,2021-11-08T18.29.06.981,7.144,101033.633
1636388947246,2021-11-08T18.29.07.246,7.409,101037.797
1636388947509,2021-11-08T18.29.07.509,7.672,101033.125
1636388947775,2021-11-08T18.29.07.775,7.938,101030.961
1636388948040,2021-11-08T18.29.08.040,8.203,101031.781
1636388948303,2021-11-08T18.29.08.303,8.466,101029.781
1636388948569,2021-11-08T18.29.08.569,8.732,101038.469
1636388948834,2021-11-08T18.29.08.834,8.997,101037.797
1636388949097,2021-11-08T18.29.09.097,9.260,101039.805
1636388949363,2021-11-08T18.29.09.363,9.526,101037.133
1636388949628,2021-11-08T18.29.09.628,9.791,101039.141
1636388949891,2021-11-08T18.29.09.891,10.054,101033.953
1636388950156,2021-11-08T18.29.10.156,10.319,101033.281
1636388950420,2021-11-08T18.29.10.420,10.583,101031.781
1636388950685,2021-11-08T18.29.10.685,10.848,101035.125
1636388950950,2021-11-08T18.29.10.950,11.113,101035.641
1636388951214,2021-11-08T18.29.11.214,11.377,101032.297
1636388951479,2021-11-08T18.29.11.479,11.642,101035.641
1636388951744,2021-11-08T18.29.11.744,11.907,101038.789
1636388952008,2021-11-08T18.29.12.008,12.171,101040.633
1636388952273,2021-11-08T18.29.12.273,12.436,101033.438
1636388952537,2021-11-08T18.29.12.537,12.700,101033.789
1636388952802,2021-11-08T18.29.12.802,12.965,101034.109
1636388953067,2021-11-08T18.29.13.067,13.230,101037.133
1636388953331,2021-11-08T18.29.13.331,13.494,101038.789
1636388953596,2021-11-08T18.29.13.596,13.759,101035.445
1636388953861,2021-11-08T18.29.13.861,14.024,101035.953
1636388954125,2021-11-08T18.29.14.125,14.288,101032.773
1636388954390,2021-11-08T18.29.14.390,14.553,101036.117
1636388954654,2021-11-08T18.29.14.654,14.817,101029.273
1636388954919,2021-11-08T18.29.14.919,15.082,101032.773
1636388955184,2021-11-08T18.29.15.184,15.347,101032.617
1636388955447,2021-11-08T18.29.15.447,15.610,101036.945
1636388955713,2021-11-08T18.29.15.713,15.876,101030.266
1636388955978,2021-11-08T18.29.15.978,16.141,101031.281
1636388956241,2021-11-08T18.29.16.241,16.404,101030.266
1636388956507,2021-11-08T18.29.16.507,16.670,101034.430
