epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636294424468,2021-11-07T16:13:44.468,0.000,0.448,0.269,-0.812
1636294424508,2021-11-07T16:13:44.508,0.040,0.444,0.267,-0.815
1636294424548,2021-11-07T16:13:44.548,0.080,0.446,0.261,-0.813
1636294424588,2021-11-07T16:13:44.588,0.120,0.448,0.267,-0.815
1636294424628,2021-11-07T16:13:44.628,0.160,0.448,0.261,-0.816
1636294424668,2021-11-07T16:13:44.668,0.200,0.448,0.263,-0.812
1636294424708,2021-11-07T16:13:44.708,0.240,0.452,0.265,-0.816
1636294424748,2021-11-07T16:13:44.748,0.280,0.449,0.262,-0.812
1636294424788,2021-11-07T16:13:44.788,0.320,0.450,0.260,-0.812
1636294424828,2021-11-07T16:13:44.828,0.360,0.453,0.257,-0.815
1636294424868,2021-11-07T16:13:44.868,0.400,0.449,0.258,-0.810
1636294424908,2021-11-07T16:13:44.908,0.440,0.454,0.257,-0.813
1636294424948,2021-11-07T16:13:44.948,0.480,0.456,0.250,-0.815
1636294424988,2021-11-07T16:13:44.988,0.520,0.450,0.247,-0.811
1636294425028,2021-11-07T16:13:45.028,0.560,0.461,0.252,-0.812
1636294425068,2021-11-07T16:13:45.068,0.600,0.467,0.235,-0.792
1636294425108,2021-11-07T16:13:45.108,0.640,0.464,0.215,-0.791
1636294425148,2021-11-07T16:13:45.148,0.680,0.496,0.273,-0.826
1636294425188,2021-11-07T16:13:45.188,0.720,0.510,0.236,-0.807
1636294425228,2021-11-07T16:13:45.228,0.760,0.472,0.233,-0.779
1636294425268,2021-11-07T16:13:45.268,0.800,0.494,0.233,-0.797
1636294425308,2021-11-07T16:13:45.308,0.840,0.491,0.232,-0.801
1636294425348,2021-11-07T16:13:45.348,0.880,0.476,0.210,-0.784
1636294425388,2021-11-07T16:13:45.388,0.920,0.488,0.209,-0.773
1636294425428,2021-11-07T16:13:45.428,0.960,0.526,0.293,-0.798
1636294425468,2021-11-07T16:13:45.468,1.000,0.510,0.261,-0.768
1636294425508,2021-11-07T16:13:45.508,1.040,0.509,0.266,-0.758
1636294425548,2021-11-07T16:13:45.548,1.080,0.554,0.269,-0.766
1636294425588,2021-11-07T16:13:45.588,1.120,0.538,0.255,-0.756
1636294425628,2021-11-07T16:13:45.628,1.160,0.526,0.241,-0.763
1636294425668,2021-11-07T16:13:45.668,1.200,0.527,0.259,-0.765
1636294425708,2021-11-07T16:13:45.708,1.240,0.535,0.267,-0.772
1636294425748,2021-11-07T16:13:45.748,1.280,0.545,0.228,-0.790
1636294425788,2021-11-07T16:13:45.788,1.320,0.507,0.224,-0.756
1636294425828,2021-11-07T16:13:45.828,1.360,0.476,0.265,-0.795
1636294425868,2021-11-07T16:13:45.868,1.400,0.472,0.263,-0.805
1636294425908,2021-11-07T16:13:45.908,1.440,0.473,0.218,-0.785
1636294425948,2021-11-07T16:13:45.948,1.480,0.481,0.236,-0.807
1636294425988,2021-11-07T16:13:45.988,1.520,0.472,0.250,-0.813
1636294426028,2021-11-07T16:13:46.028,1.560,0.473,0.223,-0.804
1636294426068,2021-11-07T16:13:46.068,1.600,0.480,0.228,-0.824
1636294426108,2021-11-07T16:13:46.108,1.640,0.440,0.238,-0.808
1636294426148,2021-11-07T16:13:46.148,1.680,0.459,0.206,-0.810
1636294426188,2021-11-07T16:13:46.188,1.720,0.460,0.238,-0.826
1636294426228,2021-11-07T16:13:46.228,1.760,0.450,0.236,-0.820
1636294426268,2021-11-07T16:13:46.268,1.800,0.449,0.227,-0.819
1636294426308,2021-11-07T16:13:46.308,1.840,0.447,0.235,-0.827
1636294426348,2021-11-07T16:13:46.348,1.880,0.442,0.232,-0.823
1636294426388,2021-11-07T16:13:46.388,1.920,0.441,0.236,-0.821
1636294426428,2021-11-07T16:13:46.428,1.960,0.447,0.236,-0.827
1636294426468,2021-11-07T16:13:46.468,2.000,0.444,0.236,-0.821
1636294426508,2021-11-07T16:13:46.508,2.040,0.449,0.235,-0.824
1636294426548,2021-11-07T16:13:46.548,2.080,0.446,0.234,-0.823
1636294426588,2021-11-07T16:13:46.588,2.120,0.450,0.238,-0.822
1636294426628,2021-11-07T16:13:46.628,2.160,0.458,0.234,-0.823
1636294426668,2021-11-07T16:13:46.668,2.200,0.452,0.240,-0.831
