epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635081321017,2021-10-24T16:15:21.017,0.000,-0.192,0.325,-0.919
1635081321057,2021-10-24T16:15:21.057,0.040,-0.192,0.322,-0.930
1635081321097,2021-10-24T16:15:21.097,0.080,-0.190,0.327,-0.926
1635081321137,2021-10-24T16:15:21.137,0.120,-0.190,0.325,-0.927
1635081321177,2021-10-24T16:15:21.177,0.160,-0.192,0.324,-0.927
1635081321217,2021-10-24T16:15:21.217,0.200,-0.189,0.328,-0.928
1635081321257,2021-10-24T16:15:21.257,0.240,-0.188,0.327,-0.926
1635081321297,2021-10-24T16:15:21.297,0.280,-0.188,0.327,-0.926
1635081321337,2021-10-24T16:15:21.337,0.320,-0.183,0.332,-0.925
1635081321377,2021-10-24T16:15:21.377,0.360,-0.182,0.331,-0.927
1635081321417,2021-10-24T16:15:21.417,0.400,-0.188,0.315,-0.930
1635081321457,2021-10-24T16:15:21.457,0.440,-0.195,0.309,-0.931
1635081321497,2021-10-24T16:15:21.497,0.480,-0.193,0.303,-0.933
1635081321537,2021-10-24T16:15:21.537,0.520,-0.182,0.317,-0.931
1635081321577,2021-10-24T16:15:21.577,0.560,-0.175,0.319,-0.932
1635081321617,2021-10-24T16:15:21.617,0.600,-0.180,0.317,-0.933
1635081321657,2021-10-24T16:15:21.657,0.640,-0.186,0.302,-0.934
1635081321697,2021-10-24T16:15:21.697,0.680,-0.182,0.306,-0.934
1635081321737,2021-10-24T16:15:21.737,0.720,-0.182,0.310,-0.935
1635081321777,2021-10-24T16:15:21.777,0.760,-0.186,0.298,-0.936
1635081321817,2021-10-24T16:15:21.817,0.800,-0.184,0.297,-0.935
1635081321857,2021-10-24T16:15:21.857,0.840,-0.182,0.307,-0.934
1635081321897,2021-10-24T16:15:21.897,0.880,-0.178,0.316,-0.931
1635081321937,2021-10-24T16:15:21.937,0.920,-0.182,0.302,-0.935
1635081321977,2021-10-24T16:15:21.977,0.960,-0.182,0.305,-0.935
1635081322017,2021-10-24T16:15:22.017,1.000,-0.179,0.307,-0.935
1635081322057,2021-10-24T16:15:22.057,1.040,-0.182,0.305,-0.933
1635081322097,2021-10-24T16:15:22.097,1.080,-0.179,0.312,-0.932
1635081322137,2021-10-24T16:15:22.137,1.120,-0.181,0.304,-0.934
1635081322177,2021-10-24T16:15:22.177,1.160,-0.180,0.308,-0.934
1635081322217,2021-10-24T16:15:22.217,1.200,-0.181,0.305,-0.935
1635081322257,2021-10-24T16:15:22.257,1.240,-0.180,0.308,-0.935
1635081322297,2021-10-24T16:15:22.297,1.280,-0.183,0.306,-0.932
1635081322337,2021-10-24T16:15:22.337,1.320,-0.180,0.309,-0.934
1635081322377,2021-10-24T16:15:22.377,1.360,-0.181,0.302,-0.934
1635081322417,2021-10-24T16:15:22.417,1.400,-0.182,0.303,-0.934
1635081322457,2021-10-24T16:15:22.457,1.440,-0.180,0.304,-0.935
1635081322497,2021-10-24T16:15:22.497,1.480,-0.180,0.299,-0.936
1635081322537,2021-10-24T16:15:22.537,1.520,-0.181,0.298,-0.938
1635081322577,2021-10-24T16:15:22.577,1.560,-0.180,0.298,-0.936
1635081322617,2021-10-24T16:15:22.617,1.600,-0.179,0.298,-0.937
1635081322657,2021-10-24T16:15:22.657,1.640,-0.179,0.304,-0.934
1635081322697,2021-10-24T16:15:22.697,1.680,-0.175,0.307,-0.937
1635081322737,2021-10-24T16:15:22.737,1.720,-0.177,0.303,-0.937
1635081322777,2021-10-24T16:15:22.777,1.760,-0.179,0.296,-0.936
1635081322817,2021-10-24T16:15:22.817,1.800,-0.180,0.297,-0.936
1635081322857,2021-10-24T16:15:22.857,1.840,-0.180,0.299,-0.936
1635081322897,2021-10-24T16:15:22.897,1.880,-0.181,0.293,-0.937
1635081322937,2021-10-24T16:15:22.937,1.920,-0.180,0.293,-0.939
1635081322977,2021-10-24T16:15:22.977,1.960,-0.180,0.294,-0.939
1635081323017,2021-10-24T16:15:23.017,2.000,-0.176,0.292,-0.938
1635081323057,2021-10-24T16:15:23.057,2.040,-0.176,0.303,-0.935
1635081323097,2021-10-24T16:15:23.097,2.080,-0.180,0.293,-0.938
1635081323137,2021-10-24T16:15:23.137,2.120,-0.181,0.287,-0.939
1635081323177,2021-10-24T16:15:23.177,2.160,-0.180,0.291,-0.940
1635081323217,2021-10-24T16:15:23.217,2.200,-0.182,0.283,-0.943
1635081323257,2021-10-24T16:15:23.257,2.240,-0.184,0.287,-0.940
1635081323297,2021-10-24T16:15:23.297,2.280,-0.178,0.316,-0.931
1635081323337,2021-10-24T16:15:23.337,2.320,-0.183,0.314,-0.930
1635081323377,2021-10-24T16:15:23.377,2.360,-0.183,0.304,-0.935
1635081323417,2021-10-24T16:15:23.417,2.400,-0.175,0.301,-0.933
1635081323457,2021-10-24T16:15:23.457,2.440,-0.181,0.293,-0.936
1635081323497,2021-10-24T16:15:23.497,2.480,-0.182,0.308,-0.933
1635081323537,2021-10-24T16:15:23.537,2.520,-0.179,0.316,-0.932
1635081323577,2021-10-24T16:15:23.577,2.560,-0.182,0.319,-0.932
1635081323617,2021-10-24T16:15:23.617,2.600,-0.182,0.318,-0.932
1635081323657,2021-10-24T16:15:23.657,2.640,-0.191,0.287,-0.935
1635081323697,2021-10-24T16:15:23.697,2.680,-0.197,0.297,-0.932
1635081323737,2021-10-24T16:15:23.737,2.720,-0.189,0.286,-0.936
1635081323777,2021-10-24T16:15:23.777,2.760,-0.189,0.294,-0.934
1635081323817,2021-10-24T16:15:23.817,2.800,-0.183,0.303,-0.936
1635081323857,2021-10-24T16:15:23.857,2.840,-0.176,0.301,-0.942
1635081323897,2021-10-24T16:15:23.897,2.880,-0.181,0.293,-0.939
1635081323937,2021-10-24T16:15:23.937,2.920,-0.193,0.298,-0.934
1635081323977,2021-10-24T16:15:23.977,2.960,-0.188,0.279,-0.940
1635081324017,2021-10-24T16:15:24.017,3.000,-0.186,0.265,-0.947
1635081324057,2021-10-24T16:15:24.057,3.040,-0.190,0.270,-0.944
1635081324097,2021-10-24T16:15:24.097,3.080,-0.190,0.269,-0.943
1635081324137,2021-10-24T16:15:24.137,3.120,-0.185,0.276,-0.941
1635081324177,2021-10-24T16:15:24.177,3.160,-0.182,0.286,-0.943
1635081324217,2021-10-24T16:15:24.217,3.200,-0.192,0.269,-0.944
1635081324257,2021-10-24T16:15:24.257,3.240,-0.186,0.265,-0.945
1635081324297,2021-10-24T16:15:24.297,3.280,-0.184,0.272,-0.944
1635081324337,2021-10-24T16:15:24.337,3.320,-0.187,0.282,-0.940
1635081324377,2021-10-24T16:15:24.377,3.360,-0.182,0.279,-0.943
1635081324417,2021-10-24T16:15:24.417,3.400,-0.179,0.277,-0.944
1635081324457,2021-10-24T16:15:24.457,3.440,-0.185,0.276,-0.942
1635081324497,2021-10-24T16:15:24.497,3.480,-0.187,0.265,-0.945
1635081324537,2021-10-24T16:15:24.537,3.520,-0.185,0.271,-0.943
1635081324577,2021-10-24T16:15:24.577,3.560,-0.188,0.269,-0.942
1635081324617,2021-10-24T16:15:24.617,3.600,-0.185,0.267,-0.943
1635081324657,2021-10-24T16:15:24.657,3.640,-0.181,0.272,-0.945
1635081324697,2021-10-24T16:15:24.697,3.680,-0.180,0.265,-0.947
1635081324737,2021-10-24T16:15:24.737,3.720,-0.183,0.271,-0.944
1635081324777,2021-10-24T16:15:24.777,3.760,-0.179,0.272,-0.945
1635081324817,2021-10-24T16:15:24.817,3.800,-0.178,0.278,-0.942
1635081324857,2021-10-24T16:15:24.857,3.840,-0.175,0.266,-0.947
1635081324897,2021-10-24T16:15:24.897,3.880,-0.183,0.269,-0.947
1635081324937,2021-10-24T16:15:24.937,3.920,-0.190,0.255,-0.947
1635081324977,2021-10-24T16:15:24.977,3.960,-0.186,0.255,-0.947
1635081325017,2021-10-24T16:15:25.017,4.000,-0.188,0.259,-0.945
1635081325057,2021-10-24T16:15:25.057,4.040,-0.187,0.254,-0.948
1635081325097,2021-10-24T16:15:25.097,4.080,-0.184,0.253,-0.949
1635081325137,2021-10-24T16:15:25.137,4.120,-0.186,0.256,-0.948
1635081325177,2021-10-24T16:15:25.177,4.160,-0.189,0.253,-0.948
1635081325217,2021-10-24T16:15:25.217,4.200,-0.184,0.260,-0.947
1635081325257,2021-10-24T16:15:25.257,4.240,-0.190,0.257,-0.948
1635081325297,2021-10-24T16:15:25.297,4.280,-0.194,0.244,-0.950
1635081325337,2021-10-24T16:15:25.337,4.320,-0.195,0.240,-0.949
1635081325377,2021-10-24T16:15:25.377,4.360,-0.197,0.242,-0.949
1635081325417,2021-10-24T16:15:25.417,4.400,-0.192,0.246,-0.950
1635081325457,2021-10-24T16:15:25.457,4.440,-0.193,0.249,-0.949
1635081325497,2021-10-24T16:15:25.497,4.480,-0.193,0.244,-0.950
1635081325537,2021-10-24T16:15:25.537,4.520,-0.192,0.245,-0.949
1635081325577,2021-10-24T16:15:25.577,4.560,-0.190,0.246,-0.951
1635081325617,2021-10-24T16:15:25.617,4.600,-0.193,0.241,-0.951
1635081325657,2021-10-24T16:15:25.657,4.640,-0.195,0.242,-0.950
1635081325697,2021-10-24T16:15:25.697,4.680,-0.193,0.244,-0.949
1635081325737,2021-10-24T16:15:25.737,4.720,-0.192,0.244,-0.950
1635081325777,2021-10-24T16:15:25.777,4.760,-0.190,0.246,-0.951
1635081325817,2021-10-24T16:15:25.817,4.800,-0.191,0.236,-0.953
1635081325857,2021-10-24T16:15:25.857,4.840,-0.191,0.245,-0.952
1635081325897,2021-10-24T16:15:25.897,4.880,-0.193,0.244,-0.950
1635081325937,2021-10-24T16:15:25.937,4.920,-0.189,0.243,-0.952
1635081325977,2021-10-24T16:15:25.977,4.960,-0.193,0.236,-0.951
1635081326017,2021-10-24T16:15:26.017,5.000,-0.195,0.251,-0.948
1635081326057,2021-10-24T16:15:26.057,5.040,-0.181,0.262,-0.950
1635081326097,2021-10-24T16:15:26.097,5.080,-0.192,0.245,-0.950
1635081326137,2021-10-24T16:15:26.137,5.120,-0.193,0.245,-0.950
1635081326177,2021-10-24T16:15:26.177,5.160,-0.188,0.248,-0.949
1635081326217,2021-10-24T16:15:26.217,5.200,-0.189,0.251,-0.950
1635081326257,2021-10-24T16:15:26.257,5.240,-0.191,0.247,-0.950
1635081326297,2021-10-24T16:15:26.297,5.280,-0.191,0.242,-0.951
1635081326337,2021-10-24T16:15:26.337,5.320,-0.192,0.236,-0.950
1635081326377,2021-10-24T16:15:26.377,5.360,-0.192,0.240,-0.950
1635081326417,2021-10-24T16:15:26.417,5.400,-0.190,0.252,-0.947
1635081326457,2021-10-24T16:15:26.457,5.440,-0.182,0.255,-0.950
1635081326497,2021-10-24T16:15:26.497,5.480,-0.186,0.259,-0.948
1635081326537,2021-10-24T16:15:26.537,5.520,-0.186,0.247,-0.950
1635081326577,2021-10-24T16:15:26.577,5.560,-0.195,0.247,-0.948
1635081326617,2021-10-24T16:15:26.617,5.600,-0.196,0.244,-0.946
1635081326657,2021-10-24T16:15:26.657,5.640,-0.191,0.246,-0.949
1635081326697,2021-10-24T16:15:26.697,5.680,-0.189,0.248,-0.951
