epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1633956705249,2021-10-11T15.51.45.249,0.000,-0.326,0.005,-0.915
1633956705289,2021-10-11T15.51.45.289,0.040,-0.326,-0.007,-0.928
1633956705329,2021-10-11T15.51.45.329,0.080,-0.324,-0.013,-0.924
1633956705369,2021-10-11T15.51.45.369,0.120,-0.324,-0.021,-0.924
1633956705409,2021-10-11T15.51.45.409,0.160,-0.327,-0.012,-0.924
1633956705449,2021-10-11T15.51.45.449,0.200,-0.325,0.000,-0.922
1633956705489,2021-10-11T15.51.45.489,0.240,-0.326,-0.003,-0.922
1633956705529,2021-10-11T15.51.45.529,0.280,-0.325,-0.008,-0.921
1633956705569,2021-10-11T15.51.45.569,0.320,-0.323,0.001,-0.923
1633956705609,2021-10-11T15.51.45.609,0.360,-0.325,-0.005,-0.924
1633956705649,2021-10-11T15.51.45.649,0.400,-0.327,-0.011,-0.924
1633956705689,2021-10-11T15.51.45.689,0.440,-0.326,-0.009,-0.923
1633956705729,2021-10-11T15.51.45.729,0.480,-0.325,-0.010,-0.927
1633956705769,2021-10-11T15.51.45.769,0.520,-0.324,-0.005,-0.922
1633956705809,2021-10-11T15.51.45.809,0.560,-0.323,-0.003,-0.923
1633956705849,2021-10-11T15.51.45.849,0.600,-0.325,-0.005,-0.926
1633956705889,2021-10-11T15.51.45.889,0.640,-0.326,0.004,-0.916
1633956705929,2021-10-11T15.51.45.929,0.680,-0.325,-0.003,-0.921
1633956705969,2021-10-11T15.51.45.969,0.720,-0.324,-0.020,-0.929
1633956706009,2021-10-11T15.51.46.009,0.760,-0.326,-0.009,-0.922
1633956706049,2021-10-11T15.51.46.049,0.800,-0.325,-0.005,-0.918
1633956706089,2021-10-11T15.51.46.089,0.840,-0.325,-0.011,-0.924
1633956706129,2021-10-11T15.51.46.129,0.880,-0.326,-0.007,-0.923
1633956706169,2021-10-11T15.51.46.169,0.920,-0.326,-0.013,-0.920
1633956706209,2021-10-11T15.51.46.209,0.960,-0.324,-0.006,-0.924
1633956706249,2021-10-11T15.51.46.249,1.000,-0.323,0.001,-0.920
